"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1548908230.A.CA6#00000", "DerLuna", "分析各方的目的<br><br><br>KI: 想跟LBJ再續前緣, 想要冠軍<br><br>LBJ: 好像沒差, 但應該想要冠軍<br><br>AD: 想要去湖人<br><br>水鳥: 沒辦法, 想要年輕肉體Tatum??<br><br><br>所以其實有個三方交易可以達成各方需求XD<br><br>就是大家都只想兩方  當然就會有輸家<br><br>但是三方交易是沒有輸家的！！<br><br>不如這樣<br><br>LBJ去超賽, Hayward Tatum Brown去水鳥, AD 去湖人<br><br><br>交易詳細會變成<br>-------------------------------------------<br>湖人出<br><br>LBJ<br><br>湖人進<br><br>AD + 薪資包<br><br>-------------------------------------------<br><br>超賽出<br><br>Hayward, Tatum, Brown<br><br>超賽進<br><br>LBJ<br><br>-------------------------------------------<br><br>水鳥出<br><br>AD+ 薪資包<br><br>水鳥進<br><br>Tatum, Hayward, Brown<br><br>-------------------------------------------<br><br>各方需求都有顧到  湖人和水鳥也都保持著競爭力甚至有爭冠機會  各位怎看呢？<br><br>湖人這樣出好處是明年可以保持頂薪空間  簽KD或KT 配保留本來小將還不錯大有可為<br><br>重點是水鳥直接跟湖人換  就算湖人小將全梭<br>也不過是變2017湖人隊而已  有多爛大家都知道...　　　<br><br>--<br>", "", ""
"NBA#M.1548908230.A.CA6#00001", "zz25678606  ", "爛文", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00002", "ilovekobe824", "…", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00003", "pk69240     ", "湖人會出LBJ?", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00004", "Evolutaion  ", "廢文", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00005", "zero3213    ", "天才", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00006", "CKNTUErnie  ", "嗯嗯", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00007", "peter89000  ", "把LBJ賣到塞提，你真是天才XD", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00008", "rrrivz      ", "笑ㄌ 湖人好幹", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00009", "alonelykid  ", "寒假", "01/31 12:18", "0"
"NBA#M.1548908230.A.CA6#00010", "weijunW     ", "不想看到LBJ把帥哥教練玩壞耶~", "01/31 12:19", "0"
"NBA#M.1548908230.A.CA6#00011", "fnlily      ", "你以為湖人吸引AD的因素是什麼", "01/31 12:19", "0"
"NBA#M.1548908230.A.CA6#00012", "ltmps       ", "蠻爛的，但湖人能換到更年輕的AD，是加分XD", "01/31 12:19", "0"
"NBA#M.1548908230.A.CA6#00013", "forest204c  ", "沒了LBJ誰想去湖人？去陪重建噢", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00014", "allkobe     ", "出Tatum, Brown 然後只拿到LBJ? 你當安吉腦殘?", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00015", "AOB123      ", "湖人不會答應", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00016", "BoYuYou     ", "爭什麼爭？不如全部都來581", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00017", "otoboku     ", "直接LBJ換AD就不用麻煩了", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00018", "a9564208    ", "勇士或成最大贏家", "01/31 12:20", "0"
"NBA#M.1548908230.A.CA6#00019", "linchw      ", "你真是天才 快去NBA找工作", "01/31 12:21", "0"
"NBA#M.1548908230.A.CA6#00020", "km10635237  ", "哈哈哈，但水鳥應該對沒有lbj的湖人無感", "01/31 12:21", "0"
"NBA#M.1548908230.A.CA6#00021", "peter89000  ", "湖人出LBJ只拿到AD+薪資包，虧到爆XD", "01/31 12:21", "0"
"NBA#M.1548908230.A.CA6#00022", "otwtsap1349 ", "爛", "01/31 12:22", "0"
"NBA#M.1548908230.A.CA6#00023", "Wb2029T     ", "湖人傻了嗎", "01/31 12:23", "0"
"NBA#M.1548908230.A.CA6#00024", "sun0912758  ", "說Tatum+Brown只換得到LBJ安吉腦殘的 我快笑死 青，賽出整隊都換不到LBJ吧", "01/31 12:23", "0"
"NBA#M.1548908230.A.CA6#00025", "realkgfans  ", "寒假作業寫了嗎？", "01/31 12:23", "0"
"NBA#M.1548908230.A.CA6#00026", "ken720331   ", ".......", "01/31 12:24", "0"
"NBA#M.1548908230.A.CA6#00027", "ievolnds    ", "更天兵的是你以為KI+LBJ=贏勇士 17騎士陣容都豪華，還差點被橫掃 你知道嗎", "01/31 12:26", "0"
"NBA#M.1548908230.A.CA6#00028", "ptttong     ", "你可以打電話跟他們討論再來分享", "01/31 12:26", "0"
"NBA#M.1548908230.A.CA6#00029", "CDIAMOND    ", "廢文", "01/31 12:27", "0"
"NBA#M.1548908230.A.CA6#00030", "WBYKI2      ", "呵", "01/31 12:27", "0"
"NBA#M.1548908230.A.CA6#00031", "SoftPig     ", "LBJ不是為了到LA才去湖人的嗎？", "01/31 12:27", "0"
