"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1551452457.A.ED6#00000", "dannyzzz", "空中飛人喬丹，舉世聞名的籃球之神，已退休20年其影響力仍在<br><br>即使誰是NBA史上的第一人的地位在網路上一直爭論不休<br><br>但不管你再怎麼會刷，什麼單場100分、場均大三元、連續30幾場30分、3戰160幾分..<br>..<br><br>然而總冠未失手過的6枚戒指+6座Finals MVP一亮出來眾人都要跪下<br><br>Rookie賽季就砍了場均28分的數據我看史上除了賈霸、張伯倫這兩大禁區神獸以外也沒<br>人達成了<br><br>然而喬丹生涯總薪資卻不成比例的9300多萬鎂而已還不到一億(直到公牛的最後兩年才<br>補了3000萬年薪，在此前年薪一直都沒超過400萬...)<br>https://i.imgur.com/LUrnhxY.jpg<br>這是什麼概念？拿幾個同時期的球星來比較一下<br><br>有5枚戒指的舉凡Kobe生涯總薪資(3.3億)、石佛(2.4億)、4枚戒指的歐肥(2.9億)、2枚<br>的歐拉(1.1億) 跟1枚戒指的KG(3.4億)<br><br>連0冠的戰神Iverson(1.5億)和馬龍賺了1億鎂薪水都還比喬丹多<br><br>當今也有組團拿3冠還沒退休就爽賺2.3億鎂、某位3年賽季只打1年份的也已賺了快800<br>0萬鎂根本怕$多到爽死XD..一堆NBA草莓薪水動不動就要運鈔車載的<br><br>反觀喬丹抱病都要出賽，是不是根本美國低薪血汗勞工代表？<br><br><br>--<br>", "", ""
"NBA#M.1551452457.A.ED6#00001", "johnwu      ", "那時候算很高了耶", "03/01 23:02", "0"
"NBA#M.1551452457.A.ED6#00002", "emptie      ", "那個時候的CBA跟現在不一樣吧", "03/01 23:02", "0"
"NBA#M.1551452457.A.ED6#00003", "E1E1E       ", "時代不能比較，喬神把籃球推向全世界。之後運動品牌才有這麼大的收益跟效益，轉播費啥的。", "03/01 23:02", "0"
"NBA#M.1551452457.A.ED6#00004", "eskawater   ", "年輕人就是年輕人", "03/01 23:02", "0"
"NBA#M.1551452457.A.ED6#00005", "jonestem    ", "舉例的幾乎都是拜他之賜，並不是同時期…", "03/01 23:02", "0"
"NBA#M.1551452457.A.ED6#00006", "Kristoflower", "同時期XDDD", "03/01 23:03", "0"
"NBA#M.1551452457.A.ED6#00007", "lousen0068  ", "30年前的 200完跟現在的兩百萬你知道差多少嗎，而且也是因為MJ NBA 才世界風行 沒他哪有那麼多錢事情不是憨人想得這麼簡單 沒賺錢哪來錢給球員", "03/01 23:03", "0"
"NBA#M.1551452457.A.ED6#00008", "osvaldo4040 ", "拿同時期的比較才有意義......", "03/01 23:03", "0"
"NBA#M.1551452457.A.ED6#00009", "t89200670   ", "只能說時代不同，但是喬神周邊收益更猛不是嗎？打球只是副業。", "03/01 23:04", "1"
"NBA#M.1551452457.A.ED6#00010", "NAGI        ", ".................", "03/01 23:04", "0"
"NBA#M.1551452457.A.ED6#00011", "dgq75148    ", "不然怎麼叫第一人", "03/01 23:04", "0"
"NBA#M.1551452457.A.ED6#00012", "mingzeng    ", "90年代 每隊薪資總額上限 好像不到3000萬鎂 是能高，到那去？", "03/01 23:04", "0"
"NBA#M.1551452457.A.ED6#00013", "E1E1E       ", "我爸媽的年代都知道欸啊喬丹，可惜看喬神只在UTUBE", "03/01 23:04", "0"
"NBA#M.1551452457.A.ED6#00014", "tpc302      ", "Harper一張就追平老大了啊，低薪代表應該是喬神的副手Pippen比較適合", "03/01 23:05", "0"
