"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1552159102.A.1BF#00000", "YESGOTO", "大家都知道 John Stockton 是神獸<br><br>助攻跟抄截都是史上第一<br><br>但是<br><br>他的生涯三分球命中率卻只有 38.4%<br><br>對比一下<br><br>Stephen Curry 43.6%<br><br>Klay Thompson 41.9%<br><br>Stephen Nash 42.8%<br><br>好像稱不上頂好<br><br>再加上身材矮小，打法實而不華，並沒有許多花俏的運球動作<br><br>也就是沒有切入分球的能力<br><br>容易被外線聯防的人盯上<br><br>畢竟當時還有防守三秒，不能聯防<br><br><br>再加上推進速度<br><br>Stockton 是很好的半場指揮官<br><br>但是現在的打法都講究全場推進了<br><br>以他的速度跟得上嗎<br><br><br>這樣的後衛<br><br>能在現今小球三分當道的聯盟環境下生存嗎？<br><br>--<br>", "", ""
"NBA#M.1552159102.A.1BF#00001", "lchun123    ", "我先", "03/10 03:19", "0"
"NBA#M.1552159102.A.1BF#00002", "PGCHAI      ", "下一篇，張泰山", "03/10 03:20", "0"
"NBA#M.1552159102.A.1BF#00003", "leo755269   ", "下篇 歐肥在小球三分當道的聯盟有看頭嗎 下下篇 MJ", "03/10 03:21", "1"
"NBA#M.1552159102.A.1BF#00004", "poetwang    ", "下一篇 宇智波佐助", "03/10 03:21", "0"
"NBA#M.1552159102.A.1BF#00005", "JayHalstead ", "人生第一噓就給你了", "03/10 03:21", "0"
"NBA#M.1552159102.A.1BF#00006", "ngood       ", "唉", "03/10 03:22", "0"
"NBA#M.1552159102.A.1BF#00007", "sportagent  ", "你確定看過老史打球", "03/10 03:24", "0"
"NBA#M.1552159102.A.1BF#00008", "orlando71   ", "大概助攻會破20000吧", "03/10 03:26", "0"
"NBA#M.1552159102.A.1BF#00009", "s95115260   ", "大概書豪等級", "03/10 03:27", "0"
"NBA#M.1552159102.A.1BF#00010", "mtmmy       ", "連簽名檔都沒梗 不忍噓", "03/10 03:33", "0"
"NBA#M.1552159102.A.1BF#00011", "QooBY       ", "花俏的運球=切入分球的能力？ 你是不是不會打球？", "03/10 03:37", "0"
"NBA#M.1552159102.A.1BF#00012", "wisdomcowcow", "可憐欠噓", "03/10 03:39", "0"
"NBA#M.1552159102.A.1BF#00013", "TRFgee      ", "可以桶他嗎", "03/10 03:40", "0"
"NBA#M.1552159102.A.1BF#00014", "kingroy     ", "老史其實很會要犯規，看一下他每季的出手數跟罰球數", "03/10 03:42", "1"
"NBA#M.1552159102.A.1BF#00015", "OPPAISuki   ", "現在是小頭當道", "03/10 03:42", "0"
"NBA#M.1552159102.A.1BF#00016", "CharlesCL   ", "看不下去", "03/10 03:42", "0"
"NBA#M.1552159102.A.1BF#00017", "slaughter99 ", "現在沒了防守三秒？", "03/10 03:45", "0"
"NBA#M.1552159102.A.1BF#00018", "zxriffey    ", "無聊當有趣", "03/10 03:46", "0"
"NBA#M.1552159102.A.1BF#00019", "sycc        ", "我只知道你的廢文在這裡沒有看頭XD", "03/10 03:48", "0"
"NBA#M.1552159102.A.1BF#00020", "ok22205983  ", "三分是現在聯盟合格射手水準吧？這樣還沒法生存？", "03/10 03:51", "0"
