"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1553176299.A.E7C#00000", "Karevik", "Tim Duncan<br><br>馬刺隊以前的老大 有蠻多人說是歷史最強大前鋒<br><br>現在回頭看看他的數據<br><br>生涯平均得分 19 平均籃板10.8 平均助攻 3<br><br>老實說... 一點都不突出 也沒甚麼特別單人紀錄保持<br><br>相比之下真正厲害的紀錄如現今<br><br>Curry的400三分 KT的單節37分<br><br>Kobe 的單場81 雖然有點刷分嫌疑<br><br>但跟Duncan一比也是強上一大截<br><br>可能冠軍拿得算多 但當年巔峰時也沒到<br><br>像現在勇士一樣 公認成全NBA最強的隊伍<br><br>並有完全沒有連霸紀錄<br><br>簡單的說Duncan在NBA的存在其實一點都不特殊<br><br>真的要講像Lin這種曾經有林來瘋的還更值得大家回味<br><br>雖然他還是有些值得尊敬的 例如不轉隊 不特別去找大腿<br><br>但他真的有像大家所說那麼好嗎?<br><br>歷史第一PF應該還是問號吧<br><br><br><br>--<br>", "", ""
"NBA#M.1553176299.A.E7C#00001", "xxxrecoil   ", "就過譽仔啊", "03/21 21:52", "0"
"NBA#M.1553176299.A.E7C#00002", "wastedoor   ", "沒錯 被green單防守死的咖", "03/21 21:52", "0"
"NBA#M.1553176299.A.E7C#00003", "no34pp614   ", "平均20/10也要被嘴 也太嚴格了吧", "03/21 21:53", "0"
"NBA#M.1553176299.A.E7C#00004", "s110342     ", "那說個 你認為綜合各方面能贏過他的大前鋒來聽聽", "03/21 21:53", "0"
"NBA#M.1553176299.A.E7C#00005", "stocktonty  ", "菜逼巴4NI ?", "03/21 21:53", "0"
"NBA#M.1553176299.A.E7C#00006", "gm79227922  ", "不會 當年退休前進階數據跟嘴綠差不多猛", "03/21 21:53", "0"
"NBA#M.1553176299.A.E7C#00007", "yuh15420    ", "反串？", "03/21 21:54", "0"
"NBA#M.1553176299.A.E7C#00008", "ando        ", "恩", "03/21 21:54", "0"
"NBA#M.1553176299.A.E7C#00009", "sam86716    ", "… 史上最偉大大前鋒被你講得好像一般球星 ？", "03/21 21:54", "0"
"NBA#M.1553176299.A.E7C#00010", "on32        ", "說的沒錯 馬龍才是我心中最強大前鋒", "03/21 21:54", "0"
"NBA#M.1553176299.A.E7C#00011", "qsc3574151  ", "看看退休前后馬刺的變化，還有巔峰時那種統治力就，知道", "03/21 21:55", "0"
"NBA#M.1553176299.A.E7C#00012", "jimmy5680   ", "反串", "03/21 21:55", "0"
"NBA#M.1553176299.A.E7C#00013", "g27834618   ", "一個字 穩", "03/21 21:55", "0"
"NBA#M.1553176299.A.E7C#00014", "Iversonchi  ", "反串文真的很煩", "03/21 21:56", "0"
"NBA#M.1553176299.A.E7C#00015", "achiau0227  ", "QQ這年代防守不值錢了嗎", "03/21 21:56", "0"
"NBA#M.1553176299.A.E7C#00016", "yoyoyin0119 ", "會畫點圖就拿翹了", "03/21 21:56", "0"
"NBA#M.1553176299.A.E7C#00017", "emptie      ", "總決賽差點大四喜應該很可以了吧", "03/21 21:56", "0"
"NBA#M.1553176299.A.E7C#00018", "Rabarc      ", "唯一一個90 00 10年都能拿冠的人 他把巔峰平均分配", "03/21 21:56", "1"
"NBA#M.1553176299.A.E7C#00019", "a12442112   ", "反串太明顯", "03/21 21:57", "0"
"NBA#M.1553176299.A.E7C#00020", "skybin      ", "反串得太爛，提那幾個怎不提姆斯", "03/21 21:57", "0"
"NBA#M.1553176299.A.E7C#00021", "pfw         ", "屌打姆斯", "03/21 21:57", "0"
"NBA#M.1553176299.A.E7C#00022", "alan15161718", "煩不煩", "03/21 21:58", "0"
"NBA#M.1553176299.A.E7C#00023", "SupHateSpurs", "史上最幸運咖啊~  剛進入就有名人堂上將 中期有DPOY包溫 媲美哈登的鬼禿  媲美CP3的TP 後期還有MVP級KL", "03/21 21:58", "1"
"NBA#M.1553176299.A.E7C#00024", "fit         ", "防守沒辦法在PER中顯現出來,所以姆斯選擇當監視器", "03/21 21:58", "0"
"NBA#M.1553176299.A.E7C#00025", "tfoxboy     ", "肛", "03/21 21:58", "0"
"NBA#M.1553176299.A.E7C#00026", "jfs         ", "老大81分是一路後追到第四節才反超的，這樣也算刷喔..", "03/21 21:58", "1"
"NBA#M.1553176299.A.E7C#00027", "awaycyn     ", "？", "03/21 21:58", "0"
"NBA#M.1553176299.A.E7C#00028", "USAGI0423   ", "..", "03/21 21:58", "0"
"NBA#M.1553176299.A.E7C#00029", "deshiKuo    ", "操 廢文", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00030", "evan87709   ", "是", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00031", "sclbtlove   ", "看標題就不用討論了 ㄏ", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00032", "wakayama    ", "反觀你的人生", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00033", "axn67812    ", "他如果評價差的話應該沒人評價好好", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00034", "imundefeated", "所以說姆斯專攻數據是對的", "03/21 21:59", "0"
"NBA#M.1553176299.A.E7C#00035", "SupHateSpurs", "生涯全期都在抱腿", "03/21 22:00", "0"
"NBA#M.1553176299.A.E7C#00036", "qcqcqcqcqc  ", "哀 現在的人真的大多只會看數據嗎 看一看全場影片吧", "03/21 22:01", "1"
"NBA#M.1553176299.A.E7C#00037", "dannyzzz    ", "馬刺隊史上所有冠軍都有他啊", "03/21 22:01", "0"
"NBA#M.1553176299.A.E7C#00038", "AlwaySmile  ", "甚至略有低估吧", "03/21 22:01", "0"
"NBA#M.1553176299.A.E7C#00039", "julienosmile", "是不是想看留言說靠體系跟popo", "03/21 22:02", "0"
"NBA#M.1553176299.A.E7C#00040", "gem0816     ", "好喔", "03/21 22:02", "0"
"NBA#M.1553176299.A.E7C#00041", "paul5566    ", "這種廢文怎還沒X，貢獻一下", "03/21 22:02", "0"
"NBA#M.1553176299.A.E7C#00042", "kg2063      ", "菜逼八第一天看球吧可憐", "03/21 22:02", "0"
"NBA#M.1553176299.A.E7C#00043", "dannyzzz    ", "雖然沒很驚人的數據但可以看出有他的貢獻才有冠軍，杯A看馬龍數據驚人但效力十幾年拿不到一戒..當然生不逢時也有差", "03/21 22:03", "0"
"NBA#M.1553176299.A.E7C#00044", "lajji       ", "看標題就可以噓了", "03/21 22:03", "0"
"NBA#M.1553176299.A.E7C#00045", "Linethan    ", "人無知沒關係 曬無知就挺可悲", "03/21 22:03", "0"
"NBA#M.1553176299.A.E7C#00046", "bellas      ", "Nba不是還有兩位老頭還在拉低自己的生涯平均數據", "03/21 22:05", "0"
