"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1553902272.A.44E#00000", "Rambo", "8:00 開打       勇士 VS 灰狼 NBATV 直播<br><br>高清      http://v.gd/min01 for PC & mobile<br>高清      http://v.gd/min02 for PC & mobile<br>高清      http://v.gd/min03 for PC & mobile<br>高清      http://v.gd/min04 for PC & mobile<br>高清      http://v.gd/min05 for PC & mobile<br><br>其他連結  線上 BOX: http://cutt.us/opkCL<br>PS:部分連結會有 Cross domain error 表示您需要國外的VPN<br><br>--<br>", "", ""
"NBA#M.1553902272.A.44E#00001", "howhowyaya  ", "頭", "03/30 07:53", "0"
"NBA#M.1553902272.A.44E#00002", "johnwu      ", "頸", "03/30 07:58", "0"
"NBA#M.1553902272.A.44E#00003", "iovoecu     ", "肩", "03/30 07:58", "0"
"NBA#M.1553902272.A.44E#00004", "edchuan     ", "胸", "03/30 07:59", "0"
"NBA#M.1553902272.A.44E#00005", "DUNA        ", "腹", "03/30 07:59", "0"
"NBA#M.1553902272.A.44E#00006", "tailsean    ", "8二D", "03/30 08:03", "0"
"NBA#M.1553902272.A.44E#00007", "ce588072    ", "大腿", "03/30 08:05", "0"
"NBA#M.1553902272.A.44E#00008", "ladddddy    ", "8二二二Ξ⊇", "03/30 08:06", "0"
"NBA#M.1553902272.A.44E#00009", "PlasmidDNA  ", "http//go.mewmew.xyz/?c=mew6 高清", "03/30 08:10", "0"
"NBA#M.1553902272.A.44E#00010", "basketball99", "Leader?天賦不能當飯吃", "03/30 08:10", "0"
"NBA#M.1553902272.A.44E#00011", "yu76        ", "3333333", "03/30 08:11", "0"
"NBA#M.1553902272.A.44E#00012", "terop       ", "節奏蠻快的", "03/30 08:12", "0"
"NBA#M.1553902272.A.44E#00013", "asd87878787 ", "https//i.imgur.com/425sX0B.jpg", "03/30 08:13", "0"
"NBA#M.1553902272.A.44E#00014", "zsp9081a    ", "防守紙巾化", "03/30 08:14", "0"
"NBA#M.1553902272.A.44E#00015", "IMISSA      ", "Curry那速度...扯", "03/30 08:16", "0"
"NBA#M.1553902272.A.44E#00016", "TFK822      ", "灰狼防守？", "03/30 08:17", "0"
"NBA#M.1553902272.A.44E#00017", "characterlu ", "這主持人可以", "03/30 08:18", "0"
"NBA#M.1553902272.A.44E#00018", "basketball99", "除非勇士今天三分球不準吧，才有可能故意放掉這場無關名次的比賽", "03/30 08:23", "1"
"NBA#M.1553902272.A.44E#00019", "ATand       ", "Curry可以放他弧頂但左右45度跟底角都不能放", "03/30 08:24", "0"
"NBA#M.1553902272.A.44E#00020", "bengowa     ", "樓上，事實是其他隊連弧頂也不敢放", "03/30 08:26", "0"
"NBA#M.1553902272.A.44E#00021", "ATand       ", "？吃T?講垃圾話就被T了...", "03/30 08:28", "0"
"NBA#M.1553902272.A.44E#00022", "IMISSA      ", "KD吃T", "03/30 08:28", "0"
"NBA#M.1553902272.A.44E#00023", "zsp9081a    ", "金州對穿腸？？", "03/30 08:30", "0"
"NBA#M.1553902272.A.44E#00024", "hipnos      ", "咖哩今天怎麼特別準，馬上一顆濫投XDDD", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00025", "willy10624  ", "Curry for 3333333", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00026", "IMISSA      ", "Curry 三分4/5，Iggy超帥啊", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00027", "IrvingKyrie ", "第一節4顆!!誰也沒想到CURRY會去擋人", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00028", "zsp9081a    ", "咖哩好像一直有打狼biff，buff", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00029", "CSLsong     ", "咖哩：敢嗆我們二哥KD，射爆你們", "03/30 08:33", "0"
"NBA#M.1553902272.A.44E#00030", "cidcheng    ", "今天的圍巾還滿強的說，打2 for 1不是濫投", "03/30 08:34", "0"
"NBA#M.1553902272.A.44E#00031", "LerVic      ", "他是搶一球", "03/30 08:34", "0"
"NBA#M.1553902272.A.44E#00032", "skygogo123  ", "好看", "03/30 08:34", "0"
"NBA#M.1553902272.A.44E#00033", "hipnos      ", "原來是這樣 做球給小AI", "03/30 08:35", "0"
"NBA#M.1553902272.A.44E#00034", "zsp9081a    ", "圍巾今天表現，該不會把勇士的隊徽看成雷霆了吧", "03/30 08:35", "0"
"NBA#M.1553902272.A.44E#00035", "ATand       ", "要是剛剛那顆長三分進了灰狼就崩潰惹", "03/30 08:35", "0"
"NBA#M.1553902272.A.44E#00036", "corner0111  ", "比分差不多  但灰狼守不住勇士跑的戰術", "03/30 08:35", "0"
"NBA#M.1553902272.A.44E#00037", "CSLsong     ", "表弟好猛～剛說完就被晃過爆扣==", "03/30 08:39", "0"
"NBA#M.1553902272.A.44E#00038", "andygreen   ", "吹起來", "03/30 08:41", "0"
"NBA#M.1553902272.A.44E#00039", "zsp9081a    ", "貝勒爺硬要跨==", "03/30 08:41", "0"
"NBA#M.1553902272.A.44E#00040", "Re74123     ", "今天阿銀坐旁邊 裁判不敢亂吹", "03/30 08:43", "0"
