"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1555201968.A.25B#00000", "kenny1300175", "08:23 2019/04/14 中時電子報 盧品青<br><br><br>Kevin Durant最近告訴《The Athletic》，其實他加盟勇士不全都是好事，他失去了很多<br>東西才換來這幾年的風光。「大家批評我抄捷徑，但我可是犧牲了不少，我還改變自己的<br>球風配合隊友。然而這一切是值得的，我才不在乎旁人說什麼鳥話。」<br><br><br>除了犧牲高額薪資以擠進勇士，Durant也失去了像LeBron James那種一夫當關的機會，他<br>必須節制出手以融入團隊攻擊。Durant坦承他有時候會羨慕老戰友James Harden一肩扛起<br>球隊的霸氣，「我希望打出那種成績的人是我。」<br><br><br>Durant本季場均26分、52%投籃命中率，最刻薄的球評亦難以否認他的勇猛，也看不出他<br>犧牲了什麼。但跟昔日雷霆老隊友相比就很明顯，Russell Westbrook平均大三元兼得分<br>王，Harden本季場均36.1分更是直追老皇帝Michael Jordan。<br><br><br>Westbrook猛刷數據、Harden瘋狂飆分都看得Durant心癢癢，他仍堅持絕不後悔，因為在<br>勇士隊的好處也是說不完的。「事實上這讓我更珍惜現況，我現在的打法非常安定，我不<br>需要每一場都拚命投籃才能讓大家注意到我。」比起天天燃燒小宇宙，每場可以跟隊友無<br>壓力射爆對手其實是幸福的事，日後他離開勇士肯定會想念這種感覺。<br><br><br><br>https://www.chinatimes.com/realtimenews/20190414000897-260403?chdtv<br><br>--<br>", "", ""
"NBA#M.1555201968.A.25B#00001", "kosoj6      ", "好了啦", "04/14 08:34", "0"
"NBA#M.1555201968.A.25B#00002", "zsp9081a    ", "看到中時有種懶得噓的感覺==", "04/14 08:34", "0"
"NBA#M.1555201968.A.25B#00003", "kai08130623 ", "犧牲什麼", "04/14 08:34", "0"
"NBA#M.1555201968.A.25B#00004", "starxls     ", "我抄捷徑 但我犧牲刷數據機會 大家不能罵我", "04/14 08:35", "0"
"NBA#M.1555201968.A.25B#00005", "misaka10032 ", "忍辱負重加入史上單季最多勝球隊，啊不就好委屈", "04/14 08:35", "0"
"NBA#M.1555201968.A.25B#00006", "funnyrain   ", "對 好委屈", "04/14 08:35", "0"
"NBA#M.1555201968.A.25B#00007", "tylerwang123", "品青", "04/14 08:35", "0"
"NBA#M.1555201968.A.25B#00008", "tottoko0908 ", "品青說得對!!", "04/14 08:36", "0"
"NBA#M.1555201968.A.25B#00009", "hsiung9     ", "太委屈", "04/14 08:36", "0"
"NBA#M.1555201968.A.25B#00010", "hunt5566    ", "wade：學屁學", "04/14 08:36", "0"
"NBA#M.1555201968.A.25B#00011", "m791017     ", "換來舒適", "04/14 08:37", "0"
"NBA#M.1555201968.A.25B#00012", "jackwelch   ", "犧牲自己的清白加入舒適圈，嗯", "04/14 08:37", "0"
"NBA#M.1555201968.A.25B#00013", "bengowa     ", "品青", "04/14 08:37", "0"
"NBA#M.1555201968.A.25B#00014", "ghostdeityj ", "我也不知道我是噓KD還是噓記者", "04/14 08:37", "0"
"NBA#M.1555201968.A.25B#00015", "WeGoYuSheng ", ",", "04/14 08:38", "0"
"NBA#M.1555201968.A.25B#00016", "ilovehebe   ", "不然去爛隊刷吧", "04/14 08:38", "0"
"NBA#M.1555201968.A.25B#00017", "LatteCat5566", "KD KD只拿到FMVP二連霸，犧牲很多", "04/14 08:38", "0"
"NBA#M.1555201968.A.25B#00018", "eric2057    ", "拿冠軍 好委屈", "04/14 08:38", "0"
"NBA#M.1555201968.A.25B#00019", "cooldragon  ", "好委屈 都沒得到東西嗎 給你偷了兩座冠軍 怎麼不快滾", "04/14 08:39", "1"
"NBA#M.1555201968.A.25B#00020", "holmes1000  ", "犧牲了錢和人格，真的很多", "04/14 08:39", "0"
"NBA#M.1555201968.A.25B#00021", "gold97972000", "品青", "04/14 08:39", "0"
"NBA#M.1555201968.A.25B#00022", "Kyrieisme   ", "太委屈~", "04/14 08:39", "0"
"NBA#M.1555201968.A.25B#00023", "arcss       ", "好啦好啦，跪舔犧牲真的很大啦~~~", "04/14 08:39", "0"
"NBA#M.1555201968.A.25B#00024", "st930324    ", "KD如果不想留，還有很多人在排隊等上車，不必得了，便宜還賣乖", "04/14 08:40", "0"
"NBA#M.1555201968.A.25B#00025", "irene15225  ", "到湖人你會犧牲更多", "04/14 08:41", "0"
"NBA#M.1555201968.A.25B#00026", "purplecoldly", "換隊阿", "04/14 08:41", "0"
"NBA#M.1555201968.A.25B#00027", "great5566   ", "好委屈喔 好啦 你好委屈喔", "04/14 08:41", "0"
"NBA#M.1555201968.A.25B#00028", "jior        ", "裝什麼清高！；", "04/14 08:41", "0"
"NBA#M.1555201968.A.25B#00029", "turkiali01  ", "乖寶寶", "04/14 08:42", "0"
"NBA#M.1555201968.A.25B#00030", "koflll      ", "不在乎旁人說什麼鳥話？XD 明明就表現的很在乎", "04/14 08:44", "0"
"NBA#M.1555201968.A.25B#00031", "tcc080206   ", "真是太委屈你了", "04/14 08:45", "0"
"NBA#M.1555201968.A.25B#00032", "ringtweety  ", "30隊裡 可以讓你一夫當關的隊伍多的是 那麼希望的話", "04/14 08:45", "1"
"NBA#M.1555201968.A.25B#00033", "ceremonial  ", "嘴上說不在乎卻一直回 可見KD很在乎", "04/14 08:45", "0"
"NBA#M.1555201968.A.25B#00034", "Jason0813   ", "KD KD真的不在乎旁人講什麼", "04/14 08:45", "0"
"NBA#M.1555201968.A.25B#00035", "garybawbaw  ", "得到更多 這不噓不行", "04/14 08:46", "0"
"NBA#M.1555201968.A.25B#00036", "ringtweety  ", "還加早就有冠有巨星Curry的勇士幹嘛", "04/14 08:47", "0"
"NBA#M.1555201968.A.25B#00037", "gp03dan     ", "戈巴契夫頭髮最長", "04/14 08:47", "0"
"NBA#M.1555201968.A.25B#00038", "ksk0516     ", "Curry情何以堪犧牲自己老大地位和FMVP.........", "04/14 08:47", "0"
"NBA#M.1555201968.A.25B#00039", "sivle01     ", "無恥", "04/14 08:50", "0"
"NBA#M.1555201968.A.25B#00040", "r05066      ", "犧牲很多，不然早就82勝了", "04/14 08:50", "0"
"NBA#M.1555201968.A.25B#00041", "s29961091   ", "哀真的無恥", "04/14 08:50", "0"
"NBA#M.1555201968.A.25B#00042", "peanut910013", "記者說人刷 台媒就是這樣才被人瞧不起", "04/14 08:51", "0"
"NBA#M.1555201968.A.25B#00043", "shower0713  ", "他媽的不爽不要加入！", "04/14 08:51", "0"
"NBA#M.1555201968.A.25B#00044", "RuleAllWorld", "KD：好多鳥，在說話", "04/14 08:52", "0"
"NBA#M.1555201968.A.25B#00045", "Kiermaier   ", "一隊兩個鑽95的失衡業力 必須要抱腿的承擔", "04/14 08:52", "0"
"NBA#M.1555201968.A.25B#00046", "sealin      ", "舒適", "04/14 08:53", "0"
"NBA#M.1555201968.A.25B#00047", "soleil99    ", "全世界NBA球迷的看球品質都被你影響了", "04/14 08:53", "0"
"NBA#M.1555201968.A.25B#00048", "alex0203cool", "跟這篇一樣都是假新聞 #1ShKutK8 原文就不是這樣說", "04/14 08:54", "1"
"NBA#M.1555201968.A.25B#00049", "aasaasaas947", "這不是之前就發過的假新聞了嗎", "04/14 08:54", "0"
"NBA#M.1555201968.A.25B#00050", "run978      ", "嗯", "04/14 08:54", "0"
"NBA#M.1555201968.A.25B#00051", "mystones    ", "KD KD犧牲很多陪小貓打球", "04/14 08:55", "0"
"NBA#M.1555201968.A.25B#00052", "suiminkusuri", "最後一段是記者在寫心得喔==", "04/14 08:55", "0"
"NBA#M.1555201968.A.25B#00053", "alonelykid  ", "品青的假新聞還一堆人幫忙酸 厲害了，而且還是之前就發過的笑死", "04/14 08:57", "0"
"NBA#M.1555201968.A.25B#00054", "freitaggg   ", "記者可以不要放自己的感想嗎", "04/14 08:57", "0"
"NBA#M.1555201968.A.25B#00055", "k33536      ", "KD KD犧牲很多 可是KD不說", "04/14 08:58", "0"
"NBA#M.1555201968.A.25B#00056", "sss0923     ", "委屈？", "04/14 08:59", "0"
"NBA#M.1555201968.A.25B#00057", "jiaching    ", "the 委屈", "04/14 09:02", "0"
"NBA#M.1555201968.A.25B#00058", "hectorbibby ", "這發言,應該真的走定了", "04/14 09:02", "0"
"NBA#M.1555201968.A.25B#00059", "rcf150cc    ", "$$$$$$$$$$$", "04/14 09:02", "0"
"NBA#M.1555201968.A.25B#00060", "RisingTackle", "KD球技沒話說，其它部分沒什麼好說的", "04/14 09:03", "0"
"NBA#M.1555201968.A.25B#00061", "harryrose01 ", "哪個智障還在轉貼盧品青這個低能兒寫的垃圾", "04/14 09:04", "0"
"NBA#M.1555201968.A.25B#00062", "manygod     ", "總冠軍意義遠大於個人數據", "04/14 09:04", "0"
"NBA#M.1555201968.A.25B#00063", "Raikkonen6  ", "要舒適圈奪冠也要舒適刷數據...這很好笑", "04/14 09:05", "0"
"NBA#M.1555201968.A.25B#00064", "s855160     ", "勇迷大概也都這樣的人", "04/14 09:05", "0"
"NBA#M.1555201968.A.25B#00065", "hhziyyy     ", "品青的小宇宙", "04/14 09:05", "0"
"NBA#M.1555201968.A.25B#00066", "Uchiha      ", "離開小舒適圈進入大舒適圈，犧牲很大", "04/14 09:05", "0"
"NBA#M.1555201968.A.25B#00067", "yaes111     ", "品青", "04/14 09:07", "0"
"NBA#M.1555201968.A.25B#00068", "moon963     ", "廢物 投敵", "04/14 09:08", "0"
"NBA#M.1555201968.A.25B#00069", "aaron97     ", "所以 整天轉些廢新聞是要？", "04/14 09:08", "0"
"NBA#M.1555201968.A.25B#00070", "MobyDick    ", "閉嘴，推錯，等等給噓", "04/14 09:09", "0"
"NBA#M.1555201968.A.25B#00071", "Costco5566  ", "實話阿　降薪ㄟ", "04/14 09:10", "0"
"NBA#M.1555201968.A.25B#00072", "MidoriG     ", "無恥", "04/14 09:15", "0"
"NBA#M.1555201968.A.25B#00073", "adad910     ", "噗", "04/14 09:17", "0"
"NBA#M.1555201968.A.25B#00074", "matsuwu     ", "拜託禁止分享中時", "04/14 09:19", "0"
"NBA#M.1555201968.A.25B#00075", "Jmarz0210   ", "阿杜休賽季來我湖不用再犧牲了", "04/14 09:19", "0"
"NBA#M.1555201968.A.25B#00076", "gamania5972 ", "康佛特波", "04/14 09:24", "0"
"NBA#M.1555201968.A.25B#00077", "Ralfchen0429", "戈巴契夫頭髮最長海珊最不愛打戰", "04/14 09:25", "0"
"NBA#M.1555201968.A.25B#00078", "xul4m4vu6666", "犧牲自己的良心跟朋友", "04/14 09:25", "0"
"NBA#M.1555201968.A.25B#00079", "bighorse0   ", "還好吧 形象跟人格而已", "04/14 09:26", "0"
"NBA#M.1555201968.A.25B#00080", "guesswho    ", "犧牲造就霸權，連三季無懸念的NBA", "04/14 09:26", "0"
"NBA#M.1555201968.A.25B#00081", "ja1295      ", "哦 好委屈哦", "04/14 09:26", "0"
"NBA#M.1555201968.A.25B#00082", "ea712918    ", "詹酸最愛這款", "04/14 09:27", "0"
"NBA#M.1555201968.A.25B#00083", "kevhu       ", "有原文連結嗎", "04/14 09:28", "0"
"NBA#M.1555201968.A.25B#00084", "sasori1027  ", "笑死", "04/14 09:30", "0"
"NBA#M.1555201968.A.25B#00085", "NMStars     ", ".......", "04/14 09:31", "0"
"NBA#M.1555201968.A.25B#00086", "AhirunoSora ", "兩篇一樣的假新聞 都是同一個人發的 心態可議XD", "04/14 09:32", "0"
"NBA#M.1555201968.A.25B#00087", "sept9048    ", "耳朵有時候會癢癢的 犧牲很大", "04/14 09:32", "0"
"NBA#M.1555201968.A.25B#00088", "whitezealman", ".................................", "04/14 09:33", "0"
"NBA#M.1555201968.A.25B#00089", "kismoe      ", "對這種記者的文章，鄉民也能高潮我也是笑了", "04/14 09:34", "0"
"NBA#M.1555201968.A.25B#00090", "gogohihi    ", "噓，笑你不敢離開", "04/14 09:41", "0"
"NBA#M.1555201968.A.25B#00091", "MobyDick    ", "噁心", "04/14 09:41", "0"
"NBA#M.1555201968.A.25B#00092", "DANOW       ", "噁", "04/14 09:44", "0"
"NBA#M.1555201968.A.25B#00093", "IPJ         ", "那塊去騎士", "04/14 09:44", "0"
"NBA#M.1555201968.A.25B#00094", "Foreveryears", "從被舔變成舔人 真的很犧牲", "04/14 09:45", "0"
"NBA#M.1555201968.A.25B#00095", "johnwu      ", "中時和KD 我選擇噓中時", "04/14 09:48", "0"
"NBA#M.1555201968.A.25B#00096", "leokoyo     ", "難怪大家要噓品青", "04/14 09:49", "0"
"NBA#M.1555201968.A.25B#00097", "Mei5566     ", "嘔嘔嘔嘔嘔，咖喱才犧牲吧", "04/14 09:51", "0"
"NBA#M.1555201968.A.25B#00098", "zlzooq      ", "不忍心", "04/14 09:52", "0"
"NBA#M.1555201968.A.25B#00099", "beric       ", "美國韓導？", "04/14 09:54", "0"
"NBA#M.1555201968.A.25B#00100", "janes00529  ", "噁", "04/14 09:54", "0"
"NBA#M.1555201968.A.25B#00101", "k952gfjk    ", "奇怪！可以留雷霆啊！你偏偏要投降！", "04/14 09:57", "0"
"NBA#M.1555201968.A.25B#00102", "pfw         ", "抱退的都這樣cc", "04/14 09:58", "0"
"NBA#M.1555201968.A.25B#00103", "d147258     ", "中時去捧韓禿就好了啦", "04/14 10:00", "0"
"NBA#M.1555201968.A.25B#00104", "lazo        ", "想學LBJ一輪遊嗎？", "04/14 10:00", "0"
"NBA#M.1555201968.A.25B#00105", "geminirx    ", "廢文", "04/14 10:00", "0"
"NBA#M.1555201968.A.25B#00106", "IWF         ", "唉，你都不知道我中樂透有多累，每天玩妹玩不玩", "04/14 10:00", "0"
"NBA#M.1555201968.A.25B#00107", "vincecarterx", "哦", "04/14 10:01", "0"
"NBA#M.1555201968.A.25B#00108", "Transfat    ", "中屎", "04/14 10:02", "0"
"NBA#M.1555201968.A.25B#00109", "u9596g12    ", "可以一次噓兩個 CP很高", "04/14 10:03", "0"
"NBA#M.1555201968.A.25B#00110", "Derrick906  ", "滾...", "04/14 10:04", "0"
"NBA#M.1555201968.A.25B#00111", "hulan5566   ", "https//i.imgur.com/58ZiJBZ.jpg", "04/14 10:05", "0"
"NBA#M.1555201968.A.25B#00112", "dannyzzz    ", "科科", "04/14 10:09", "0"
"NBA#M.1555201968.A.25B#00113", "alashih     ", "有點噁心", "04/14 10:12", "0"
"NBA#M.1555201968.A.25B#00114", "insominia   ", "好了啦", "04/14 10:12", "0"
"NBA#M.1555201968.A.25B#00115", "antony0310  ", "台灣記者很喜歡寫假新聞，沒救了", "04/14 10:13", "0"
"NBA#M.1555201968.A.25B#00116", "t340081231  ", "好委屈哦 加入太陽就可以刷好刷滿了啊 頂新給你你也不會去啦", "04/14 10:15", "1"
"NBA#M.1555201968.A.25B#00117", "jason0829   ", "純噓旺中集團", "04/14 10:15", "0"
"NBA#M.1555201968.A.25B#00118", "Betances    ", "好,可以滾了", "04/14 10:16", "0"
"NBA#M.1555201968.A.25B#00119", "WilMyers    ", "KD KD拿冠夠委屈", "04/14 10:16", "0"
"NBA#M.1555201968.A.25B#00120", "henry40616  ", "抱腿", "04/14 10:16", "0"
"NBA#M.1555201968.A.25B#00121", "flash031523 ", "無恥", "04/14 10:21", "0"
"NBA#M.1555201968.A.25B#00122", "perfect07117", "嘔嘔嘔", "04/14 10:21", "0"
"NBA#M.1555201968.A.25B#00123", "sunnyyoung  ", "只犧牲錢  人家犧牲了戰績", "04/14 10:23", "0"
"NBA#M.1555201968.A.25B#00124", "LETSGOCUBS  ", "抄捷徑拿冠就閉嘴 不要出來討噓", "04/14 10:24", "0"
"NBA#M.1555201968.A.25B#00125", "shyang72    ", "吃屎吧KD", "04/14 10:25", "0"
"NBA#M.1555201968.A.25B#00126", "shin30      ", "B嘴好好打球很難嗎", "04/14 10:26", "0"
