"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1556500727.A.AC0#00000", "kenny1300175", "08:10 2019/04/29 中時電子報 盧品青<br><br><br>火箭對勇士G1失利，最後關頭火箭落後3分，主將James Harden剩餘10秒時出手三分球，<br>被勇士Draymond Green撞倒在地。球沒進、哨音沒響，決定了火箭的失敗。稍早是火箭<br>Chris Paul出手被勇士Shaun Livingston撞倒，裁判亦視若無睹。<br><br><br>這是Harden致命弱點，他平常取分很大部分是依靠吸引犯規，只要哪場哨音不靈了，他的<br>麻煩就大了，特別是寸土必爭的季後賽。聯盟要求裁判確保投籃者著地的空間，禁止防守<br>球員給人「墊腳」以減少球員受傷，Harden有幾次明顯吃了悶虧，他落下時踩到防守者的<br>腳而跌倒，裁判也不甩他。<br><br><br>Harden賽後告訴休士頓媒體說：「我只求一個公平的競爭機會，我們都記得Kawhi Leonard<br>前幾年發生的事，裁判應該做好他們的工作。」Leonard 2017年季後賽落地時踩到勇士<br>Zaza Pachulia的腳，導致嚴重扭傷。<br><br><br>究竟是黑哨失靈還是裁判偏袒勇士，隔日的「裁判報告」或許可以還給Harden清白，不過<br>失去的勝利已經要不回來了。<br><br><br><br>https://www.chinatimes.com/realtimenews/20190429000862-260403?chdtv<br><br>--<br>", "", ""
"NBA#M.1556500727.A.AC0#00001", "NAGI        ", "品青", "04/29 09:19", "0"
"NBA#M.1556500727.A.AC0#00002", "JustDuHua   ", "這甚麼拉基記者", "04/29 09:19", "0"
"NBA#M.1556500727.A.AC0#00003", "kinve1014   ", "先噓", "04/29 09:19", "0"
"NBA#M.1556500727.A.AC0#00004", "hunder31    ", "品傾看來輸很大唷", "04/29 09:19", "0"
"NBA#M.1556500727.A.AC0#00005", "meipialoha  ", "這種人也敢當記者真的不知羞恥", "04/29 09:20", "0"
"NBA#M.1556500727.A.AC0#00006", "mikilin23   ", "看來是丐幫弟子?", "04/29 09:20", "0"
"NBA#M.1556500727.A.AC0#00007", "peanut910013", "有人可以教他怎麼用網路看看自己打球的動作嗎", "04/29 09:20", "0"
"NBA#M.1556500727.A.AC0#00008", "saintmin1002", "所以記者是指哈登平常打球是靠黑哨嗎LOL", "04/29 09:21", "0"
"NBA#M.1556500727.A.AC0#00009", "roberttony  ", "品青下多少？", "04/29 09:21", "0"
