"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1557070481.A.D2D#00000", "Nuclear5566", "Curry最後的死亡之灌灌死自己固然好笑<br><br>但好像都沒人討論前一個Green擋人偷出拐的動作<br><br>https://www.youtube.com/watch?v=v1hVhekoeGs#t=9m53s 影片9分53秒開始<br>很明顯Green已經側站要擋Rivers的橫向防守<br><br>正常退防繞過去應該不可能會有這麼大動作<br><br>影片雖然有點不清楚 但看起來是左手肘偷拐了一下<br><br>可能是因為Curry的死亡之灌讓大家笑慘了所以沒有注意到<br><br>但這動作實在有點不應該 板上前幾篇也有人發現Green差點又戳到登登的血輪眼<br><br>大家有沒有覺得Green越來越像包叔傳人...<br><br>這個出拐大家怎麼看?<br><br>--<br>", "", ""
"NBA#M.1557070481.A.D2D#00001", "ymca0135    ", "看轉播當下撞到就看到了，但484故意真的要看重播", "05/05 23:36", "0"
"NBA#M.1557070481.A.D2D#00002", "MrSatan     ", "笨拙之極之格林", "05/05 23:36", "0"
"NBA#M.1557070481.A.D2D#00003", "lf41001     ", "Jokic學師有成 強化版嘴綠", "05/05 23:37", "0"
"NBA#M.1557070481.A.D2D#00004", "skiro       ", "只是笨拙好嗎~~戳眼都不算什麼了，哪來的偷拐", "05/05 23:37", "0"
"NBA#M.1557070481.A.D2D#00005", "ATSEVEN     ", "影片不太清楚，卻可以說得那麼確定，綠黑們怎看", "05/05 23:37", "0"
"NBA#M.1557070481.A.D2D#00006", "Aggro       ", "拿冠軍就行了 剩下自然有人會幫腔護航", "05/05 23:38", "0"
"NBA#M.1557070481.A.D2D#00007", "alegoo      ", "上一場開血輪眼  這一場開萬花筒", "05/05 23:38", "0"
"NBA#M.1557070481.A.D2D#00008", "live147222  ", "沒怎麼看，乖乖用手捂檔部掩護就好", "05/05 23:38", "0"
"NBA#M.1557070481.A.D2D#00009", "jokerxl     ", "前面說很明顯 後面又說影片看不清楚 那你怎知很明顯比賽後面有重播 很明顯 dg完全沒動", "05/05 23:40", "1"
"NBA#M.1557070481.A.D2D#00010", "fish20730   ", "學金塊寄影片指控馬刺啊", "05/05 23:40", "0"
"NBA#M.1557070481.A.D2D#00011", "live147222  ", "小河最後幾秒在地上起不來，賽後也對頸部做了針灸", "05/05 23:40", "0"
"NBA#M.1557070481.A.D2D#00012", "jokerxl     ", "更正一下 我誤會你的很明顯跟看不清楚的客體了，不過講真的啦 這個版認真想討論的也不多 哈哈", "05/05 23:42", "0"
"NBA#M.1557070481.A.D2D#00013", "callbe      ", "加減演一下阿 讓綠嘴被禁賽", "05/05 23:42", "0"
"NBA#M.1557070481.A.D2D#00014", "callme76    ", "說不清楚又說看起來是 錯亂？", "05/05 23:43", "0"
"NBA#M.1557070481.A.D2D#00015", "danms       ", "看重播是小河自己撞上去的啊...", "05/05 23:43", "0"
"NBA#M.1557070481.A.D2D#00016", "tom7541     ", "https//youtu.be/mG44SmdunKY 補不同角度review，主播是說good screen啦", "05/05 23:44", "0"
"NBA#M.1557070481.A.D2D#00017", "ShockG      ", "早上記得看到重播嘴綠沒動耶，重播就是上面tom大的內容 嘴綠沒有動啊", "05/05 23:45", "0"
"NBA#M.1557070481.A.D2D#00018", "wpd         ", "超徹底完全沒動啊 連手都沒動，手也是貼者身體  這根本奇蹟 現在哪找這麼純的掩護", "05/05 23:45", "0"
"NBA#M.1557070481.A.D2D#00019", "kaga1991    ", "惡名昭彰不代表可以誣賴吧，而且小河還目送咖哩上籃 結束才再旁邊倒", "05/05 23:46", "0"
"NBA#M.1557070481.A.D2D#00020", "jyekid      ", "合法的掩護", "05/05 23:47", "0"
"NBA#M.1557070481.A.D2D#00021", "k450012     ", "看到綠先黑一波再說", "05/05 23:47", "0"
"NBA#M.1557070481.A.D2D#00022", "callme76    ", "應該、看起來", "05/05 23:47", "0"
"NBA#M.1557070481.A.D2D#00023", "DDDDing     ", "這掩護很合法吧", "05/05 23:48", "0"
"NBA#M.1557070481.A.D2D#00024", "ryo166      ", "你可能該換副眼鏡了", "05/05 23:48", "0"
"NBA#M.1557070481.A.D2D#00025", "cp3bg32     ", "Good screen by a dirty man", "05/05 23:49", "0"
"NBA#M.1557070481.A.D2D#00026", "pippen2002  ", "就廢物隊伍廢物球員啊! 他有MVP過嗎/??/", "05/05 23:49", "0"
"NBA#M.1557070481.A.D2D#00027", "ATSEVEN     ", "tom的影片綠黑會以鷹眼鑑定有動了0.5公分，嘴綠是故意的", "05/05 23:50", "1"
"NBA#M.1557070481.A.D2D#00028", "WJ          ", "看到綠色, 自動化「先畫靶再射箭」??", "05/05 23:51", "0"
"NBA#M.1557070481.A.D2D#00029", "curtismaniac", "16北卡小雞不雷的話 嘴綠還真的會有FMVP咧", "05/05 23:52", "0"
"NBA#M.1557070481.A.D2D#00030", "JustWinslow ", "這個還好 他一定往要害攻擊 這個小case", "05/05 23:52", "0"
"NBA#M.1557070481.A.D2D#00031", "KillLakers  ", "當然沒人討論  因為只有你以為有出拐阿...........", "05/05 23:52", "1"
"NBA#M.1557070481.A.D2D#00032", "JHCh        ", "乾淨的掩護只因為是嘴綠就硬黑說不過去", "05/05 23:52", "0"
"NBA#M.1557070481.A.D2D#00033", "armageddonwa", "鬍子受訪時眼睛真紅。真巧，兩個姆斯輪流被同一人戳", "05/05 23:52", "1"
"NBA#M.1557070481.A.D2D#00034", "storyofwind ", "有沒有看比賽啊，這個超clean", "05/05 23:53", "0"
"NBA#M.1557070481.A.D2D#00035", "chunyo0229  ", "這次 嘴臉站的很乾淨 你可以自己在內文澄清一下", "05/05 23:53", "0"
