"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1557563895.A.645#00000", "liveforhappy", "我覺得NBA最好看的有三個時期<br><br>第一是2000年前後<br><br>當時人才輩出<br><br>有馬刺雙塔Tim Duncan+David Robinson<br><br>西區有另一個21號長人 Kevin Garnett<br><br>但別忘了Allen Iverson虎視眈眈<br><br>話雖如此但還是湖人巔峰Kobe Bryant搭配俠客Oneal的組合最強勢<br><br><br>第二時期是Kobe獨領風騷<br><br>大概2004-2006附近<br><br>雖然湖人戰績不佳<br><br>但Kobe打出了許多驚人紀錄<br><br>最難忘當然是2005/01的那場81精神<br><br>而小皇帝LBJ,甜瓜,Wade也正逐步站穩腳步<br><br><br>第三個好看時期就是後Kobe時期<br><br>也就是LBJ稱霸聯盟的時期<br><br>在熱火拿下了二連霸<br><br>又回克里夫蘭為家鄉奪下偉大的一冠<br><br><br>總之<br><br>以前的NBA真的非常好看<br><br>現在的完全提不起勁<br><br>不知道大家也會這樣嗎<br><br>有沒有相關分析或球評探討各時期NBA各自的精彩度？<br><br>--<br>", "", ""
"NBA#M.1557563895.A.645#00001", "kilmmy149   ", "月經文", "05/11 16:38", "0"
"NBA#M.1557563895.A.645#00002", "CiaoMei     ", "每次勇士晉級 贏球 就有這種文", "05/11 16:38", "0"
"NBA#M.1557563895.A.645#00003", "w9          ", "月經FB文給箭頭", "05/11 16:38", "0"
"NBA#M.1557563895.A.645#00004", "zaqw641125  ", "好了啦系際哥", "05/11 16:39", "0"
"NBA#M.1557563895.A.645#00005", "pigmai5207  ", "現在的球風妹子才買單阿", "05/11 16:39", "0"
"NBA#M.1557563895.A.645#00006", "manuginobii ", "還是系際盃最好看", "05/11 16:39", "0"
"NBA#M.1557563895.A.645#00007", "puro        ", "你怎麼不會用走的去耕田 以前的時代那麼好", "05/11 16:39", "0"
"NBA#M.1557563895.A.645#00008", "Darvish5566 ", "好了啦湖迷", "05/11 16:39", "0"
"NBA#M.1557563895.A.645#00009", "chk95       ", "一分登好看啊，花式要犯", "05/11 16:40", "0"
"NBA#M.1557563895.A.645#00010", "bleach2142  ", "時間到囉 該吃藥了", "05/11 16:40", "0"
"NBA#M.1557563895.A.645#00011", "IbmabRE     ", "可以不要看，更不用發有沒有人廢文", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00012", "alexis7682  ", "那你覺得未來的NBA好看嗎?", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00013", "keanjaz     ", "月經文　個人的主觀感受請自行消化", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00014", "ai1robert   ", "滾啦", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00015", "tottoko0908 ", "笑死", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00016", "dragon2000  ", "別這樣，很難看", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00017", "charlie01   ", "對 只有你。......好啦 我也覺得 但發這種文沒有意義", "05/11 16:41", "0"
"NBA#M.1557563895.A.645#00018", "lickllll    ", "這季季後賽明明超有趣", "05/11 16:42", "0"
"NBA#M.1557563895.A.645#00019", "live147222  ", "其實這問題不會太廢，客觀來講收視率就是下降了", "05/11 16:42", "0"
"NBA#M.1557563895.A.645#00020", "k1012ken    ", "你被桶比較好看", "05/11 16:42", "0"
"NBA#M.1557563895.A.645#00021", "william806  ", "沒有", "05/11 16:43", "0"
"NBA#M.1557563895.A.645#00022", "BoYuYou     ", "我覺得Bill Russell那時代最好看！", "05/11 16:43", "0"
"NBA#M.1557563895.A.645#00023", "rismy1213   ", "現在運球華麗花俏，以前跟機器人一樣，難看", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00024", "mouscat     ", "大概是今天射的484又不夠婉轉 看不下去", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00025", "rukawa28    ", "我覺得陵南對湘北那時候比較好看", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00026", "lickllll    ", "這問題就是太廢", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00027", "hihinight   ", "沒什麼好比較的", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00028", "qkevin11    ", "你可以不要看..", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00029", "alonelykid  ", "好了啦", "05/11 16:44", "0"
"NBA#M.1557563895.A.645#00030", "NewShiisDog ", "有沒有人覺得這篇文很廢", "05/11 16:45", "0"
"NBA#M.1557563895.A.645#00031", "pulplover   ", "你484覺得個板最好看", "05/11 16:45", "0"
"NBA#M.1557563895.A.645#00032", "poyiLiu     ", "我還是愛看你系際六投四中的三分", "05/11 16:45", "0"
"NBA#M.1557563895.A.645#00033", "DChun       ", "慢走", "05/11 16:46", "0"
"NBA#M.1557563895.A.645#00034", "wake00005   ", "雙塔馬刺超難看", "05/11 16:46", "0"
"NBA#M.1557563895.A.645#00035", "poyiLiu     ", "啊說錯是五投四中，小的看球果然多夠深入，補噓回，來", "05/11 16:47", "0"
"NBA#M.1557563895.A.645#00036", "cado0824    ", "Kobe跟shap整個季後賽只有一敗 比現在的勇士還碾壓你在那邊提...", "05/11 16:48", "1"
"NBA#M.1557563895.A.645#00037", "skywalkery  ", "沒提到紅色23號", "05/11 16:48", "0"
"NBA#M.1557563895.A.645#00038", "warm0808    ", "講一堆沒重點的還不是一堆球星", "05/11 16:48", "0"
"NBA#M.1557563895.A.645#00039", "crusoe      ", "也沒交代為什麼現在的不好看？", "05/11 16:49", "0"
"NBA#M.1557563895.A.645#00040", "simplesingle", "很多吧 我身邊朋友同學都沒有在看了", "05/11 16:49", "0"
"NBA#M.1557563895.A.645#00041", "hiyida      ", "舉這些例子...", "05/11 16:50", "0"
"NBA#M.1557563895.A.645#00042", "ebabyebaby  ", "我們看的是一樣的NBA?尤其馬刺活塞冠軍賽難看到暴", "05/11 16:51", "0"
"NBA#M.1557563895.A.645#00043", "op520ptt    ", "今天到底會讓多少人走不出來", "05/11 16:51", "0"
"NBA#M.1557563895.A.645#00044", "aduijjr     ", "雲古人是你?", "05/11 16:51", "0"
