"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560140352.A.0F7#00000", "chenchenje", "你好<br>其實這篇文章我也有查到<br>而且那個字也應該是fuckboy而不是fucked boy<br>至於Fuckboy究竟是什麼意思<br>有沒有污辱到人家的媽媽？<br><br>網路上隨便查的：<br>1. A person who is a weak ass pussy that ain’t bout shit.<br>來源：https://thoughtcatalog.com/melanie-berliet/2016/04/27-hilarious-ways-to-<br>explain-exactly-what-a-fuckboy-is/<br><br>2. Asshole boy who is into strictly sexual relationships.<br>來源：https://www.google.com.tw/amp/s/www.urbandictionary.com/define.php%3fter<br>m=fuckboy&amp=true<br><br>基本上就是罵男生非常難聽的字眼<br>跟女生的slut差不多<br>但就是沒有問候到別人媽媽的意思<br>要打臉也不是這樣隨便查就隨便貼吧<br>這樣不是又是一篇帶風向？<br>我從頭到尾沒有要護航嘴綠做過的各種行為<br>但這種不查證隨意指控他人的行為竟因為風向對了可以被如此推崇<br>我真的很無言<br>然後我也不想再繼續這個話題了<br>後續你們要繼續試著打臉我就繼續吧<br><br>--<br>", "", ""
"NBA#M.1560140352.A.0F7#00001", "Dorae5566   ", "幹你娘跟操你媽的差別，我懂", "06/10 12:21", "0"
"NBA#M.1560140352.A.0F7#00002", "smile5566   ", "台灣蛹迷又在教美國人英文惹好棒", "06/10 12:21", "0"
"NBA#M.1560140352.A.0F7#00003", "energyy1104 ", "還不是一樣沒水準 有差嗎", "06/10 12:22", "0"
"NBA#M.1560140352.A.0F7#00004", "kem0606     ", "不想繼續這個話題 還是回一篇 呵呵", "06/10 12:22", "0"
"NBA#M.1560140352.A.0F7#00005", "vinex518    ", "沒罵到媽媽 0輪詹還跨別人 真的沒水準", "06/10 12:22", "0"
"NBA#M.1560140352.A.0F7#00006", "jyekid      ", "認真回就給推 比一堆只會謾罵好多了", "06/10 12:22", "0"
"NBA#M.1560140352.A.0F7#00007", "live147222  ", "姆斯0輪", "06/10 12:24", "0"
"NBA#M.1560140352.A.0F7#00008", "scottham    ", "所以你是想說嘴綠真他媽尊重對手對吧?", "06/10 12:24", "0"
"NBA#M.1560140352.A.0F7#00009", "longing2046 ", "別跟他們認真拉 就是想酸而已", "06/10 12:24", "0"
"NBA#M.1560140352.A.0F7#00010", "funnyrain   ", "只是個髒話沒事兒 沒事兒 -THE跨天理不容罪不容誅", "06/10 12:24", "1"
