"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560227276.A.DE5#00000", "kimiya1", "※ 引述《fack3170 (Jくん)》之銘言：<br>: “下半場對我們來說很難，但我們挺住了。Klay（Thompson）命中了好幾個至關重要的球，<br>: DeMarcus（Cousins）也有幾分鐘非常精彩，Draymond (Green)像往常一樣靠譜，我們找到<br>: 了挺下來的方法。我們能贏下這一場，把比賽帶回主場。我們同樣要為Kevin Durant祈禱，<br><br>KD這場貢獻了11分鐘的上場時間，和得了11分<br><br>但有看比賽的人就知道，勇士這一場能拿下，跟KD沒什麼關係啊<br><br>這一場球勇士是在沒有KD的狀況下<br><br>第四節克服了落後6分的劣勢，逆轉了暴龍<br><br>就如同Curry所說的<br><br>Klay（Thompson）、DeMarcus（Cousins）、Draymond (Green)和Curry自己<br><br>是這一場逆轉勝的重要關鍵<br><br>KD在的時候是錦上添花，但能在比賽結束前，從落後的劣勢逆轉回來的<br><br>就是沒有KD的原來的勇士，也就說明了勇士要贏球，不是靠KD，是靠自己<br><br>--<br>", "", ""
"NBA#M.1560227276.A.DE5#00001", "maxmessi    ", "這篇很有味道", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00002", "CMPunk      ", "反串好了啦 這麼爛的反串我都看不下去", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00003", "Sornecronoc ", "喔喔 是不是少算了11分", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00004", "g27834618   ", "？？", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00005", "PTThotspring", "感謝KD 感謝勇士的所有人，一堆人無腦黑", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00006", "parappa     ", "還不是靠KD", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00007", "incKevin    ", "a 一下ID不意外", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00008", "xsdferty035 ", "10分我給5分", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00009", "kissmy      ", "11分不是貢獻喔?", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00010", "xsmileman   ", "沒kd第一節大概會落後兩三分", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00011", "surreallin  ", "ㄛㄅ", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00012", "jimli       ", "最好沒關係 就是靠一開始打下的領先讓暴龍苦追", "06/11 12:28", "0"
"NBA#M.1560227276.A.DE5#00013", "benson1212  ", "反串夠了吧", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00014", "guardian128 ", "反串", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00015", "alan1943    ", "反串失敗", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00016", "amaru03     ", "11分誰來補", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00017", "saisai34    ", "今年curry拿FMVP應該是沒問題了", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00018", "roy31317    ", "看這篇還以為勇士贏超過11分 不需要KD的11分", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00019", "chuan1330   ", "要反串也有梗一點", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00020", "m122e       ", "原來勇士贏暴龍12分以上啊 扣掉KD沒差吼?", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00021", "flame1983   ", "給2", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00022", "coiico      ", "原來是擅長落井下石的道友啊", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00023", "nancy0803   ", "反串", "06/11 12:29", "0"
"NBA#M.1560227276.A.DE5#00024", "coffee112   ", "最好跟KD沒關係辣", "06/11 12:30", "0"
