"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560391048.A.78D#00000", "ptt888", "杜蘭特傷退深受打擊 柯爾堅持復出決定無誤<br><br>2019-06-13 09:29聯合報 / 記者劉肇育╱即時報導<br><br><br>儘管在球隊明星前鋒杜蘭特（Kevin Durant）再度倒在球場上後，承受了來自各界的批評<br>與壓力，但金州勇士主帥柯爾（Steve Kerr）在今天（13號）杜蘭特進行完手術後強調，<br>當初做出讓杜蘭特上場的決定是整個團隊與杜蘭特本人都參與的決策，即使現在時光倒流<br>到第五戰前，他們仍會做出相同決定。<br><br>勇士在今年季後賽期間飽受傷病所苦，讓球團與柯爾都選擇保守應對，甚至在第三戰做出<br>讓湯普森（Klay Thompson）養傷一戰的決定時，柯爾都曾對外強調，如果因讓球員帶傷<br>上陣導致二度傷害，將會讓他後悔一輩子。<br><br>但這樣的悲劇仍發生在總冠軍賽第五戰與杜蘭特身上，讓柯爾與勇士團隊氣氛一度陷入低<br>迷，在今天受訪時柯爾首先談到了杜蘭特傷勢狀況，「我們過去幾天擔心的事果然應驗了<br>，每個人都對於他的傷勢感到相當懊惱。這是一次災難性的傷勢，不僅是對於杜蘭特，還<br>對我們隊醫造成沈重的打擊，他是我認識最聰明且最善良的人」。<br><br>柯爾強調，杜蘭特在第五戰帶傷上陣，是包括杜蘭特本人與其經紀團隊，以及勇士醫療團<br>隊、外部醫療團隊、勇士顧問團所共同做出的決定，所以即使時光倒流到第五戰賽前，他<br>們仍會做出讓杜蘭特上場的相同決定。<br><br>「從現在的結果來看當時的決定，是一件相當容易的事情，但因為當時我們收到的訊息，<br>所有人都認為最糟的狀況就是小腿二度拉傷」，談到做出讓杜蘭特復出的決定時，柯爾說<br>：「那一刻杜蘭特的出賽是被允許的，他也很釋然，不過後續的結果顯然讓所有人五雷轟<br>頂，如果知道阿基里斯腱受傷是一種可能性，我們肯定不會允許他付出。」<br><br>https://nba.udn.com/nba/story/6780/3868913<br><br>--<br>", "", ""
"NBA#M.1560391048.A.78D#00001", "fedona      ", "勇士日常", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00002", "YiJianLian  ", "可以復出啊 但你他媽先發操他操成這樣？", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00003", "sesd        ", "翻譯 反正腿不是我的", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00004", "jordan1109  ", "擁有專業的醫療團隊真的會不知道這種風險嗎…", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00005", "paul5566    ", "黑到發亮惹你", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00006", "gtoselina   ", "決定無誤^^", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00007", "justinwuu   ", "Kd真的被當打工仔qq", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00008", "hayabusa2004", "也覺得還好 但應該板凳不操才對", "06/13 09:58", "0"
"NBA#M.1560391048.A.78D#00009", "ray2501     ", "可以做這決定，但是你不能當 KD 無傷這樣操，好嗎？", "06/13 09:59", "1"
"NBA#M.1560391048.A.78D#00010", "l8652012    ", "本來就還好 到底在噁心什麼的我看不懂", "06/13 09:59", "0"
