"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560396166.A.AFB#00000", "KyrieIrving1", "Curry：傷病難以接受，但相信管理層是考慮球員最大的利益<br><br>虎撲6月13日訊<br><br>勇士前鋒kevin durant今日在Instagram上宣布自己已經成功接受手術，修覆斷裂的右腳跟腱。<br><br>勇士後衛stephen curry在接受采訪時談到了在G5前所有人（KD本人、KD的經紀團隊、勇士的醫療團隊、外部的醫療團隊、勇士外部的顧問團隊）都同意KD可以出場：“一天有24個小時，關於此事，會有很多人有很多不同的看法。<br><br>我了解KD，我知道他的想法。我們都想上場比賽，如果我們有機會能夠出場，（就算是帶傷）我們都會想要去上場。<br><br>這是競爭者都會有的想法，尤其是在總決賽的舞台上。”<br><br>“我相信勇士的醫療團隊，鮑勃-邁爾斯會考慮所有球員最大的利益，不僅僅是系列賽，而是長期職業生涯的健康。<br><br>你們都看到，在KD受傷後的發布會上，他是多麽的難受，那是本能的真情流露。<br><br>你可以浪費時間討論‘如果……會怎麽樣’，傷病是難以讓人接受的操蛋的事情，但這也是比賽的一部分，傷病也將繼續成為比賽的一部分。”<br><br>此前庫裏在接受采訪時表示“全隊都會作為常人、朋友和隊友，在他的傷病恢覆期間關懷並陪伴他”。<br><br><br>https://voice.hupu.com/nba/2442554.html<br><br><br>Curry開口了<br><br>挺管理階層 0.0<br><br>--<br>", "", ""
"NBA#M.1560396166.A.AFB#00001", "GGxyz       ", "挺錯邊囉 樓下開噴，這聲明真的母湯了", "06/13 11:23", "0"
"NBA#M.1560396166.A.AFB#00002", "Monetelliz  ", "反正KD放出去是大威脅，不如毀在自己手裡，是嗎？", "06/13 11:23", "0"
"NBA#M.1560396166.A.AFB#00003", "sujima56    ", "真得噁心耶!", "06/13 11:23", "0"
"NBA#M.1560396166.A.AFB#00004", "IBIZA       ", "我們會關懷KD，但相信管理層是考慮球員最大的利益", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00005", "openbestbook", "噴", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00006", "vagr8       ", "球隊最大利益", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00007", "OOorc       ", "總管有考慮kd的最大利益嗎？curry還在護航", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00008", "hsiung9     ", "管理層不敢喊頂薪簽約KD 都是廢話而以", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00009", "Aggro       ", "球員利益? 哪些球員的利益?", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00010", "a12345675678", "噁心", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00011", "coollonger  ", "打工仔怎能跟親生子比，你湯咖哩一定都是保護到家", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00012", "joulin      ", "是球隊利益 不是球員利益", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00013", "ABuJiuHaoBun", "保護KT呵護被備至呢", "06/13 11:24", "0"
"NBA#M.1560396166.A.AFB#00014", "bighat0413  ", "球員最大利益！ya", "06/13 11:25", "0"
"NBA#M.1560396166.A.AFB#00015", "NEKOWORKi   ", "球員利益 再來看魯尼G6上不上啊 就別打自己臉", "06/13 11:25", "0"
"NBA#M.1560396166.A.AFB#00016", "justin521   ", "KD是打工仔 KT是自己養的 誰是親兒子誰是領養的很，明顯", "06/13 11:25", "0"
"NBA#M.1560396166.A.AFB#00017", "g27834618   ", "嘻嘻 風向不對 下去", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00018", "bada        ", "傻 就是因為有錯才第一時間哭 這件事一定會有人滾", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00019", "duncan77008 ", "我真的快被這咖笑死 KT跟KD兩個活生生例子就在那啦就說君子劍了還有人看不清", "06/13 11:26", "1"
"NBA#M.1560396166.A.AFB#00020", "Superted    ", "越描越黑了", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00021", "newtypeL9   ", "反正都是隊醫的鍋", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00022", "jinx55123   ", "球員最大利益 = 受傷回來操好操滿", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00023", "walter741225", "就看魯尼會不會是下一個粉身碎骨的，這個就親兒子出來說我拔拔不會偏心 對大家都很好", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00024", "mark5814    ", "哈哈外來種跟親兒子的區別，真是有夠噁心", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00025", "tobu        ", "睜眼說瞎話 是球團最大利益", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00026", "l2l         ", "用一個球員的犧牲換全隊球員和球團的最大利益才對", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00027", "FatalLuna   ", "KD的最大利益???", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00028", "paul5566    ", "總管、kerr、柯鋁…一定遭受很多非難,花這麼多篇幅解釋,壓力一定很大,應該有套好招對外怎麼發言惹", "06/13 11:26", "1"
"NBA#M.1560396166.A.AFB#00029", "liuuuuuu    ", "風向不對 還是別講話好了", "06/13 11:26", "0"
"NBA#M.1560396166.A.AFB#00030", "gibbs1286   ", "為了球隊，KD你還是吞了吧", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00031", "proter      ", "我就看看明天魯尼會不會上  球員利益", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00032", "indies      ", "我為我們的健康道歉", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00033", "kevin4919   ", "君子賤", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00034", "akon2       ", "迷迷們的實質領袖，把最粗的腿都給抱斷了", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00035", "OOorc       ", "只有小AI說人話.....勇士隊怎麼會變這樣", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00036", "xichen0326  ", "？", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00037", "steve91240  ", "血統錯誤QQ", "06/13 11:27", "0"
"NBA#M.1560396166.A.AFB#00038", "dwiee       ", "考慮球員利益對啊，是不是KD的就不好說了", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00039", "justin521   ", "先猜勇士今年不會頂薪續kd 端大約給綠 kd要跳出就，跳出", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00040", "joulin      ", "小AI本來就最挺KD 當初他就認為KD不該出場，還有 KD受傷走回去 小AI一路扛著KD的肩膀超級甘心", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00041", "NiuBi5566   ", "考量球隊最大利益吧 噁心", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00042", "sidney78    ", "噁心", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00043", "king04569   ", "今天換成curry這樣 球團會放人去打嗎？", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00044", "LKN555      ", "勇士就只有一個人有良心嗎......", "06/13 11:28", "0"
"NBA#M.1560396166.A.AFB#00045", "bobyacool   ", "果然科鋁在kd受傷的時候 跟上去陪他 是良心不安啊", "06/13 11:29", "0"
"NBA#M.1560396166.A.AFB#00046", "indies      ", "小AI真的是勇士最後的良心了", "06/13 11:29", "0"
"NBA#M.1560396166.A.AFB#00047", "coollonger  ", "小AI也是到處打工的老江湖 比較懂得保護自己，對KD也比較同理心吧", "06/13 11:29", "0"
"NBA#M.1560396166.A.AFB#00048", "NiuBi5566   ", "感覺整隊只有小AI比較像正常人 也是他扶KD下場", "06/13 11:30", "0"
"NBA#M.1560396166.A.AFB#00049", "iwilltry    ", "來了 一輸球本性就露出來了 跟他當初護航ZAZA有夠像", "06/13 11:30", "1"
"NBA#M.1560396166.A.AFB#00050", "toeic900    ", "讓KT上場導致其受傷我永遠不能原諒自己。是kd喔那，直接上好上滿也不用打高強度復建賽沒關係的啦", "06/13 11:30", "0"
