"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560408365.A.C3E#00000", "kenbo", "連結:https://www.nownews.com/news/20190613/3438637/<br><br>標題:NBA／勇士主帥：就算再選一次還是會讓KD上場<br><br>記者黃建霖／綜合報導 - 2019-06-13 08:10:11<br><br>超級球星「KD」Kevin Durant確定跟腱斷裂，震撼體壇，而勇士也成為眾矢之的。不過根<br>據勇士隨隊記者Anthony Slater報導，勇士總教練Steve Kerr表示，如果再讓他選一次，<br>他還是會這麼做。<br><br>勇士因為陣中出現多名傷兵，因此在和暴龍的系列賽中陷入了苦戰，第5戰開打前已經處<br>於1:3的淘汰邊緣，而在隊醫評估不會有進一步風險的情況下，球團決定讓Durant上場。<br><br>而Durant在首節也的確展現他可怕的得分能量，上場12分鐘就拿到了11分，幫助勇士取得<br>領先。但在第2節悲劇卻突然發生，Durant在一次過人中受傷，隨即倒地離場，在前往紐<br>約進行核磁共振檢查後確認是跟腱斷裂，恐將危及職業生涯。<br><br>Kerr並不是冷血無情之人，事實上在過去他也多次表示絕不會讓Durant在傷還沒好的情況<br>下勉強復出，但他受訪時表示，結合所有球團人員的意見，包括一名球團之外的顧問，都<br>認為Durant上場所承受的最大風險就是小腿再次拉傷，而不會危及跟腱，因此在這種情況<br>下，他是一定會讓後者打的。<br><br>實際上Durant也坦承自己非常想打這一場球，因為他很想幫助球隊完成三連霸，也在勇士<br>第5戰獲勝後，在IG上發文表示為球隊感到高興。<br><br>當記者問Kerr如果回到當時還會不會讓Durant上場時，Kerr認真的表示：「我們會不會再<br>這麼做一次？當然會。」<br><br><br>心得:2019/6/6---Kerr:如果我讓KT上場導致其受傷，我永遠不能原諒自己<br>     2019/6/12--Kerr:就算再選一次還是會讓KD上場<br><br>KD:............(第一次不知道要說什麼)<br><br>--<br>", "", ""
"NBA#M.1560408365.A.C3E#00001", "EMSOK       ", "沒辦法  T 跟 D 血統就是差很多", "06/13 14:46", "0"
"NBA#M.1560408365.A.C3E#00002", "Costco5566  ", "嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔嘔", "06/13 14:46", "0"
"NBA#M.1560408365.A.C3E#00003", "vltw5v      ", "KDKD................", "06/13 14:46", "0"
"NBA#M.1560408365.A.C3E#00004", "ChuuBou     ", "KD：再一次，我一定選擇不上", "06/13 14:47", "0"
"NBA#M.1560408365.A.C3E#00005", "fack3170    ", "????", "06/13 14:47", "0"
"NBA#M.1560408365.A.C3E#00006", "providence  ", "所以該鞭這些評估的人員?最大風險是小腿再次拉傷?現在看到肌腱斷裂一定是平行宇宙的事?", "06/13 14:47", "0"
"NBA#M.1560408365.A.C3E#00007", "joulin      ", "柯不悔", "06/13 14:47", "0"
"NBA#M.1560408365.A.C3E#00008", "icwf        ", "就算再選一次 我還是要讓KD斷腳筋!!", "06/13 14:47", "0"
"NBA#M.1560408365.A.C3E#00009", "shifa       ", "Kerr不悔", "06/13 14:48", "0"
