"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560506420.A.B7A#00000", "wilbura", "NBA 總冠軍賽第六戰勇士隊將士用命，拼戰精神令人動容，卻還是不敵暴龍，三連霸夢碎<br>。而在第三節又傳出傷兵消息，勇士後衛 Klay Thompson 在一次快攻中以一個非常詭異<br>的姿勢扭到了左膝，雖然隨後回到場上完成兩次罰球，但經過評估後確定不會回到場上。<br><br>賽後診斷出爐——沒錯，前十字韌帶撕裂。<br><br>https://i.imgur.com/RQMqwm7.jpg<br>先來讓我們看看 Thompson 受傷的片段，特別注意1:10-1:38慢動作的部分。<br><br>https://youtu.be/mbRF5w5v21k<br>然後記住這兩個畫面。<br><br>https://i.imgur.com/NCHHHl8.jpg<br>如果有興趣這樣的動作跟前十字韌帶撕裂之間的關係，不妨可以回顧一下我們前陣子在版<br>上PO的文章喔！－「新版飆風玫瑰的完美落地」<br>或是我們在運動視界寫的這篇文章：https://www.sportsv.net/articles/59290<br><br>看完本篇之後你就會知道 Thompson 為何受傷，以及這兩個動作有多恐怖了！<br><br>==============================================================================<br><br>我是達斯，一位熱愛棒球的運動物理治療師，談論各種運動傷害與提升運動表現的方式。<br><br>--<br>", "", ""
"NBA#M.1560506420.A.B7A#00001", "jyekid      ", "亂親阿翔?", "06/14 18:00", "0"
"NBA#M.1560506420.A.B7A#00002", "kilolima    ", "https//i.imgur.com/Q9a60IF.jpg", "06/14 18:01", "0"
"NBA#M.1560506420.A.B7A#00003", "dragon803   ", "標題可能要改一下，分享改討論(?", "06/14 18:01", "0"
"NBA#M.1560506420.A.B7A#00004", "energyy1104 ", "業配？ 這篇文章有夠空洞", "06/14 18:01", "0"
"NBA#M.1560506420.A.B7A#00005", "murmur38    ", "王朝明明摔了個倒栽蔥 哪來完美落地", "06/14 18:01", "0"
"NBA#M.1560506420.A.B7A#00006", "goddess777  ", "完美？", "06/14 18:01", "0"
"NBA#M.1560506420.A.B7A#00007", "pickD       ", "？", "06/14 18:02", "0"
"NBA#M.1560506420.A.B7A#00008", "spider8866  ", "多想十分鐘 你可以不發廢文，為什麼是十分鐘 因爲感覺你處理器有點不夠力", "06/14 18:02", "0"
"NBA#M.1560506420.A.B7A#00009", "SuM0m0      ", "王朝沒成立還是一直喊 自己定義", "06/14 18:03", "0"
"NBA#M.1560506420.A.B7A#00010", "kobe30732   ", "我以為要至少有過三連霸才算王朝", "06/14 18:04", "0"
"NBA#M.1560506420.A.B7A#00011", "jackwula9211", "葉配?", "06/14 18:04", "0"
"NBA#M.1560506420.A.B7A#00012", "kkb512sk    ", "那裡落地?你才落地", "06/14 18:04", "0"
"NBA#M.1560506420.A.B7A#00013", "vagr8       ", "王朝（X 王朝夢（O", "06/14 18:05", "0"
"NBA#M.1560506420.A.B7A#00014", "hendssee    ", "完美？？？", "06/14 18:06", "0"
"NBA#M.1560506420.A.B7A#00015", "lmf770410   ", "？？？？？？？完美", "06/14 18:09", "0"
"NBA#M.1560506420.A.B7A#00016", "JCS15       ", "「我們前陣子在版上PO的文章」 你們是誰?", "06/14 18:10", "0"
"NBA#M.1560506420.A.B7A#00017", "da5n299o    ", "業配還要消費勇士喔 zzzz", "06/14 18:10", "0"
"NBA#M.1560506420.A.B7A#00018", "mattpikachu ", "星不散 勇奪冠", "06/14 18:11", "0"
"NBA#M.1560506420.A.B7A#00019", "rrblue      ", "葉佩", "06/14 18:12", "0"
"NBA#M.1560506420.A.B7A#00020", "paul5566    ", "現在衝流量、業配文都直接講惹喔？", "06/14 18:12", "0"
"NBA#M.1560506420.A.B7A#00021", "tomwdc      ", "業配", "06/14 18:12", "0"
"NBA#M.1560506420.A.B7A#00022", "kai08130623 ", "完美落地？失敗墜地吧", "06/14 18:12", "0"
"NBA#M.1560506420.A.B7A#00023", "smile5566   ", "您哪位", "06/14 18:13", "0"
"NBA#M.1560506420.A.B7A#00024", "achris0626  ", "87", "06/14 18:13", "0"
"NBA#M.1560506420.A.B7A#00025", "avexgroup   ", "XDD", "06/14 18:14", "0"
"NBA#M.1560506420.A.B7A#00026", "hamy0829    ", ".", "06/14 18:15", "0"
"NBA#M.1560506420.A.B7A#00027", "sue5566     ", "完美落地不是這樣用的", "06/14 18:16", "0"
"NBA#M.1560506420.A.B7A#00028", "lsps40803   ", "你腦袋也完美落地了？", "06/14 18:16", "0"
"NBA#M.1560506420.A.B7A#00029", "OPPAISuki   ", "哪裡完美?", "06/14 18:16", "0"
"NBA#M.1560506420.A.B7A#00030", "smik        ", "拿球員受傷來消費不用桶？", "06/14 18:17", "0"
"NBA#M.1560506420.A.B7A#00031", "iscl6       ", "業配", "06/14 18:18", "0"
"NBA#M.1560506420.A.B7A#00032", "gt12345     ", "這說法真的很爛", "06/14 18:18", "0"
"NBA#M.1560506420.A.B7A#00033", "hn8614121   ", "重新學中文好嗎", "06/14 18:18", "0"
"NBA#M.1560506420.A.B7A#00034", "skywalker219", "完美落地不是這樣用吧", "06/14 18:19", "0"
"NBA#M.1560506420.A.B7A#00035", "waiting1209 ", "內容不錯，但是你也太不會下標題", "06/14 18:19", "0"
"NBA#M.1560506420.A.B7A#00036", "bruceedm    ", "真完美", "06/14 18:20", "0"
"NBA#M.1560506420.A.B7A#00037", "lanhyi      ", "怎麼會想到用完美落地形容球員受傷？", "06/14 18:20", "0"
"NBA#M.1560506420.A.B7A#00038", "dontdoitbaby", "我在LIVE裡面就說是十字韌帶了 比你早", "06/14 18:21", "0"
"NBA#M.1560506420.A.B7A#00039", "tupacshkur  ", "亂彈阿翔 - 完美落地！ 音樂請下", "06/14 18:21", "0"
"NBA#M.1560506420.A.B7A#00040", "lanhyi      ", "記得你都是發專業文卻常被噓，可能有些地方要多注意", "06/14 18:22", "1"
"NBA#M.1560506420.A.B7A#00041", "roystorm    ", "先去把中文學好吧", "06/14 18:22", "0"
"NBA#M.1560506420.A.B7A#00042", "heveninferno", "你的文章也很完美", "06/14 18:22", "0"
"NBA#M.1560506420.A.B7A#00043", "RadioMan    ", "我來惹", "06/14 18:22", "0"
"NBA#M.1560506420.A.B7A#00044", "HFang       ", "中文學好再來發文", "06/14 18:23", "0"
"NBA#M.1560506420.A.B7A#00045", "natsu123    ", "外國人?", "06/14 18:23", "0"
"NBA#M.1560506420.A.B7A#00046", "rothschild99", "這不行", "06/14 18:23", "0"
