"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1560695724.A.C0A#00000", "charlie84104", "※ 引述《sth336 (S-Dub)》之銘言：<br>: https://twitter.com/D19J/status/1140032256003776519<br>: Lebron 的前隊友Damon Jones在twitter表示<br>: 記今天稍早的AD交易案後<br>: 美國時間的禮拜一早上(台灣時間禮拜一晚上)將會再來一記震撼彈<br>: 說湖人的三巨頭已經完成了<br>: 他說假如真的如他所聽到的話<br>: 這將會是一隻mega super team (宇宙湖)<br>: 看其他新聞說kemba 傾向留在黃蜂<br>: 加上Jones說的mega super team<br>: 看來這第三巨頭要嘛是Kyrie 或是Kawhi<br>: 如果是可愛的話<br>: AD+LBJ+可愛應該是史上最強的三巨頭吧<br>: 更新:<br>: 1小時前LBJ兒子開始追蹤可愛的ig fan page<br>: https://i.imgur.com/2Fm8lq5.jpg<br>先預設他是真的有消息，而不只是為了譁眾<br><br>取寵的話，現在湖人第三位巨星能讓世界震<br><br>驚的人選有誰呢<br><br>先不要看是不是自由球員的情況下<br><br>小李 西門 狗貝 西河 跑喬 鉛筆 jb 走路人甚至<br><br>加上受重傷的雙k進來應該都還不算是震驚<br><br>能讓人倒吸一口氣的首選當然是剛帶隊奪冠<br><br>的可愛，畢竟ad+lbj+kl那畫面太美了<br><br>再來的幾個會震驚的，撇除會不會離開母隊<br><br>的情況下，就是字母哥跟咖哩了吧 當然哈登<br><br>來的話我也會驚訝就是了，這三個都是沒有<br><br>吹密的話不可能放走的（前面那些也是），<br><br>當然這只是討論能讓我“震驚”的人選，而不<br><br>是實際<br><br>把今年前三隊人選算一算，能真的讓世界震<br><br>驚加入湖人的不多，以世界震驚人選為前提<br><br>之下不得不說可愛的可能性真的最大<br><br>誘因：家鄉 和大家都忽略的他強調蠻多次他<br><br>只是想打球，還有今年看他提到蠻多次的創<br><br>造歷史，雖然暴龍二連霸也是一段歷史但首<br><br>先你要面對ad+lbj+?<br><br> 然後現在這個時間點，暴龍拿到他們想要的<br><br>隊史首冠，歷史上應該很少有人轉隊第一年<br><br>奪冠再轉隊再奪冠的了吧，另一方面在三隻<br><br>隊伍都留下冠軍也是<br><br>當年，貧乏的想像力和各方面諸如忠誠與社<br><br>群輿論限制了我的猜測，永遠都還記得那天<br><br>早上打開社群看見kd加入勇士的震驚，不，<br><br>應該說是難以置信，第一時間是看到kd合成<br><br>勇士球衣圖，當下覺得這假的吧 過一個小時<br><br>多方確認後才回到現實 就像是拍了拍自己臉<br><br>頰 心裡想著馬的發可這下好玩了其他人玩個<br><br>毛<br><br>現在我想說遊戲規則內的事情，沒什麼不敢<br><br>想<br><br>鹹魚跟韓國魚的區別就在於敢不敢想而已！<br><br>巨星進的來，小將出的去，湖人發大財<br><br>-----<br>Sent from JPTT on my Asus ASUS_X01BDA.<br><br>--<br>", "", ""
"NBA#M.1560695724.A.C0A#00001", "pansonican1 ", "沒空", "06/16 22:35", "0"
"NBA#M.1560695724.A.C0A#00002", "c25783499   ", "ㄛ", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00003", "leo755269   ", "我猜X3起跳", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00004", "hydra6716   ", "沒新消息別發廢文", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00005", "s27052705   ", "是KI還是Kl要打好捏", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00006", "RCTPNOTAM   ", "我猜是今年剛出爐的冠軍控衛--- 豪神", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00007", "pcgogoman   ", "不是自由球員現在湖人要怎麼吹 交易掉LBJ逆", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00008", "EMSOK       ", "恩恩", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00009", "appshjkli   ", "88", "06/16 22:36", "0"
"NBA#M.1560695724.A.C0A#00010", "aasaasaas947", "你可以推文", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00011", "wrath1      ", "乾 我以為有大事", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00012", "joulin      ", "排版", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00013", "HiSop       ", "又是看人多故意來亂的", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00014", "PTTtsmc     ", "好", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00015", "AterPin     ", "這樣算不算偷渡政治？", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00016", "abyssa1     ", "要開第三個頂薪 球/IG薪水太高都算負資產了，LBJ退休還有AD+KL 選秀籤也都廢了", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00017", "u9596g12    ", "88", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00018", "aha8877     ", "廢到不行", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00019", "Jotard      ", "震驚也有可能是負面的啊，譬如JR", "06/16 22:37", "0"
"NBA#M.1560695724.A.C0A#00020", "leonho40412 ", "屁話一堆 還以為有新的", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00021", "ksuenjjr    ", "追蹤個hashtag就讓一堆人高潮，不能關注他的東西嗎", "06/16 22:38", "1"
"NBA#M.1560695724.A.C0A#00022", "chenghan1996", "我猜x2", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00023", "cacacacat   ", "都讓你猜到還會震驚嗎", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00024", "kobe9527    ", "這時間點 沒消息不要發文", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00025", "Chiya0911   ", "X1", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00026", "Jaydavid    ", "KD很難被超越了  畢竟是直接加入現成冠軍隊", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00027", "sam0313     ", "結果是字母哥", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00028", "KarlTowns   ", "偷渡", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00029", "birdman5656 ", "推1", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00030", "pansonican1 ", ".", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00031", "timmy2153200", "排版讓我很傷心", "06/16 22:38", "0"
"NBA#M.1560695724.A.C0A#00032", "h760108     ", "結論", "06/16 22:39", "0"
"NBA#M.1560695724.A.C0A#00033", "elvislai    ", "我覺得3f猜比較準", "06/16 22:39", "0"
"NBA#M.1560695724.A.C0A#00034", "AirPenguin  ", "KD之後真的很難震撼了", "06/16 22:39", "0"
"NBA#M.1560695724.A.C0A#00035", "OPPAISuki   ", "韓國魚加入湖人最令人震驚", "06/16 22:39", "0"
"NBA#M.1560695724.A.C0A#00036", "emoil5566   ", "麥考吧 畢竟他未來人 知道那隊會奪冠", "06/16 22:39", "0"
"NBA#M.1560695724.A.C0A#00037", "threshnccu  ", "真的沒空", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00038", "shch        ", "我賭Wade復出", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00039", "abyssa1     ", "難怪急著要換到AD 先簽下KL的話鵜鶘就縮手了吧", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00040", "sept9048    ", "Ok 就是可愛了 我先洗洗睡 等明天好消息^^", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00041", "Qkago       ", "==", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00042", "chucky      ", "唉", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00043", "yeustream   ", "無聊,而且竟連KI都能漏掉", "06/16 22:40", "0"
"NBA#M.1560695724.A.C0A#00044", "a24285293   ", "X3", "06/16 22:41", "0"
"NBA#M.1560695724.A.C0A#00045", "sm3bp078    ", "ki吧  也算震驚啊", "06/16 22:41", "0"
"NBA#M.1560695724.A.C0A#00046", "shao729     ", "有新消息再來啦", "06/16 22:41", "0"
"NBA#M.1560695724.A.C0A#00047", "BS85        ", "88", "06/16 22:42", "0"
"NBA#M.1560695724.A.C0A#00048", "JustWinslow ", "沒空", "06/16 22:42", "0"
"NBA#M.1560695724.A.C0A#00049", "bw9630      ", "沒空", "06/16 22:43", "0"
"NBA#M.1560695724.A.C0A#00050", "aa08175     ", "好啦，如果是BOSH或是雷槍復出我也會很震驚啦", "06/16 22:43", "0"
"NBA#M.1560695724.A.C0A#00051", "Chiya0911   ", "不小心按到推 補噓", "06/16 22:43", "0"
"NBA#M.1560695724.A.C0A#00052", "yiersan     ", "結果是鬼禿caruso簽min約", "06/16 22:43", "0"
"NBA#M.1560695724.A.C0A#00053", "M2208305    ", "規則都不知道 菜", "06/16 22:43", "0"
"NBA#M.1560695724.A.C0A#00054", "brad0000    ", "跟風噓一下，補", "06/16 22:44", "0"
"NBA#M.1560695724.A.C0A#00055", "hijodedios36", "偏要推", "06/16 22:44", "0"
"NBA#M.1560695724.A.C0A#00056", "King5566    ", "幫補", "06/16 22:44", "0"
"NBA#M.1560695724.A.C0A#00057", "KarlTowns   ", "唉", "06/16 22:44", "0"
"NBA#M.1560695724.A.C0A#00058", "MikePiazza  ", "喔！", "06/16 22:45", "0"
"NBA#M.1560695724.A.C0A#00059", "fegat       ", "一定不可能是KL 他之前就說不想跟LBJ一隊，我猜不是KI就是JB KI有了AD後去LA機率非常大", "06/16 22:45", "0"
"NBA#M.1560695724.A.C0A#00060", "pili30155   ", "88", "06/16 22:45", "0"
"NBA#M.1560695724.A.C0A#00061", "s4357gty    ", "好爽喔", "06/16 22:46", "0"
"NBA#M.1560695724.A.C0A#00062", "s50101      ", "See you", "06/16 22:46", "0"
"NBA#M.1560695724.A.C0A#00063", "peng0319    ", "X4，XX", "06/16 22:46", "0"
"NBA#M.1560695724.A.C0A#00064", "fegat       ", "而且季中跟LBJ認錯關係也算不錯", "06/16 22:47", "0"
"NBA#M.1560695724.A.C0A#00065", "yeustream   ", "只有姆斯可能真的不想去,但有AD就不一樣了吧", "06/16 22:48", "0"
"NBA#M.1560695724.A.C0A#00066", "kobe30732   ", "跟風噓", "06/16 22:48", "0"
"NBA#M.1560695724.A.C0A#00067", "owhfr69c    ", "XX", "06/16 22:48", "0"
"NBA#M.1560695724.A.C0A#00068", "keny868     ", "不要忘了要連McCaw也要挖去", "06/16 22:49", "0"
"NBA#M.1560695724.A.C0A#00069", "burondo45762", "好喔", "06/16 22:50", "0"
"NBA#M.1560695724.A.C0A#00070", "tedandjolin ", "發大財", "06/16 22:50", "0"
"NBA#M.1560695724.A.C0A#00071", "linyi520    ", "很長的廢文", "06/16 22:50", "0"
"NBA#M.1560695724.A.C0A#00072", "jackie5678  ", "XX", "06/16 22:51", "0"
"NBA#M.1560695724.A.C0A#00073", "generic     ", "那2個魚沒區別啊", "06/16 22:51", "0"
"NBA#M.1560695724.A.C0A#00074", "yoyodjy     ", "我猜明天睡醒看到kawhi加入湖人", "06/16 22:52", "0"
"NBA#M.1560695724.A.C0A#00075", "simple721   ", "可憐的韓粉", "06/16 22:56", "0"
"NBA#M.1560695724.A.C0A#00076", "society     ", "好", "06/16 22:57", "0"
