"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"NBA#M.1561270319.A.1AB#00000", "rainjuly", "MJ的進攻特點<br>無解兩分單打<br>金身哨音<br>跟現代的球員KD很像<br>他在現代進攻的天花板大概就是KD<br>有人會問「可是MJ的得分比較高」<br>別忘了<br>MJ的時代禁止區域聯防<br>對他這種擅長單打的球員更加有利<br>用現代的區域聯防規則<br>單打會動輒遇到兩三個人上來守他<br>他出手點不像KD那麼高<br>三分也沒有KD準<br>能不能打出KD的效率是有疑慮的<br><br>另外MJ的防守<br>他的單防確實是歷史級的<br>他的年代的對手也不流行大量的掩護<br>再加上hand check<br>MJ的單防優勢可以很好的發揮<br>然而現代球隊的進攻著重的是不斷地掩護找空檔<br>對手知道你單防強也不會沒事跑去找你單打<br>單防的優勢肯定不再那麼突出<br><br>總結：MJ在現代還會是出色的球員<br>           不過他的強項不再那麼有優勢<br>           區域聯防、掩護都能有效克制他<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"NBA#M.1561270319.A.1AB#00001", "mori7336    ", "場均50罰", "06/23 14:13", "0"
"NBA#M.1561270319.A.1AB#00002", "P69045      ", "以前防守可以Hand Check 後衛進攻很不舒服，而且防守尺度很大 不像現在摸毛犯規", "06/23 14:14", "0"
"NBA#M.1561270319.A.1AB#00003", "yorkbuster  ", "你以為MJ會被當成神，只是因為他的天花板是KD，你要反串的話，也找一找leaderahip方面的論述。那才是MJ被認為是GOAT的基礎。", "06/23 14:14", "1"
"NBA#M.1561270319.A.1AB#00004", "graphict    ", "MJ最後在巫師還有區防嗎，以喬登的個性，我覺得你會被狠狠打臉", "06/23 14:15", "0"
"NBA#M.1561270319.A.1AB#00005", "pold123     ", "總結：廢文一篇", "06/23 14:15", "0"
"NBA#M.1561270319.A.1AB#00006", "love50921   ", "不同時代本來就不能一概而論，但是能在自己的時代，裡找到生存之道就是強者。", "06/23 14:15", "0"
"NBA#M.1561270319.A.1AB#00007", "zardbz      ", "講白一點，弱化版的可愛都可以拿總冠了，MJ根本輾", "06/23 14:15", "0"
"NBA#M.1561270319.A.1AB#00008", "Crazyheros  ", "不能區域...但MJ被包夾還少嗎？你的論點超怪", "06/23 14:16", "0"
"NBA#M.1561270319.A.1AB#00009", "chuangtzu   ", "你都說以前有handcheck了 MJ還能打成那樣 放到現在不就飛天了", "06/23 14:16", "1"
"NBA#M.1561270319.A.1AB#00010", "rahim1211   ", "天花板kd?", "06/23 14:16", "0"
"NBA#M.1561270319.A.1AB#00011", "lousen0068  ", "推", "06/23 14:16", "0"
"NBA#M.1561270319.A.1AB#00012", "newtypeL9   ", "有效限制是指場均壓在50分以下嗎", "06/23 14:16", "0"
"NBA#M.1561270319.A.1AB#00013", "wlcoup3p424 ", "破產版mj：可愛都給你親身示範奪冠了還在這邊發廢文", "06/23 14:17", "1"
"NBA#M.1561270319.A.1AB#00014", "joseph103331", "一下子沒有聯防好打 一下子有handcheck好單防 到底?", "06/23 14:17", "1"
"NBA#M.1561270319.A.1AB#00015", "graphict    ", "對比今天，講金身只是讓人家笑而已", "06/23 14:18", "0"
"NBA#M.1561270319.A.1AB#00016", "P69045      ", "現在的NBA玩法不就發現自己投籃命中率不好 就開始買犯 把分數湊到2~30分達標嗎", "06/23 14:18", "1"
"NBA#M.1561270319.A.1AB#00017", "zardbz      ", "MJ光練球時的要求就超高了，誰跟你兄弟籃球不用訓練", "06/23 14:19", "1"
"NBA#M.1561270319.A.1AB#00018", "toeic900    ", "2003年的老mj就打臉妳了", "06/23 14:19", "0"
"NBA#M.1561270319.A.1AB#00019", "chogosu     ", "看完今年的可愛我一點都沒懷疑", "06/23 14:20", "0"
"NBA#M.1561270319.A.1AB#00020", "roystorm    ", "不知道有多少一狗票的。人都覺得可以守住mj，如果能成功的話就不會有後來壞孩子的守法了", "06/23 14:21", "1"
"NBA#M.1561270319.A.1AB#00021", "kinasem     ", "MJ最強的是心理素質，去查他的關鍵時刻命中率，跟史上最強的季後賽成績", "06/23 14:21", "1"
"NBA#M.1561270319.A.1AB#00022", "Leo4891     ", "有沒有看過mj打球拉  你怎會以為沒包夾，不只包夾 禁區塞一堆人mj還能飛進去灌籃咧", "06/23 14:23", "0"
