"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1429638739.A.E6E#00000", "orz44444", "http://news.ltn.com.tw/news/society/breakingnews/1293466<br><br>2015-04-21  12:49<br><br>〔記者張瑞楨／台中報導〕南投縣國中二年級女學生小婷（化名），前年6月間於洗車場<br>，被3名同校的學長強拉到房間內輪流性侵害，性侵害時還在旁觀看，直到蕭姓男子發現<br>制止才停止，小婷感激蕭男「英雄救美」而獻身，2人很快發生性關係，不過，因小婷尚<br>未年滿16歲，台中高分院以妨害性自主，判決小婷的「情郎」蕭男徒刑6月。<br><br>高分院判決書指出，小婷是年約15歲的國中生，在前年6月初，同校的莊姓學長，打電話<br>約小婷到洗車場，小婷抵達後，先被劉姓、莊姓學長強拉到洗車場內的套房，再由劉姓、<br>林姓學長與身分不詳男子共3人輪流性侵害，其中，劉姓少年先性侵得逞，緊接著由林姓<br>少年性侵得逞，另有身分不詳的男性，企圖性侵害未遂，性侵時眾人還在房間內或房間外<br>觀看，直到20多歲的蕭男聽到小婷哭泣聲，出面制止才停止。<br><br>判決書指出，性侵害時還發生一件插曲，劉姓少年性侵時，沒有關房門，等到林姓少年性<br>侵時，剛好有林姓男子要找人，打開門撞見小婷赤裸在床上哭泣，劉姓少年只穿內褲站在<br>房內，莊姓少年也站在房間內，但他有穿衣服，另有1名身分不詳男子躺在床上，不過，<br>林男並未嚴峻制止，南投地檢署認為林男也是性侵害共犯而起訴，南投地院與台中高分院<br>卻認為，沒有證據顯示林男是共犯，只能證明他剛好打開房門撞見性侵害，判處林男無罪<br>。<br>判決書顯示，小婷不斷哭泣，在外面上網的蕭姓男子聽到聲音，趕緊出面制止，小婷對蕭<br>男很有好感，2人很快成為男女朋友，並於套房與汽車旅館內發生2次性關係，家人發現有<br>異而提出告訴。<br><br>高分院指出，蕭男沒有前科，與小婷情投意合，小婷甘願發生性關係，但因小婷尚未年滿<br>16歲而觸法，判決蕭男有期徒刑6月，全案還能上訴。<br>--<br>", "", ""
"sex#M.1429638739.A.E6E#00001", "c08110831", "結論免錢最貴", "04/22 01:56", "0"
"sex#M.1429638739.A.E6E#00002", "vincent1985", "簽名檔換一個吧!", "04/22 02:00", "0"
"sex#M.1429638739.A.E6E#00003", "Bboykeyes", "推簽名檔", "04/22 02:09", "0"
"sex#M.1429638739.A.E6E#00004", "ps25796", "國中生...", "04/22 02:36", "0"
"sex#M.1429638739.A.E6E#00005", "paannee3", "北部老闆比較愛錢，一樣的便當硬是貴南部30塊", "04/22 03:32", "0"
"sex#M.1429638739.A.E6E#00006", "top1683", "噓簽名檔", "04/22 05:01", "0"
"sex#M.1429638739.A.E6E#00007", "Harrypei", "ptt的南部不都是指天龍台北以外的地區嗎?", "04/22 05:31", "0"
"sex#M.1429638739.A.E6E#00008", "IvanLord", "。", "04/22 08:10", "0"
"sex#M.1429638739.A.E6E#00009", "bisconect", "15歲的國中生...", "04/22 09:21", "0"
"sex#M.1429638739.A.E6E#00010", "gist83", "吃國中 欠噓", "04/22 09:28", "0"
"sex#M.1429638739.A.E6E#00011", "souji", "這個ID腦殘 又 性無能  你媽造嗎?", "04/22 09:46", "0"
"sex#M.1429638739.A.E6E#00012", "coolkidcc", "紅明顯", "04/22 10:04", "0"
"sex#M.1429638739.A.E6E#00013", "YuenYang5566", "智障", "04/22 10:05", "0"
"sex#M.1429638739.A.E6E#00014", "family1614", "媽的南部人噓", "04/22 10:27", "0"
"sex#M.1429638739.A.E6E#00015", "mightysuns", "純推簽名檔 什麼闢邏輯", "04/22 10:54", "0"
"sex#M.1429638739.A.E6E#00016", "quickey", "台北人就不愛錢喔？？", "04/22 11:09", "0"
"sex#M.1429638739.A.E6E#00017", "shockbill", "...", "04/22 11:43", "0"
"sex#M.1429638739.A.E6E#00018", "pwl69555", "幹噓你喔ID", "04/22 12:14", "0"
"sex#M.1429638739.A.E6E#00019", "bitchsucka", "殺小簽名檔啊？幹！", "04/22 12:17", "0"
"sex#M.1429638739.A.E6E#00020", "alin1028", "噓簽名檔", "04/22 12:23", "0"
"sex#M.1429638739.A.E6E#00021", "matthew0123", "欠噓", "04/22 12:26", "0"
"sex#M.1429638739.A.E6E#00022", "god5763", "噓爆你這莫名簽名檔", "04/22 12:27", "0"
"sex#M.1429638739.A.E6E#00023", "RRRRD", "簽名黨神邏輯~~~", "04/22 12:32", "0"
"sex#M.1429638739.A.E6E#00024", "jackal11", "不送", "04/22 12:55", "0"
"sex#M.1429638739.A.E6E#00025", "vovovolibear", "我愛錢啊怎樣?", "04/22 13:10", "0"
"sex#M.1429638739.A.E6E#00026", "GamePlayer", "…", "04/22 13:16", "0"
"sex#M.1429638739.A.E6E#00027", "gfneo", "北部人,但南部求學,一定要噓", "04/22 13:21", "0"
"sex#M.1429638739.A.E6E#00028", "tobe6109", "什麼學校 會有強爆案", "04/22 13:23", "0"
