"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1429862243.A.3AB#00000", "sober716", "有圖<br><br>http://goo.gl/TNNNpu<br><br>我要＿死你！！！！！！！！！！！！！！！！！！！<br><br><br>西斯版主與波多野結衣親密合照　鄉民：我要＿死你<br>三立娛樂中心／綜合報導<br><br>被稱為「暗黑林志玲」的日本AV女優波多野結衣，為了宣傳新電影《沙西米》來台宣傳，<br>PTT西斯版版主ttb今天（24日）在臉書上PO出一張與波多野結衣的合照，直呼「已死，不<br>解釋>///<」，讓網友紛紛崩潰，留言「必須死」、「TTB我要＿死你」，更有人打趣的說<br>「第一次不知道該幹死誰了」。<br><br>--<br>", "", ""
"sex#M.1429862243.A.3AB#00001", "newpeople", "出來面對 難道不用給鄉民一個交代", "04/24 15:58", "0"
"sex#M.1429862243.A.3AB#00002", "srwcc", "笑的好淫", "04/24 15:58", "0"
"sex#M.1429862243.A.3AB#00003", "Qoorange", "ttb", "04/24 16:00", "0"
"sex#M.1429862243.A.3AB#00004", "cbm111", "不噓對不起自己的D槽RRRR", "04/24 16:00", "0"
"sex#M.1429862243.A.3AB#00005", "levi9921", "出來面對！", "04/24 16:00", "0"
"sex#M.1429862243.A.3AB#00006", "wyytw", "淫蕩的臉", "04/24 16:01", "0"
"sex#M.1429862243.A.3AB#00007", "timmysid", "給你推但我還是要幹死你們", "04/24 16:02", "0"
"sex#M.1429862243.A.3AB#00008", "icewindwu", "淫蕩", "04/24 16:03", "0"
"sex#M.1429862243.A.3AB#00009", "vincent1985", "ttb我要肛死你！", "04/24 16:03", "0"
"sex#M.1429862243.A.3AB#00010", "Cardern", "表情超淫蕩 出來面對", "04/24 16:05", "0"
"sex#M.1429862243.A.3AB#00011", "promaou", "ttb 必須死", "04/24 16:06", "0"
"sex#M.1429862243.A.3AB#00012", "dtft003", "ttb 幹爆你", "04/24 16:10", "0"
"sex#M.1429862243.A.3AB#00013", "srwcc", "http//i.imgur.com/Isb2sZil.jpg", "04/24 16:12", "0"
"sex#M.1429862243.A.3AB#00014", "perchen", "ttb我要幹死你!!!", "04/24 16:12", "0"
"sex#M.1429862243.A.3AB#00015", "q123123no1", "幹死你啦!!!!!!!!!!!!!!!!", "04/24 16:13", "0"
"sex#M.1429862243.A.3AB#00016", "zhankai", "幹 我老公跟我老婆搞在一起ㄌ", "04/24 16:13", "0"
"sex#M.1429862243.A.3AB#00017", "BDSMan", "ttb 幹死你", "04/24 16:13", "0"
"sex#M.1429862243.A.3AB#00018", "panpan", "媽的 過太爽", "04/24 16:15", "0"
"sex#M.1429862243.A.3AB#00019", "jho52106", "發動罷免吧", "04/24 16:15", "0"
"sex#M.1429862243.A.3AB#00020", "FB5566", "必 須 死 (╯陛摯）╯︵ ┴━┴", "04/24 16:16", "0"
"sex#M.1429862243.A.3AB#00021", "QNI", "ttb我要幹死你", "04/24 16:17", "0"
"sex#M.1429862243.A.3AB#00022", "noitcidda", "太淫蕩了吧!!!!!", "04/24 16:21", "0"
"sex#M.1429862243.A.3AB#00023", "Vincent6964", "要不揪團幹死ttb", "04/24 16:22", "0"
"sex#M.1429862243.A.3AB#00024", "absbin", "幹～～～我要開電腦G槽的波多野專區怒打一槍", "04/24 16:23", "0"
"sex#M.1429862243.A.3AB#00025", "angels", "噓爆!", "04/24 16:27", "0"
"sex#M.1429862243.A.3AB#00026", "seamask", "羨慕噓", "04/24 16:28", "0"
"sex#M.1429862243.A.3AB#00027", "weylih1000", "怒噓", "04/24 16:30", "0"
"sex#M.1429862243.A.3AB#00028", "bluemichael", "版主，這樣合理嗎？", "04/24 16:35", "0"
"sex#M.1429862243.A.3AB#00029", "clpencot", "ttb我要幹死你!!!", "04/24 16:36", "0"
"sex#M.1429862243.A.3AB#00030", "tallrich", "幹太扯", "04/24 16:37", "0"
"sex#M.1429862243.A.3AB#00031", "samzzz", "幹  怒噓", "04/24 16:40", "0"
"sex#M.1429862243.A.3AB#00032", "alcpeon911", "這樣對嗎 安內肝丟", "04/24 16:41", "0"
"sex#M.1429862243.A.3AB#00033", "on543", "幹圖利啦", "04/24 16:46", "0"
"sex#M.1429862243.A.3AB#00034", "waiter337", "幹死你，靠北 沒需到", "04/24 16:48", "0"
"sex#M.1429862243.A.3AB#00035", "galleon2000", "自切老二謝罪吧", "04/24 16:48", "0"
"sex#M.1429862243.A.3AB#00036", "tengyueh", "當然是要幹死ttb阿!!", "04/24 16:48", "0"
"sex#M.1429862243.A.3AB#00037", "jayemshow", "第一次噓 ttb 欠幹", "04/24 16:49", "0"
"sex#M.1429862243.A.3AB#00038", "jp956956", "tbb慘遭網友給噓霸凌", "04/24 16:50", "0"
"sex#M.1429862243.A.3AB#00039", "apple79", "幹你娘蝦咪淫蕩臉 幹死你", "04/24 16:51", "0"
"sex#M.1429862243.A.3AB#00040", "waiter337", "Google ttb fb 西斯版主", "04/24 16:51", "0"
"sex#M.1429862243.A.3AB#00041", "choscar38", "靠北啦！！！！！！！！", "04/24 16:53", "0"
"sex#M.1429862243.A.3AB#00042", "Quby", "已怒", "04/24 16:54", "0"
"sex#M.1429862243.A.3AB#00043", "TellMeMore", "崩潰", "04/24 16:54", "0"
"sex#M.1429862243.A.3AB#00044", "irvinglove", "ttb我要幹死你", "04/24 16:54", "0"
"sex#M.1429862243.A.3AB#00045", "pop3612368", "ttb幹死你!!!!!", "04/24 16:56", "0"
"sex#M.1429862243.A.3AB#00046", "rafifish", "ttb必須死!!!", "04/24 16:56", "0"
"sex#M.1429862243.A.3AB#00047", "likeair", "FUCK!!!我的女神!!!!", "04/24 16:58", "0"
"sex#M.1429862243.A.3AB#00048", "jerry3246", "你淫了", "04/24 16:58", "0"
"sex#M.1429862243.A.3AB#00049", "Paolyta5566", "幹 ttb 必須死", "04/24 16:58", "0"
"sex#M.1429862243.A.3AB#00050", "p30123", "照片那眼神 那笑容 難道ttb不需要解釋一下嗎？", "04/24 17:02", "0"
"sex#M.1429862243.A.3AB#00051", "openmy30", ".........", "04/24 17:03", "0"
"sex#M.1429862243.A.3AB#00052", "elvesa", "ttb必須死!!", "04/24 17:03", "0"
"sex#M.1429862243.A.3AB#00053", "FGuckuriot", "幹死你", "04/24 17:04", "0"
"sex#M.1429862243.A.3AB#00054", "delnet", "欠噓", "04/24 17:04", "0"
"sex#M.1429862243.A.3AB#00055", "fjucharlie", "幹 去死啦", "04/24 17:04", "0"
"sex#M.1429862243.A.3AB#00056", "James2323", "噓", "04/24 17:05", "0"
"sex#M.1429862243.A.3AB#00057", "ifyou", "真的很淫邪！！", "04/24 17:06", "0"
"sex#M.1429862243.A.3AB#00058", "fjucharlie", "按錯 補噓拉", "04/24 17:08", "0"
"sex#M.1429862243.A.3AB#00059", "LOXA0115", "TTB幹什麼？", "04/24 17:09", "0"
"sex#M.1429862243.A.3AB#00060", "hun410705", "噓爆你", "04/24 17:10", "0"
"sex#M.1429862243.A.3AB#00061", "shenyang", "幹 放開他 波多野 妳來抓我好了!!", "04/24 17:11", "0"
"sex#M.1429862243.A.3AB#00062", "srwcc", "http//i.imgur.com/grHyHEN.jpg，http//i.imgur.com/SpftrGw.jpg", "04/24 17:12", "0"
"sex#M.1429862243.A.3AB#00063", "chenwayne", "幹 為什麼", "04/24 17:12", "0"
"sex#M.1429862243.A.3AB#00064", "catherine9", "不能忍", "04/24 17:12", "0"
"sex#M.1429862243.A.3AB#00065", "kmaxmickey", "你的笑容值得換來XX", "04/24 17:12", "0"
"sex#M.1429862243.A.3AB#00066", "gsg0910", "ttb 被斷", "04/24 17:13", "0"
"sex#M.1429862243.A.3AB#00067", "louis0422", "幹!", "04/24 17:14", "0"
"sex#M.1429862243.A.3AB#00068", "chadhsieh", "已羨慕", "04/24 17:14", "0"
"sex#M.1429862243.A.3AB#00069", "monkey1910", "去死!!放開我的波多野!", "04/24 17:14", "0"
"sex#M.1429862243.A.3AB#00070", "srwcc", "http//ppt.cc/9lds", "04/24 17:16", "0"
"sex#M.1429862243.A.3AB#00071", "gist83", "罷免", "04/24 17:17", "0"
"sex#M.1429862243.A.3AB#00072", "srwcc", "http//ppt.cc/-4HE", "04/24 17:19", "0"
"sex#M.1429862243.A.3AB#00073", "srwcc", "http//ppt.cc/-PcW", "04/24 17:22", "0"
"sex#M.1429862243.A.3AB#00074", "ptthao", "幹羨慕", "04/24 17:22", "0"
"sex#M.1429862243.A.3AB#00075", "scottshe", "我兩個都想幹死   我好糟糕…", "04/24 17:23", "0"
"sex#M.1429862243.A.3AB#00076", "srwcc", "http//ppt.cc/N-zq", "04/24 17:25", "0"
"sex#M.1429862243.A.3AB#00077", "ibook0102", "ttb你幹波多，我幹你，等於我也幹到了波多", "04/24 17:25", "0"
"sex#M.1429862243.A.3AB#00078", "srwcc", "http//ppt.cc/gu0e", "04/24 17:27", "0"
"sex#M.1429862243.A.3AB#00079", "vincent1985", "然後我再幹老馬，就等於我幹了結衣", "04/24 17:30", "0"
"sex#M.1429862243.A.3AB#00080", "srwcc", "==?", "04/24 17:30", "0"
"sex#M.1429862243.A.3AB#00081", "jim60209", "老馬非幹不可", "04/24 17:32", "0"
"sex#M.1429862243.A.3AB#00082", "srwcc", "==+", "04/24 17:32", "0"
"sex#M.1429862243.A.3AB#00083", "k2124", "幹 怒噓", "04/24 17:33", "0"
"sex#M.1429862243.A.3AB#00084", "bonjovi0930", "ttb天才小釣手，照潔哥標準一堆幹死ttb的都要接傳票", "04/24 17:37", "1"
"sex#M.1429862243.A.3AB#00085", "tsenyao", "怒噓", "04/24 17:37", "0"
"sex#M.1429862243.A.3AB#00086", "mathrew", "幹... 表情太淫蕩了吧", "04/24 17:37", "0"
"sex#M.1429862243.A.3AB#00087", "QiSHi", "放開那女孩！", "04/24 17:44", "0"
"sex#M.1429862243.A.3AB#00088", "GTOKevin", "真火大", "04/24 17:45", "0"
"sex#M.1429862243.A.3AB#00089", "bigbighuang", "幹死ttb啊！", "04/24 17:53", "0"
"sex#M.1429862243.A.3AB#00090", "HayamaAkito", "本來覺得沒什麼 看到合照的表情 必須噓~~~~~~~~~~~~~~~", "04/24 17:57", "1"
