"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1430748745.A.9E8#00000", "sexKinsey", " 大學時候交了一個小女友<br><br> 是獨生女  偶爾幫忙代課的補習班認識的<br><br> 她父母對這方面超級嚴格<br><br> 除了門禁也不准外宿當然不能交男朋友<br><br><br><br> 不過好笑的是她國中就被破處了<br><br> 基本上假日的行程就是藉去圖書館之名<br><br> 來我這邊打砲<br><br> 但行事都要非常小心<br><br><br><br> 有一次差點被抓包是有一天<br><br> 打系隊比賽被電的悽慘心情很差<br><br> 回房間直接把她拿來洩恨<br><br> 強迫她幫我口交 插得有點深<br><br> 沒想到她就吐了  漱口清完之後想繼續<br><br> 結果她開始反抗 而且很激烈<br><br> 不小心打了她<br><br> 不料把她眼角弄流血  臉也腫了<br><br><br><br> 我們很緊張在想她回家要怎麼解釋<br><br> 後來想了一個很扯的被壘球丟到的理由<br><br> 也算呼弄過去<br><br> 這樣的日子就平靜過了快兩年<br><br><br> 直到高三她的避孕藥不小心被她媽發現<br><br> 被逼問之下居然把我供出來<br><br> 結果就是她爸約我出來吃飯<br><br> 真的是一種從腳底板涼到頭頂的感覺<br><br> 那時候媒體很愛拿大學生做文章<br><br> 想說真的是完蛋了 常常夢到上新聞被公審的惡夢<br><br><br><br> 人生跑馬燈一直掃一直掃<br><br> 還好最後沒事<br><br> 倒感覺她爸還滿和藹的<br><br><br><br> 後來了解事情常常沒發生是一回事  真的發生了又是一回事<br><br> 之後外宿幹嘛什麼都變可以了<br><br> 只要先報備<br><br> 奉勸受困擾的女性朋友<br><br> 覺得被管很嚴<br><br> 就故意被發現吧<br><br><br><br><br> 兩個月前跟她復合了<br><br> 又跟了她爸媽吃飯<br><br> 久不見父母還滿尷尬<br><br> 她爸還熱情的送我好幾斤的翻車魚和一條菸<br><br> 我不抽長壽就轉送我爸<br><br> 請問這是什麼意涵?<br><br>--<br>", "", ""
"sex#M.1430748745.A.9E8#00001", "LYL1127", "去吃魚配煙 別找我女兒(?)", "05/04 22:13", "0"
"sex#M.1430748745.A.9E8#00002", "m8511210", "我先，警察先生就是他！", "05/04 22:14", "0"
"sex#M.1430748745.A.9E8#00003", "PNDxSKY", "打女人  滾     要不是不想造口業肯定洗你滿臉", "05/04 22:16", "0"
"sex#M.1430748745.A.9E8#00004", "woooo", "噓打女生 你是男的？", "05/04 22:16", "0"
"sex#M.1430748745.A.9E8#00005", "karta570539", "打女人", "05/04 22:17", "0"
"sex#M.1430748745.A.9E8#00006", "zoeforce", "打人就糟糕惹", "05/04 22:17", "0"
"sex#M.1430748745.A.9E8#00007", "FeatherNight", "打女人", "05/04 22:18", "0"
"sex#M.1430748745.A.9E8#00008", "jacky789", "打女生很糟糕", "05/04 22:19", "0"
"sex#M.1430748745.A.9E8#00009", "keriov0529", "廢物", "05/04 22:23", "0"
"sex#M.1430748745.A.9E8#00010", "vincent1985", "詛咒翻車跟希望你被閹?", "05/04 22:24", "0"
"sex#M.1430748745.A.9E8#00011", "sierbt", "打人還有不小心哦？", "05/04 22:24", "0"
"sex#M.1430748745.A.9E8#00012", "JDwine", "噓死你", "05/04 22:45", "0"
"sex#M.1430748745.A.9E8#00013", "blue8d83n", "......還打女人咧", "05/04 22:51", "0"
"sex#M.1430748745.A.9E8#00014", "jim60209", "直接噓 打女人", "05/04 22:53", "0"
"sex#M.1430748745.A.9E8#00015", "thp125", "打女人剁掉", "05/04 23:18", "0"
"sex#M.1430748745.A.9E8#00016", "lovecamp", "廢物  還發洩情緒在女人身上", "05/04 23:19", "0"
"sex#M.1430748745.A.9E8#00017", "stars76490", "白癡", "05/04 23:37", "0"
"sex#M.1430748745.A.9E8#00018", "ji304su3", "強迫口交！你就強暴犯還動手打人阿！講那麼多", "05/04 23:45", "0"
"sex#M.1430748745.A.9E8#00019", "dada8397", "垃圾", "05/04 23:55", "0"
"sex#M.1430748745.A.9E8#00020", "poisson1024", "垃圾", "05/05 00:03", "0"
"sex#M.1430748745.A.9E8#00021", "godistoshi", "你怎麼還有臉活", "05/05 00:08", "0"
"sex#M.1430748745.A.9E8#00022", "fishfish0420", "打女人 廢物", "05/05 00:25", "0"
"sex#M.1430748745.A.9E8#00023", "Rogershih", "真他狗蛋的垃圾", "05/05 00:40", "0"
"sex#M.1430748745.A.9E8#00024", "hot99755", "爛人", "05/05 00:50", "0"
"sex#M.1430748745.A.9E8#00025", "skps920110", "動手打女人你根本人渣", "05/05 00:50", "0"
"sex#M.1430748745.A.9E8#00026", "rrb11S", "你怎麼有勇氣發文？", "05/05 01:11", "0"
"sex#M.1430748745.A.9E8#00027", "lai14103", "滾！！！", "05/05 01:21", "0"
"sex#M.1430748745.A.9E8#00028", "apple821022", "好噁", "05/05 01:23", "0"
"sex#M.1430748745.A.9E8#00029", "moint", "強迫口交還打人，你根本垃圾", "05/05 01:25", "0"
"sex#M.1430748745.A.9E8#00030", "paannee3", "你發文的時候在想什麼？", "05/05 02:17", "0"
"sex#M.1430748745.A.9E8#00031", "ALu3308", "打人又強迫口交 警察有業績了", "05/05 02:19", "0"
"sex#M.1430748745.A.9E8#00032", "gala1217", "管你是不是嚎哮 噓你打女人！幹", "05/05 02:36", "0"
"sex#M.1430748745.A.9E8#00033", "Chikarable", "安安 請問這篇文怎麼審查過的？", "05/05 03:32", "0"
"sex#M.1430748745.A.9E8#00034", "knight0171", "代表她老爸肯定你，對了!再打她我就送你去法院!", "05/05 08:29", "0"
"sex#M.1430748745.A.9E8#00035", "a8377585a", "幫你補血", "05/05 08:31", "0"
"sex#M.1430748745.A.9E8#00036", "levi9921", "打女人就直接噓爆你", "05/05 09:03", "0"
"sex#M.1430748745.A.9E8#00037", "fragrance14", "看到打人傻眼 你就是強暴她吧講這麼多", "05/05 09:06", "0"
"sex#M.1430748745.A.9E8#00038", "frogman1128", "這說明你是爛人一個", "05/05 09:20", "0"
"sex#M.1430748745.A.9E8#00039", "redmool", "打人很糟糕", "05/05 10:01", "0"
"sex#M.1430748745.A.9E8#00040", "shuchisheng", "廢渣", "05/05 10:09", "0"
"sex#M.1430748745.A.9E8#00041", "DimitriPuff", "為了X人就打人 真是糟糕 而且還沒成年欸", "05/05 10:29", "0"
"sex#M.1430748745.A.9E8#00042", "shiaupun", "沒救的廢物~~", "05/05 11:13", "0"
"sex#M.1430748745.A.9E8#00043", "WADE0616", "國中還沒十六歲 可以告", "05/05 11:45", "0"
"sex#M.1430748745.A.9E8#00044", "george123abc", "去死吧", "05/05 11:45", "0"
"sex#M.1430748745.A.9E8#00045", "a58702152", "匿名？沒種！", "05/05 11:51", "0"
"sex#M.1430748745.A.9E8#00046", "ducan185", "打人?打人 還拿他當洩慾工具 你廢物?", "05/05 12:50", "0"
"sex#M.1430748745.A.9E8#00047", "duoCindy", "人渣", "05/05 13:09", "0"
"sex#M.1430748745.A.9E8#00048", "david82725", "亂來", "05/05 13:57", "0"
"sex#M.1430748745.A.9E8#00049", "mido", "噓打人", "05/05 14:03", "0"
"sex#M.1430748745.A.9E8#00050", "leoon", "西斯版怎麼有這種人?推錯，補噓", "05/05 14:21", "0"
"sex#M.1430748745.A.9E8#00051", "she938549", "打女人豬狗不如。", "05/05 14:47", "0"
"sex#M.1430748745.A.9E8#00052", "gcggc84", "要吹又要打?", "05/05 14:51", "0"
"sex#M.1430748745.A.9E8#00053", "yax504", "有夠廢 打女人？你自盡吧", "05/05 16:11", "0"
"sex#M.1430748745.A.9E8#00054", "tourist490", "廢物", "05/05 16:54", "0"
"sex#M.1430748745.A.9E8#00055", "abbie4652", "垃圾", "05/05 17:06", "0"
"sex#M.1430748745.A.9E8#00056", "hungchannnn", "啦雞", "05/05 17:07", "0"
"sex#M.1430748745.A.9E8#00057", "littlejet", "難怪你要匿名", "05/05 17:21", "0"
"sex#M.1430748745.A.9E8#00058", "z226071558", "垃圾", "05/05 20:53", "0"
"sex#M.1430748745.A.9E8#00059", "supern82", "感覺像釣魚欸 大家小心", "05/05 22:10", "0"
"sex#M.1430748745.A.9E8#00060", "Musica", "打女人，垃圾", "05/06 00:26", "0"
"sex#M.1430748745.A.9E8#00061", "frimay", "打女人欠噓", "05/06 01:01", "0"
"sex#M.1430748745.A.9E8#00062", "frandi320", "打女生喔 幹 他媽廢", "05/06 01:24", "0"
"sex#M.1430748745.A.9E8#00063", "smallchai12", "打女人?你他媽有病?", "05/06 11:36", "0"
"sex#M.1430748745.A.9E8#00064", "hank0829", "緊繃魯蛇", "05/06 12:52", "0"
"sex#M.1430748745.A.9E8#00065", "morgan84726", "打女人 垃圾", "05/07 02:14", "0"
"sex#M.1430748745.A.9E8#00066", "katarina0911", "怒噓", "05/07 03:02", "0"
"sex#M.1430748745.A.9E8#00067", "yiweishuang", "垃圾", "05/08 01:46", "0"
"sex#M.1430748745.A.9E8#00068", "lixiaopei72", "你很爛耶！", "05/08 13:18", "0"
"sex#M.1430748745.A.9E8#00069", "naneo", "噓你打女人", "05/09 21:08", "0"
"sex#M.1430748745.A.9E8#00070", "morita423", "簡直廢", "05/11 18:44", "0"
"sex#M.1430748745.A.9E8#00071", "jajoy", "渣", "09/18 12:52", "0"
