"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1431189571.A.B2E#00000", "sexKinsey", "新的學期，球隊進了一批新生<br>其中<br>最亮眼的就是她<br>一頭長髮，一對藍的眼眸<br>身高170的她是個台美混血<br>剛進大學無依無靠的<br>我只好發出身為學長的大將之風<br>因為她是外國人<br>所以我們的line都是用英文聊<br>想讓他對我有親切感<br>所以我們很快的就搭上線了<br>幫助她在學校的各種問題<br>不管是出門吃早餐<br>或是要去火車站接送<br>我都義不容辭的答應<br>因為我本身是個重訓狂<br>每天都要去重訓室報到<br>因為很多外國女生都有上健身房的習慣<br>她，當然也不意外<br>所以我常常跟他約在健身房<br>一起訓練<br>我很喜歡她那美式的風格<br>每次跟他說話的眼神看的出來<br><br>她其實也很hot我<br>但我已經有個交往多年的女朋友<br>所以我跟她的關系一直只能維持在曖昧的階段<br><br><br>故事開始<br><br>這天，球隊去外面比賽要住飯店<br>因為球隊只有一個女生<br>所以她只好一個人睡一間<br><br>我問她：tonight are u single in the room?<br>她回應:yup<br>我又問：Oh,maybe I can…hahaha<br>她回應：share the room?<br>我說：yup<br>她回：sure~<br><br>簡單的幾句對話<br>成功就進入了她的房間<br>到她房間時她剛洗完澡<br>穿著寬鬆的T-shirt<br>裡面沒穿內衣<br>目視因該是小C左右<br>睡前在床上聊天<br>越聊越high，把她逗的很開心時<br>順勢把她拉到我胸膛<br>右手繞過她的勃子<br>讓她躺在我的A cup胸肌上<br>然後開始問她一些敏感的話題<br>例如交過幾個男朋友<br>有沒有發生關系之類的問題<br>她臉紅的邊回答邊用雙手遮住臉<br>看她害羞成這樣實在太可愛了<br>聊累了後<br>她轉過身說要睡了<br>她背對著我<br>我很自然的把手環抱著她的小蠻腰<br>輕輕捏著她的肚皮<br>用鼻子磨蹭她的耳朵<br>過了一會兒<br>我想要進一步發展<br>手開始往胸部進攻<br>但確被制止了<br>她把我的手放回她的腰際<br>可惡<br>竟然被打槍了<br>但我才沒這麼容易放棄<br>過了片刻<br>再度進攻胸部<br>這次順利攻陷酥胸<br>但好像只有B而已<br>就在摸一兩下後又被制止了<br>我輕輕的在她耳邊問<br>嗯？不喜歡嗎<br>她沉默<br>但我也不好意思再進攻了<br>最後就只能摟著小蠻腰到天亮<br>隔天早上起床問她<br>怎麼昨天晚上都不理我<br>她裝蒜的說：有嗎，我睡著了吧<br><br>之後見面好像沒發生過這件事<br>平常的聊天<br>重訓<br>和我講話的眼神<br><br><br><br>問題1<br>請問她釣我去她房間睡<br>又不給我<br>這是什麼心態<br>只想跟我聊天喔？<br><br>問題2<br>當時我該硬上她嗎<br>（雖然我不敢）<br><br><br><br><br><br><br><br><br><br>--<br>", "", ""
"sex#M.1431189571.A.B2E#00001", "fdsa3001", "睡是個動詞", "05/10 00:41", "0"
"sex#M.1431189571.A.B2E#00002", "IfIknew", "先給我妳女友電話", "05/10 00:41", "0"
"sex#M.1431189571.A.B2E#00003", "batutu", "我只知道你勃子硬", "05/10 00:42", "0"
"sex#M.1431189571.A.B2E#00004", "abbie4652", "嗯", "05/10 00:42", "0"
"sex#M.1431189571.A.B2E#00005", "bcismylove", "嫌你太細吧", "05/10 00:43", "0"
"sex#M.1431189571.A.B2E#00006", "bluebanana", "Are you single in the room 長姿勢了原來可以這樣用", "05/10 00:43", "1"
"sex#M.1431189571.A.B2E#00007", "infinity1023", "Yep, not yup.", "05/10 00:43", "0"
"sex#M.1431189571.A.B2E#00008", "jimmy0217", "有女友就管好自己的老二", "05/10 00:43", "0"
"sex#M.1431189571.A.B2E#00009", "S247702", "這個時間沒圖根本欠噓", "05/10 00:44", "0"
