"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1432050350.A.CB8#00000", "tenninetall", "各位30cm E Ccup大家好<br><br>小妹我下面一直很黑，讓我覺得好自卑<br><br>洗澡的時候我都特別重點洗了<br><br>各家私密處清潔沐浴乳都有用過，有變的香香滑滑<br><br><br>但還是黑黑的<br><br><br>我男友很體貼，從來沒嫌過我下面黑  愛愛的時候都會主動下去幫我舔<br><br>弄得我好濕好想要，可是看到我的妹妹沾到水黑黑濕濕的就很自卑<br><br>請問大家有沒有辦法讓私密處白一點呢?<br><br><br>啊! 補一下西斯點:<br><br>上次前戲的時候，我嘗試在嘴裡先含著巧克力醬再舔男友(而不是塗在男友的30CM上)<br><br>結果男友說這種感覺超妙的好舒服，也比平常硬好多<br><br><br>過不久就把我翻過來幹，他的30CM摩擦著我的G點，加上很興奮的關係<br><br><br>我的前列腺液一下就流個滿地，男友還叫我自己舔地上的水  感覺超淫蕩的<br><br>最後他用我們都喜歡的傳教士體位，我比他先射精(前列腺高潮真爽>////<)<br><br>全都噴在他的臉上、胸腹肌肌上，而他射進我裡面結束這回合<br><br><br><br><br><br><br>--<br>", "", ""
"sex#M.1432050350.A.CB8#00001", "Nsmayay", "很簡單 我有個朋友 乳頭很黑 也很自卑 後來聽我的建議，把全身曬的比黑人還黑  乳頭看起來就沒這麼黑了呢!(驕傲)", "05/19 23:47", "0"
"sex#M.1432050350.A.CB8#00002", "veons", "？", "05/19 23:47", "0"
"sex#M.1432050350.A.CB8#00003", "ttb", "那是妳的身體，要對自己有信心！", "05/19 23:47", "0"
"sex#M.1432050350.A.CB8#00004", "sen042221", "............左轉甲板", "05/19 23:48", "0"
"sex#M.1432050350.A.CB8#00005", "blake0910", "......", "05/19 23:48", "0"
"sex#M.1432050350.A.CB8#00006", "law80432", ".....", "05/19 23:48", "0"
"sex#M.1432050350.A.CB8#00007", "d8888872002", "我覺得這是天生的，就接受吧！我家皮卡丘是白毛的，他看起來就是粉的", "05/19 23:51", "1"
"sex#M.1432050350.A.CB8#00008", "momoispig", "左轉甲板", "05/19 23:51", "0"
"sex#M.1432050350.A.CB8#00009", "laechan", "這樣就自卑, 那東南亞女怎麼辦", "05/19 23:52", "0"
