"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1432517438.A.EFB#00000", "h27531165", "小妹 大學時期 有一陣子也很不喜歡穿內褲<br><br>因為穿緊身褲的時候 都會被看到內褲痕<br><br>有試過穿小丁 但會卡到私處 不是很喜歡<br><br>至於不穿小內走在路上是什麼感覺<br><br>老實說看到帥哥 有時候真的比較容易濕濕的<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>尤其是帥哥疑惑的看著我下面的棒狀物時<br><br>--<br>", "", ""
"sex#M.1432517438.A.EFB#00001", "comtw295", "0分 下一位", "05/25 09:32", "0"
"sex#M.1432517438.A.EFB#00002", "hh78611", "慢走，不送。", "05/25 09:33", "0"
"sex#M.1432517438.A.EFB#00003", "kaidouya", "馬的ㄧ堆小妹文是怎樣，噁爆了", "05/25 09:38", "0"
"sex#M.1432517438.A.EFB#00004", "timtxes", "甲", "05/25 09:39", "0"
"sex#M.1432517438.A.EFB#00005", "sunkao1035", "一樓幫舔", "05/25 09:58", "0"
"sex#M.1432517438.A.EFB#00006", "kaidouya", "1樓舔完5樓繼續舔", "05/25 10:01", "0"
"sex#M.1432517438.A.EFB#00007", "cszhe", "臭甲甲", "05/25 10:02", "0"
"sex#M.1432517438.A.EFB#00008", "sam901002", "掰", "05/25 10:06", "0"
"sex#M.1432517438.A.EFB#00009", "johnny60113", "掰==", "05/25 10:13", "0"
"sex#M.1432517438.A.EFB#00010", "SleepingWalk", "小妹？棒狀物？你該不會…", "05/25 10:14", "0"
"sex#M.1432517438.A.EFB#00011", "ccckkkaa", "臭甲", "05/25 10:14", "0"
"sex#M.1432517438.A.EFB#00012", "littlefight", "今日首噓送你", "05/25 10:15", "0"
"sex#M.1432517438.A.EFB#00013", "hank9515600", "臭甲滾", "05/25 10:16", "0"
"sex#M.1432517438.A.EFB#00014", "d8009051991", "有笑有推XDD", "05/25 10:22", "0"
"sex#M.1432517438.A.EFB#00015", "qo3ijtn", "沒笑", "05/25 10:45", "0"
"sex#M.1432517438.A.EFB#00016", "wellwest", "掰", "05/25 10:48", "0"
"sex#M.1432517438.A.EFB#00017", "abonbon", "掰掰", "05/25 10:50", "0"
"sex#M.1432517438.A.EFB#00018", "jerry0519", "雨八", "05/25 10:53", "0"
"sex#M.1432517438.A.EFB#00019", "scare123456", "首噓送你", "05/25 10:58", "0"
"sex#M.1432517438.A.EFB#00020", "vincent1985", "洨妹(蛋蛋)", "05/25 11:05", "0"
"sex#M.1432517438.A.EFB#00021", "engineer1", "送你紅", "05/25 11:06", "0"
"sex#M.1432517438.A.EFB#00022", "allen500900", "大家別這樣那是他的手電筒啦", "05/25 11:06", "0"
"sex#M.1432517438.A.EFB#00023", "kneller", "異男發文都這麼沒水準喔", "05/25 11:17", "0"
"sex#M.1432517438.A.EFB#00024", "swallowp1", "。", "05/25 11:17", "0"
"sex#M.1432517438.A.EFB#00025", "szachary1020", "拍拍", "05/25 11:21", "0"
"sex#M.1432517438.A.EFB#00026", "recall0420", "蛋蛋4 ni", "05/25 11:22", "0"
"sex#M.1432517438.A.EFB#00027", "qazwsx6107", "髒甲", "05/25 11:27", "0"
"sex#M.1432517438.A.EFB#00028", "haringwu", "錯把無聊當有趣", "05/25 11:32", "0"
"sex#M.1432517438.A.EFB#00029", "evif", "有事嗎", "05/25 11:35", "0"
"sex#M.1432517438.A.EFB#00030", "sohottttt", "夾起來就好啦", "05/25 11:37", "0"
"sex#M.1432517438.A.EFB#00031", "JDJDlove", "掰", "05/25 11:46", "0"
"sex#M.1432517438.A.EFB#00032", "boa255451", "掰", "05/25 11:49", "0"
"sex#M.1432517438.A.EFB#00033", "ghlese", ".....", "05/25 11:52", "0"
"sex#M.1432517438.A.EFB#00034", "wangyude", "想紅是嗎", "05/25 12:00", "0"
"sex#M.1432517438.A.EFB#00035", "lh9059", "金排球", "05/25 12:08", "0"
"sex#M.1432517438.A.EFB#00036", "st413133", "一堆甲文是怎樣拉", "05/25 12:08", "0"
"sex#M.1432517438.A.EFB#00037", "futsukayoi", "小妹撇條在褲底…？", "05/25 12:12", "0"
"sex#M.1432517438.A.EFB#00038", "tsai1005tom", "麥來亂", "05/25 12:16", "0"
"sex#M.1432517438.A.EFB#00039", "zxcvb10313", "噓爆", "05/25 12:23", "0"
"sex#M.1432517438.A.EFB#00040", "bennyfay", "大便記得拖褲子", "05/25 12:26", "0"
"sex#M.1432517438.A.EFB#00041", "sayhan", "不送了", "05/25 12:27", "0"
"sex#M.1432517438.A.EFB#00042", "arthur641987", "其實還蠻好笑的啦", "05/25 12:37", "0"
"sex#M.1432517438.A.EFB#00043", "snapchamp12", "難得可以讓我這麽想按「噓」.....", "05/25 12:37", "0"
"sex#M.1432517438.A.EFB#00044", "sgj0101", "掰", "05/25 12:40", "0"
"sex#M.1432517438.A.EFB#00045", "charn2034", "還不噓你！", "05/25 12:44", "0"
"sex#M.1432517438.A.EFB#00046", "rondox", "漏尿還不去就醫", "05/25 12:50", "0"
"sex#M.1432517438.A.EFB#00047", "momotaloson", "慢走不送", "05/25 12:52", "0"
"sex#M.1432517438.A.EFB#00048", "vikingsddt", "忘了噓~補你一個", "05/25 12:53", "0"
"sex#M.1432517438.A.EFB#00049", "joeboy", "你比我慘給你噓", "05/25 12:58", "0"
"sex#M.1432517438.A.EFB#00050", "ji394vul3nn", "北七", "05/25 13:05", "0"
"sex#M.1432517438.A.EFB#00051", "LOXA0115", "甲到笑啦～", "05/25 13:10", "0"
"sex#M.1432517438.A.EFB#00052", "omg456789", "甲甲", "05/25 13:17", "0"
"sex#M.1432517438.A.EFB#00053", "on543", "好難笑", "05/25 13:18", "0"
"sex#M.1432517438.A.EFB#00054", "girlkissme", "完全猜中結尾 費紋", "05/25 13:20", "0"
"sex#M.1432517438.A.EFB#00055", "mairjlin", "x  d  d  d", "05/25 13:21", "0"
"sex#M.1432517438.A.EFB#00056", "huangocean", "噓", "05/25 13:24", "0"
"sex#M.1432517438.A.EFB#00057", "vovovolibear", "彈出來了", "05/25 13:30", "0"
"sex#M.1432517438.A.EFB#00058", "rimand", "甲", "05/25 13:32", "0"
"sex#M.1432517438.A.EFB#00059", "cychine", "…", "05/25 13:32", "0"
"sex#M.1432517438.A.EFB#00060", "wolink314", "....先噓再說", "05/25 13:35", "0"
"sex#M.1432517438.A.EFB#00061", "LZ0905", "樓下幫補", "05/25 13:39", "0"
"sex#M.1432517438.A.EFB#00062", "pleaseman", "死甲!!!", "05/25 13:41", "0"
"sex#M.1432517438.A.EFB#00063", "sanpipi", "我褲子都脫了 你給我看這個？！", "05/25 13:41", "0"
"sex#M.1432517438.A.EFB#00064", "shaobeing", "有笑有推", "05/25 13:43", "0"
"sex#M.1432517438.A.EFB#00065", "ms0357648", "…", "05/25 14:01", "0"
"sex#M.1432517438.A.EFB#00066", "mutzy52000", "操，滾回甲版去", "05/25 14:06", "0"
"sex#M.1432517438.A.EFB#00067", "lv01193398", "死甲甲！", "05/25 14:09", "0"
"sex#M.1432517438.A.EFB#00068", "hkheido", "臭甲 夾起來就想當小妹", "05/25 14:09", "0"
"sex#M.1432517438.A.EFB#00069", "wwfwweword", "人家裝跳蛋，你裝電動塑膠懶！", "05/25 14:14", "0"
"sex#M.1432517438.A.EFB#00070", "keepwild", "鍵盤小妹?", "05/25 14:18", "0"
"sex#M.1432517438.A.EFB#00071", "Fearearth", "老梗", "05/25 14:21", "0"
"sex#M.1432517438.A.EFB#00072", "aids893001", "滾", "05/25 14:23", "0"
"sex#M.1432517438.A.EFB#00073", "chiou656820", "慢走不送", "05/25 14:24", "0"
"sex#M.1432517438.A.EFB#00074", "sanadaling", "幹 甲爆了", "05/25 14:41", "0"
"sex#M.1432517438.A.EFB#00075", "ivan22809", "乾...", "05/25 15:00", "0"
"sex#M.1432517438.A.EFB#00076", "louiswomen", "我戴上假屌準備好了,你快點趴下吧", "05/25 15:04", "0"
"sex#M.1432517438.A.EFB#00077", "bdchen", "幹笑死", "05/25 15:14", "0"
"sex#M.1432517438.A.EFB#00078", "gh29903260", "今日首噓送你", "05/25 15:29", "0"
"sex#M.1432517438.A.EFB#00079", "ryan09357379", "滿好笑的", "05/25 15:34", "0"
"sex#M.1432517438.A.EFB#00080", "hangar", "沒梗  滾", "05/25 15:35", "0"
"sex#M.1432517438.A.EFB#00081", "spadeh22553", "凸", "05/25 15:35", "0"
"sex#M.1432517438.A.EFB#00082", "hungchannnn", "?", "05/25 15:38", "0"
