"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1435162980.A.29E#00000", "kokouccu", "話說在前頭，本魯不高不帥文筆極差。<br><br><br><br>這位炮友是朋友介紹下認識的，<br><br>朋友出於同情處男，個性不錯才介紹。<br><br>由於是約十年前的事情，也失聯十年。<br>只依稀記得是位Ecup、160公分、55公斤左右的女孩。<br><br>那時我倆都還是學生，<br>而本魯就像開頭說的文筆極差，相對的口才就更差。<br>每每都是對方主動邀約，在房間(與父母同住)、她學校的教室、汽車旅館。<br>有時戴套有時沒戴套，過程不贅續因為也記不清楚了。<br><br>重點就是那時我差點當爸了，給了五千元的墮胎費後就只剩下朋友關係，<br>偶爾電話通訊關心對方近況。之後就越來越淡，淡到失聯。<br><br>最後只想說....還好當時沒被告性侵。<br><br>--<br>", "", ""
"sex#M.1435162980.A.29E#00001", "gunya", "真的還蠻差的吼", "06/25 00:24", "0"
"sex#M.1435162980.A.29E#00002", "wen750711", "所以？西斯？", "06/25 00:25", "0"
"sex#M.1435162980.A.29E#00003", "xu3g4m0623", "墮胎?你會被噓爛", "06/25 00:26", "0"
"sex#M.1435162980.A.29E#00004", "vn506695", "墮胎，爛透了", "06/25 00:28", "0"
"sex#M.1435162980.A.29E#00005", "EVILMAYCRY", "出來說嘴? 好棒棒?", "06/25 00:28", "0"
"sex#M.1435162980.A.29E#00006", "Athemase", "幹 玩到墮胎有夠差勁 連保護女生都不願意", "06/25 00:29", "0"
"sex#M.1435162980.A.29E#00007", "joe0934", "我都結紮了，學學我吧", "06/25 00:30", "0"
"sex#M.1435162980.A.29E#00008", "on543", "還是別約了吧你", "06/25 00:31", "0"
"sex#M.1435162980.A.29E#00009", "lai14103", "噁。", "06/25 00:32", "0"
"sex#M.1435162980.A.29E#00010", "kaaaaat", "害女生墮胎?", "06/25 00:34", "0"
"sex#M.1435162980.A.29E#00011", "angelgirl13", "幹 這三小啊 還po出來被噓", "06/25 00:36", "0"
"sex#M.1435162980.A.29E#00012", "yoyoboys1335", "如果我是她朋友 我一定揍你", "06/25 00:37", "0"
"sex#M.1435162980.A.29E#00013", "lovemika", "………", "06/25 00:39", "0"
"sex#M.1435162980.A.29E#00014", "ak13865", "乾我不是她朋友我都想揍你了", "06/25 00:42", "0"
"sex#M.1435162980.A.29E#00015", "blue8d83n", "13噓了 噓噓噓", "06/25 00:43", "0"
"sex#M.1435162980.A.29E#00016", "fender666", "。。。。墮胎==", "06/25 00:44", "0"
"sex#M.1435162980.A.29E#00017", "loveabaddon", "噓", "06/25 00:47", "0"
"sex#M.1435162980.A.29E#00018", "gtbox666", "2看不起", "06/25 00:52", "0"
"sex#M.1435162980.A.29E#00019", "zsc745616", "哪招呵呵", "06/25 00:52", "0"
"sex#M.1435162980.A.29E#00020", "chenbason", "我2真的沒壞", "06/25 00:55", "0"
