"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1439105578.A.F97#00000", "bird1140", "各位版上的男神30cm  女神E cup  大家午安<br><br><br><br><br>終於那放生我3個禮拜的閃光肥來了(擦淚<br><br>昨天晚上她應該是時差吧!就起床了<br><br>(剛好我LOL打完了，正在看癢)<br><br>她就默默的去沖澡(以為我沒有注意到她起床了)<br><br>我就衝去燒烤店買了一些她喜歡的東西，還有她最喜歡的蚵仔煎<br><br>時間抓得剛剛好，她洗完的時候，我剛好到家了<br><br>幫她吹完頭毛就開始養肥計畫<br><br>然後...她突然說: 欸瘦皮猴餵我<br><br>我就拿竹籤餵她<br><br>她突然撒嬌說:吼~人家要你嘴巴餵<br><br>(>//////////<)<br><br>我當然乖乖配合阿，超開心的有沒有<br><br>就這樣吃了半小時的宵夜<br><br>最後一口的青椒就被她騎上來了<br><br>她竟然說:等很久了捏，我要把你吃掉  吼吼吼<br><br>我:RRRR強姦阿<br><br>她就開始拉我衣服親我的葡萄乾(?)<br><br>各種舔加上咬，舒服到我差點睡著<br><br>然後被她發現，偷偷捏我一下T^T<br><br>然後我們就一個互相脫光光，一路亂親到床上<br><br>就開始將她的手舉高壓在枕頭上<br><br>摩鼻子→舌吻→耳朵→脖子(草莓GET)→鎖骨(咬)<br><br>→(手放開換柔大B)請在點點上面用舌頭寫ABCD在吸一下(不可以用牙齒咬)重複3次<br><br>→舔+吸豆豆→記得說一句:北鼻我要進去了唷<br><br>PS:<br>以上"→"請想像成我用親吻(順便留下一點口水)的方式移動到下一站<br><br>記得口水省一點用!不然會沒口水用<br><br>口水的好處是會冰冰涼涼的(我覺得很舒服拉)<br><br>PSS:<br>拜託那是你自己的閃光不要都不稱讚好嗎@@<br><br>到脖子的時候記得說:鼻你的脖子好性感<br><br>到胸部的時候記得用力吸一下再說好香<br><br><br><br>然後就開戰拉~<br><br>傳教士<br><br>其實我真的很不喜歡這個姿勢，因為我會背99乘法表...然後有被抓包過一次(囧)<br><br>不然會不小心走火   -0-<br><br>所以我通常不會投資這個姿勢太久<br><br><br>火車便當<br><br>身高差使得這個姿勢有一陣子我們都吃膩了，但好久沒用就不小心...<br><br>射了<br><br>射了<br><br>射了(幹超幹的一定是庫存太久)<br><br>我哭哭<br><br>一個忘了煞車釀成悲劇<br><br>等一下CD換一個套子小聊一下<br><br>然後...ROUND2<br><br>背後式(我的最愛\ouo/)<br><br>溫柔的翻身請閃光趴好再慢慢在她背上用手滑來滑去(我有用精油)<br><br>偶爾索吻一下~然後再撥開她的長髮用力的在脖子那邊在種一顆草莓>///<<br><br>一樣記得說:北鼻我要進去囉<br><br>也許我的牙籤有點下彎所以容易達陣吧<br><br>然後在達陣以前我有偷偷打她屁股(以前捨不得打可是我覺得我想試試看)<br><br>沒想到反應還蠻激烈的!!!<br><br>閃光突然大叫一聲，夾緊了一下，然後開關就被打開了...<br><br>閃光:再打一次<br><br>不打則以，一打不得了阿，開關一個OPEN阿(灑花~)<br><br>靠腰可是我後來專心衝刺的時候忘了打她的屁屁orz...<br><br>真的是小別勝新婚欸   超級刺激   心理上也超HIGH超亢奮DER<br><br>身心靈都超級無敵滿足DER<br><br><br><br><br><br><br><br><br><br><br><br><br>感謝上輩子的我~有好好燒香拜拜~讓我有這麼棒的閃光陪我>///<<br><br>--<br>", "", ""
"sex#M.1439105578.A.F97#00001", "sen042221", "閃屁啦討厭", "08/09 15:35", "0"
"sex#M.1439105578.A.F97#00002", "gunya", "樓下13", "08/09 15:36", "0"
"sex#M.1439105578.A.F97#00003", "lovemika", "對不起，天橋說書人必須噓。剛恢復單身真想連噓←←←", "08/09 15:36", "0"
"sex#M.1439105578.A.F97#00004", "SaChiA5566", "乾  最恨人放閃   林北單身很久了啦  乾乾乾，鳥大必噓死~~~", "08/09 15:36", "0"
"sex#M.1439105578.A.F97#00005", "SaChiA5566", "妳連噓我連推  OK的>//////<", "08/09 15:38", "0"
"sex#M.1439105578.A.F97#00006", "lovesmile07", "太閃啦怒噓一個", "08/09 15:38", "0"
"sex#M.1439105578.A.F97#00007", "lovemika", "wwwww這時候只能笑了wwwww", "08/09 15:39", "0"
"sex#M.1439105578.A.F97#00008", "lai14103", "終於輪到你發廢文了  忌妒噓!!!", "08/09 15:40", "0"
"sex#M.1439105578.A.F97#00009", "SaChiA5566", "紅的喜氣但我有情有義啦    只是沒女友哭哭喔", "08/09 15:40", "0"
"sex#M.1439105578.A.F97#00010", "zxc56021", "幫噓ㄚ，紅的喜氣", "08/09 15:42", "0"
"sex#M.1439105578.A.F97#00011", "SaChiA5566", "林北在上班耍廢  你在床上爽   踏馬滴~~~~", "08/09 15:43", "0"
"sex#M.1439105578.A.F97#00012", "lovemika", "樓上的煞氣大戰意十足啊，是狗蛋大兵的吳宗憲嗎…", "08/09 15:44", "0"
"sex#M.1439105578.A.F97#00013", "SaChiA5566", "乾~~很不爽阿~~我要女人(崩潰)", "08/09 15:45", "0"
"sex#M.1439105578.A.F97#00014", "miyako126", "閃到我崩潰  只能自己在家摳", "08/09 15:45", "0"
"sex#M.1439105578.A.F97#00015", "angelgirl13", "閃三小 幹幹幹幹幹", "08/09 15:46", "0"
"sex#M.1439105578.A.F97#00016", "momoispig", "閃屁 等等我要幹死糖糖腦公 哼", "08/09 15:46", "0"
"sex#M.1439105578.A.F97#00017", "SaChiA5566", "太多女生噓你了  我坦不住了(穿褲子跑路中)", "08/09 15:47", "0"
"sex#M.1439105578.A.F97#00018", "angelgirl13", "繼續噓，我討厭牧羊座所以再噓", "08/09 15:49", "0"
"sex#M.1439105578.A.F97#00019", "miyako126", "氣死我", "08/09 15:49", "0"
"sex#M.1439105578.A.F97#00020", "SaChiA5566", "有阿  我西斯後宮就左右手阿  超乖的護手霜就搞定了!", "08/09 15:49", "1"
"sex#M.1439105578.A.F97#00021", "galleon2000", "閃屁  欠噓", "08/09 15:50", "0"
"sex#M.1439105578.A.F97#00022", "MiiShin", "你妹的閃屁 我要瞎了 看你爽成這樣我就不爽啦哼", "08/09 15:52", "0"
"sex#M.1439105578.A.F97#00023", "SaChiA5566", "乾~~~~只有我獨力奮戰眾女神   快幫我補血阿阿阿阿阿", "08/09 15:52", "1"
"sex#M.1439105578.A.F97#00024", "SaChiA5566", "拍你老師啦   就我有情有液幫你推推 你就知道多惹人嫌", "08/09 15:54", "1"
"sex#M.1439105578.A.F97#00025", "lovecamp", "一起噓 快跟上", "08/09 15:56", "0"
"sex#M.1439105578.A.F97#00026", "SaChiA5566", "尬廣跟上啦   揪4愛鳥大大  >_^，你妹的林北忍一年多了  你忍三個禮拜久個鳥毛猩猩   妳的可魯在這啦  我先找一下墨鏡", "08/09 15:57", "0"
"sex#M.1439105578.A.F97#00027", "MiiShin", "誰管你啊 我的導盲犬呢", "08/09 15:58", "0"
"sex#M.1439105578.A.F97#00028", "phds", "閃三洨幹幹幹，不噓你當我棒槌", "08/09 16:01", "0"
"sex#M.1439105578.A.F97#00029", "miyako126", "根本沒人寄信什麼先知，怒噓死你誰來賣我墨鏡啊啊啊啊啊啊啊啊啊", "08/09 16:02", "0"
"sex#M.1439105578.A.F97#00030", "kevin6108n", "噓你", "08/09 16:03", "0"
"sex#M.1439105578.A.F97#00031", "SaChiA5566", "出團沒補師  只有林北一直坦   怪很強 我坦不住了，塊~~~~陶~~~~~阿~~~~~", "08/09 16:03", "0"
"sex#M.1439105578.A.F97#00032", "bird1140", "完了完了我等等去看電影回來會不會變成解西斯版XX成就阿", "08/09 16:03", "1"
"sex#M.1439105578.A.F97#00033", "lai14103", "去屎!!!!!\       /", "08/09 16:03", "0"
"sex#M.1439105578.A.F97#00034", "lovemika", "忙完不忘再噓一次。", "08/09 16:04", "0"
"sex#M.1439105578.A.F97#00035", "SaChiA5566", "這麼多沒阿閃的女神禮拜日在西斯板背糞  >////////<", "08/09 16:05", "0"
"sex#M.1439105578.A.F97#00036", "miyako126", "為了讓你達成成就我噓ㄌㄜ，啊啊啊啊啊啊  注音文", "08/09 16:05", "0"
"sex#M.1439105578.A.F97#00037", "bird1140", "要幫你修掉嗎@@?", "08/09 16:06", "0"
"sex#M.1439105578.A.F97#00038", "angelgirl13", "噓 死 你 怎 樣", "08/09 16:06", "0"
"sex#M.1439105578.A.F97#00039", "SaChiA5566", "X1了啦    笑死我   討噓活該啦你XDDDDDD", "08/09 16:07", "0"
"sex#M.1439105578.A.F97#00040", "miyako126", "不用啦   就算你這樣我還是給噓", "08/09 16:07", "0"
"sex#M.1439105578.A.F97#00041", "wack200186", "吃飽運動很不健康", "08/09 16:07", "0"
"sex#M.1439105578.A.F97#00042", "lai14103", "噓噓樂yay", "08/09 16:12", "0"
"sex#M.1439105578.A.F97#00043", "flyin314", "超好的  已羨慕", "08/09 16:13", "0"
"sex#M.1439105578.A.F97#00044", "lovemika", "就算你這樣我還是要噓←上班笑出來", "08/09 16:14", "0"
"sex#M.1439105578.A.F97#00045", "SaChiA5566", "想交P友(X)   想交女友(O)  阿我人醜蜜餞啦", "08/09 16:14", "0"
"sex#M.1439105578.A.F97#00046", "lai14103", "x1了XDDD", "08/09 16:15", "0"
"sex#M.1439105578.A.F97#00047", "miyako126", "@lovemika  能逗樂你是我榮幸  給約嗎，.....手指出了什麼問題  打錯ID啦啦啦", "08/09 16:16", "0"
"sex#M.1439105578.A.F97#00048", "ja11s4o1n7", "摁。", "08/09 16:22", "0"
"sex#M.1439105578.A.F97#00049", "s9210222", "跟風", "08/09 16:23", "0"
"sex#M.1439105578.A.F97#00050", "SaChiA5566", "太久沒做了  其實都快忘了愛愛是什麼感覺了(掩面)", "08/09 16:25", "0"
