"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1439631834.A.21B#00000", "tmac012004", "曾經在本網寫過一篇淫邪對我造成各種各樣損害的文章。其實在寫那篇文章 時，我已經<br>開始在戒除淫邪。而激發起我戒淫邪的是今年1月1日同學聚會時一班同學都去酒店找了小<br>姐，回來後覺得很恨自己，覺得自己特別醜陋，發誓一定要戒 掉淫邪。算起來到現在，<br>也大概有一年左右的光景了。感觸良多。特此將其中一些感受寫出來，希望與各位共勉。<br><br>　　首先我要說的是，在戒除淫邪的這一年來，是我三十多歲的人生最幸福最幸運最開心<br>的一年。<br><br>　 　我並沒有SY的習慣，但一直都深受淫邪所害。年少時已經經常進入色情場所。這導<br>致我的運氣一直很差。我的條件並不很差，但卻一直都找不到合意的女朋友， 看著以前<br>的同學一個個成家立室，自己卻還是孤單一個，這種心理很不好受。其他的不如意還有自<br>己因為經常淫邪，染上隱疾，父親一直的身體都不好，患上精神 病。而我的工作一般般<br>，也沒有財運。<br><br>　　但自從我立志戒淫邪後，我將所有色情DVD扔掉，今年我沒有上過一次色情網站，連<br>一些就算不是色情但可能與之有關的文章圖片都一概有意避開，色情場所更是避之不及，<br>平時供奉菩薩，盡可能多念佛。福報很快來臨，來得如此之快，連我自己都不敢相信。<br><br>　 　首先是因為我上一年幫了公司一件事情後，有立功表現，公司獎勵了我五萬元（以<br>前我知道會有獎勵，但絕對沒有想過會有這麼多），扣除稅後，也有四萬多元， 我這麼<br>多年來沒有什麼積蓄，我就靠著這幾萬元開始供了一個樓，那感覺真的非常好，覺得自己<br>幹了一件天大的事。而一年前我還在為這件事愁眉苦臉的。<br><br>　 　年初親戚幫我介紹一位女孩，我們兩人都覺得很滿意，前一個月，我們已經結婚了<br>。我的妻子雖然文化水平低了一點，但賢良淑德，相貌端莊，手腳勤快。令我驚 喜的是<br>，她也喜歡供奉菩薩，也有念佛。雖然文化低，但人很聰明，教她電腦什麼的，學得很快<br>。找份工作也一天就找到了。婚後的生活很美滿，而這一切，僅僅在 一年前，連想都不<br>敢想，就算想到我終有一天會結婚，也不敢想上天會給我這麼一個這樣好的女孩子。有必<br>要說多兩句的是，雖然夫妻之間的性生活不能算淫邪，但 也不能過度和貪戀。而由於我<br>妻子也信佛，所以跟她說起這些，她也表示理解，所以我們的房事也很節制。<br><br>　　今年年中由於在工作中幫了我老闆的一個朋 友，這個人在老闆面前美言我幾句，於<br>是我老闆立即就跟我加了工資，而且幅度還不少。而他的這個朋友，我當時連見都沒見過<br>（他人在美國），我只是幫他向國家 申報一些東西，其實整個操作過程也不是很難，都<br>是照章辦事而已。加了工資後就一下子就解決了我供樓的緊張狀況。<br><br>　　而我的父親在醫院因患有精神病呆了六年，今年由於病情轉輕，這個星期天就準備接<br>他出來了，也了卻我的一個很大的心結。<br><br>　　上面這幾件事是對我個人來說比較大的事，還有一些生活小事，就不在這裏詳述了。<br>而在以前，上述其中一個任何一件事對我來說都遙遙無期。各位看君，你們應該知道戒淫<br>邪的力量了吧。<br><br>　　回想起來，再看看其他因淫邪而折福的例子，對比我以前的生活，我堅信，這些改變<br>與戒掉淫邪有必要的因果關係。有些初涉佛的人，覺得這種聯繫有點虛，有點勉強，甚至<br>認為只是碰巧而已，其實大謬。本人不才，但我想，就算我們用一些「科學」的原理也是<br>可以講得通的。<br><br>　 　一個人能夠活得幸福，活得開心，很關鍵的一點就是你要有「正氣」，有「底氣」<br>，才會有福氣。而一個淫邪的人，其實自己也明知這樣不好，但總是忍不住去， 然後就<br>陷入一個內疚自責但又故態復萌的惡性循環。這和戒煙的心理一樣。試想，一個人老是在<br>自責內疚，能有正氣嗎？去哪些色情場所，多是些衛生條件惡劣空氣 汙濁之地，不要說<br>你去幹苟且之事，就算一個人呆在這些地方，都對身體健康有害。你整天去這些邪氣深重<br>的地方，能有正氣嗎？你看那些小姐，晚上在昏暗的燈光 下你覺得她漂亮，但如果你白<br>天看到她們，你會覺得她們其實面容憔悴枯槁無生氣，你經常跟她們在一起，能有正氣嗎<br>？你沉迷色欲圖一時快感，由於不是正常的夫 妻生活，心理上總有壓力，總有顧慮，總<br>有內疚，一個人長期這樣能有正氣嗎？而圖了一時快感之後，整天還在想著這些東西，睡<br>眠無規律，精神心態低迷，能有正 氣嗎？沒有精神，上班總是心猿意馬，應付了事，你<br>在工作上還能有成績嗎？因為精神狀態差，你面目可憎，還有良好的人際關係嗎？<br><br>　　而且，一個淫邪的人總喜歡和一些也有同好的人聚在一起，整天狎笑畏瑣地談論這些<br>，正氣何在？福氣何在？<br><br>　 　總結一下經驗：戒淫邪是一場持久戰，有時因為一時很快不想，就會認為其實我戒<br>掉是件很容易的事，反而放鬆警惕。不知不覺又重犯，我其中也有些反復，總以 工作很<br>累，腰很痛，確實需要按摩，想去按摩場所（其實真的想要按摩，你就乾脆去盲人按摩店<br>，又正經又有手藝）。注意，心癮非常難戒！我們每次重犯時都有一 些似是而非的藉口<br>，總在為自己找藉口。但想在往回看，我還算基本成功，其中很重要的一條經驗就是，要<br>加強自我暗示。<br><br>　　當你決定戒淫邪後，如果有 任何好事發生（就算是一些很細小的好事），你都要暗<br>示自己：你看，戒淫邪就有福報，就是有好處，就是好運。如果碰到一些不好的事，你同<br>樣要暗示，這些都是 以前淫邪的惡報，一定要儘快戒掉。我就是通過這些自我暗示的方<br>法，同時加緊念佛，要真的對佛有一個堅定的信仰，而不是將佛當作一個方便之門。只有<br>這樣，你 才會增強自我約束的能力，才能挺過一些反復期。我想，有些SY的朋友，也可<br>以參考一下。<br><br>　　每個人都有自己的特點，戒除淫邪可能每個人都有適合自 己的一套。不可能以一當<br>全。但有一點你要永遠記住的是：戒淫邪一定能帶來福氣！而淫邪一定能導致惡報。為了<br>你自己，甚至為了你的家裏人，你的後代，你都要 戒掉。其中的因果關係並不虛無縹緲<br>，而是實實在在。更不是某個人碰巧所遇，不是特例，無論是惡報還是福報的例子，在這<br>個網上已經是比比皆是。<br><br>你還在等什麼？<br><br>--<br>", "", ""
"sex#M.1439631834.A.21B#00001", "yoyoboys1335", "等你被噓死", "08/15 17:44", "0"
"sex#M.1439631834.A.21B#00002", "bird1140", "沒問題", "08/15 17:44", "0"
"sex#M.1439631834.A.21B#00003", "jkljkl112233", "會被噓到XX", "08/15 17:44", "0"
"sex#M.1439631834.A.21B#00004", "denny811012", "啥是淫  妳爸媽不淫有妳?", "08/15 17:46", "0"
"sex#M.1439631834.A.21B#00005", "miss500", "雖然已改正體字 不過工資是ooxx用語  科科~~這真的是你的心得嗎?", "08/15 17:46", "0"
"sex#M.1439631834.A.21B#00006", "yoyoboys1335", "抄對岸的評論  很開心嗎？", "08/15 17:47", "0"
"sex#M.1439631834.A.21B#00007", "MiiShin", "尼好煩", "08/15 17:49", "0"
"sex#M.1439631834.A.21B#00008", "EggXBlueSky", "好", "08/15 17:52", "0"
"sex#M.1439631834.A.21B#00009", "a42431217", "欸每次都要丟DVD不累嘛 然後一定要有一個家人在鬼門遊走zzz", "08/15 17:52", "1"
