"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1440872611.A.C56#00000", "sexKinsey", "不是我在說<br>剛在一起時覺得我女人全身永遠香噴噴<br>現在一開口就聞到她嘴巴超臭<br><br>她也不是說生過小孩很犧牲的那種<br>不過就是和我穩定交往而已<br>維持當初追她時的狀態很難嗎?<br><br>過一個冬天就變胖超多<br>嘴巴喊著要減但都只是說說而已<br>以前出門提早一小時準備<br>現在睡到要遲到了漱個口隨隨便便就出門<br>還要逼我說她怎樣都可愛<br><br>這些就算了!<br>剛交往時說想保有處女之身所以只能用手幫我<br>我也ok就當作妥協<br>結果呢?<br>現在把自己搞得又臭又胖我真的很難有感覺<br>畢竟只是手幫我啊 只是手只是手只是手只是手只是手!!!<br>說真的也沒有我自己的來舒服<br><br>後來讓我真幹我也是埋頭幻想別的女優<br>有時候天氣熱看到她黏黏膩膩的躺在我床上我就渾身不舒服<br>真的很想自己弄一弄算了<br>搞得好像我很無能<br><br>其實她也不是不好，在床上也挺有互動<br>叫的聲音還不錯聽<br>只是我要閉眼不然就整個軟…..= =<br><br>她有一次說自己好像懷孕真的我嚇死<br>簡直是強迫中獎<br>還好只是虛驚一場不然想到下半輩子要服侍母豬我就….<br><br>想到她是否就這樣定型真的很痛苦<br>越看越沒感覺<br>稍微提醒她就說我嘴賤不珍惜<br>啊我就覺得她詐欺啊!<br>要是我追她的時候高富帥<br>追到後變成老殘窮<br>她也會倒彈吧<br><br>有時候她回老家我們分開個好幾天只有講電話<br>只聽聲音會覺得她好像又有點可愛<br>但面對面尤其是躺到床上光著身體真的不行啊!!!<br>看到都無法升旗啊!!!<br>看購物台內衣廣告我都覺得很慰藉我想我真的太飢渴<br><br>要怎麼讓她更自愛阿…..orz<br>不要無限黑母豬化阿………….<br><br>還是說以後我在床上只能關燈閉眼了….<br><br>--<br>", "", ""
"sex#M.1440872611.A.C56#00001", "tenninetall", "樓下上", "08/30 02:24", "0"
"sex#M.1440872611.A.C56#00002", "duke5566", "不要", "08/30 02:24", "0"
"sex#M.1440872611.A.C56#00003", "HarrIsC", "說不定你在這樣罵她的同時她也是這樣講妳", "08/30 02:25", "0"
"sex#M.1440872611.A.C56#00004", "acde611", "那分手啊，廢話一堆，敢說不敢做", "08/30 02:26", "0"
"sex#M.1440872611.A.C56#00005", "bd0onu", "首噓送你", "08/30 02:29", "0"
"sex#M.1440872611.A.C56#00006", "jenny60234", "廢物分手啊 嫌成這樣別人可搶著要勒 少在那邊委屈", "08/30 02:29", "0"
"sex#M.1440872611.A.C56#00007", "bianbian", "這什麼廢文，幹 你會被13 mika s90 還有欣欣噓", "08/30 02:29", "0"
"sex#M.1440872611.A.C56#00008", "sunlighto7", "自愛沙小？", "08/30 02:30", "0"
"sex#M.1440872611.A.C56#00009", "totoab", "廢物分手啊 嫌成這樣別人可搶著要勒 少在那邊委屈", "08/30 02:31", "0"
"sex#M.1440872611.A.C56#00010", "s87269x", "這不是前兩天的文了？", "08/30 02:31", "0"
"sex#M.1440872611.A.C56#00011", "heineken0219", "先看看自己長怎樣", "08/30 02:32", "0"
"sex#M.1440872611.A.C56#00012", "yijingwang", "為啥又來亂阿", "08/30 02:32", "0"
"sex#M.1440872611.A.C56#00013", "travis2329", "總覺得有看過這篇", "08/30 02:32", "0"
