"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1441320231.A.DC2#00000", "steven4314", "幹幹叫，激動到不行<br><br>是在射精喔<br><br>我私心認為ttb是很優的版主啦<br><br>他偷私信人，跪著都應該<br><br>不過講實話，真的要亂來就開小號釣<br><br>有蠢到用匿名號?<br><br>用點腦<br><br>一堆人留言被桶的很可憐<br><br>幹你他媽來打手槍，連匿名帳號都不知<br><br>還是去豬腳發春就好<br><br>撒花放個屁就桶20年了<br><br>真是一群草莓<br><br>補個西斯點<br><br>昨天夢到跟ttb鬥劍<br><br>射了他ㄧ屁股，算是替天行道了<br><br>大概是這樣<br><br>謝謝大家<br><br><br><br><br><br><br>--<br>", "", ""
"sex#M.1441320231.A.DC2#00001", "ac4r", "下一位", "09/04 06:46", "0"
"sex#M.1441320231.A.DC2#00002", "mrj7328", "失敗", "09/04 06:48", "0"
"sex#M.1441320231.A.DC2#00003", "JQ10KA", "就是連開小號都懶.以為自己版主吃的開！被爆料剛好而已！", "09/04 06:48", "1"
"sex#M.1441320231.A.DC2#00004", "m2251000", "左轉jay板", "09/04 06:48", "0"
"sex#M.1441320231.A.DC2#00005", "rocfrank", "說真的 你沒他帥 就算是你當板主 也約不過他的", "09/04 06:49", "0"
"sex#M.1441320231.A.DC2#00006", "as314", "噓是給你看得", "09/04 06:51", "0"
"sex#M.1441320231.A.DC2#00007", "mlda888", "～", "09/04 06:51", "0"
"sex#M.1441320231.A.DC2#00008", "rocfrank", "就本魯跑趴的經驗 那些把眉高手基本條件還是要有的 要讓他現形 只能等他酒後才會知道本性了", "09/04 06:51", "1"
"sex#M.1441320231.A.DC2#00009", "z226071558", "好哦", "09/04 06:52", "0"
"sex#M.1441320231.A.DC2#00010", "start0917", "你在反串吧", "09/04 06:52", "0"
"sex#M.1441320231.A.DC2#00011", "JCS15", "這是很恨他 嫌仇恨值不夠高嗎xdd", "09/04 06:53", "0"
"sex#M.1441320231.A.DC2#00012", "Ho1liday", "XDDD", "09/04 06:54", "0"
"sex#M.1441320231.A.DC2#00013", "jbcc0315", "該該叫", "09/04 06:57", "0"
"sex#M.1441320231.A.DC2#00014", "k12795", "反串ㄇ", "09/04 07:07", "0"
"sex#M.1441320231.A.DC2#00015", "dream0402", "但請你不要小看男人精衝腦的蠢度好嗎", "09/04 07:10", "0"
"sex#M.1441320231.A.DC2#00016", "kaunaz", "。", "09/04 07:12", "0"
"sex#M.1441320231.A.DC2#00017", "chx64", "是不制死阿 但是起碼自桶三個月比照辦理是跑不掉的，另外後續則是因為自桶三個月後匿名帳號無人管理 必須換人", "09/04 07:13", "0"
"sex#M.1441320231.A.DC2#00018", "mtvabc", "ttb抓反串是對的 但他回信用詞需要改進", "09/04 07:18", "0"
"sex#M.1441320231.A.DC2#00019", "Chiehx", "應該自桶六個月", "09/04 07:19", "0"
"sex#M.1441320231.A.DC2#00020", "skyline0826", "愛他就不要害他", "09/04 07:20", "0"
"sex#M.1441320231.A.DC2#00021", "chx64", "不管是匿名或是實名 抓反串都不應該回信 頂多孤狗", "09/04 07:20", "0"
"sex#M.1441320231.A.DC2#00022", "s90523", "你是反串嗎", "09/04 07:27", "0"
"sex#M.1441320231.A.DC2#00023", "killrate", "...", "09/04 07:42", "0"
"sex#M.1441320231.A.DC2#00024", "qaz0314", "有上過中文嗎 重po一篇再來", "09/04 07:43", "0"
"sex#M.1441320231.A.DC2#00025", "SilentBob", "?", "09/04 07:44", "0"
"sex#M.1441320231.A.DC2#00026", "jbcc0315", "csi？", "09/04 07:46", "0"
"sex#M.1441320231.A.DC2#00027", "poisson1024", "嗯", "09/04 07:57", "0"
"sex#M.1441320231.A.DC2#00028", "bertiehou", "2沒壞", "09/04 08:08", "0"
"sex#M.1441320231.A.DC2#00029", "yuyu5566", "你說了算？", "09/04 08:13", "0"
"sex#M.1441320231.A.DC2#00030", "wishyouhowev", "開小號就跟開Toyota約妹，開匿名是開跑車，你說一樣不一樣?", "09/04 08:15", "1"
"sex#M.1441320231.A.DC2#00031", "desanz", ".", "09/04 08:33", "0"
"sex#M.1441320231.A.DC2#00032", "jbcc0315", "有版主身份  很多妹就先自濕了，那有一樣？…肥宅也一秒變鮮肉", "09/04 08:38", "0"
"sex#M.1441320231.A.DC2#00033", "deann", "我覺得板主也是有性慾  也是會想打砲的阿", "09/04 08:43", "0"
"sex#M.1441320231.A.DC2#00034", "skyline0826", "想打砲就用自己本尊帳號約啊!小叮做事小叮噹啊", "09/04 09:05", "0"
"sex#M.1441320231.A.DC2#00035", "pilitiger", "欠噓", "09/04 09:12", "0"
"sex#M.1441320231.A.DC2#00036", "rob666", "好笑", "09/04 09:14", "0"
"sex#M.1441320231.A.DC2#00037", "angels", "沒人叫他死阿~但是只准自己約砲不准別人約砲，皇帝逆？", "09/04 09:23", "0"
"sex#M.1441320231.A.DC2#00038", "Shellingford", "他可以下台了.回文理由真是跨丟鬼。誰相信", "09/04 09:31", "0"
"sex#M.1441320231.A.DC2#00039", "redsoxortiz", "1人1信 慰留小雞", "09/04 09:33", "0"
"sex#M.1441320231.A.DC2#00040", "pinkkky", "推這篇   我很訝異一堆落井下石的人~應該是忌妒吧", "09/04 09:37", "0"
"sex#M.1441320231.A.DC2#00041", "pinkkky", "補推    上面W ~ 開匿名叫開跑車? 本尊不是更威!!", "09/04 09:40", "0"
"sex#M.1441320231.A.DC2#00042", "EAsoN1123", "噓 都噓都噓", "09/04 09:46", "0"
"sex#M.1441320231.A.DC2#00043", "fix78", "廢文耶", "09/04 09:57", "0"
"sex#M.1441320231.A.DC2#00044", "calvinzzz", "浪費我10秒", "09/04 10:14", "0"
"sex#M.1441320231.A.DC2#00045", "H47X", "一堆人要幹死他還真以為自己是神鳥鳳凰了", "09/04 10:25", "0"
"sex#M.1441320231.A.DC2#00046", "handsomlaugh", "www", "09/04 10:33", "0"
"sex#M.1441320231.A.DC2#00047", "Chris76", "你哪位？  當你個版？", "09/04 10:40", "0"
"sex#M.1441320231.A.DC2#00048", "eric4309", "噓", "09/04 10:40", "0"
"sex#M.1441320231.A.DC2#00049", "kuwai", "可悲", "09/04 10:47", "0"
"sex#M.1441320231.A.DC2#00050", "tenku", "幹 ！剁掉啦", "09/04 11:27", "0"
"sex#M.1441320231.A.DC2#00051", "toehold", "嗨，不送了", "09/04 11:27", "0"
"sex#M.1441320231.A.DC2#00052", "monmon6", "可惡的人  來決鬥吧", "09/04 11:39", "0"
"sex#M.1441320231.A.DC2#00053", "ppc", "qn也超蠢 什麼我跟他聊過我保證他不是這樣的人 => 這三小", "09/04 11:50", "0"
"sex#M.1441320231.A.DC2#00054", "nan0205", "嗯哼~", "09/04 12:12", "0"
"sex#M.1441320231.A.DC2#00055", "kawababy", "拿掉版主光環的小號，釣的到嗎?有那個本事嗎?", "09/04 12:17", "0"
"sex#M.1441320231.A.DC2#00056", "MKSIN", "跪求約泡內容圖", "09/04 12:46", "0"
"sex#M.1441320231.A.DC2#00057", "z030060374", "卡等有沒有真實案例出現血尿控訴", "09/04 12:49", "0"
"sex#M.1441320231.A.DC2#00058", "hunterjojo", "林阿罵哩", "09/04 13:12", "0"
"sex#M.1441320231.A.DC2#00059", "MirageAngel", "˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙˙~", "09/04 13:14", "1"
"sex#M.1441320231.A.DC2#00060", "william1222", "去旁邊跪算盤！", "09/04 16:05", "0"
"sex#M.1441320231.A.DC2#00061", "chiangmh", "=================權力就是腐敗的開始=================", "09/04 16:10", "1"
"sex#M.1441320231.A.DC2#00062", "scare123456", "反串", "09/04 16:42", "0"
"sex#M.1441320231.A.DC2#00063", "yuan780703", "你太天真…如果開個小號，這種人人都辦得到的事情，那濫用公權力的人都是智障囉？", "09/04 17:04", "0"
"sex#M.1441320231.A.DC2#00064", "soar1983", "公器私用就是欠砲", "09/04 17:08", "0"
"sex#M.1441320231.A.DC2#00065", "alin1028", "浪費我時間", "09/04 18:44", "0"
"sex#M.1441320231.A.DC2#00066", "tsai1005tom", "幹 北七 就算你是反串還真的有夠爛", "09/04 19:58", "0"
"sex#M.1441320231.A.DC2#00067", "fantiida", "感覺好討厭", "09/04 20:54", "0"
"sex#M.1441320231.A.DC2#00068", "kone8000", "Cool", "09/05 05:26", "0"
"sex#M.1441320231.A.DC2#00069", "lawyer5566", "我的天啊這個不噓不行，幹 按錯", "09/05 05:26", "0"
"sex#M.1441320231.A.DC2#00070", "a910136", "匿名帳號比較有公信力，對方可能會回覆，小號誰會理你，護衛隊不是這樣當地。", "09/05 11:06", "1"
"sex#M.1441320231.A.DC2#00071", "ninisix", "失敗中的失眠，只能給噓", "09/05 22:13", "0"
