"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1441333537.A.DAD#00000", "Dontco", "剛剛討論的結果 板主群決定暫時關閉匿名帳號<br><br>這段期間內暫時不受理相關代PO業務<br><br>待爭議釐清後 再來決定匿名帳號的去留<br><br>以上<br><br><br><br>--<br>", "", ""
"sex#M.1441333537.A.DAD#00001", "lmf770410", "恩", "09/04 10:25", "0"
"sex#M.1441333537.A.DAD#00002", "fungling", "所以我說 line群在哪呢", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00003", "siang820420", "哦哦", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00004", "lpbrother", "五樓超帥，請柯P放過西斯版", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00005", "waterice0902", "你先說你有沒有看到脖子以上的圖", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00006", "motorola368i", "閱 所以勒 要永久水桶事主了沒 還是輕鬆下台了事?", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00007", "kidd232", "請提出爭議處理流程大綱", "09/04 10:26", "0"
"sex#M.1441333537.A.DAD#00008", "database", "所以TB不用水桶 超爽的", "09/04 10:27", "0"
"sex#M.1441333537.A.DAD#00009", "Ho1liday", "為什麼決定要打2次?", "09/04 10:27", "0"
"sex#M.1441333537.A.DAD#00010", "qscxz", "P2幹麻關版 我要看圖!!!", "09/04 10:27", "0"
"sex#M.1441333537.A.DAD#00011", "vux", "爭議是如何管理，不是去留", "09/04 10:27", "0"
"sex#M.1441333537.A.DAD#00012", "lmf770410", "感覺Ttb判決還沒那麼快下來", "09/04 10:27", "0"
"sex#M.1441333537.A.DAD#00013", "AndreEthier", "我也想看沒上碼的圖拉，版主就能看無碼的圖  還私藏..", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00014", "seamask", "那你到底釋不釋放被ttb桶的人?還是桶不桶ttb?想止血從這邊先來", "09/04 10:28", "1"
"sex#M.1441333537.A.DAD#00015", "EVILMAYCRY", "然後下一篇解釋一下 line群好嗎?", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00016", "xup6ru0454", "我也想加LINE", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00017", "waterice0902", "東摳求拉神秘line群", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00018", "Csir", "這段時間內女鄉民想發文可以先寄給我  保證不外流", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00019", "psee", "這不是黑箱    什麼才是黑箱", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00020", "fungling", "又刪文囉 吃相難看，樓上3V", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00021", "vvvlove5566", "快選新版主好嗎", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00022", "onedayyomei", "我也要看批兔跟line群啊私藏太過分了吧o'_'o", "09/04 10:28", "0"
"sex#M.1441333537.A.DAD#00023", "a547808588", "真難看", "09/04 10:29", "0"
"sex#M.1441333537.A.DAD#00024", "e73103999", "你誰啦？", "09/04 10:29", "0"
"sex#M.1441333537.A.DAD#00025", "antiyahoo", "fxxx，hi", "09/04 10:29", "0"
"sex#M.1441333537.A.DAD#00026", "lpbrother", "我愛樓下", "09/04 10:29", "0"
"sex#M.1441333537.A.DAD#00027", "hidicence", "我也要賴群啊", "09/04 10:29", "0"
"sex#M.1441333537.A.DAD#00028", "F11", "還要討論三小 風頭過後在line相見喔", "09/04 10:29", "0"
