"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1441420166.A.2CE#00000", "Dontco", "1. 這篇是代PO<br>2. ttb的分身違反板規 本尊與分身已按照板規處理 不另行公告<br>3. 過去西斯板重大事件都有使用道歉分類 [道歉]分類我參考2009的鬍子事件<br>4. 原文作者要求該文禁止轉文 僅留在西斯就好了<br>5. 我只是代PO 別這麼嚴苛拉囧<br><br><br><br>抱歉，真的很抱歉，原本以為在熱鬧的站慶截止前會有一波高潮，吸引很多人出來參與，<br>結果卻因為我的事情，鬧得板上沸沸揚揚，在這邊向所有人，特別是很信任我的人，鄭重<br>地說聲，對不起。<br><br>我濫用職權用匿名帳號要圖，還不要臉地發公告水桶那些寄信者自加os，我並沒有想藉由<br>羞辱別人，來營造個人聲勢，過去曾有篇沒有加註後，看到一些人推文及收到一些信說怎<br>麼沒有旁白，所以才又加上去的，我沒有自以為天下無敵，迷戀其中，畢竟，這只是網路<br>世界，關上電腦我什麼都不是，接下來，我想解釋大家有疑問的：<br><br><br>1.沒有什麼「特地傳圖」的line群存在<br>我手機裡的line群組有40幾個，由工作、運彩、遊戲、朋友及球隊所組成，昨天很認真的<br>從平常較會嘴砲的群組翻找過去的歷史訊息，有找到我確實有貼過照片連結，當時該群組<br>問有篇自刪文章，內容是什麼？我翻了記錄後就轉貼該篇聞所附的連結圖過去，而不是「<br>匿名帳號」所附的圖。<br><br><br>2.我確實有轉文到Ptt2個人板<br>從當上板主前我就有這習慣，會把在P1全站看到的熱門文章轉貼到我的P2板上去，當上板<br>主後依然有這習慣，但多了「可翻板上記錄」的這個權力，西斯板上自刪、被我刪掉的以<br>及匿名帳號的文，我都可能會轉貼到，不過文章原本有什麼我就轉錄什麼，並無「跟別人<br>要的圖」甚至洩漏個資，這點若需要，我可以給站方查詢，P2紀錄都還在。<br><br><br><br><br><br><br>最後，再次跟大家說聲<br><br>對不起<br><br>我辜負更破壞了你們的信任<br><br><br><br><br><br>--<br>", "", ""
"sex#M.1441420166.A.2CE#00001", "littleDP", "推個", "09/05 10:29", "0"
"sex#M.1441420166.A.2CE#00002", "siang820420", "還是噓啊", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00003", "lpbrother", "樓下帥哥", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00004", "oramge", "被你搶先了", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00005", "yung7767", "噓", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00006", "w1230319", "馬的....我連噓都懶得噓了 洗白SOP不是這樣演的..(扶額)", "09/05 10:30", "1"
"sex#M.1441420166.A.2CE#00007", "rocfrank", "ttb分身違規 板主你要不要處理?", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00008", "clairemilk", "真的是？", "09/05 10:30", "0"
"sex#M.1441420166.A.2CE#00009", "yuuuu0701", "嗯..", "09/05 10:30", "0"
