"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1445131375.A.B26#00000", "lu11322000", "小魯一次偶然機會看到版上東南亞大使的文章後,<br><br>開始好奇起外籍女性(東南亞)是不是真的那麼easy?<br><br>除此之外,小魯也確實看過很多大大的分享文<br><br>如何以外籍移工最愛用的APP來達到約砲成效<br><br>倒也不是小魯真的魯蛇,需要靠這個來解決個人性慾<br><br>真的就是喜歡做實驗<br><br>想當年小魯高中時,為了測試同性戀問題,也故意讓自己喬裝過同性戀,<br><br>看看會不會有同性戀真的來跟小魯約砲<br><br>不過可能小魯長得太過MAN 太過沒有同性戀的氣息 勾不起其他同性戀者的興趣<br><br>所以那場實驗 也就終告失敗 不過這些都是題外話<br><br>回到正題, 首先小魯先透過 T 開頭,號稱可以把遍在台東南亞女性的APP,開始亂槍打鳥.<br><br>所謂亂槍打鳥,到還不至於到飢不擇食,我還是會稍微過濾一下自己可以接受的長相.<br><br>有不少鼻子扁,又黑又肥的印尼女性都喜歡放上自己穿戴傳統伊斯蘭服飾的照片,<br><br>那種的小魯看到一律就是PASS~!!PASS!!畢竟光看就軟桿了~<br><br>就在這時!終於釣上一位在離小魯住家不到一公里的印尼女性 長相完全有80分以上<br><br>要說她是印尼大正妹,一點也不為過,從她個人相簿中的照片可以看見<br><br>她胸型翹挺,身材苗條,皮膚也不黝黑,綁著馬尾,非常清秀<br><br>幸虧小魯外文還不是太差,跟這印尼妹子英文聊天聊得還滿來的.<br><br>印尼妹子提到 自己是在這裡當居家看護的外勞<br><br>每天就是照顧奶奶, 幾乎沒有假期,只能一直待在家中<br><br>小魯考量到她成天被限制在家中或者公園 一定渴望男性<br><br>於是用一些挑逗的字眼 約她出來<br><br>終於百盧千盧 印尼妹子拗不過 也就答應趁奶奶睡著 偷溜出來到住家附近暗巷跟小魯會面<br><br>半夜一點多, 小魯終於在某個暗巷見到妹子<br><br>小隻馬,身材非常好,超正,整個打趴一堆台灣女<br><br>妹子跟小魯抱了一下  兩人聊了一下 小魯提議出去某個地方休息(打炮)<br><br>妹子頓了一下 似乎想通了甚麼 頓時拒絕了小魯的提議<br><br>她說要是被奶奶家人發現 她擅自跟台灣男生見面 她是要被懲罰的 只能跟小魯說對不起<br><br>她表示她突然很後悔出來 她是來這邊工作的 不是出來做這種事情的<br><br>於是一個轉身就往她家的方向奔去了.......<br><br>NO~~~~~~~~~~~~~~~~~!!!!!!!!!<br><br>小魯只好看著她那性感的背影消失於黑暗當中<br><br>這時小魯頓時自信感掉到谷底 連自己都會被外勞給打槍是三小 !?<br><br>不過冷靜想想小魯過去輝煌的情史跟條件,還是覺得自己不應該因為這點小事灰心<br><br>畢竟 誰說金城武一定會百發百中?攻無不克?<br><br>或許是小魯步調太快 在一天之內就表現出企圖 嚇到這個妹子了<br><br>仔細想想,一天以內就能約出一個正妹,小魯功力應該還不至於太差啊?<br><br>好吧! 給自己療完傷,繼續展開第二波實驗!<br><br>隔天,  小魯又成功在APP上搭上一位越南女性 離小魯家差一兩公里距離<br><br>長髮美腿 身材不錯 跟小魯同歲<br><br>這次小魯就小心翼翼跟對方聊 發現越南女生有別於印尼女生<br><br>英文通常很差 連基本單字都不會 學歷也普遍不高 但反而中文還不錯<br><br>這位越南女生 已婚 但是卻跟台灣丈夫已經分居多年<br><br>而且似乎對丈夫沒有感情了 也不喜歡跟小魯談自家丈夫的事情<br><br>小魯這次同樣於一天之內約出這位越南女生<br><br>越南女生約小魯到郊區的一間越南小吃店吃飯<br><br>兩人一見面,對方確實就是長髮披肩,小隻馬,穿著熱褲隱約露出一點事業線,<br><br>雖然沒有先前那個印尼妹子來得清純模樣,不過卻多了幾分野性魅力<br><br>越南女生說小魯長得帥 兩人開心進入小吃店簡單點兩杯 越南咖啡喝<br><br>所謂越南咖啡,就是類似在沖泡三合一咖啡上放進一堆碎冰塊,搞得很像咖啡剉冰這樣<br><br>可以讓你吃很久很久...<br><br>進來小吃店就是一種越南體驗,這裡的越南男女都先用奇怪眼神盯著小魯<br><br>但其中確實看到不少越南妹子 都長得很不錯 身材也都很好<br><br>這些越南男女隨後便開始兀自機哩瓜啦越語聊天, 或者開始卡拉OK唱起越南歌 不理小魯<br><br>而這位跟小魯見面的越南女性的名字 姑且叫 小美 吧<br><br>兩人邊喝咖啡聊得很開心 她也獻唱一首越南歌曲給小魯聽 跟小魯說很多越南的風土民俗<br><br>兩人度過美好的一個小吃店聊天時光<br><br>後來兩人各自回家後,到了半夜 小魯可沒忘記實驗本質<br><br>故意試探性在手機上問小美: 我能追妳嗎?<br><br>小美似乎對於台灣流行用語還不熟悉 問"追"是什麼意思? 是"親"的意思嗎?<br><br>小魯便趁機笑說: 那妳想親我嗎?<br><br>沒想到小美毫不猶豫就說: 想<br><br>然後兩人就又一時慾火難耐,又約了出來在某個便利商店前見面<br><br>兩人邊喝飲料邊散步在半夜的巷口<br><br>小魯故意牽小美的手  小美也沒反抗<br><br>小美說明早還要去工廠上班 今天先這樣 明晚再見面可以嗎?<br><br>由於有先前印尼妹子太過急躁的教訓<br><br>今天先到牽手這個階段,確實已經不簡單了,該當滿足了!<br><br>於是小魯也就答應了,兩人就此解散.<br><br>到了第二天晚上,小魯就跟小美約在某個地點見面,小美上了小魯的野狼<br><br>小美羞澀地在小魯身後表示: 第一次感受當台灣年輕人<br><br>也是,想想小美年紀輕輕就嫁給一個比自己大很多歲 可能是工作不穩定的台灣老男人<br><br>雖然跟小魯同歲,但卻沒像小魯經歷過 大學時光的熱血~海外留學的瀟灑~<br><br>小美說她配不上小魯 但其實小魯內心真的也不是想跟小美發展 再次強調 一直告訴自己<br><br>這是實驗!!!!!<br><br>終於當天晚上 小魯跟小美就在某個氣氛佳的地方 發生關係了<br><br>從認識到發生關係 共耗時兩天<br><br>也學到了越南話 親嘴的意思  叫做  轟咬~<br><br>這或許就是很多版上大大們 掛在嘴邊的 轟轟轟轟轟轟 吧!?<br><br>本以為就此就結束了這場實驗<br><br>小美卻似乎已經愛上了小魯 怕小魯就此離開她 希望每天晚上能跟小魯見面<br><br>小魯這時 卻突然有點後悔執行這場實驗 感覺這是個 無底洞 可能還會給小魯帶來麻煩<br><br>因此心情不好了一陣子<br><br>或許該是跟小美斷然切的時候了 畢竟小魯也有自己的生活<br><br>這也是小魯後續要處理的問題<br><br>西斯分享 大致以上 西斯太詳細過程就不說了 自行想像<br><br>結論就是 實驗成功. 小魯回歸正常都會上班族生活 . 再會<br><br><br>--<br>", "", ""
"sex#M.1445131375.A.B26#00001", "RedPine", "感謝大大無私分享", "10/18 09:26", "0"
"sex#M.1445131375.A.B26#00002", "turechirex", "感謝大大無私分享~~                         好圖讚", "10/18 09:27", "1"
"sex#M.1445131375.A.B26#00003", "a82412", "圖？？", "10/18 09:29", "0"
"sex#M.1445131375.A.B26#00004", "anderson1979", "存檔先", "10/18 09:31", "0"
"sex#M.1445131375.A.B26#00005", "goodid520", "圖找不到啊", "10/18 09:32", "0"
"sex#M.1445131375.A.B26#00006", "sen042221", "留空這麼多害我以為還有什麼", "10/18 09:35", "0"
"sex#M.1445131375.A.B26#00007", "lpiglet", "我還以為你最後要說 他就變成老婆了..", "10/18 09:36", "0"
"sex#M.1445131375.A.B26#00008", "sjps30607", "空那麼多有病哦 po圖再補推 人人有責", "10/18 09:41", "0"
"sex#M.1445131375.A.B26#00009", "kids1991", "存心玩弄女人", "10/18 09:42", "0"
