"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1446030637.A.3C9#00000", "ChinaTaiwan", "2015年10月28日13:20<br><br><br>http://twimg.edgesuite.net/images/ReNews/20151028/640_2b265620b8f4a1acf5d66918db9407a5.jpg<br>印尼移工不滿同鄉小三另結新歡，拐騙到旅館加以性侵。示意圖　<br><br>１名29歲印尼人夫FUAD，離鄉背景來台工作，在湖口一家工廠上班。未料，人夫在台灣工<br>作結識同鄉阿妮，阿妮甘做其小三，成為男女朋友。只是今年3月間，兩人鬧分手，FUAD<br>認小三遭小王橫刀奪愛，5月間FUAD設局誆女友「有同鄉好友想見她」，阿妮遭誘到喬蓮<br>旅館。<br><br>男見女友上鉤，即亮刀並推倒女友在床，恫嚇「若大叫，就把刀插上去」。他不斷查看她<br>手機，竟外發現小三與小王親密合照，氣得當場脫光女友衣褲，邊性侵邊打電話給情敵，<br>嗆說「我正在跟阿妮做愛」，並將手機放在床邊，被害女不斷呼救「救救我，報警」，還<br>將做愛過程直播給情敵聽。<br><br>他性侵得逞後，被害女趁對方不備，緊急將床旁的水果刀，丟到床底下，趁機脫逃。回家<br>後才向僱主哭訴，遭男友狼爪性侵，僱主才帶被害女報警。他到案後，坦承有持刀性侵女<br>友，表示因見到女友與情敵太親密的照片，情緒失控。情敵也出庭證稱，在手機中確實有<br>聽到被害女被迫做愛發出的聲響及呼救大叫「快報警」。<br><br>不過，阿妮事後竟與FAUD重修舊好，庭訊時向法官表示FAUD承諾未來會與元配離婚，與她<br>結婚，雙方還保持情侶及性關係，她甘願暫時做小三，同時她也向法官求情，表明已原諒<br>他了，盼望不要讓他入監。<br><br>合議庭法官審酌，依法FAUD所犯強制性交的刑責是3年以上10年以下有期徒刑，但考量<br>FAUD在案發時確因與女友發生感情糾葛，一時情緒失控才犯案，且犯案過程中並未暴力相<br>向，犯後態度深具悔意，也與被害女繼續交往，依刑法59條酌予減刑，並依恐嚇危安罪判<br>4月易科罰金12萬，強制性交罪判1年10月，緩刑4年，期間保護管束。<br><br>網友對此熱議不已，紛紛留言「這女的也夠了 自找罪受」、「在他們自己國家不敢亂，<br>來台灣就大解放，這就是台灣人權進步的結果」、「遣送回去 留在台灣幹嘛！」、「第<br>一次看到女人被性侵後...然後願意結婚嫁給性侵犯的...是在表示招式很爽嘛..願意嫁?<br>」、「斯德哥爾摩症候群？」。(突發中心楊勝裕/新竹報導)<br><br>http://www.appledaily.com.tw/realtimenews/article/new/20151028/720354/<br><br>--<br>", "", ""
"sex#M.1446030637.A.3C9#00001", "bird1140", "五樓不用負責嗎？", "10/28 19:12", "0"
"sex#M.1446030637.A.3C9#00002", "JenniferG", "人家在玩遊戲 你們認真了", "10/28 19:12", "0"
"sex#M.1446030637.A.3C9#00003", "ppstation", "就像台灣人去澳洲打工的事也不少", "10/28 19:14", "0"
"sex#M.1446030637.A.3C9#00004", "qazwsx6107", "為什麼不用17直播", "10/28 19:21", "0"
"sex#M.1446030637.A.3C9#00005", "kenny0748", "你這ID還敢出來", "10/28 19:21", "0"
"sex#M.1446030637.A.3C9#00006", "paannee3", "這ID....", "10/28 19:28", "0"
"sex#M.1446030637.A.3C9#00007", "nyo812", "ID滾", "10/28 19:28", "0"
"sex#M.1446030637.A.3C9#00008", "andy880104", "ID", "10/28 19:30", "0"
"sex#M.1446030637.A.3C9#00009", "cherrychiao", "又是你 不要待在台灣 啦", "10/28 19:31", "0"
