"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1446245915.A.B2F#00000", "ChinaTaiwan", "2015年10月31日00:10<br><br>中國籍熊姓女子16年前和林姓丈夫結婚，卻和丈夫的親哥哥亂倫，懷了大伯的親骨肉，熊<br>女直到日前透過律師跨海提告，提出否認子女官司，要求大伯認領現年15歲的女兒。法官<br>根據DNA鑑定，認定熊女大伯是孩子的生父，裁定熊女女兒與熊女大伯的親子關係存在，<br>需認領女兒。弔詭的是，由於熊女丈夫和哥哥同名同姓，也因此孩子雖換了爸爸，爸爸的<br>姓名卻沒變。<br><br>據悉，這兩名同名同姓的兄弟，是常前往中國的台商，哥哥66歲、弟弟60歲。裁定指出，<br>熊女跟林男弟弟在1999年9月結婚，隔年3月，熊女生下一女，雖依《民法》推定，孩子是<br>她和丈夫的婚生小孩，但實際上她卻和大伯亂倫，也因此孩子父親是丈夫的哥哥（66歲）<br>，並經親子DNA鑑定確認，因此才向新北地院提出官司，除要求確認親子關係存在，也要<br>求大伯須認領該女兒。<br><br>熊女的丈夫對於熊女及小孩的主張都沒有意見，丈夫的哥哥則坦承，小孩確實是他的親骨<br>肉，也願意認領該小女孩。<br><br>法官審酌林口長庚醫院檢驗醫學科的親子鑑定報告，證明林男哥哥跟小女孩的父女關係確<br>定率高達99.999998%，哥哥確實是小女孩的親生父親，裁定兩人的親子關係存在，因此熊<br>女要求大伯認領該小孩也依法有據，裁定林男哥哥須認領女兒。<br><br>據悉，法官接到此案，調閱戶籍相關資料，發現這對兄弟同名同姓，判決書也以林ＸＸＡ<br>、林ＸＸＢ來區分，並附上兩人的出生年月日來辨別，至於為何兄弟都同姓名，基於此官<br>司，當事人都沒不同意見，且有科學證據證明，再加上兄弟同姓名也與案情無關，因此法<br>官並未進一步釐清。《蘋果》記者詢問熊女律師，律師則表示未經授權，無法作任何說明<br>，也因此這對兄弟為何同名同姓，至今仍是個謎。（孫友廉／新北報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20151031/722518<br><br>--<br>", "", ""
"sex#M.1446245915.A.B2F#00001", "ChinaTaiwan", "我相信此版是很理性的，絕對不會以ID廢文", "11/29 22:41", "0"
"sex#M.1446245915.A.B2F#00002", "snow0709", "你錯了", "10/31 07:01", "0"
"sex#M.1446245915.A.B2F#00003", "tysd101355", "壓力測試", "10/31 07:02", "0"
"sex#M.1446245915.A.B2F#00004", "alongbest", "滾", "10/31 07:06", "0"
"sex#M.1446245915.A.B2F#00005", "s886kk", "純噓ID", "10/31 07:10", "0"
"sex#M.1446245915.A.B2F#00006", "souvlaki", "早安", "10/31 07:14", "0"
"sex#M.1446245915.A.B2F#00007", "briankof", "呵", "10/31 07:16", "0"
"sex#M.1446245915.A.B2F#00008", "smart1989", "滾", "10/31 07:18", "0"
"sex#M.1446245915.A.B2F#00009", "enjoy5566", "鉀紅加快搞", "10/31 07:18", "0"
