"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1447846755.A.825#00000", "ChinaTaiwan", "深田恭子沒男友 只想做愛<br>2015/11/18 09:23<br><br>http://img.ltn.com.tw/Upload/ent/page/800/2015/11/18/php0xIF2r.jpg<br>以甜美形象走紅的深田恭子，豐滿D奶曾獲得「美胸女星」第2名。（翻攝自網路）<br><br>〔記者賀靜賢／綜合報導〕33歲深田恭子被視肉食女，這次她真的在新戲中演一名肉食女<br>，特徵是「沒有男友、沒有工作、沒有存款，只想做愛」。而深田笑說，為了符合角色設<br>定，她吃了很多肉，但是真的烤肉，而不是小鮮肉！<br><br>深田主演的新戲「請愛上這麼糟糕的我吧！」劇中她原是一名沒有愛情生活的OL，沒想到<br>公司倒閉，又與舊情人相遇，就一頭栽入肉慾的重逢。至於為什麼要大量吃牛肉，則是為<br>了展現該女失業後無所事事，只知道吃烤肉。<br><br>http://img.ltn.com.tw/Upload/ent/page/800/2015/11/18/phpq6gzTo.jpg<br>深田恭子身材豐滿。（翻攝自網路）<br><br>http://ent.ltn.com.tw/news/breakingnews/1512020<br><br>--<br>", "", ""
"sex#M.1447846755.A.825#00001", "ChinaTaiwan", "ID正確", "11/15 13:09", "0"
"sex#M.1447846755.A.825#00002", "cakiya8312", "滾", "11/18 19:39", "0"
"sex#M.1447846755.A.825#00003", "wangyude", "噓簽名檔", "11/18 19:40", "0"
"sex#M.1447846755.A.825#00004", "smallnavy", "每天都來引戰，版主不管嗎？", "11/18 19:41", "0"
"sex#M.1447846755.A.825#00005", "CYHyen", "問題在於ID可能不算在引戰範圍吧www", "11/18 19:42", "0"
"sex#M.1447846755.A.825#00006", "alloriginals", "滾", "11/18 19:43", "0"
"sex#M.1447846755.A.825#00007", "h72509188", "噓噓噓", "11/18 19:43", "0"
"sex#M.1447846755.A.825#00008", "evilwolfx", "噓ID", "11/18 19:44", "0"
"sex#M.1447846755.A.825#00009", "yoyoboys1335", "我真的超愛她跟釋由美子 好美身材又好", "11/18 19:44", "0"
"sex#M.1447846755.A.825#00010", "qqww0113", "已檢舉", "11/18 19:45", "0"
"sex#M.1447846755.A.825#00011", "ipod89757", "快去八卦引戰XDD", "11/18 19:47", "0"
"sex#M.1447846755.A.825#00012", "smallnavy", "引到戰了還不算哦 天啊", "11/18 19:48", "0"
"sex#M.1447846755.A.825#00013", "foreverlove1", "每天必做的事完成，可以安心睡覺了", "11/18 19:49", "0"
"sex#M.1447846755.A.825#00014", "BaDoYao", "來囉來囉！", "11/18 19:51", "0"
"sex#M.1447846755.A.825#00015", "taiwan81903", "滾", "11/18 19:51", "0"
"sex#M.1447846755.A.825#00016", "speqsirqoo", "開始期待每日一噓了", "11/18 19:51", "0"
"sex#M.1447846755.A.825#00017", "moustique", "die", "11/18 19:55", "0"
"sex#M.1447846755.A.825#00018", "ab8383z", "可以滾嗎？", "11/18 19:55", "0"
"sex#M.1447846755.A.825#00019", "yoNELLY84", "支那人可以滾嗎", "11/18 19:55", "0"
"sex#M.1447846755.A.825#00020", "taiwan81903", "滾,again", "11/18 19:58", "0"
"sex#M.1447846755.A.825#00021", "stw0975", "任務已達成", "11/18 19:58", "0"
"sex#M.1447846755.A.825#00022", "ckndim", "滾", "11/18 20:02", "0"
"sex#M.1447846755.A.825#00023", "mulder58", "只能幫補血了", "11/18 20:07", "0"
"sex#M.1447846755.A.825#00024", "ETbanana", "正確什麼啦", "11/18 20:09", "0"
"sex#M.1447846755.A.825#00025", "JACK3042818", "...", "11/18 20:12", "0"
"sex#M.1447846755.A.825#00026", "a14789526", "來尿尿一下", "11/18 20:16", "0"
"sex#M.1447846755.A.825#00027", "dennis7653", "每日任務完成", "11/18 20:17", "0"
"sex#M.1447846755.A.825#00028", "humphrey0923", "共殺小", "11/18 20:18", "0"
"sex#M.1447846755.A.825#00029", "stupidboy", "ID", "11/18 20:20", "0"
"sex#M.1447846755.A.825#00030", "zero990314", "2沒壞", "11/18 20:21", "0"
"sex#M.1447846755.A.825#00031", "tomoyo5869", "每日任務", "11/18 20:22", "0"
"sex#M.1447846755.A.825#00032", "MirageAngel", "44444444444444444掯888888888888888811111116666666", "11/18 20:26", "1"
"sex#M.1447846755.A.825#00033", "etop", "222222222222222222222222222222222222", "11/18 20:29", "0"
"sex#M.1447846755.A.825#00034", "CYZ2228", "今天有點晚 不過還是達成！", "11/18 20:30", "0"
"sex#M.1447846755.A.825#00035", "shoenix1169", "每日任務～～", "11/18 20:32", "0"
"sex#M.1447846755.A.825#00036", "royshome", "版主不桶嗎？", "11/18 20:35", "0"
"sex#M.1447846755.A.825#00037", "forever07", "http//i.imgur.com/zRaD6ot.jpg", "11/18 20:40", "0"
"sex#M.1447846755.A.825#00038", "ericshox", "噓你", "11/18 20:41", "0"
"sex#M.1447846755.A.825#00039", "antiyahoo", "Good ID", "11/18 20:42", "0"
"sex#M.1447846755.A.825#00040", "Sinchiest", ".", "11/18 20:47", "0"
"sex#M.1447846755.A.825#00041", "forever07", "http//i.imgur.com/8QciOdH.jpg", "11/18 21:00", "0"
"sex#M.1447846755.A.825#00042", "g60710", "安安", "11/18 21:08", "0"
"sex#M.1447846755.A.825#00043", "bond30422", "yes!", "11/18 21:08", "0"
"sex#M.1447846755.A.825#00044", "e04Mae9", "噓id", "11/18 21:10", "0"
"sex#M.1447846755.A.825#00045", "assblack", "每日任務", "11/18 21:13", "0"
"sex#M.1447846755.A.825#00046", "SA118", "唉", "11/18 21:15", "0"
"sex#M.1447846755.A.825#00047", "joe80312", "掰惹", "11/18 21:20", "0"
"sex#M.1447846755.A.825#00048", "jeff95123", "每日任務get", "11/18 21:24", "0"
"sex#M.1447846755.A.825#00049", "MirageAngel", "卯%%%%%%%深%%%%%%%%田%%%%%%%%恭%%%%%%%%子%%%%%%肏", "11/18 21:28", "1"
"sex#M.1447846755.A.825#00050", "wupopwu", "嗯", "11/18 21:28", "0"
"sex#M.1447846755.A.825#00051", "rich5566", "2", "11/18 21:31", "0"
"sex#M.1447846755.A.825#00052", "achi", "有發必噓…", "11/18 21:33", "0"
"sex#M.1447846755.A.825#00053", "a22101664", "噓完心情爽", "11/18 21:45", "0"
"sex#M.1447846755.A.825#00054", "a955061", "純噓I D", "11/18 21:58", "0"
"sex#M.1447846755.A.825#00055", "KenMA", "我疊", "11/18 22:08", "0"
"sex#M.1447846755.A.825#00056", "jkljkl112233", "捍衛台灣", "11/18 22:20", "0"
"sex#M.1447846755.A.825#00057", "kent0925", "自刪，滾", "11/18 22:20", "0"
"sex#M.1447846755.A.825#00058", "panda1016", "所以欠噓嗎…", "11/18 22:25", "0"
"sex#M.1447846755.A.825#00059", "forever07", "http//i.imgur.com/AVhhRQs.jpg", "11/18 22:28", "0"
"sex#M.1447846755.A.825#00060", "dsgfuy", "滾", "11/18 22:37", "0"
"sex#M.1447846755.A.825#00061", "aa20061234", "噓爆你", "11/18 22:50", "0"
"sex#M.1447846755.A.825#00062", "set21", "去活", "11/18 23:00", "0"
"sex#M.1447846755.A.825#00063", "weiyudanbing", "Id太爛", "11/18 23:02", "0"
"sex#M.1447846755.A.825#00064", "tccauo", "噓，幹按太快，補噓", "11/18 23:04", "0"
"sex#M.1447846755.A.825#00065", "tccauo", "幹", "11/18 23:07", "0"
"sex#M.1447846755.A.825#00066", "lbj2212", "滾", "11/18 23:12", "0"
"sex#M.1447846755.A.825#00067", "daniel870527", "任務達成", "11/18 23:16", "0"
"sex#M.1447846755.A.825#00068", "bigbear2007", "引戰?", "11/18 23:19", "0"
"sex#M.1447846755.A.825#00069", "sophia820527", "解任務囉", "11/18 23:30", "0"
"sex#M.1447846755.A.825#00070", "tp6gm06", "推", "11/18 23:30", "0"
"sex#M.1447846755.A.825#00071", "jassiersweet", "去死吧中國大陸", "11/18 23:36", "0"
"sex#M.1447846755.A.825#00072", "cderfv1000", "滾", "11/18 23:41", "0"
"sex#M.1447846755.A.825#00073", "wenshian0916", "發這什麼爛文?", "11/18 23:43", "0"
"sex#M.1447846755.A.825#00074", "zop", "滾～", "11/18 23:54", "0"
"sex#M.1447846755.A.825#00075", "chunyeh0212", "每日任務達成", "11/18 23:59", "0"
"sex#M.1447846755.A.825#00076", "zxcvbnm119", "跟著噓", "11/19 00:04", "0"
"sex#M.1447846755.A.825#00077", "smart1989", "滾 這邊不歡迎你", "11/19 00:10", "0"
"sex#M.1447846755.A.825#00078", "qwer01289", "我看他被噓的很爽阿", "11/19 00:17", "0"
"sex#M.1447846755.A.825#00079", "jeter0209", "呼 還好睡前有解到每日任務", "11/19 00:25", "0"
"sex#M.1447846755.A.825#00080", "zzzxxxx", "雖然ID很討厭欠噓，但沒有桶的正當性呀…", "11/19 00:29", "0"
