"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1448084424.A.1AD#00000", "ChinaTaiwan", "吃早餐突然勃起　帶少女回家硬上弓<br><br>2015年11月21日12:55<br><br>基隆市1名王姓色男（18歲），去年12月間，經朋友介紹結識1名外型甜美的少女（14歲），<br>4人騎車夜遊直到清晨，再一起在王男住家附近吃早餐後，同行的友人先行離去，王男見少<br>女可愛突然勃起，假意約少女回家聊天，趁對方躺在沙發上睡著下毒手。<br><br>王男趁少女睡癱在客廳沙發上，竟大膽伸手摸胸後，見對方沒反應準備脫下少女的褲子，少<br>女驚醒尖叫：「不要呀。」王男不顧對方反抗，霸王硬上弓，性侵得逞。事後少女向父母反<br>應，報警逮狼。<br><br>王男向檢警辯稱「我們只有在沙發上抱著睡覺！」但警檢在沙發上檢驗到少女的血跡，當場<br>戳破王男謊言，將王移送法辦。日前全案偵辦終結，檢方依妨害性自主起訴王男。（突發中<br>心陳偉周／基隆報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/new/20151121/737349<br><br>--<br>", "", ""
"sex#M.1448084424.A.1AD#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1448084424.A.1AD#00002", "qwer01289", "噓爆你", "11/21 13:40", "0"
"sex#M.1448084424.A.1AD#00003", "skatedarren", "支援", "11/21 13:42", "0"
"sex#M.1448084424.A.1AD#00004", "jk455723", "媽我在這～", "11/21 13:43", "0"
"sex#M.1448084424.A.1AD#00005", "asdpony", "蓋", "11/21 13:44", "0"
"sex#M.1448084424.A.1AD#00006", "kamihio", "什麼早餐那麼營養", "11/21 13:44", "0"
"sex#M.1448084424.A.1AD#00007", "IronicKnight", "援軍來了", "11/21 13:46", "0"
"sex#M.1448084424.A.1AD#00008", "maderfucker", "樓下跟上", "11/21 13:49", "0"
"sex#M.1448084424.A.1AD#00009", "oramge", "好喔", "11/21 13:49", "0"
"sex#M.1448084424.A.1AD#00010", "KIRA1002", "ID錯誤", "11/21 13:52", "0"
"sex#M.1448084424.A.1AD#00011", "darkUriel", "摳連", "11/21 13:53", "0"
"sex#M.1448084424.A.1AD#00012", "jeff0801", "怎麼還是你", "11/21 13:53", "0"
"sex#M.1448084424.A.1AD#00013", "FinMan", "滾出去好嗎", "11/21 13:54", "0"
"sex#M.1448084424.A.1AD#00014", "kilulu0618", "噓", "11/21 13:55", "0"
"sex#M.1448084424.A.1AD#00015", "smart1989", "滾", "11/21 13:56", "0"
"sex#M.1448084424.A.1AD#00016", "s12356498", "每日任務（1/1）", "11/21 13:58", "0"
"sex#M.1448084424.A.1AD#00017", "bacheon", "滾", "11/21 14:01", "0"
"sex#M.1448084424.A.1AD#00018", "r30385", "滾", "11/21 14:01", "0"
"sex#M.1448084424.A.1AD#00019", "Westwind525", "你一定是抖m", "11/21 14:02", "0"
"sex#M.1448084424.A.1AD#00020", "greenmaplex", "幫補血", "11/21 14:04", "0"
"sex#M.1448084424.A.1AD#00021", "wer90156", "幫損血", "11/21 14:07", "0"
