"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1448440464.A.3CC#00000", "ChinaTaiwan", "姊姊是害我被性侵的原兇　她還邊看邊錄<br><br>2015年11月25日10:26<br><br>《蘋果》即時日前報導「妹妹慘遭性侵　姊姊展開6年報復計劃」，這篇文引起了很多迴<br>響，也令另外一個女生決定公開自己的故事。<br><br>這名女網友在Dcard說，「看到那個姊姊替被強暴的妹妹報仇的文章，除了羨慕，更多的<br>是憎恨，因為我也有一個姐姐，不同的是，她就是害我被強暴的原兇」。<br><br>女網友說，10年前，一直屬於叛逆型的姊姊交了男友，她男友看過女網友一次後竟提出「<br>好想上」，沒想到，姊姊就趁著爸媽不在時帶著男友回家，看著她被性侵，全程還錄影拍<br>攝。<br><br>「我不知道她的心態，八成也恨我吧！自小我比較乖，爸媽一直比較疼我…」，女網友說<br>，事後，她想過自殺但又想到爸媽所以強顏歡笑。一個星期後，不常回家的姊姊突然回來<br>，竟然還提「她男友還想要」，女網友說她聽了之後忍不住發狂尖叫，爸媽才知道此事，<br>姊姊再也沒有回家也被法辦。<br><br>之後，女網友身心崩潰休學，每天都在研究如何殺了姊姊，也不斷自殘，直到某天媽媽看<br>到她自殘的傷口後大哭，女網友才力圖振作，重返學校。但沒想到學校都是耳語，還有男<br>同學提出「可以上床幫忙脫處嗎？反正妳有經驗了！」所以，女網友又陷入了休學、復學<br>的循環。<br><br>直到上了大學，也許是環境改變，有了閨蜜、有了朋友、也有了閃光；如今她已畢業，曾<br>經以為在述說這一些時能冷靜自制，但沒想到還是在打字時全身顫抖。<br><br>女網友說，也許有些有人質疑真實性，她只想說：「你們該慶幸我的心靈在看過無數次諮<br>商師後復原能力驚人，不然你們的任何玩笑，不論有心或無心，都可能成為我們這種高自<br>殺風險群的最後一跟稻草，對於各種在性上面所受到傷害的人群，真的比你們聽過看過想<br>過的多更多...」（即時新聞中心／綜合報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20151125/739791/<br><br>--<br>", "", ""
"sex#M.1448440464.A.3CC#00001", "ChinaTaiwan", "ID正確", "11/15 13:09", "0"
"sex#M.1448440464.A.3CC#00002", "mulder58", "先幫補血", "11/25 16:34", "0"
"sex#M.1448440464.A.3CC#00003", "laiisnotlie", "6666", "11/25 16:36", "0"
"sex#M.1448440464.A.3CC#00004", "likeair", "只需要噓ID", "11/25 16:37", "0"
"sex#M.1448440464.A.3CC#00005", "yoyo860219", "喔", "11/25 16:38", "0"
"sex#M.1448440464.A.3CC#00006", "chevalerie", "噓ID", "11/25 16:40", "0"
"sex#M.1448440464.A.3CC#00007", "alloriginals", "噓ID", "11/25 16:41", "0"
"sex#M.1448440464.A.3CC#00008", "foreverloss", "欠噓", "11/25 16:42", "0"
"sex#M.1448440464.A.3CC#00009", "y6yv3r4d", "畜", "11/25 16:46", "0"
"sex#M.1448440464.A.3CC#00010", "clonk", "血是紅色的", "11/25 16:46", "0"
"sex#M.1448440464.A.3CC#00011", "CTC0115", "總要出來刷存在感", "11/25 16:46", "0"
"sex#M.1448440464.A.3CC#00012", "abm311", "噓ID", "11/25 16:48", "0"
"sex#M.1448440464.A.3CC#00013", "ray08tw1", "紅的", "11/25 16:48", "0"
"sex#M.1448440464.A.3CC#00014", "a0123", "噓ID", "11/25 16:48", "0"
"sex#M.1448440464.A.3CC#00015", "hotblizzard", "這個版沒有劣文過多的水桶嗎?", "11/25 16:49", "0"
"sex#M.1448440464.A.3CC#00016", "jstar100", "taiwan no.1 fxxx xxu", "11/25 16:51", "0"
"sex#M.1448440464.A.3CC#00017", "rorosmile", "每日功課", "11/25 16:53", "0"
"sex#M.1448440464.A.3CC#00018", "jerrycat0118", "胎灣南波萬!!!支那南波乃聽", "11/25 16:55", "0"
"sex#M.1448440464.A.3CC#00019", "ccrnogood", "胎 灣 南 八 萬", "11/25 16:56", "0"
"sex#M.1448440464.A.3CC#00020", "lmichaelv2", "我看了好感動", "11/25 16:56", "0"
"sex#M.1448440464.A.3CC#00021", "yily5210", "噓ID", "11/25 17:00", "0"
"sex#M.1448440464.A.3CC#00022", "tmds", "Taiwan NO.1 China No.19", "11/25 17:05", "0"
"sex#M.1448440464.A.3CC#00023", "lercon", "這個ID...", "11/25 17:05", "0"
"sex#M.1448440464.A.3CC#00024", "orton417", "高举毛主席伟大思想奋勇前进，然後Chinese no.100", "11/25 17:08", "0"
"sex#M.1448440464.A.3CC#00025", "shawpan", "Taiwan No.1 China No.190", "11/25 17:09", "0"
"sex#M.1448440464.A.3CC#00026", "ericugly", "幻想文當新聞", "11/25 17:10", "0"
"sex#M.1448440464.A.3CC#00027", "jhbgybj123", "滾吧", "11/25 17:16", "0"
