"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1448608242.A.A2B#00000", "ChinaTaiwan", "「超胸版孫燕姿」脫衣秀E奶　影片流出<br><br>2015年11月27日12:51<br><br>被網友封為「超胸版孫燕姿」的網路正妹何麥枒，在臉書PO出一段「內衣介紹」影片，吸<br>引廣大網友分享點閱。<br><br>擁有E罩杯好身材的網路正妹何麥枒，她自然大方的態度深受網友喜愛，她昨天在臉書PO<br>出一段影片，內容介紹她喜愛的內衣款式、特色，全長9分多鐘的影片不僅拉下背心秀BRA<br>，也露出後背難得一件的刺青。<br><br>許多網友在底下留言說「原諒我的唐突,但我内心實在太澎湃啦」、「第一次聽麥枒說話<br>聲音感覺好專業喔！」、「很認真的看完了整部，覺得超級受教關於女生內衣的部分!」<br>、「都聽不到妳説什麼，一直不能集中.....」。(葉國吏/綜合報導)<br><br>http://www.appledaily.com.tw/realtimenews/article/beauty/20151127/741532/<br><br>--<br>", "", ""
"sex#M.1448608242.A.A2B#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1448608242.A.A2B#00002", "adgbw8728", "純噓ID", "11/27 15:11", "0"
"sex#M.1448608242.A.A2B#00003", "yyQmo", "純噓ID，噓", "11/27 15:12", "0"
"sex#M.1448608242.A.A2B#00004", "canuseeme", "純噓ID", "11/27 15:12", "0"
"sex#M.1448608242.A.A2B#00005", "sexydaddy", "…", "11/27 15:13", "0"
"sex#M.1448608242.A.A2B#00006", "w810701", "喔", "11/27 15:13", "0"
"sex#M.1448608242.A.A2B#00007", "DSB520", "Taiwan No.1 !!!!!!!!!!!", "11/27 15:13", "0"
"sex#M.1448608242.A.A2B#00008", "sh408011", "Id", "11/27 15:14", "0"
"sex#M.1448608242.A.A2B#00009", "a0987957502", "幫2F", "11/27 15:15", "0"
"sex#M.1448608242.A.A2B#00010", "sakaizawa", "有奶便是娘", "11/27 15:15", "0"
"sex#M.1448608242.A.A2B#00011", "qshnjuyn", "噓！", "11/27 15:17", "0"
"sex#M.1448608242.A.A2B#00012", "dennis7653", "Taiwan 囊趴萬～", "11/27 15:17", "0"
"sex#M.1448608242.A.A2B#00013", "noobismeok", "你是在洗文章膩", "11/27 15:17", "0"
"sex#M.1448608242.A.A2B#00014", "taiwan81903", "Taiwan No.1 ####", "11/27 15:19", "0"
"sex#M.1448608242.A.A2B#00015", "joeboy", "台灣中國", "11/27 15:20", "0"
"sex#M.1448608242.A.A2B#00016", "blue1118", "Taiwan No.1", "11/27 15:23", "0"
"sex#M.1448608242.A.A2B#00017", "wekapipo", "台灣男八萬", "11/27 15:24", "0"
"sex#M.1448608242.A.A2B#00018", "forgetwind", "這怎是孫燕姿，差太多了吧....臉....", "11/27 15:24", "0"
"sex#M.1448608242.A.A2B#00019", "ClubT", "爛", "11/27 15:29", "0"
"sex#M.1448608242.A.A2B#00020", "Z55T", "噓", "11/27 15:31", "0"
"sex#M.1448608242.A.A2B#00021", "APPLEin5566", "Taiwan No.1", "11/27 15:34", "0"
"sex#M.1448608242.A.A2B#00022", "cesarezhang", "ID錯誤", "11/27 15:38", "0"
"sex#M.1448608242.A.A2B#00023", "skill0000", "噓ID", "11/27 15:38", "0"
"sex#M.1448608242.A.A2B#00024", "rich830502", "ID", "11/27 15:38", "0"
"sex#M.1448608242.A.A2B#00025", "chidiet", "Id錯誤 發回更審", "11/27 15:41", "0"
"sex#M.1448608242.A.A2B#00026", "greenmaplex", "換個唉低發我就推回來", "11/27 15:41", "0"
"sex#M.1448608242.A.A2B#00027", "ewrfsh", "爛ID~滾", "11/27 15:44", "0"
"sex#M.1448608242.A.A2B#00028", "lunatich", "這臉....警察先生有詐騙啦~~~", "11/27 15:47", "0"
"sex#M.1448608242.A.A2B#00029", "tn00710191", "這種也可以當新聞哦", "11/27 15:49", "0"
