"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1448885514.A.CA5#00000", "ChinaTaiwan", "G奶「娜美」被劈腿　爛男還「硬要進來」<br><br>2015年11月30日09:41<br><br>每個正妹背後都有個悲傷的故事。《壹週刊》報導，在外拍界迅速竄紅的模特兒詹子瑜<br>(Edana)上圍30G cup，個子嬌小才158公分，但腿長100公分；網友稱她是「不科學的娜美<br>身材」。不過看似完美的她，卻也難逃被劈腿的命運。<br><br>Edana初戀在高中，「初戀男友是學長，我們交往半年，我才發現他其實一直有一個正牌<br>女友，我是小三。那時候我傻傻的，因為是初戀，所以也看得很重，有點放不下…。直到<br>我發現原來我連小三都不是，根本是小十幾，我就是那第十幾個！頓時我覺得夠了，不要<br>再蠢下去了。」<br><br>Edana決定分手，沒想到男友竟然跟我要分手費。「他說只要付他分手費，他就會簽切結<br>書不再來找我。」後來Edana的朋友看不下去，湊了5000元讓她能脫離，但沒想到無恥的<br>初戀男友還三不五時的跑來討東西，甚至還硬要闖進她家，就為了拿一把梳子，最後<br>Edana只能報警，跟初戀男友在警局當面把東西交還清楚，才真正劃清界線。<br><br>Edana覺得初戀男友亂劈腿在先，又不甘分手一直騷擾她，相當恐怖，「我也變得不太相<br>信男生了，我覺得男生一直積極接近妳，也只是想發生關係而已。」(葉國吏/綜合報導)<br><br>http://www.appledaily.com.tw/realtimenews/article/beauty/20151130/742992/<br><br>--<br>", "", ""
"sex#M.1448885514.A.CA5#00001", "dogberter", "我先", "11/30 20:12", "0"
"sex#M.1448885514.A.CA5#00002", "mlj255212", "我先", "11/30 20:12", "0"
"sex#M.1448885514.A.CA5#00003", "lookyour", "高中..", "11/30 20:13", "0"
"sex#M.1448885514.A.CA5#00004", "Lailungsheng", "臉.偶不行.", "11/30 20:14", "0"
"sex#M.1448885514.A.CA5#00005", "RodrigueZ810", "還來", "11/30 20:14", "0"
"sex#M.1448885514.A.CA5#00006", "wer0241", "橡膠人", "11/30 20:14", "0"
"sex#M.1448885514.A.CA5#00007", "skypon", "來嘍～", "11/30 20:14", "0"
"sex#M.1448885514.A.CA5#00008", "timwu15", "攝影師修圖辛苦了", "11/30 20:16", "0"
"sex#M.1448885514.A.CA5#00009", "pikacha", "怒噓！！！！！！！！！！！！！！！！！！！！！！！！", "11/30 20:18", "1"
"sex#M.1448885514.A.CA5#00010", "smart1989", "噓Id滾", "11/30 20:28", "0"
"sex#M.1448885514.A.CA5#00011", "k167943005", "滾", "11/30 20:29", "0"
"sex#M.1448885514.A.CA5#00012", "mician0989", "每日任務1/1", "11/30 20:33", "0"
"sex#M.1448885514.A.CA5#00013", "wayne0205", "看他這個樣子還真的是蠻想的", "11/30 20:33", "0"
"sex#M.1448885514.A.CA5#00014", "yvmi", "掰", "11/30 20:49", "0"
"sex#M.1448885514.A.CA5#00015", "mai751209", "喔", "11/30 21:02", "0"
"sex#M.1448885514.A.CA5#00016", "archvalkyrie", "好奇 為啥被噓那麼慘阿? 她是名人嗎?", "11/30 21:02", "0"
"sex#M.1448885514.A.CA5#00017", "tp6gm06", "看id", "11/30 21:05", "0"
"sex#M.1448885514.A.CA5#00018", "MirageAngel", "8888888888888888888888888811111111111166666666666", "11/30 21:06", "1"
"sex#M.1448885514.A.CA5#00019", "shin51116", "。", "11/30 21:07", "0"
"sex#M.1448885514.A.CA5#00020", "gilerby", "ID", "11/30 21:11", "0"
"sex#M.1448885514.A.CA5#00021", "payyee", "滾", "11/30 21:15", "0"
"sex#M.1448885514.A.CA5#00022", "a14789526", "流動廁所又來了，快上！", "11/30 21:20", "0"
"sex#M.1448885514.A.CA5#00023", "jwansn", "這我不行", "11/30 21:22", "0"
"sex#M.1448885514.A.CA5#00024", "stw0975", "跟上", "11/30 21:33", "0"
"sex#M.1448885514.A.CA5#00025", "antiyahoo", "ID", "11/30 21:37", "0"
"sex#M.1448885514.A.CA5#00026", "orzkuku", "id正確", "11/30 21:38", "0"
"sex#M.1448885514.A.CA5#00027", "uohuren", "臉皮真厚", "11/30 21:45", "0"
"sex#M.1448885514.A.CA5#00028", "cutty", "喔喔", "11/30 21:47", "0"
"sex#M.1448885514.A.CA5#00029", "bandeon", "噓id", "11/30 21:55", "0"
"sex#M.1448885514.A.CA5#00030", "johnny1125bo", "補噓", "11/30 21:57", "0"
"sex#M.1448885514.A.CA5#00031", "harry155007", "這則跟ID是啥小", "11/30 22:02", "0"
"sex#M.1448885514.A.CA5#00032", "roc168168888", "樓下接著", "11/30 22:03", "0"
"sex#M.1448885514.A.CA5#00033", "l697741", "煩 每日任務要中斷了", "11/30 22:07", "0"
"sex#M.1448885514.A.CA5#00034", "springedge", "先噓再說", "11/30 22:10", "0"
"sex#M.1448885514.A.CA5#00035", "roy0357951", "未看先噓", "11/30 22:13", "0"
"sex#M.1448885514.A.CA5#00036", "aweiweek", "就是有這種傻妹愛找爛咖 受傷害還說不信任男生", "11/30 22:17", "0"
"sex#M.1448885514.A.CA5#00037", "yiwwwen", "跟上", "11/30 22:28", "0"
"sex#M.1448885514.A.CA5#00038", "shang86522", "噓", "11/30 22:31", "0"
"sex#M.1448885514.A.CA5#00039", "j7862278622", "支那廢物", "11/30 22:32", "0"
"sex#M.1448885514.A.CA5#00040", "PTTBo", "每日任務", "11/30 22:39", "0"
"sex#M.1448885514.A.CA5#00041", "skyremet", "沒在客氣", "11/30 22:41", "0"
"sex#M.1448885514.A.CA5#00042", "mars750112", "這啥", "11/30 22:47", "0"
"sex#M.1448885514.A.CA5#00043", "steven751014", "娜美？娜美克星人吧！", "11/30 22:52", "0"
"sex#M.1448885514.A.CA5#00044", "joeywayi", "噓id. 但這個奶我可以", "11/30 22:59", "0"
"sex#M.1448885514.A.CA5#00045", "bertiehou", "每日任務達成", "11/30 23:02", "0"
"sex#M.1448885514.A.CA5#00046", "weiche0907", "噓死你爛id", "11/30 23:08", "0"
"sex#M.1448885514.A.CA5#00047", "wei23571", "晚安", "11/30 23:09", "0"
