"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1449013289.A.A5D#00000", "pttsex", "小弟不才，今年下來只有遇到5位浪女<br><br>但這5位清一色都座落做台灣的中間<br><br>我又處在國境之北。高鐵705元<br><br>回歸正題，來跟各位分享這5浪吧<br><br><br>浪女1：<br><br>160/5X 微肉 中X醫院的護士 剛認識沒多久就傳性感的色圖給我<br><br>一直問我你硬了嗎? 我就回傳鄉民一半的老二給他<br><br>他總是回"哈哈哈哈哈"<br><br>某週五，他就直接說：我好想要愛愛，你來跟我愛愛好嗎?我剛好也週休<br><br>下班後立馬趕往高鐵板橋站直奔高鐵烏日站。確認他的套(ㄆㄠˋ)房地址<br><br>兩天總共戰了七回合；目前還會聊天，約我元旦後跟他去港澳(ㄉㄚˇㄆㄠˋ)行<br><br><br>浪女2：<br><br>158/4X 小隻馬 普通上班族<br><br>跟他認識是因為跟前男友分手，而且很不愉快，起初我只是當一個垃圾桶<br><br>漸漸地開始會關心他，會想知道他在做什麼，他也慢慢的對我釋出好感<br><br>某天他問我要不要到台中去找他，並表示可在他家過夜<br><br>約好日子後就開始了我們"奇幻的旅程"，我跟他的關係持續了三個月(唯一有喜歡上的)<br><br>小隻馬果然很好操控，姿勢多變化，而且不會喊累<br><br>X爆，顏X，中X都可以(她有定期吃事前)<br><br>有次他MC來還跟我說：我幫你用嘴你就直接射我臉，我再去洗就好<br><br>我就不客氣的往她臉上用力噴發，後來要出門她在化妝時候大叫:<br><br>"靠!!!，你射到睫毛，卡在上面了啦"<br><br><br>浪女3：<br><br>161/5X 一個大我4歲姐姐 無業<br><br>某天上班時無聊再隔壁板找人聊天，就收到這位姐姐的信<br><br>直接問我要聊普通還是要色色的<br><br>想當然爾就是要聊色色的<br><br>他一直丟好多照片給我，但礙於上班還要躲躲藏藏的看<br><br>他還叫我去廁所掏老二拍給他看，我竟然就照做了<br><br>他看完後說：你快來找我好不好，我想給你幹了<br><br>但是在平日，我就沒答應他，後來就不了了之<br><br>結果隔天在隔壁板直接看到他PO文，她真的很渴<br><br>她有跟我說她整天想被幹，至於ID就不方便公佈了<br><br><br><br>浪女4<br><br>169/5X 模特兒等級姐姐<br><br>起初是正常的聊天，因為有著一樣的興趣，還算有話題<br><br>慢慢地開始聊色色的話題，原來姐姐也是有在約的<br><br>只是她沒有像上一個這麼渴，想要的時候才約<br><br>也有互傳色色的圖，不得不說姐姐發浪的時候真的...<br><br>小弟不才，還沒吃到，正努力中<br><br><br>浪女5<br><br>160/5X 20歲 在livexxx 捕獲的<br><br>在那裡就是開門見山的聊色、約跑<br><br><br>起初這小妹的願望是想要吃17CM以上洋屌<br><br>我就跟她說去夜店找找吧，她回我：蛤~好麻煩喔<br><br>我就自我推薦鄉民一半的我<br><br>沒想到她爽快的答應，約好日子就直奔目的地<br><br>原來小妹是有受過調教，看起來乖乖的沒想到在床上浪的跟AV女優差不多<br><br>但我在她包包看到不明白色東西，好像有嗑藥吧<br><br>就約過一次後就放生了<br><br><br>最後祝各位有情有液的西斯人往中部去開發吧，那裡有大祕寶<br>(北部都超難的)<br><br>--<br>", "", ""
"sex#M.1449013289.A.A5D#00001", "raywang0204", "左手五指結束完了，那右手呢？", "12/02 07:44", "0"
"sex#M.1449013289.A.A5D#00002", "SkyShih", "祝你申裝成功早日列管", "12/02 07:46", "0"
"sex#M.1449013289.A.A5D#00003", "tony864200", "臭喇叭", "12/02 07:55", "0"
"sex#M.1449013289.A.A5D#00004", "lpbrother", "樓下很爽", "12/02 07:58", "0"
"sex#M.1449013289.A.A5D#00005", "kakarrot", "幹拎娘圖呢", "12/02 08:01", "0"
"sex#M.1449013289.A.A5D#00006", "dreamcomes", "嘴砲", "12/02 08:02", "0"
"sex#M.1449013289.A.A5D#00007", "miyako126", "你想成為中部王？", "12/02 08:04", "0"
"sex#M.1449013289.A.A5D#00008", "kevin6108n", "圖呢 有圖再補推", "12/02 08:13", "0"
"sex#M.1449013289.A.A5D#00009", "newlife99", "嗨中部王～", "12/02 08:13", "0"
