"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1449906338.A.8DB#00000", "ChinaTaiwan", "2015年12月12日14:03<br><br>錢姓受刑人今年7月因案寄押在矯正署台北看守所時，遭同房室友「阿豪」指控強逼他口<br>交，不從就打頭修理。不過新北地檢署調閱監視錄影帶發現，事發當時阿豪主動坐到錢男<br>身旁，錢男起身後，他隨即含住錢男下體，約10秒後被管理員發現才停止，並沒有被強迫<br>，日前對錢男不起訴。<br><br>處分指出，30多歲的「阿豪」（化名）與錢男（52歲）同因犯下妨害性自主罪在矯正署宜<br>蘭監獄服刑，今年7月間因案借提而寄押在北所，並和另一名室友同舍房。<br><br>北所管理員今年7月中上午10點多巡房時，發現阿豪正為錢男口交，立刻喝止並帶離2人分<br>開詢問。不料阿豪向所方指控，當天清晨遭到錢男強迫口交，他不從便被巴頭，事發時錢<br>男又要求他口交，他害怕被打，才替錢男服務，錢男因此被依強制性交罪嫌送辦，2人也<br>被安排到不同舍房。<br><br>不過錢男否認強迫阿豪，辯稱當天清晨是因阿豪上完廁所後，腳沒有踩乾淨，把舍房內踩<br>得都是髒水，他才摸了阿豪的頭2下。後來事發當時，他只是走過去，就被坐在地上的阿<br>豪「含住」，但他也沒反抗，口交時間不到1分鐘。<br><br>同房的另名室友則證稱，當天的確是因阿豪踩得四處髒水，而被錢男巴頭，而非錢男要求<br>口交遭拒才巴頭。阿豪事後也改口稱，沒有被錢男強迫，之前就曾幫錢男口交3次。<br><br>檢方勘驗監視錄影帶，發現阿豪當時主動坐到錢男身旁，錢男一起身，阿豪就開始替錢男<br>口交，全程約10秒，並沒見到有任何強迫的舉動，處分錢男不起訴。（游仁汶／新北報導<br>）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20151212/751759/1/<br><br>--<br>", "", ""
"sex#M.1449906338.A.8DB#00001", "ChinaTaiwan", "ID正確", "11/15 13:09", "0"
"sex#M.1449906338.A.8DB#00002", "r30385", "滾", "12/12 15:46", "0"
"sex#M.1449906338.A.8DB#00003", "BaRanKa", "獄甲..yooo", "12/12 15:46", "0"
"sex#M.1449906338.A.8DB#00004", "kakarrot", "Good ID", "12/12 15:48", "0"
"sex#M.1449906338.A.8DB#00005", "mulder58", "點進去就被點噓了", "12/12 15:50", "0"
"sex#M.1449906338.A.8DB#00006", "test0401", "掰", "12/12 15:55", "0"
"sex#M.1449906338.A.8DB#00007", "kim03191230", "ID", "12/12 16:01", "0"
"sex#M.1449906338.A.8DB#00008", "andy90428", "每日成就", "12/12 16:02", "0"
"sex#M.1449906338.A.8DB#00009", "iop08965", "任務", "12/12 16:02", "0"
