"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1450025826.A.9D7#00000", "Csir318", "※ 引述《sumade (斬卍凱蒂貓卍佛)》之銘言：<br><br>: 要幹  就好好的幹  要交朋友  就好好交朋友<br>: 要知道你是因為有的幹  所以才忍耐你的腦袋和你的個性<br>: 一但沒得幹  說穿了  比路邊的流浪狗還沒價值<br>: 你的前夫不就做了最好的示範<br>: 謝謝大家<br><br><br>媽媽沒有教你講話要留點口德嗎<br><br>這裡是西斯版被拜託不是道德版欸先生<br><br>她想給誰幹是她的自由欸，你在這邊大放厥詞<br><br>試問您是多了解她<br><br>單憑一篇文章的文字與自以為是的言論<br><br>在Ptt上面發表仇女言論然後說什麼前夫做了最好的示範<br><br>難怪你只能躲在螢幕後面批判別人跟各種約<br><br>現實生活裏根本就是個沒有被人愛過的魯蛇<br><br><br>真是可憐<br><br><br>補個西斯點：<br><br><br>做愛的時候好喜歡被人從背後用力的幹<br><br>然後用力的打屁股<br><br>每打一次那種酥麻的爽感 聽覺的啪啪聲<br><br>還有男朋友說的話都我整個人根本叫到不行啊～～～～<br><br>那天男朋友大戰了五次吧  整個都快虛脫了<br><br>很想吶喊啊你不是處男嗎 怎麼那麼厲害～～～～<br><br>http://i.imgur.com/hHJNWCg.jpg<br>-----<br>Sent from JPTT on my iPhone<br><br>--<br>", "", ""
"sex#M.1450025826.A.9D7#00001", "ptt7", "好", "12/14 00:58", "0"
"sex#M.1450025826.A.9D7#00002", "tetfreeago", "你覺得這篇文章有比他的好嗎XD", "12/14 01:00", "0"
"sex#M.1450025826.A.9D7#00003", "alandidi", "五樓打屁屁", "12/14 01:00", "0"
"sex#M.1450025826.A.9D7#00004", "NaouZ", "這圖沒誠意", "12/14 01:00", "0"
"sex#M.1450025826.A.9D7#00005", "smho", "ㄋㄟㄋㄟ讚，但妳也不瞭解蘇美啊。", "12/14 01:00", "0"
"sex#M.1450025826.A.9D7#00006", "s90523", "這篇文可能會為我們示範西斯版真的對____比較寬容 科科", "12/14 01:01", "0"
"sex#M.1450025826.A.9D7#00007", "fishih", "樓上低調點", "12/14 01:03", "0"
"sex#M.1450025826.A.9D7#00008", "tetfreeago", "如果真的想附圖，發文問安就好了啦不需要參戰這種議題", "12/14 01:04", "1"
"sex#M.1450025826.A.9D7#00009", "WEYNI", "右奶的溝...看起來怪怪的...那皺摺....", "12/14 01:04", "0"
"sex#M.1450025826.A.9D7#00010", "angel101", "推", "12/14 01:05", "0"
"sex#M.1450025826.A.9D7#00011", "cherrychiao", "推 小楓", "12/14 01:06", "0"
"sex#M.1450025826.A.9D7#00012", "doggy1985", "認同", "12/14 01:08", "0"
"sex#M.1450025826.A.9D7#00013", "headbreak", "雖然有圖 還是要噓 輪不到你來戰他", "12/14 01:08", "0"
"sex#M.1450025826.A.9D7#00014", "n98802001", "這是想貼圖還是想戰？", "12/14 01:11", "0"
"sex#M.1450025826.A.9D7#00015", "headbreak", "想戰 可是怕沒人認同所以貼圖，或是想貼圖 用戰當跳板", "12/14 01:12", "0"
"sex#M.1450025826.A.9D7#00016", "tetfreeago", "有圖比較好辦事（？", "12/14 01:13", "0"
"sex#M.1450025826.A.9D7#00017", "johnny3710", "反正這圖我是推了", "12/14 01:13", "0"
"sex#M.1450025826.A.9D7#00018", "bUvUd", "每個人都有表達意見的空間。只有不民主的國家，才會不讓人說話。人家貼圖補西斯點，又如何？她覺得自己性感，這是好事！", "12/14 01:16", "0"
"sex#M.1450025826.A.9D7#00019", "ASH2012", "重點在貼圖就直說了吧", "12/14 01:17", "0"
"sex#M.1450025826.A.9D7#00020", "stw0975", "推", "12/14 01:17", "0"
"sex#M.1450025826.A.9D7#00021", "ICEN", "要戰就戰貼什麼圖 有垂奶了不起？", "12/14 01:19", "0"
"sex#M.1450025826.A.9D7#00022", "bUvUd", "男人也可以露胸肌、腹肌啊，管到海邊去當自己救生員啊？板主才有資格管，一堆人也在嘴", "12/14 01:19", "0"
"sex#M.1450025826.A.9D7#00023", "rex9999", "乳房有垂　有說服力", "12/14 01:20", "0"
"sex#M.1450025826.A.9D7#00024", "doggy1985", "推你第二次", "12/14 01:21", "0"
"sex#M.1450025826.A.9D7#00025", "joe8112118", "推圖也推內容", "12/14 01:22", "0"
"sex#M.1450025826.A.9D7#00026", "bUvUd", "批評的人怎不看看你自己？還真好意思躲起來對別人品頭論足，你有多完美無瑕？", "12/14 01:23", "0"
"sex#M.1450025826.A.9D7#00027", "ASH2012", "要回文的內容推文就講完了，根本沒必要補圖。", "12/14 01:24", "0"
"sex#M.1450025826.A.9D7#00028", "irvinglove", "戰力有夠差 只是來露奶的", "12/14 01:25", "0"
"sex#M.1450025826.A.9D7#00029", "babycat170", "都說不是道德版了怎麼還會有口德呢？", "12/14 01:27", "0"
"sex#M.1450025826.A.9D7#00030", "bUvUd", "她高興她爽，不行啊？展現自己什麼時候成為見不得人的事了？她的西斯點跟她的圖有關係，你管的著？", "12/14 01:28", "0"
"sex#M.1450025826.A.9D7#00031", "babycat170", "http//i.imgur.com/J6ieFCF.jpg 幫妳加持", "12/14 01:30", "0"
"sex#M.1450025826.A.9D7#00032", "bUvUd", "表達意見和西斯圖文她要發在同一篇文章，也不算什麼奇怪的事情。報紙、帳單都還能夾廣告單呢。", "12/14 01:33", "0"
"sex#M.1450025826.A.9D7#00033", "babycat170", "對內容沒意見，純粹欣賞小護士的奶>\\\<", "12/14 01:34", "0"
"sex#M.1450025826.A.9D7#00034", "doggy1985", "寶貝貓！", "12/14 01:34", "0"
"sex#M.1450025826.A.9D7#00035", "tiger5566", "不知所云", "12/14 01:34", "0"
"sex#M.1450025826.A.9D7#00036", "babycat170", "doggy 正要睡～晚安", "12/14 01:37", "0"
"sex#M.1450025826.A.9D7#00037", "irvinglove", "我怎麼覺得有人試圖用奶洗白", "12/14 01:37", "0"
"sex#M.1450025826.A.9D7#00038", "sharboo", "推你的奶～!", "12/14 01:38", "0"
"sex#M.1450025826.A.9D7#00039", "babycat170", "跳入黃河洗不清惹啦，討厭", "12/14 01:43", "0"
"sex#M.1450025826.A.9D7#00040", "NX9999", "推C大!!!!完美好男人", "12/14 01:45", "0"
"sex#M.1450025826.A.9D7#00041", "wolf9420", "你跟他做的完全一樣，多一對奶騙推而已吧", "12/14 01:50", "0"
"sex#M.1450025826.A.9D7#00042", "Lume0117", "http//i.imgur.com/JwTrP7j.jpg 那我也要騙推～啾咪", "12/14 01:51", "0"
"sex#M.1450025826.A.9D7#00043", "n98802001", "不讓人睡惹", "12/14 01:52", "0"
"sex#M.1450025826.A.9D7#00044", "Lume0117", "妹子都來跟我睡", "12/14 01:53", "0"
"sex#M.1450025826.A.9D7#00045", "tetfreeago", "引出一堆人貼圖這功不可沒，值得推！", "12/14 01:53", "0"
"sex#M.1450025826.A.9D7#00046", "bUvUd", "推推", "12/14 01:54", "0"
"sex#M.1450025826.A.9D7#00047", "doggy1985", "混蛋啊你們 讓我睡不著", "12/14 01:57", "0"
"sex#M.1450025826.A.9D7#00048", "ginx03", "露奶開戰討推op  女性專利QQ", "12/14 01:57", "0"
"sex#M.1450025826.A.9D7#00049", "eno1222", "原來只有你可以罵人", "12/14 01:59", "0"
"sex#M.1450025826.A.9D7#00050", "Lume0117", "上天賜與女性的身體，好奶奶孕育下一代，我老公小孩都，支持我了～單純覺得放照是個人自由啦", "12/14 02:00", "0"
"sex#M.1450025826.A.9D7#00051", "Vipasyin", "zzzzz", "12/14 02:01", "0"
"sex#M.1450025826.A.9D7#00052", "MiiShin", "寧 跟我睡", "12/14 02:02", "0"
"sex#M.1450025826.A.9D7#00053", "doggy1985", "嘖樓上約睡", "12/14 02:04", "0"
"sex#M.1450025826.A.9D7#00054", "Lume0117", "好哇！最喜歡欣欣啦，欣欣一起蓋棉被聊天吧！跟你說日本買內衣......", "12/14 02:04", "0"
"sex#M.1450025826.A.9D7#00055", "febulous2011", "推 蘇美超Zzzzz", "12/14 02:04", "0"
"sex#M.1450025826.A.9D7#00056", "loigrui", "樓上++啦~", "12/14 02:05", "0"
"sex#M.1450025826.A.9D7#00057", "MiiShin", "我也愛寧><♥♥♥日本買內衣怎麼了！！我好想知道XDDDD", "12/14 02:07", "0"
"sex#M.1450025826.A.9D7#00058", "Lume0117", "華哥爾的副牌 在日本買半價啦！馬的，揪團買奶照", "12/14 02:08", "0"
"sex#M.1450025826.A.9D7#00059", "MiiShin", "......想買", "12/14 02:09", "0"
"sex#M.1450025826.A.9D7#00060", "o790224", "今晚終於不無聊拉 喲呼，買奶照0.0/ 我出50p", "12/14 02:09", "0"
"sex#M.1450025826.A.9D7#00061", "xeriom23823", "他現實怎樣妳又知道了？", "12/14 02:11", "0"
"sex#M.1450025826.A.9D7#00062", "n98802001", "我還有2萬多p 看來我可以買很多", "12/14 02:11", "0"
"sex#M.1450025826.A.9D7#00063", "doggy1985", "我知道啊 科科", "12/14 02:12", "0"
"sex#M.1450025826.A.9D7#00064", "NX9999", "知道現實怎樣也不能這樣攻擊人家啊XD，對方的坎坷經歷是惹到某人嗎XD", "12/14 02:14", "0"
"sex#M.1450025826.A.9D7#00065", "cckcc", "有圖有推", "12/14 02:15", "0"
"sex#M.1450025826.A.9D7#00066", "Lume0117", "誰管他現實，欣欣我明年要去東京 可以幫你買XDDD", "12/14 02:17", "0"
"sex#M.1450025826.A.9D7#00067", "sonyoung", "今晚不用睡了", "12/14 02:20", "0"
"sex#M.1450025826.A.9D7#00068", "babycat170", "寧寧學姐我也睡不著可以跟妳睡嗎？", "12/14 02:20", "0"
"sex#M.1450025826.A.9D7#00069", "doggy1985", "嘖", "12/14 02:21", "0"
"sex#M.1450025826.A.9D7#00070", "Lume0117", "一起啊！貓貓！來當我主人的貓群(誤)", "12/14 02:22", "0"
"sex#M.1450025826.A.9D7#00071", "babycat170", "我只要妳就好>\\\<  (鑽鑽蹭蹭)", "12/14 02:26", "0"
"sex#M.1450025826.A.9D7#00072", "EVILMAYCRY", "你們兩個趕快去睡", "12/14 02:27", "0"
"sex#M.1450025826.A.9D7#00073", "scLu", "？", "12/14 02:33", "0"
"sex#M.1450025826.A.9D7#00074", "howshaw", "啊嘶", "12/14 02:33", "0"
"sex#M.1450025826.A.9D7#00075", "BaaaSwin", "推推", "12/14 02:39", "0"
"sex#M.1450025826.A.9D7#00076", "dasos", "也只剩肥肉一堆", "12/14 02:40", "0"
"sex#M.1450025826.A.9D7#00077", "kyokuo", "發戰文也貼圖 證明你心虛沒自信 需要靠圖補推文數", "12/14 02:49", "0"
"sex#M.1450025826.A.9D7#00078", "ttff", "你也差不多", "12/14 02:49", "0"
"sex#M.1450025826.A.9D7#00079", "marcus30295", "不覺得你好到哪裡去", "12/14 03:07", "0"
"sex#M.1450025826.A.9D7#00080", "gn02297273", "這篇也不過就是附奶圖的廢文罷了", "12/14 03:14", "0"
"sex#M.1450025826.A.9D7#00081", "victor33", "不用跟那種人多說了", "12/14 03:16", "0"
"sex#M.1450025826.A.9D7#00082", "beetle2468", "噓 有奶說幹話一樣罵", "12/14 03:44", "0"
