"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1453016951.A.0F0#00000", "ChinaTaiwan", "2016年01月17日12:55<br><br>「竟然有這樣的男友！」去年6月底基隆市1名19歲李姓男子因沒錢花用，竟與17歲的女友<br>商討，由李男代為聯絡尋芳客，與女友進行性交易，而少女竟然為了男友，甘願淪為性奴<br>，李男找來1名曾姓男子，雙方談好80萬元價碼，在李男住處，大玩3P性遊戲，曾男為求<br>刺激感，先要求李男與女友相互自慰，曾男在旁觀賞後，再加入戰局，3人完事後，女友<br>向曾男各收取面額10萬元、70萬元2張本票，結果女子事後才發現本票根本無法兌現，只<br>能自認倒楣。<br><br>檢警調查，同年7月，李男又接洽到楊姓男子，再度媒介女友與楊男性交易，6千元成交，<br>隔天，李男又約王男以8千元代價，與女友在汽車旅館性交易。新北市警方獲報後，佯裝<br>男客加入李男line群組，打電話連絡李男約砲，確定有仲介少女性交易，李男才坦承媒介<br>過3名男子與女友性交易。<br><br>檢方日前依違反兒童及少年性交易防制條例，將李男提起公訴，但法院考量李男還是嬰兒<br>時，母親就出車禍死亡，從小與外婆相依為命，家境清寒，且李男犯後態度良好，年輕尚<br>輕，沒有前科，判刑1年6月有期徒刑，併科罰金5萬元，得易科罰金1天折抵1千元，予於<br>緩刑2年自新機會，需接受120小時義務勞動 。（突發中心蔡進男／基隆報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160117/777232/<br><br>--<br>", "", ""
"sex#M.1453016951.A.0F0#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1453016951.A.0F0#00002", "Rg20025", "純噓ID", "01/17 15:50", "0"
"sex#M.1453016951.A.0F0#00003", "FlynnZhang", "頸", "01/17 15:56", "0"
"sex#M.1453016951.A.0F0#00004", "samurai0314", "噓", "01/17 15:57", "0"
"sex#M.1453016951.A.0F0#00005", "lovesooman", "所以警察還是可以裝客人。＿。？(搔頭", "01/17 15:59", "0"
"sex#M.1453016951.A.0F0#00006", "devilshadow", "什麼樣的少女值80萬，2個智障", "01/17 16:02", "0"
"sex#M.1453016951.A.0F0#00007", "meninblack59", ".幹按錯", "01/17 16:20", "0"
"sex#M.1453016951.A.0F0#00008", "stw0975", "樓上我幫你", "01/17 16:21", "0"
"sex#M.1453016951.A.0F0#00009", "n98802001", "80萬... 黃金鮑...?", "01/17 16:21", "0"
"sex#M.1453016951.A.0F0#00010", "chien7808", "ID是殺洨？", "01/17 16:27", "0"
"sex#M.1453016951.A.0F0#00011", "ntutleesin", "噓你", "01/17 16:29", "0"
"sex#M.1453016951.A.0F0#00012", "gonna01", "北連中胡我早說了", "01/17 16:29", "0"
"sex#M.1453016951.A.0F0#00013", "sam23697", "id", "01/17 16:33", "0"
"sex#M.1453016951.A.0F0#00014", "meninblack59", "幹", "01/17 16:34", "0"
"sex#M.1453016951.A.0F0#00015", "CSY5566", "id", "01/17 16:35", "0"
"sex#M.1453016951.A.0F0#00016", "test0401", "。", "01/17 16:36", "0"
"sex#M.1453016951.A.0F0#00017", "sam86716", ".", "01/17 16:36", "0"
"sex#M.1453016951.A.0F0#00018", "syutian", "嗯嗯", "01/17 16:41", "0"
"sex#M.1453016951.A.0F0#00019", "aa651082", "純噓", "01/17 16:42", "0"
"sex#M.1453016951.A.0F0#00020", "qa28548836", "Id", "01/17 16:46", "0"
"sex#M.1453016951.A.0F0#00021", "GTA0328", "Id", "01/17 16:51", "0"
"sex#M.1453016951.A.0F0#00022", "SAUXO", "id", "01/17 16:56", "0"
"sex#M.1453016951.A.0F0#00023", "taker0304", "恩恩", "01/17 16:59", "0"
"sex#M.1453016951.A.0F0#00024", "bydaspm02", "Id", "01/17 17:00", "0"
"sex#M.1453016951.A.0F0#00025", "Lpissostrong", "滾", "01/17 17:11", "0"
"sex#M.1453016951.A.0F0#00026", "ywpeople", "不能封殺這個帳號嗎", "01/17 17:15", "0"
