"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1454116338.A.BC7#00000", "ChinaTaiwan", "2016年01月30日07:44<br><br>這些孩子們的道德觀怎麼了？<br><br>今日出刊的《蘋果日報》報導，新北市前年發生一件罕見的未成年性侵案，當時年僅16歲<br>的許姓少年，原本和13歲的少女小親(化名)交往，分手後又和小親好友小寧(化名)在一起<br>，兩女仍維持好友關係。<br><br>前年8月，小寧邀請小親及另一名少年到許姓少年家玩，沒過多久，許男性慾高漲，不顧<br>有其他人在場向小寧求歡但遭拒絕，他竟轉向前女友求歡，想當然也被拒絕，沒想到許姓<br>少年竟當著眾人面前，把小親強壓在床性侵得逞。離譜的是，小寧和另名友人不但不阻止<br>，還自顧自地在旁邊滑手機，對許姓少年的獸行視若無睹。<br><br>新北地檢署昨依刑度7年以上的加重強制性交罪起訴許姓少年，至於小寧及另名少年為什<br>麼目擊小親被欺負卻不願出手相救，檢方不願透露相關細節。（張鈜閔／綜合報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160130/786740/<br><br>--<br>", "", ""
"sex#M.1454116338.A.BC7#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1454116338.A.BC7#00002", "moto3412", "早上第一噓先送給你阿6仔", "01/30 09:15", "0"
"sex#M.1454116338.A.BC7#00003", "y20154321y", "滾", "01/30 09:18", "0"
"sex#M.1454116338.A.BC7#00004", "hope0955", "今天好早~", "01/30 09:19", "0"
"sex#M.1454116338.A.BC7#00005", "walhalla", "看到夜壺就是要噓~~~~呀", "01/30 09:20", "0"
"sex#M.1454116338.A.BC7#00006", "blackzero1", "國中生", "01/30 09:34", "0"
"sex#M.1454116338.A.BC7#00007", "frank74611", "因為小寧在跟友人.....哪有空阿......", "01/30 09:37", "0"
"sex#M.1454116338.A.BC7#00008", "tsm5566", "日安", "01/30 09:43", "0"
"sex#M.1454116338.A.BC7#00009", "popose", "這啥鳥ID", "01/30 09:44", "0"
"sex#M.1454116338.A.BC7#00010", "hellowenwen", "掰，掰", "01/30 09:45", "0"
"sex#M.1454116338.A.BC7#00011", "gamala", "看到id不開心", "01/30 09:54", "0"
"sex#M.1454116338.A.BC7#00012", "easonliou", "中你媽國台灣", "01/30 09:58", "0"
"sex#M.1454116338.A.BC7#00013", "spacefox", "每日任務done", "01/30 09:59", "0"
"sex#M.1454116338.A.BC7#00014", "gph010142", "乾0糧支那人滾啦", "01/30 10:04", "0"
"sex#M.1454116338.A.BC7#00015", "CASTER135710", "純推ID", "01/30 10:26", "0"
