"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1454376350.A.AD6#00000", "ChinaTaiwan", "好喜歡妳！正面抱緊女同事　色狼慘遭報警處理<br><br>2016年02月01日18:11<br><br>新北市谷姓男子去年8月底晚間上班時，突然親吻一名已婚女同事，還對著人家說「我好<br>喜歡妳這個同事喔！」接著再多親2下，當晚又趁機從正面抱對方吃豆腐，隔天故技重施<br>，女同事忍無可忍報警提告。新北地檢署偵結，今依性騷擾罪嫌起訴谷男。<br><br><br>起訴指出，35歲谷男在新北市三重區一家中醫診所擔任職員，去年8月底晚間，他邊工作<br>邊與年約30歲的女同事聊天，卻突然湊上前去親吻對方臉頰，還說「我好喜歡妳這個同事<br>喔！」女同事被突如其來的舉動嚇到愣住，谷男竟又補親2下，女同事才趕緊走避。<br><br>當晚診所打烊後，女同事獨自在女廁打掃，谷男又溜進女廁，朝女同事正面「抱緊」，之<br>後又跟著女同事去倒垃圾，再度環抱她一次。驚慌失措的女同事不敢聲張，只得在下班後<br>告訴丈夫此事，隔天也不敢再去上班。<br><br>診所主管見她未到班，去電詢問後，她才告訴主管被性騷擾的事情，主管允諾會介入處理<br>，但請她還是要來上班，沒想到當晚谷男又故技重施，趁女同事不注意時再度偷親她。<br><br>女同事這回忍無可忍，報警提告，谷男到案坦承犯行，辯稱是一時衝動所為。新北地檢署<br>偵結，今依性騷擾罪嫌起訴谷男。（游仁汶／新北報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/new/20160201/788231/<br><br>--<br>", "", ""
"sex#M.1454376350.A.AD6#00001", "redheart0216", "push", "02/02 09:26", "0"
"sex#M.1454376350.A.AD6#00002", "smart1989", "一樓在帶風向嗎? 推三小  426滾", "02/02 09:29", "0"
"sex#M.1454376350.A.AD6#00003", "likeair", "爛ID", "02/02 09:29", "0"
"sex#M.1454376350.A.AD6#00004", "key11114", "滾啦", "02/02 09:30", "0"
"sex#M.1454376350.A.AD6#00005", "a23529886", "Taiwan no1", "02/02 09:31", "0"
"sex#M.1454376350.A.AD6#00006", "angelwithzer", "一早就能解任務", "02/02 09:38", "0"
"sex#M.1454376350.A.AD6#00007", "gf4936", "好ID", "02/02 09:40", "0"
"sex#M.1454376350.A.AD6#00008", "diefishfish", "哈哈", "02/02 09:41", "0"
"sex#M.1454376350.A.AD6#00009", "abm311", "此ID見一次噓一次", "02/02 09:51", "0"
"sex#M.1454376350.A.AD6#00010", "judy0526", "掰", "02/02 09:53", "0"
"sex#M.1454376350.A.AD6#00011", "xl0208178", "垃圾ID，一樓反串嗎", "02/02 09:58", "0"
"sex#M.1454376350.A.AD6#00012", "hsianglu", "Taiwan NO.1", "02/02 10:06", "0"
"sex#M.1454376350.A.AD6#00013", "tn00710191", "ID哪裡好?", "02/02 10:08", "0"
"sex#M.1454376350.A.AD6#00014", "blue5487", "解任務", "02/02 10:09", "0"
"sex#M.1454376350.A.AD6#00015", "sincos5566", "中國台灣 一邊一國", "02/02 10:42", "0"
