"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1454459381.A.E7B#00000", "ChinaTaiwan", "2016年02月03日07:00<br><br>40多歲連姓男子外型斯文，前年和同高職畢業的30多歲陳姓學妹搭上線，搞婚外情，兩人「<br>吟詩作對」調情成鐵證。連男妻子提告，士林地檢署依相姦罪嫌，將連男及陳女起訴。<br><br>今日出版的《自由時報》報導，檢方調查，連男和陳女因業務搭上線，兩人103年開始相約<br>嘿咻，連男還在LINE的群組裡向友人炫耀，甚至把陳女自拍的下體照轉傳到群組內。連妻發<br>現丈夫外遇，要求他不能與陳女聯絡。陳女心情低落，找連男友人抱怨，友人對連男行徑看<br>不下去，將群組對話給陳女看，陳女情緒崩潰。檢方調查，兩人常吟詩作對調情，連男曾傳<br>送「黃粱南柯遠巫山」、「覆雨是月紫雲翻」等詞句給陳女；陳女也回傳「追攀更覺相逢晚<br>」，並要求連男鍛鍊身體，以免「雞到用時方恨軟」。檢方依相姦罪嫌將連男和陳女起訴。<br>（即時新聞中心／綜合報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/new/20160203/789248/<br><br>--<br>", "", ""
"sex#M.1454459381.A.E7B#00001", "mangocurd", "我先", "02/03 08:31", "0"
"sex#M.1454459381.A.E7B#00002", "nb5873", "濕人交配～", "02/03 08:33", "0"
"sex#M.1454459381.A.E7B#00003", "tylerpan", "淫油濕人", "02/03 08:35", "0"
"sex#M.1454459381.A.E7B#00004", "JYLai", "雞到用時方恨軟 好濕好濕~", "02/03 08:36", "0"
"sex#M.1454459381.A.E7B#00005", "syutian", "Gogo", "02/03 08:39", "0"
"sex#M.1454459381.A.E7B#00006", "blackzero1", "來人把證物情詩拿上來", "02/03 08:41", "0"
"sex#M.1454459381.A.E7B#00007", "yuanjang", "解任務", "02/03 08:42", "0"
"sex#M.1454459381.A.E7B#00008", "hope0955", "剛進辦公室就逼我噓你~我按錯誰幫補", "02/03 08:48", "0"
"sex#M.1454459381.A.E7B#00009", "ss94148", "TaiwanNO.1", "02/03 08:49", "0"
"sex#M.1454459381.A.E7B#00010", "ringal", "幫補刀，歐耶我是前10噓欸~~開心", "02/03 08:50", "0"
"sex#M.1454459381.A.E7B#00011", "CrossXAngel", "噓ID", "02/03 08:52", "0"
"sex#M.1454459381.A.E7B#00012", "weiblanky", "早安", "02/03 08:54", "0"
