"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1454547226.A.CE4#00000", "ChinaTaiwan", "2016年02月03日14:43<br><br>事業有成的40多歲楊姓男子，因為工作關係認識外形亮麗的30多歲游姓女子，2人不僅發<br>生了性關係，還生下了一子，游女霸氣的打電話給當時正懷孕3個月的楊妻，楊妻氣到小<br>產怒提妨害家庭告訴，2人不僅被判刑確定，還需連帶賠償50萬。沒想到2人的不正常關係<br>並沒有因為這次訴訟而終止，反而變本加厲，在訴訟進行中懷孕生下第2胎，游女還將寶<br>寶的照片貼在臉書，楊妻看到怒不可遏，再次提出妨害家庭的告訴，台北地檢署今天偵結<br>，再次依妨害家庭罪將2人起訴。<br><br>據了解，楊男與元配就讀同一所大學，2人相識、相戀進而步入結婚禮堂，楊男畢業後在<br>外打拼，開了一家公司，妻子則在公司擔任會計，夫唱婦隨，原本日子過得甜甜蜜蜜。但<br>在3年前，楊男因為事業應酬，認識外形亮麗的游姓女子（30多歲），楊男背著妻子偷偷<br>摸摸的到游女租屋處發生多次性關係，夫妻間的甜蜜關係開始生變。<br><br>2人偷情沒有做任何避孕措施，2013年4月間，游女生了1名男嬰，一開始楊男還半信半疑<br>的懷疑小孩到底是誰的種，將2人的DNA拿到知名的柯滄銘婦產科診所進行親子鑑定，確定<br>小孩就是他的，同年10月間，游女主動打電話給楊妻，告知其懷孕生子的事情，楊妻當時<br>懷孕3個月，聽到此事氣到小產，不僅提出刑事妨害家庭告訴，同時提出民事侵權行為的<br>損害賠償，最後法院就刑事部分，判處楊男5月徒刑、游女4月徒刑，民事部分則要2人連<br>帶賠償楊妻50萬元。<br><br>就在雙方進行訴訟過程中，楊男又與游女發生性關係，並於2014年初生下一名男嬰，游女<br>將母子的照片貼在臉書昭告親朋好友，楊妻在流覽游女的臉書，發現又多了一個小男嬰，<br>男嬰長相還跟丈夫像是同一個模子印出來的，因此認為丈夫再度背叛她，再次對2人提出<br>妨害家庭告訴。（呂志明／台北報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160203/789540/<br><br>--<br>", "", ""
"sex#M.1454547226.A.CE4#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1454547226.A.CE4#00002", "vincent1985", "頭", "02/04 08:55", "0"
"sex#M.1454547226.A.CE4#00003", "chaycoa", "這ID不噓不行", "02/04 08:56", "0"
"sex#M.1454547226.A.CE4#00004", "gauss760220", "滾", "02/04 08:59", "0"
"sex#M.1454547226.A.CE4#00005", "pths313", "這ID不噓不行", "02/04 09:00", "0"
"sex#M.1454547226.A.CE4#00006", "MadRiver", "每日任務（1/1）", "02/04 09:03", "0"
"sex#M.1454547226.A.CE4#00007", "Hamer718", "補噓", "02/04 09:07", "0"
"sex#M.1454547226.A.CE4#00008", "jackson69982", "一早就解任務", "02/04 09:08", "0"
"sex#M.1454547226.A.CE4#00009", "marsbb1997", "跟上", "02/04 09:09", "0"
"sex#M.1454547226.A.CE4#00010", "shc723", "來了", "02/04 09:15", "0"
"sex#M.1454547226.A.CE4#00011", "wow000321", "簽到", "02/04 09:16", "0"
"sex#M.1454547226.A.CE4#00012", "hilamo", "簽", "02/04 09:18", "0"
"sex#M.1454547226.A.CE4#00013", "shaneqaz", "再見", "02/04 09:20", "0"
"sex#M.1454547226.A.CE4#00014", "cicigogo33", "ID", "02/04 09:21", "0"
"sex#M.1454547226.A.CE4#00015", "hope0955", "你今天上班遲到厚~", "02/04 09:23", "0"
"sex#M.1454547226.A.CE4#00016", "promotion201", "推推 一個中國 各自表述", "02/04 09:32", "0"
"sex#M.1454547226.A.CE4#00017", "shawn0960", "噓噓樂", "02/04 09:37", "0"
"sex#M.1454547226.A.CE4#00018", "twst900211", "噓", "02/04 09:42", "0"
"sex#M.1454547226.A.CE4#00019", "redheart0216", "推", "02/04 09:42", "0"
"sex#M.1454547226.A.CE4#00020", "hlkang", "推，支持一個中國", "02/04 09:45", "0"
"sex#M.1454547226.A.CE4#00021", "tsm5566", "早安!", "02/04 09:46", "0"
"sex#M.1454547226.A.CE4#00022", "z2693", "支持一個中國 一個臺灣", "02/04 09:48", "0"
"sex#M.1454547226.A.CE4#00023", "hanktsai820", "喔", "02/04 09:49", "0"
"sex#M.1454547226.A.CE4#00024", "vancepeng", "拜拜", "02/04 09:51", "0"
"sex#M.1454547226.A.CE4#00025", "wusam4667103", "我這不是來了", "02/04 09:55", "0"
