"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1456019131.A.BFE#00000", "ChinaTaiwan", "2016-02-21<br><br>〔記者黃文鍠／台南報導〕蘇姓女子邀約有輕微智障小麗（化名）出門，夥同林姓男友人<br>載往摩鐵性侵，小麗家屬控告2人乘機性交，一審法官審理後，認為小麗在國中小曾上過<br>健康教育，大學也修過性別研究，應該理解性交的意義，加上過程並未抗拒，判決2人無<br>罪；檢察官不服上訴，台南高分院維持無罪判決，全案仍可上訴。<br><br>「國小就教過」法官認定她理解性愛<br><br>小麗已成年，雖領有輕度智障手冊，仍讀到大學畢業，並在科技工廠工作，但因與人互動<br>較差，一直沒有男朋友。在清潔公司上班的蘇姓女子認識小麗後，認為有機可乘，103年1<br>月11日上午，以介紹男朋友為由，將小麗約到公司，和林姓男子一起驅車前往摩鐵，3人<br>發生性關係。小麗家人發現此事，憤而提告。<br><br>庭訊時，小麗表示當時沒有反抗，是因為不知道什麼叫性行為，什麼叫性侵；但進摩鐵時<br>，曾經和蘇、林2人先看過A片，知道裡面男女做的事情叫「做愛」。<br><br>法官認為，小麗對於和他人一起觀看A片並不會不好意思，顯見對性並非無知；且小麗讀<br>大學時修過性別研究課程，國中小亦有健康教育課程，雖輕度智障，對性也不是全然無知<br>。<br><br>由於趁機性交罪之構成要件為「心智缺陷，不能或不知抗拒」，法官認為，如非小麗本身<br>有意願，在與林男發生關係時，應該不至於「不知或不能反抗」，判決2人無罪。<br><br>http://news.ltn.com.tw/news/society/paper/960380<br><br>--<br>", "", ""
"sex#M.1456019131.A.BFE#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1456019131.A.BFE#00002", "nomo1616", "頭噓", "02/21 09:46", "0"
"sex#M.1456019131.A.BFE#00003", "syueren0917", "首噓", "02/21 09:46", "0"
"sex#M.1456019131.A.BFE#00004", "Argo321", "弱智女大生....", "02/21 09:47", "0"
"sex#M.1456019131.A.BFE#00005", "takgh", "來啦", "02/21 09:47", "0"
"sex#M.1456019131.A.BFE#00006", "leader1028", "這法官我看也弱智", "02/21 09:49", "0"
"sex#M.1456019131.A.BFE#00007", "NicoRobin26", "垃圾", "02/21 09:49", "0"
"sex#M.1456019131.A.BFE#00008", "angelgirl13", "森7!!", "02/21 09:51", "0"
"sex#M.1456019131.A.BFE#00009", "a132004a", "看到這ID..,", "02/21 09:52", "0"
"sex#M.1456019131.A.BFE#00010", "Applications", "純噓id", "02/21 09:54", "0"
"sex#M.1456019131.A.BFE#00011", "hank10325", "噓ID", "02/21 09:55", "0"
"sex#M.1456019131.A.BFE#00012", "cjleetw", "每日任務（1/1）", "02/21 09:55", "0"
"sex#M.1456019131.A.BFE#00013", "bydaspm02", "ID正確", "02/21 09:56", "0"
"sex#M.1456019131.A.BFE#00014", "wwjd123", "Mission Complete!", "02/21 09:58", "0"
"sex#M.1456019131.A.BFE#00015", "joeblack0212", "現在弱智都能唸大學了啊", "02/21 10:02", "0"
"sex#M.1456019131.A.BFE#00016", "redheart0216", "推推", "02/21 10:04", "0"
"sex#M.1456019131.A.BFE#00017", "yo32310", "貼這幹嘛西斯點呢？？？？", "02/21 10:07", "0"
"sex#M.1456019131.A.BFE#00018", "laramusic", "聖誕玫瑰情節", "02/21 10:17", "0"
"sex#M.1456019131.A.BFE#00019", "mama21949", "噓", "02/21 10:20", "0"
"sex#M.1456019131.A.BFE#00020", "bassislike", "每日", "02/21 10:28", "0"
"sex#M.1456019131.A.BFE#00021", "j3307002", "現在弱智都能唸大學了xd", "02/21 10:31", "0"
"sex#M.1456019131.A.BFE#00022", "angel6502", "有智力讀到大學、沒智力理解性交，另外純噓id", "02/21 10:32", "0"
"sex#M.1456019131.A.BFE#00023", "lovecoqu", "全台灣都能約小麗了", "02/21 10:36", "0"
"sex#M.1456019131.A.BFE#00024", "mhlee", "弱智能念到大學 看台灣大學多糟糕", "02/21 10:37", "0"
"sex#M.1456019131.A.BFE#00025", "hahahaooo", "每日", "02/21 10:40", "0"
"sex#M.1456019131.A.BFE#00026", "pcb", "純噓ID", "02/21 10:42", "0"
"sex#M.1456019131.A.BFE#00027", "book2381", "連我阿媽都大學畢業了", "02/21 10:44", "0"
"sex#M.1456019131.A.BFE#00028", "ComeClose", "解任務", "02/21 10:46", "0"
"sex#M.1456019131.A.BFE#00029", "stayclassy", "任務成功", "02/21 10:46", "0"
"sex#M.1456019131.A.BFE#00030", "justin61417", "法官", "02/21 10:53", "0"
"sex#M.1456019131.A.BFE#00031", "ppi123", "輕度智障也能讀大學?", "02/21 10:55", "0"
"sex#M.1456019131.A.BFE#00032", "EAsoN1123", "午安", "02/21 11:00", "0"
"sex#M.1456019131.A.BFE#00033", "davidbright", "...這法官簡直...標準高學歷低能就是這種", "02/21 11:03", "0"
"sex#M.1456019131.A.BFE#00034", "kengi1112", "來了", "02/21 11:06", "0"
"sex#M.1456019131.A.BFE#00035", "kenny890429", "id88", "02/21 11:09", "0"
"sex#M.1456019131.A.BFE#00036", "a46bc6wp8", "通篇欠噓", "02/21 11:12", "0"
"sex#M.1456019131.A.BFE#00037", "qk025898", "噓id", "02/21 11:12", "0"
"sex#M.1456019131.A.BFE#00038", "Faintlp", "來解任務", "02/21 11:14", "0"
"sex#M.1456019131.A.BFE#00039", "pikacha", "這ID不能永遠禁用嗎？？？？？？？？？？？？？？？？？", "02/21 11:15", "1"
"sex#M.1456019131.A.BFE#00040", "sassuck", "垃圾ID", "02/21 11:22", "0"
"sex#M.1456019131.A.BFE#00041", "x3795566", "噓ID", "02/21 11:32", "0"
