"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1457655674.A.AF4#00000", "ChinaTaiwan", "2016年03月11日07:17<br><br>58歲黃姓男子懷疑同事阿翔與他前女友曖昧，竟自製傳單：「此人老二特大，好色成性…<br>」沿路發送，還恐嚇他，台北地檢署昨依恐嚇、加重誹謗、傷害罪嫌將黃男起訴。<br><br>今日出版的《自由時報》報導，起訴書指出，黃男去年9月中傳LINE給其前女友，寫道：<br>「請轉告他（指阿翔），要讓他的手不能再按摩，代價是150萬元…」之後又撰文寫道：<br>「此人老二特大，時常發癢，好色成性，不顧他老婆的痛苦，專搞外遇」等語；更到阿翔<br>住處將其毆傷，阿翔憤而報警控告。（即時新聞中心／綜合報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160311/813556/<br><br>--<br>", "", ""
"sex#M.1457655674.A.AF4#00001", "kiss812kiss", "頭", "03/11 08:25", "0"
"sex#M.1457655674.A.AF4#00002", "louis0422", "頸", "03/11 08:28", "0"
"sex#M.1457655674.A.AF4#00003", "brandon0415", "腰", "03/11 08:30", "0"
"sex#M.1457655674.A.AF4#00004", "fishyuu", "腳，......我要噓", "03/11 08:33", "0"
"sex#M.1457655674.A.AF4#00005", "kaospark", "腳底板", "03/11 08:40", "0"
"sex#M.1457655674.A.AF4#00006", "walhalla", "此人老二特大<==這算毀謗??", "03/11 08:41", "0"
"sex#M.1457655674.A.AF4#00007", "qq3rpv", "又是阿翔！", "03/11 08:51", "0"
"sex#M.1457655674.A.AF4#00008", "wrbdnombd", "來", "03/11 08:55", "0"
"sex#M.1457655674.A.AF4#00009", "z9988kk123", "我幫妳噓，幹 按到推", "03/11 09:03", "0"
"sex#M.1457655674.A.AF4#00010", "z9988kk123", "補", "03/11 09:12", "0"
"sex#M.1457655674.A.AF4#00011", "bydaspm02", "每日", "03/11 09:13", "0"
"sex#M.1457655674.A.AF4#00012", "a22122212", "這新聞有夠幹笑", "03/11 09:18", "0"
"sex#M.1457655674.A.AF4#00013", "howard21201", "ID正確", "03/11 09:22", "0"
"sex#M.1457655674.A.AF4#00014", "starboxx", "每日必噓", "03/11 09:23", "0"
"sex#M.1457655674.A.AF4#00015", "chien7808", "推你妹-.-", "03/11 09:32", "0"
"sex#M.1457655674.A.AF4#00016", "necro1212", "每日噓", "03/11 09:35", "0"
"sex#M.1457655674.A.AF4#00017", "qqaj", "噓", "03/11 09:44", "0"
"sex#M.1457655674.A.AF4#00018", "fatloseuncle", "任務達成", "03/11 09:48", "0"
"sex#M.1457655674.A.AF4#00019", "dab2001tw", "閱", "03/11 09:53", "0"
"sex#M.1457655674.A.AF4#00020", "henman2566", "每日任務 達成!", "03/11 09:54", "0"
"sex#M.1457655674.A.AF4#00021", "mmppeegg", "58歲了還這麼愛逞兇鬥狠", "03/11 09:57", "0"
"sex#M.1457655674.A.AF4#00022", "shinanhand", "必噓boy", "03/11 10:01", "0"
"sex#M.1457655674.A.AF4#00023", "payyee", "爽", "03/11 10:10", "0"
"sex#M.1457655674.A.AF4#00024", "shamoe", "其實第一句是誇獎，不購成犯罪", "03/11 10:19", "0"
"sex#M.1457655674.A.AF4#00025", "tibon", ""此人老二特大" 這算誹謗嗎?", "03/11 10:21", "0"
"sex#M.1457655674.A.AF4#00026", "johnson20524", "不能推 怎麼辦 妳說啊 (", "03/11 10:21", "0"
"sex#M.1457655674.A.AF4#00027", "oowayneoo", "我今天噓完了", "03/11 10:30", "0"
"sex#M.1457655674.A.AF4#00028", "alex01", "在這邊噓 是很喜歡看他PO文對吧", "03/11 10:32", "0"
"sex#M.1457655674.A.AF4#00029", "sonbrian", "id必噓", "03/11 10:50", "0"
"sex#M.1457655674.A.AF4#00030", "Cheng2042", "滾", "03/11 10:55", "0"
"sex#M.1457655674.A.AF4#00031", "pingba", "噓", "03/11 10:55", "0"
"sex#M.1457655674.A.AF4#00032", "xiou", "補刀", "03/11 10:58", "0"
"sex#M.1457655674.A.AF4#00033", "ds219071", "不虛枉為人", "03/11 10:59", "0"
"sex#M.1457655674.A.AF4#00034", "Jyunyuan", "垃圾id", "03/11 11:02", "0"
"sex#M.1457655674.A.AF4#00035", "holisila0215", "每日任務", "03/11 11:19", "0"
"sex#M.1457655674.A.AF4#00036", "killp75489", "噓", "03/11 11:21", "0"
"sex#M.1457655674.A.AF4#00037", "alex01", "他就是想看你們噓阿....傻了嗎....大家都不噓這人就滾了，0推 0噓 他有個毛動力", "03/11 11:58", "0"
"sex#M.1457655674.A.AF4#00038", "stw0975", "ID", "03/11 12:00", "0"
"sex#M.1457655674.A.AF4#00039", "nvemissing", "好好笑", "03/11 12:05", "0"
"sex#M.1457655674.A.AF4#00040", "duck6934", "邊肛老習邊噓", "03/11 12:09", "0"
"sex#M.1457655674.A.AF4#00041", "jacky79825", "免費的宣傳？", "03/11 12:09", "0"
"sex#M.1457655674.A.AF4#00042", "qk025898", "噓id", "03/11 12:51", "0"
"sex#M.1457655674.A.AF4#00043", "loveiu0406", "每日任務(1/1)", "03/11 13:08", "0"
"sex#M.1457655674.A.AF4#00044", "qeye000", "好", "03/11 13:15", "0"
"sex#M.1457655674.A.AF4#00045", "kevin7452200", "ID正確給推", "03/11 13:26", "0"
"sex#M.1457655674.A.AF4#00046", "sallyhelp", "好ID不噓嗎？", "03/11 13:29", "0"
"sex#M.1457655674.A.AF4#00047", "smart1989", "喔", "03/11 13:39", "0"
"sex#M.1457655674.A.AF4#00048", "shawn0960", "跟黃氨ㄧ起回去中國啦", "03/11 13:46", "0"
"sex#M.1457655674.A.AF4#00049", "teps3105", "噓", "03/11 14:26", "0"
"sex#M.1457655674.A.AF4#00050", "biebie880", "87", "03/11 15:08", "0"
"sex#M.1457655674.A.AF4#00051", "sakaki", "推", "03/11 16:34", "0"
"sex#M.1457655674.A.AF4#00052", "test0401", "。", "03/11 18:21", "0"
"sex#M.1457655674.A.AF4#00053", "gist83", "1", "03/11 18:22", "0"
"sex#M.1457655674.A.AF4#00054", "high1234", "爛ID不噓嗎?", "03/11 21:39", "0"
"sex#M.1457655674.A.AF4#00055", "ddmanddman", "這id都被大葉拖去泥漿裡打", "03/11 22:39", "0"
"sex#M.1457655674.A.AF4#00056", "coolericliu", "當然推", "03/11 22:46", "0"
"sex#M.1457655674.A.AF4#00057", "f830514", "糞", "03/11 22:47", "0"
"sex#M.1457655674.A.AF4#00058", "eyln", "噓", "03/11 23:36", "0"
"sex#M.1457655674.A.AF4#00059", "Yushuo7", "踹！", "03/12 10:46", "0"
"sex#M.1457655674.A.AF4#00060", "takiup", "噓", "03/13 13:07", "0"
