"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1457745927.A.CBD#00000", "ChinaTaiwan", "2016-03-12<br><br>〔記者王捷／台南報導〕「你這麼年輕怎麼來這裡？小姐都可以當你媽了！」台南市前鋒<br>路有間按摩店，常遭民眾檢舉「做半套」，警方連日暗訪後，前天發動取締，進門卻驚見<br>一名19歲的小鮮肉，剛和57歲的按摩婦辦完事，燈亮之後，年輕人也大吃一驚，自招被朋<br>友設計了。<br><br>自招被朋友設計了<br><br>這家按摩店開在住宅區，不少居民晚上看到各種熟女穿薄紗短裙上班，非常反感，不斷向<br>市警五分局檢舉，卻未見改善，甚至檢舉人還被回覆該處沒有違規停車，令檢舉人懷疑內<br>情不單純。<br><br>當時警方澄清說，該回應是烏龍，會加強訪查該店，事隔近半年，五分局明查暗訪發現，<br>該店小姐大多為「資深熟女」，只要1千元就可享受按摩，還幫男客手淫，但店家行事小<br>心，有客人進門，就關門假裝歇業。<br><br>燈亮見真章 嘆吃不消<br><br>警方10日見時機成熟，持搜索票前往，沒想到，一進入閃爍霓虹燈的房間時，卻發現19歲<br>的男子，才剛和57歲的按摩小姐完事，將兩人帶回警所製作筆錄，燈光下「媽媽級」小姐<br>無所遁形，令男子大嘆吃不消，小姐否認從事性交易，男客卻供稱因朋友慫恿，才決定花<br>錢告別處男，以後再也不相信朋友了，警方對於嫩男找年近六旬嬤感到不可思議，訊後依<br>社維法將2人送辦。<br><br>http://news.ltn.com.tw/news/society/paper/967384<br><br>--<br>", "", ""
"sex#M.1457745927.A.CBD#00001", "ChinaTaiwan", "純推ID", "10/29 20:25", "0"
"sex#M.1457745927.A.CBD#00002", "guardian128", "噓就對了", "03/12 09:27", "0"
"sex#M.1457745927.A.CBD#00003", "wordggyyder", "噓", "03/12 09:29", "0"
"sex#M.1457745927.A.CBD#00004", "qk025898", "噓就對了!!!", "03/12 09:40", "0"
"sex#M.1457745927.A.CBD#00005", "XDGC", "滾", "03/12 09:41", "0"
"sex#M.1457745927.A.CBD#00006", "killer398", "噓ID不知羞恥", "03/12 09:42", "0"
"sex#M.1457745927.A.CBD#00007", "brandon40905", "每日任務1/1", "03/12 09:43", "0"
"sex#M.1457745927.A.CBD#00008", "jessicayeh", "嗨", "03/12 09:45", "0"
"sex#M.1457745927.A.CBD#00009", "rup3rup3", "肚子餓餓QnQ..", "03/12 09:47", "0"
"sex#M.1457745927.A.CBD#00010", "rich5566", "ID", "03/12 09:53", "0"
"sex#M.1457745927.A.CBD#00011", "bigbirdsam", "解任務～", "03/12 09:57", "0"
"sex#M.1457745927.A.CBD#00012", "jerry60111", "滾", "03/12 10:00", "0"
"sex#M.1457745927.A.CBD#00013", "sd7621155", "今日首噓", "03/12 10:03", "0"
"sex#M.1457745927.A.CBD#00014", "jk74152", "嗯", "03/12 10:03", "0"
"sex#M.1457745927.A.CBD#00015", "Ogrish", "一邊一國", "03/12 10:06", "0"
"sex#M.1457745927.A.CBD#00016", "VincentKung", "綠明顯，這票警察到底收了多少", "03/12 10:06", "0"
"sex#M.1457745927.A.CBD#00017", "Aryung", "噓", "03/12 10:20", "0"
"sex#M.1457745927.A.CBD#00018", "icq7584", "嗯", "03/12 10:23", "0"
"sex#M.1457745927.A.CBD#00019", "linisthebest", "不認噓", "03/12 10:25", "0"
"sex#M.1457745927.A.CBD#00020", "PoloHuang", "。", "03/12 10:40", "0"
"sex#M.1457745927.A.CBD#00021", "sonbrian", "只能噓", "03/12 10:54", "0"
"sex#M.1457745927.A.CBD#00022", "qqq3qqtw", "台南57算正妹了", "03/12 11:23", "0"
"sex#M.1457745927.A.CBD#00023", "sohyjustus", "ID", "03/12 11:35", "0"
"sex#M.1457745927.A.CBD#00024", "jenhaoliao", "噓就對了", "03/12 11:38", "0"
"sex#M.1457745927.A.CBD#00025", "liushihyao", "各種熟女是什麼爛中文", "03/12 11:39", "0"
"sex#M.1457745927.A.CBD#00026", "duck6934", "詩詩！！哇底加啦", "03/12 11:44", "0"
"sex#M.1457745927.A.CBD#00027", "johnson20524", "87", "03/12 12:07", "0"
"sex#M.1457745927.A.CBD#00028", "Smilechi7", "噓就對了", "03/12 12:36", "0"
"sex#M.1457745927.A.CBD#00029", "chinafuck56", "台南人的日常～咦？", "03/12 12:41", "0"
"sex#M.1457745927.A.CBD#00030", "frankykick", "幹你娘", "03/12 12:45", "0"
"sex#M.1457745927.A.CBD#00031", "jeffyaya", "ID...你腦子有洞?!", "03/12 12:51", "0"
"sex#M.1457745927.A.CBD#00032", "stw0975", "跟上", "03/12 12:52", "0"
"sex#M.1457745927.A.CBD#00033", "stormproof20", "中國吃屎", "03/12 13:24", "0"
"sex#M.1457745927.A.CBD#00034", "f00436", "台灣就是台灣！ 噓id", "03/12 13:44", "0"
"sex#M.1457745927.A.CBD#00035", "judy0526", "滾", "03/12 13:52", "0"
"sex#M.1457745927.A.CBD#00036", "riiooreal", "跟", "03/12 13:53", "0"
"sex#M.1457745927.A.CBD#00037", "kbbjojo", "ID", "03/12 14:07", "0"
"sex#M.1457745927.A.CBD#00038", "JuyiH", "怒噓！", "03/12 14:08", "0"
"sex#M.1457745927.A.CBD#00039", "mimijonya", "有人討噓！", "03/12 14:19", "0"
"sex#M.1457745927.A.CBD#00040", "masehao", "只能噓", "03/12 14:25", "0"
"sex#M.1457745927.A.CBD#00041", "Miadora", "噓", "03/12 14:45", "0"
"sex#M.1457745927.A.CBD#00042", "bootscan", "先噓再說", "03/12 14:49", "0"
"sex#M.1457745927.A.CBD#00043", "IBKELLY", "滾", "03/12 15:14", "0"
"sex#M.1457745927.A.CBD#00044", "xichen0326", "噓id", "03/12 15:41", "0"
"sex#M.1457745927.A.CBD#00045", "mmppeegg", "舒爽^_^", "03/12 16:29", "0"
"sex#M.1457745927.A.CBD#00046", "Cheng2042", "滾", "03/12 17:02", "0"
"sex#M.1457745927.A.CBD#00047", "kylelin55", "滾", "03/12 17:57", "0"
"sex#M.1457745927.A.CBD#00048", "yaoishampoo", "你今天噓噓了嗎", "03/12 18:38", "0"
"sex#M.1457745927.A.CBD#00049", "nick0713", "^^", "03/12 18:46", "0"
"sex#M.1457745927.A.CBD#00050", "aj1234", "噓爆你，幹弄錯了", "03/12 19:13", "0"
"sex#M.1457745927.A.CBD#00051", "luttasblaze", "噓ID", "03/12 20:01", "0"
"sex#M.1457745927.A.CBD#00052", "b00001979", "噓一下", "03/12 20:08", "0"
"sex#M.1457745927.A.CBD#00053", "nancy70230", "噓 id", "03/12 20:33", "0"
"sex#M.1457745927.A.CBD#00054", "Geovanti", "最近噓力減弱 特來支援", "03/12 21:35", "0"
"sex#M.1457745927.A.CBD#00055", "elsea001", "都噓", "03/12 22:15", "0"
"sex#M.1457745927.A.CBD#00056", "lwai1412", "噓id!!", "03/12 22:21", "0"
"sex#M.1457745927.A.CBD#00057", "madmoon", "嗯嗯", "03/12 22:57", "0"
"sex#M.1457745927.A.CBD#00058", "rob9531sunp", "FK CHA", "03/12 23:03", "0"
"sex#M.1457745927.A.CBD#00059", "sammai", "FK CHA", "03/12 23:19", "0"
"sex#M.1457745927.A.CBD#00060", "petertan", "噓", "03/12 23:44", "0"
"sex#M.1457745927.A.CBD#00061", "ginhow520", "你媽知道你跟黃安一樣浪費資源嗎", "03/12 23:44", "0"
"sex#M.1457745927.A.CBD#00062", "Rapper", "FKCN", "03/12 23:52", "0"
"sex#M.1457745927.A.CBD#00063", "Sibelius26", "黃安吃你阿嬤的初經 你阿嬤還噴水在你爸臉上", "03/13 00:43", "0"
"sex#M.1457745927.A.CBD#00064", "nash15963", "樓上粗暴啊", "03/13 00:49", "0"
"sex#M.1457745927.A.CBD#00065", "wsxe2007", "喔", "03/13 01:38", "0"
"sex#M.1457745927.A.CBD#00066", "thaleschou", "解成就", "03/13 02:30", "0"
"sex#M.1457745927.A.CBD#00067", "kane4125", "噓你應該，不噓你悲哀", "03/13 03:59", "0"
"sex#M.1457745927.A.CBD#00068", "donothate556", "不少居民晚上看到各種熟女穿薄紗短裙上班，非常反感", "03/13 10:29", "1"
"sex#M.1457745927.A.CBD#00069", "Yiiiiiiiiiii", ">_^", "03/13 12:06", "0"
