"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1459964525.A.B8C#00000", "s201262002", "我曾有一個因為做愛感覺很棒而交往的女友(已分手)，但問身邊朋友總說這樣感情不會長<br>久，畢竟我們才認識不到兩週，殊不知ㄧ交往卻長達近三年之久(雖然超常吵架)，在我們<br>交往之前他有一個年紀比他大四歲且有女友的炮友，認識我後那難得卻一直想把他勾回來<br>，還好我這張嘴還不是普通甜，還騙得到他屈服於我，但似乎與他完結篇過後真的比較沒<br>有一個讓我很喜歡或很享受的旅程，雖然愛玩但還懂得回家，但坦白說  還是跟女友交融<br>感覺比較棒(畢竟真的喜歡對方，因為之後的女友除了會搖會夾聲音甜外加大D奶.重點是<br>對我還色色的)，但我算是愛好新鮮感的人，有時候還是會去嚐鮮，至少不會有感情，純<br>粹在那方面有契合度的女孩互動，現在幾乎都沒有坦誠相見了，但還是有在聯絡(幾乎都<br>結婚當媽了，可是交情也是變不錯的朋友)，但之前有些互動到後面會突然跟你告白，當<br>下會先傻住，然後就不說話，要不就是直接坦盪盪說其實我不介意也不會拒絕你對我做任<br>何事，但其實感受得到他們的想法與需求，也許是我當時女友或之前那位真的感覺太棒吧<br>，所以感覺就像滿足彼此需求的"交功課"，但久而久之也習慣彼此的互動與模式(其中一<br>位當時扯到在女生家喝酒喝到脫衣服，女生老爸還坐在客廳看電視姐姐在房間玩電腦，都<br>知道我跟他的關係，甚至一次我帶另外一位契合度的女生朋友去他家喝酒(也有男友)，殊<br>不知我們就@#$%%)，但現在想想有些許懷念，但過去也過去了，現在應該也找不到像當時<br>契合度這麼高的女友了吧，但說真的 從炮友到女友，其實感覺真的沒有想像中這麼美好<br><br>--<br>", "", ""
"sex#M.1459964525.A.B8C#00001", "yoyoboys1335", "你文章一定要這樣沒段落打成一坨大便嗎", "04/07 01:44", "0"
"sex#M.1459964525.A.B8C#00002", "hank271", "看得眼睛好痛", "04/07 01:45", "0"
"sex#M.1459964525.A.B8C#00003", "YuHeng", "End", "04/07 01:46", "0"
"sex#M.1459964525.A.B8C#00004", "heineken0219", "文章看的好累", "04/07 01:47", "0"
"sex#M.1459964525.A.B8C#00005", "clootie0429", "沒讀正確", "04/07 01:47", "0"
"sex#M.1459964525.A.B8C#00006", "threewww", "對不起這裡是西施板", "04/07 01:53", "0"
"sex#M.1459964525.A.B8C#00007", "Bxfree", "排版", "04/07 01:57", "0"
"sex#M.1459964525.A.B8C#00008", "windy7225", "可以一口氣唸完的，我請一個月雞排", "04/07 02:00", "0"
"sex#M.1459964525.A.B8C#00009", "PavelNedved", "爛排板", "04/07 02:01", "0"
"sex#M.1459964525.A.B8C#00010", "ev7e", "???", "04/07 02:10", "0"
"sex#M.1459964525.A.B8C#00011", "zetsuboo", "你媽沒教你好好說話和發文嗎？", "04/07 02:11", "0"
"sex#M.1459964525.A.B8C#00012", "anny78913", "眼睛要瞎了…", "04/07 02:12", "0"
"sex#M.1459964525.A.B8C#00013", "n98802001", "排版...", "04/07 02:14", "0"
