"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1464757835.A.FE8#00000", "ChinaTaiwan", "穩交卻與「大雕男」約砲2年　她讚：只能X一半又很粗！<br><br>男歡女愛是人之常情，但有固定伴侶還想偷吃，就顯得有點不厚道。一名網友在《靠北性<br>事3.0》粉絲團發文，並說自己跟男朋友在一起兩年，但期間都有和另一個男生約砲，「<br>那男的真的很大，只能夠含住一半，又很粗…」<br><br>網友在文中寫道，「我跟男朋友在一起兩年了，但是在這兩年，我都有跟另一個男生約炮<br>。那男的真的很大，只能夠含住一半，又很粗，看了真的很害羞…這是男朋友不能滿足我<br>的＞＜，這樣我會很犯賤嗎？」<br><br>看到這篇文章，許多網友都很興奮。有人說「免錢妓女就別討罵了」、「你幹嘛要有男朋<br>友」、「無男友無牽掛，要怎麼打炮都行」、「妳一點都不賤，只是他X的臭婊子和鮑魚<br>臭」、「各取所需，可以約我」、「你是在問大便好吃嗎」、「妳怎麼不找個電線杆」；<br>還有網友酸溜溜地說：「很破耶妳，明明自己鬆掉還要怪男人」、「明知故問！更犯賤的<br>是妳沒找我！」<br><br>http://www.ettoday.net/news/20160601/708561.htm<br><br>--<br>", "", ""
"sex#M.1464757835.A.FE8#00001", "ChinaTaiwan", "ID正確", "11/15 13:09", "0"
"sex#M.1464757835.A.FE8#00002", "josephiny", "…", "06/01 13:12", "0"
"sex#M.1464757835.A.FE8#00003", "cvoa1026", "ID", "06/01 13:14", "0"
"sex#M.1464757835.A.FE8#00004", "a84192000", "2沒壞", "06/01 13:14", "0"
"sex#M.1464757835.A.FE8#00005", "cft104", "嗯...", "06/01 13:14", "0"
"sex#M.1464757835.A.FE8#00006", "OSSking", "解任務", "06/01 13:16", "0"
"sex#M.1464757835.A.FE8#00007", "tkhunter", "去", "06/01 13:18", "0"
"sex#M.1464757835.A.FE8#00008", "qshnjuyn", "好啦好啦", "06/01 13:23", "0"
"sex#M.1464757835.A.FE8#00009", "wei781861", "ID", "06/01 13:30", "0"
"sex#M.1464757835.A.FE8#00010", "ccsound", "直接去廣州阿...", "06/01 13:32", "0"
"sex#M.1464757835.A.FE8#00011", "zeanmar", "hmm id正確?", "06/01 13:32", "0"
"sex#M.1464757835.A.FE8#00012", "kimgordon", "Chi妳媽級掰", "06/01 13:33", "0"
"sex#M.1464757835.A.FE8#00013", "bydaspm02", "Id正確", "06/01 13:36", "0"
"sex#M.1464757835.A.FE8#00014", "jhensk10", "每日任務(1/1)", "06/01 13:38", "0"
"sex#M.1464757835.A.FE8#00015", "Hebe1250", "不要理他就不會再po文了= =", "06/01 13:40", "0"
"sex#M.1464757835.A.FE8#00016", "xperiamiku", "直接和那個男的在一起不就解決了", "06/01 13:40", "0"
"sex#M.1464757835.A.FE8#00017", "enjoyee", "爛新聞。。", "06/01 13:41", "0"
"sex#M.1464757835.A.FE8#00018", "abcijk", "回去領25毛！", "06/01 13:53", "0"
