"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1465544905.A.84F#00000", "ChinaTaiwan", "怎把我女兒當慰安婦　色男讓少女懷孕3次<br><br>「怎把我女兒當慰安婦」　色男讓少女懷孕3次<br><br>2016年06月10日13:54<br><br>基隆市1名林姓淫男（20歲），前年在網路上結識外貌超齡的國中少女（15歲），雙方換<br>照後相約出遊，2人碰面後天雷勾動地火，林男立即將少女帶回獅球嶺住家嘿咻。事後少<br>女向同學炫耀性經驗，消息傳到老師耳裡，學校告知少女父母，去年1月間報警對林男提<br>告。<br><br><br>孰料血氣方剛的林男，去年5、6月間不顧案子仍在偵辦中，又偷偷將少女帶回家嘿咻2、3<br>次，直到少女懷孕，林男強迫帶少女墮胎，經院方通知少女父母，發現女兒又被林男玷汙<br>，再次報警提告。少女向警方求情說，「我們是男女朋友呀，他沒有強迫我！」指出雙方<br>是合意性交。<br><br>檢警調查，林男竟在少女懷孕後，仍再度發生性關係，前後害女兒懷孕、墮胎3次，家屬<br>氣得痛罵說：「簡直把我女兒當慰安婦。」訊後將林男移送法辦。日前全案偵辦終結，檢<br>方依未成年少女猥褻、妨害性自主等罪嫌起訴林男。（突發中心陳偉周／基隆報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160610/882914/<br><br>--<br>", "", ""
"sex#M.1465544905.A.84F#00001", "roach025", "幹", "06/10 15:49", "0"
"sex#M.1465544905.A.84F#00002", "Stonghenge", "滾", "06/10 15:49", "0"
"sex#M.1465544905.A.84F#00003", "yface", "解任務時間，taiwan no1", "06/10 15:50", "0"
"sex#M.1465544905.A.84F#00004", "HOU7513", "等你很久了", "06/10 15:51", "0"
"sex#M.1465544905.A.84F#00005", "jkljkl112233", "欠噓", "06/10 15:55", "0"
"sex#M.1465544905.A.84F#00006", "Cheng2042", "滾吧", "06/10 15:56", "0"
"sex#M.1465544905.A.84F#00007", "bens55012", "哀年輕人94衝動 乖乖再等一年就爽吃了OuO", "06/10 16:02", "0"
"sex#M.1465544905.A.84F#00008", "akka", "翻滾吧猴子", "06/10 16:03", "0"
"sex#M.1465544905.A.84F#00009", "piggy928", "每日完成", "06/10 16:07", "0"
"sex#M.1465544905.A.84F#00010", "stw0975", "Ok", "06/10 16:13", "0"
"sex#M.1465544905.A.84F#00011", "r30385", "滾", "06/10 16:20", "0"
"sex#M.1465544905.A.84F#00012", "ygopany", "說好不要理他憂科科", "06/10 16:23", "0"
"sex#M.1465544905.A.84F#00013", "jovi0227", "純噓id", "06/10 16:26", "0"
"sex#M.1465544905.A.84F#00014", "ononion1997", "滾", "06/10 16:31", "0"
"sex#M.1465544905.A.84F#00015", "ZihYaoLin", "出關囉", "06/10 16:38", "0"
"sex#M.1465544905.A.84F#00016", "kungfutofu", "2", "06/10 16:40", "0"
"sex#M.1465544905.A.84F#00017", "ian30801", "推", "06/10 16:53", "0"
"sex#M.1465544905.A.84F#00018", "oppaa", "滾", "06/10 16:56", "0"
"sex#M.1465544905.A.84F#00019", "mulder58", "幫補", "06/10 16:56", "0"
"sex#M.1465544905.A.84F#00020", "william0318", "CD樓下幫", "06/10 16:56", "0"
"sex#M.1465544905.A.84F#00021", "ketandqq", "幫樓上噓  樓下幫我", "06/10 16:58", "0"
"sex#M.1465544905.A.84F#00022", "sy4826951", "2，2", "06/10 17:01", "0"
"sex#M.1465544905.A.84F#00023", "a99", "日常任務", "06/10 17:03", "0"
"sex#M.1465544905.A.84F#00024", "linisthebest", "新北日常.......", "06/10 17:05", "0"
"sex#M.1465544905.A.84F#00025", "imacexd", "三小ID  滾回去", "06/10 17:11", "0"
"sex#M.1465544905.A.84F#00026", "HaoHao0830", "推你媽", "06/10 17:16", "0"
"sex#M.1465544905.A.84F#00027", "gemini83529", "欠噓", "06/10 17:16", "0"
"sex#M.1465544905.A.84F#00028", "fhscyt", "來啦", "06/10 17:19", "0"
"sex#M.1465544905.A.84F#00029", "dolceyy", "噓id", "06/10 17:21", "0"
"sex#M.1465544905.A.84F#00030", "yihonggg", "純噓id", "06/10 17:37", "0"
"sex#M.1465544905.A.84F#00031", "erica6109", "!!!", "06/10 17:50", "0"
"sex#M.1465544905.A.84F#00032", "famas2200", "腥悲市不意外", "06/10 17:51", "0"
"sex#M.1465544905.A.84F#00033", "bluepipe", "明明就是中華台北。", "06/10 17:56", "0"
"sex#M.1465544905.A.84F#00034", "ms0489223", "怎麼不一起林姓淫女？還炫耀咧。", "06/10 17:57", "0"
"sex#M.1465544905.A.84F#00035", "mikipu1220", "垃圾", "06/10 17:57", "0"
"sex#M.1465544905.A.84F#00036", "yora", "內文id都噓 CD樓人幫", "06/10 18:12", "0"
"sex#M.1465544905.A.84F#00037", "greender", "先噓", "06/10 18:20", "0"
"sex#M.1465544905.A.84F#00038", "shifacu", "噓", "06/10 18:58", "0"
"sex#M.1465544905.A.84F#00039", "krauser2", "滾", "06/10 18:59", "0"
"sex#M.1465544905.A.84F#00040", "ru30734", "好久不見", "06/10 19:00", "0"
"sex#M.1465544905.A.84F#00041", "j8051880518", "紅色喜氣", "06/10 19:10", "0"
"sex#M.1465544905.A.84F#00042", "F2307925", "來囉", "06/10 19:17", "0"
"sex#M.1465544905.A.84F#00043", "yhan37", "噓", "06/10 19:23", "0"
"sex#M.1465544905.A.84F#00044", "WilliamHsuxx", "姓林的滾", "06/10 19:24", "0"
"sex#M.1465544905.A.84F#00045", "hcnchccedutw", "安安", "06/10 19:42", "0"
"sex#M.1465544905.A.84F#00046", "ben52000025", "爛id", "06/10 19:48", "0"
"sex#M.1465544905.A.84F#00047", "salicide", "哈哈哈...", "06/10 20:04", "0"
"sex#M.1465544905.A.84F#00048", "sexyyonyon", "純噓", "06/10 20:14", "0"
"sex#M.1465544905.A.84F#00049", "saram", "民進黨說慰安婦自願的.還是算了.", "06/10 20:23", "0"
"sex#M.1465544905.A.84F#00050", "nnlisalive", "母豬的教育不能等", "06/10 20:45", "0"
"sex#M.1465544905.A.84F#00051", "icui4cu", "行政院長說慰安婦有可能是自願的，棒", "06/10 20:45", "0"
"sex#M.1465544905.A.84F#00052", "cwayne", "明明就是情侶，何來淫男之說？ 純推ID", "06/10 20:46", "0"
"sex#M.1465544905.A.84F#00053", "h123ank", "id正確", "06/10 21:10", "0"
"sex#M.1465544905.A.84F#00054", "bugbug777", "sp4", "06/10 21:25", "0"
"sex#M.1465544905.A.84F#00055", "guardian128", "唉", "06/10 21:25", "0"
"sex#M.1465544905.A.84F#00056", "a955061", "純噓ID", "06/10 21:57", "0"
"sex#M.1465544905.A.84F#00057", "j3307002", "民進黨說慰安婦自願的xd", "06/10 22:01", "0"
"sex#M.1465544905.A.84F#00058", "believejoy", "認真要說的話是真的有部分是以工作性質自願的", "06/10 22:06", "0"
"sex#M.1465544905.A.84F#00059", "MM79979", "ㄏㄏ", "06/10 22:15", "0"
"sex#M.1465544905.A.84F#00060", "omg456789", "爛透了", "06/10 22:15", "0"
"sex#M.1465544905.A.84F#00061", "orion2487", "誒…", "06/10 22:20", "0"
"sex#M.1465544905.A.84F#00062", "FRANCO11", "滾", "06/10 22:53", "0"
"sex#M.1465544905.A.84F#00063", "jackbas14", "滾", "06/10 23:08", "0"
"sex#M.1465544905.A.84F#00064", "Lin0704", "喔", "06/10 23:32", "0"
"sex#M.1465544905.A.84F#00065", "MagniDei", "滾", "06/10 23:43", "0"
"sex#M.1465544905.A.84F#00066", "Eroica321", "把妳幹到陰唇外翻三外翻", "06/11 00:24", "0"
"sex#M.1465544905.A.84F#00067", "alex57133", "？", "06/11 01:05", "0"
"sex#M.1465544905.A.84F#00068", "ntnuwei", "大家在噓什麼？不要噓！", "06/11 01:09", "0"
"sex#M.1465544905.A.84F#00069", "samantha0642", "可憐", "06/11 01:34", "0"
"sex#M.1465544905.A.84F#00070", "lingino", "直接水桶啦 ID不文雅", "06/11 01:39", "0"
"sex#M.1465544905.A.84F#00071", "trendxd", "噓個", "06/11 02:08", "0"
"sex#M.1465544905.A.84F#00072", "Chikarable", "噓", "06/11 02:15", "0"
"sex#M.1465544905.A.84F#00073", "lwai1412", "噓id", "06/11 03:00", "0"
"sex#M.1465544905.A.84F#00074", "akito117", "id", "06/11 09:45", "0"
"sex#M.1465544905.A.84F#00075", "leo19901026", "2222222222222222222222", "06/11 11:34", "0"
"sex#M.1465544905.A.84F#00076", "XP1", "能做到這樣算是人生勝利組了嗎因為少女跳出來求情說自己甘願", "06/11 12:15", "1"
"sex#M.1465544905.A.84F#00077", "j21118", "台灣藍波萬", "06/11 13:53", "0"
"sex#M.1465544905.A.84F#00078", "VIStonefan", "滾", "06/11 14:28", "0"
"sex#M.1465544905.A.84F#00079", "asd89031605", "喜氣洋洋", "06/11 15:03", "0"
"sex#M.1465544905.A.84F#00080", "kise7ryota", "= =", "06/11 17:06", "0"
"sex#M.1465544905.A.84F#00081", "jackycheny", "成就解鎖", "06/11 17:06", "0"
"sex#M.1465544905.A.84F#00082", "kelvinman", "噓ID", "06/11 19:47", "0"
"sex#M.1465544905.A.84F#00083", "we753399", "我來", "06/11 20:03", "0"
"sex#M.1465544905.A.84F#00084", "kelvinman", "噓ID", "06/11 20:15", "0"
"sex#M.1465544905.A.84F#00085", "FireFoxyz", "低調", "06/11 20:34", "0"
"sex#M.1465544905.A.84F#00086", "xxx0226xxx", "噓id", "06/11 20:49", "0"
"sex#M.1465544905.A.84F#00087", "gg3beling", "噓你", "06/11 21:03", "0"
"sex#M.1465544905.A.84F#00088", "shower0713", "看ID推回來", "06/12 02:29", "0"
"sex#M.1465544905.A.84F#00089", "sk27323", "噓", "06/12 09:45", "0"
"sex#M.1465544905.A.84F#00090", "antio1230", "幫噓", "06/12 11:09", "0"
"sex#M.1465544905.A.84F#00091", "ponkd", "命中率也太高", "06/12 11:50", "0"
"sex#M.1465544905.A.84F#00092", "xichen0326", "解每任囉", "06/12 16:25", "0"
"sex#M.1465544905.A.84F#00093", "callmemaybe", "每日一噓", "06/15 12:07", "0"
"sex#M.1465544905.A.84F#00094", "wtflin047", "Bong Bong Bong", "06/15 17:39", "0"
