"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1466059254.A.7DE#00000", "qixu868", "看到大家今天都在回應這篇<br><br>小弟也來跟著湊熱鬧一下<br><br>遙想起多年前的國中生活<br><br>真是有些淡淡的感慨<br><br><br>======================我是分隔線============================<br><br><br><br><br>國中時的我  是個充滿矛盾的8+9與好學生綜合體<br><br>每次段考後頒獎都是校排前幾名<br><br>校長都是用期勉有加的關愛眼神看著我<br><br>(這是可以刷榜單的好孩子RRRRR)<br><br>國二上的才藝還表演鋼琴自彈自唱周J倫的歌<br><br>順便當著全校的面跟妹子告白<br><br>想當然爾..........被當智障一樣打槍<br><br>"課業為重 不好意思請你不要再騷擾我了"<br><br>那時難過地要死<br><br><br><br><br>~~~~~~~~~~~~~~~~~~<br>忍不住吐槽一下<br><br>後來我還是上了第一志願<br><br>小姐你去哪惹?  (中二發作)<br>~~~~~~~~~~~~~~~~~~<br><br>身為一個尷尬期的8+9屁孩<br><br>午休抽菸 翹課混福利社<br><br>跟個性比較火爆的老師 訓導主任正面嗆聲<br><br>這些都是基本款<br><br>也因為這樣的巨大矛盾感<br><br>同時又是體育健將 籃球打得不賴<br><br>在小小的國中校園內  算是個風雲人物<br><br>如前情所提到的<br><br>因為上台自彈自唱的事件<br><br>有些小女生看在眼裡<br><br>覺得 唉呦不錯喔 這個屌(?)<br><br>所以當我在那消沉憂鬱時<br><br>反而不時有女同學主動安慰我<br><br>只是當時我覺得拉不下臉承認失敗...<br><br>還順便讓大家覺得我很專情<br><br>(14.5歲是在專情三小啦 )<br><br><br><br>某次下午又翹掉美術課<br><br>躲在福利社吃涼麵耍孤僻<br><br>一個學姊拍了我的肩膀<br><br>"你又翹課了齁?"<br><br>我並不認識她 但因為學校班級不多<br><br>隱約有些印象 知道她是大一屆的學姊<br><br>至今都還記憶猶存<br><br>學姊染的是當時流行的淡咖啡色<br><br>有張可愛的瓜子臉<br><br>"對啊  美術課幹無聊的 "<br>(老師對不起  其實是我美術白癡..)<br><br><br>學姊聽了笑了笑<br><br>買了罐鋁箔包飲料坐在我旁邊<br><br>聊著聊著聊到我的事情<br><br>"你之前被打槍幹嘛不換個?"學姊問道<br><br>"妳不懂啦 男人就是要這樣才帥啦"<br><br>"北七喔  可是好像有道理耶" 學姊也是蠻北七的..<br><br>兩人有一搭沒一搭的聊了許多<br><br>也交換了當時最夯的小即 (YAHOO即時通)<br><br>結果聊著聊著就蹦出了火花<br><br>兩個人的關係有些曖昧曖昧的<br><br>但在校內又有些怕見光死<br><br><br><br>後來學校運動會有跑百米決賽<br><br>很拼命的拿到了銀牌<br><br>班上同學簇擁著我一片歡樂<br><br>學姊也遠遠的笑著跟我招手<br><br>那天放學回家的路上<br><br>跟學姊兩人騎著腳踏車<br><br>"幹 你今天超帥的欸"學姊煞氣不減的說<br><br><br>"還好啦 妳吃錯藥喔?" 我有點不好意思<br><br><br>"真的很帥啦 我都快愛上你了"<br><br><br>"別靠杯齁  都說說而已啦"其實我緊張到快爆掉<br><br>"不然妳讓我親妳啊" 我調笑一下想找回主導權<br><br><br>"來啊!"<br><br><br>然後我們真的拉到旁邊小巷子裡<br><br>兩個人都故作輕鬆<br><br>要親的時候都尷尬又生澀<br><br>"欸妳嘴唇好軟喔"<br><br>"親就親 不要喇季很噁心!"學姊拒絕我的舌頭<br><br>親下去後真的有種失控的感覺<br><br>手也開始不安分的在她身上游移<br><br>學姊發育得很好  國三而已<br><br>身材就已經不是運動服能遮掩住的<br><br>坦白說腦中也曾有性幻想過<br><br>只是在那當下還懵懵懂懂的我<br><br>因為隔著胸罩有些礙事  力道稍微大了些<br><br>"你捏這麼大力要死喔 幹!"學姊把我推開<br><br>兩人旖旎的氣氛也被打斷<br><br>我當時後悔不已 早知道就伸進去再輕揉<br><br>"你把我壓在牆上很不舒服 走開走開"<br><br>娘的我根本壁咚先驅好嗎<br><br>後來兩人又有說有笑的離開<br><br><br><br>事後回想起  還是覺得這是樁未解的懸案<br><br>究竟是當時我情緒激動太大力<br><br>還是學姊害羞了找藉口把我推開<br><br>我們始終不得而知.......<br><br><br><br><br><br>後續還發生了些比較激情的故事<br><br>不過礙於法規尺度 還在猶豫<br><br>有空再來補上<br><br>其實後來國三跟隔壁班的女實習老師也..<br><br>那個就真的只能寫情感的部分XD..<br><br>先掰啦~ 各位<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>--<br>", "", ""
"sex#M.1466059254.A.7DE#00001", "ailovejoe", "褲子都脫了....", "06/16 14:42", "0"
"sex#M.1466059254.A.7DE#00002", "TD11", "別富姦", "06/16 14:44", "0"
"sex#M.1466059254.A.7DE#00003", "saipipi", "我不信", "06/16 14:44", "0"
"sex#M.1466059254.A.7DE#00004", "penguin5487", "梗鋪這麼久你給我看這個？", "06/16 14:45", "0"
"sex#M.1466059254.A.7DE#00005", "qixu868", "不要噓我啦q..q", "06/16 14:45", "0"
"sex#M.1466059254.A.7DE#00006", "opq45467852", "吉你", "06/16 14:46", "0"
"sex#M.1466059254.A.7DE#00007", "jhensk10", "我皮帶都解了你給我看這個", "06/16 14:48", "0"
"sex#M.1466059254.A.7DE#00008", "qixu868", "國中生的清純小故事而已r", "06/16 14:49", "0"
"sex#M.1466059254.A.7DE#00009", "gox1117", "最爛的就這篇", "06/16 14:50", "0"
