"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1469872412.A.DFD#00000", "ChinaTaiwan", "2016年07月27日11:33<br><br>釣魚衝業績！基隆市警二分局接獲線報，位於義一路上1間養生館「掛羊頭賣狗肉」，暗藏春色從事半套及全套性服務，今年5月間，派警員前往喬裝男客抓人。警方到場點了1名身材火辣的葉姓女按摩師（46歲），葉女在包廂內按摩了2小時之後，葉女向警方表示：「結束了你還要按那裡？」男警竟說：「我要排毒！」正當葉女替警方按摩下體時，警方當場表明身分，將葉女移送法辦。<br><br>偵查庭上，葉女向檢方訴苦說：「他自己要求要打手槍排毒的！」指出自己按摩的過程中，全程都穿衣服純按摩，豈料結束後，男警暗示要「額外服務」，為了掙錢只好照辦，結果竟被逮。警方則向檢方表示，是葉女主動暗示有其他服務，並觸碰他的下體，認為已觸法，才依將對方送辦。<br><br>檢方調查認為，葉女跟警方的行為，場所是在包廂內，屬於私人空間，並沒有公然猥褻的問題，且也沒有證據證明，該養生館有從事性服務。日前全案偵結，檢方認為葉女犯行，與妨害風化罪嫌的構成要件不府，因此予以葉女不起訴處分。（突發中心陳偉周／基隆報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20160727/916357<br><br>--<br>", "", ""
"sex#M.1469872412.A.DFD#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1469872412.A.DFD#00002", "chang505", "這警察要吃又要抓 呵呵", "07/30 17:55", "0"
"sex#M.1469872412.A.DFD#00003", "sunmen40", "B嘴", "07/30 17:55", "0"
"sex#M.1469872412.A.DFD#00004", "bb77339911", "爽到了，業績也拿到了", "07/30 17:56", "0"
"sex#M.1469872412.A.DFD#00005", "Brightheat", "垃圾鴿子", "07/30 18:00", "0"
"sex#M.1469872412.A.DFD#00006", "wild2012", "垃圾  不是說過 釣魚執法違憲嗎? 怎麼還來這招", "07/30 18:05", "0"
"sex#M.1469872412.A.DFD#00007", "CTC0115", "筆記 被抓就說在辦案", "07/30 18:13", "0"
"sex#M.1469872412.A.DFD#00008", "aa97531aa", "噓你他媽的ID", "07/30 18:19", "0"
"sex#M.1469872412.A.DFD#00009", "t1234140", "XX", "07/30 18:22", "0"
