"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1470995670.A.9A8#00000", "baishalok", "各位e奶 30cm大大<br><br>由於家裡沒有體重計<br><br>剛剛跟女友討論勃起前後體重會不會不一樣突然一陣好奇<br><br>女友家中男性只有他爸爸她也不好意思叫他爸去量勃起前後體重<br><br>所以各位大得可以幫量一下嗎?<br><br>--<br>", "", ""
"sex#M.1470995670.A.9A8#00001", "ericeuro", "這應該是物理沒學好", "08/12 17:55", "0"
"sex#M.1470995670.A.9A8#00002", "momobarbar", "醫療院所都有，你試過了嗎？", "08/12 17:55", "0"
"sex#M.1470995670.A.9A8#00003", "Iam0rz", "叫你女友量", "08/12 17:56", "0"
"sex#M.1470995670.A.9A8#00004", "sunlighto7", "廢到無法回收 -.-", "08/12 17:56", "0"
"sex#M.1470995670.A.9A8#00005", "pe0853706", "質量守衡", "08/12 17:56", "0"
"sex#M.1470995670.A.9A8#00006", "lisb5300", "有增加什麼嗎？", "08/12 17:56", "0"
"sex#M.1470995670.A.9A8#00007", "k82817", "你是文組的吧", "08/12 17:57", "0"
"sex#M.1470995670.A.9A8#00008", "stupidboy", "…", "08/12 17:57", "0"
"sex#M.1470995670.A.9A8#00009", "SilentBob", "馬的 工三小", "08/12 17:58", "0"
"sex#M.1470995670.A.9A8#00010", "kerekomo", "勃起後體積增加 空氣浮力增加 重量會減輕一些 但質量ㄅㄨㄅㄧㄢ手機不小心打出注音文了...", "08/12 17:58", "1"
"sex#M.1470995670.A.9A8#00011", "Merkle", "............................ 你有完成義務教育嗎?", "08/12 17:59", "0"
"sex#M.1470995670.A.9A8#00012", "malala", "光勃起不會，要射精才會", "08/12 17:59", "0"
"sex#M.1470995670.A.9A8#00013", "YCC28", "質量手淫定理", "08/12 18:05", "0"
"sex#M.1470995670.A.9A8#00014", "ericeuro", "勃起後可能會流前列腺液。確實有可能會不一樣", "08/12 18:06", "0"
"sex#M.1470995670.A.9A8#00015", "zjes40604", "你的血液是外面輸進來的就會", "08/12 18:08", "0"
"sex#M.1470995670.A.9A8#00016", "hsuyungte", "你國中理化沒學好是不是", "08/12 18:10", "0"
"sex#M.1470995670.A.9A8#00017", "sealrabbit", "射完你會減輕 女友會變重", "08/12 18:10", "0"
"sex#M.1470995670.A.9A8#00018", "cksxxb123", "國中就用ptt喔", "08/12 18:13", "0"
"sex#M.1470995670.A.9A8#00019", "pe0853706", "而且女友還會逐漸增重", "08/12 18:14", "0"
"sex#M.1470995670.A.9A8#00020", "softff", "勃起後重心會向前傾，走路膝蓋伸不直(跪求支援隨謢扶馬圖)", "08/12 18:15", "1"
"sex#M.1470995670.A.9A8#00021", "kenny610", "暑假了屁孩出沒", "08/12 18:16", "0"
"sex#M.1470995670.A.9A8#00022", "hope0955", "真是有見地~", "08/12 18:17", "0"
"sex#M.1470995670.A.9A8#00023", "LightDo", "你懶趴是幾公斤重?", "08/12 18:19", "0"
"sex#M.1470995670.A.9A8#00024", "aa97531aa", "媽的 你的腦裝什麼？", "08/12 18:20", "0"
