"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1471747090.A.CF0#00000", "ChinaTaiwan", "不爽只有半套 粗工撒錢硬要全套<br><br>2016-08-21  07:37<br><br>〔記者王捷／台南報導〕「為什麼沒有全套！」陳姓工人今日凌晨3時許酒後到鬧區一間<br>半套按摩店尋芳，經過越南小姐琪琪（化名）手愛後還不滿足，掏出錢來要升級，沒想到<br>粗工撒錢硬上，琪琪尖叫引來圍事注意，闖進房間將陳男拉開，並對陳男提告性侵。<br><br>鬧區半套店藏在巷弄內，營業到凌晨4點由於消費便宜，吸引不少男客上門，但部分小姐<br>只做半套，陳男選了一名40多歲越南籍的手愛天使琪琪，經過一番愛撫後完事，但是陳男<br>似乎不滿意，跟琪琪溝通想要做全套，可以再加錢。<br><br>不過琪琪不肯，準備穿上內衣準備離開，沒想到陳男突然暴怒，以「去洪幹」、「香爐」<br>及三字經大罵琪琪，琪琪不想惹事趕緊穿上衣服裝作沒聽見，結果陳男竟然對著琪琪丟出<br>1000元，衝上來熊抱、拉扯琪琪的內衣，想將生殖器硬塞進琪琪私處。<br><br>琪琪放聲尖叫，櫃台小弟與圍事聞聲衝進房間，眾人將陳男團團包圍，一名圍事將陳男拉<br>開時甚至不小心將陳男的上衣扯破，琪琪慌忙穿上衣服，店家也報案請警方到場，琪琪則<br>被送往醫院驗傷，並對陳男提告性侵，訊後將陳男移送法辦。<br><br>http://news.ltn.com.tw/news/society/breakingnews/1801739<br><br>--<br>", "", ""
"sex#M.1471747090.A.CF0#00001", "zxcvbas", "頭噓", "08/21 10:39", "0"
"sex#M.1471747090.A.CF0#00002", "j7862278622", "起風了，樓下跟風。", "08/21 10:42", "0"
"sex#M.1471747090.A.CF0#00003", "allen500900", "噓", "08/21 10:42", "0"
"sex#M.1471747090.A.CF0#00004", "cholly90512", "噓一波", "08/21 10:49", "0"
"sex#M.1471747090.A.CF0#00005", "tai86854115", "我只是路過來噓噓", "08/21 10:54", "0"
"sex#M.1471747090.A.CF0#00006", "Bking1300", "恩恩,支那", "08/21 10:55", "0"
"sex#M.1471747090.A.CF0#00007", "skill0000", "噓", "08/21 10:57", "0"
"sex#M.1471747090.A.CF0#00008", "coininder", "補血", "08/21 11:06", "0"
"sex#M.1471747090.A.CF0#00009", "eric117023", "、", "08/21 11:06", "0"
"sex#M.1471747090.A.CF0#00010", "qshnjuyn", "我這不就來了", "08/21 11:10", "0"
"sex#M.1471747090.A.CF0#00011", "pikacha", "爛ＩＤ必噓！！！！！！！！！！！！！！！！！！！！！", "08/21 11:14", "1"
"sex#M.1471747090.A.CF0#00012", "Hate426", "噓你", "08/21 11:14", "0"
"sex#M.1471747090.A.CF0#00013", "stw0975", "ID", "08/21 11:17", "0"
"sex#M.1471747090.A.CF0#00014", "Lancelot0622", "id", "08/21 11:18", "0"
"sex#M.1471747090.A.CF0#00015", "andy2300224", "必噓", "08/21 11:34", "0"
"sex#M.1471747090.A.CF0#00016", "a125wind", "擺明討噓的就別幫它衝人氣了，被噓XX表示有一百個人被騙進來點擊，它會越性奮吧", "08/21 11:36", "1"
"sex#M.1471747090.A.CF0#00017", "ChickenCofe", "id", "08/21 11:42", "0"
"sex#M.1471747090.A.CF0#00018", "kutkin", "凡事都有個價錢", "08/21 11:42", "0"
"sex#M.1471747090.A.CF0#00019", "loloman", "一定長不帥", "08/21 11:51", "0"
"sex#M.1471747090.A.CF0#00020", "jkljkl112233", "ID", "08/21 11:58", "0"
"sex#M.1471747090.A.CF0#00021", "shingic", "解任務", "08/21 12:08", "0"
