"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1472974088.A.CD2#00000", "ji3cp3gp6au4", "分享一下經驗<br><br>小弟在台灣人等級中 只能算是中偏上<br><br>就是那種FB或交友軟體 女生會說不錯啊<br><br>但是沒有人追捧的那種男生 而且小弟皮膚偏黑<br><br>與主流日系韓系相差很遠 就是那種優質妹子不會考慮我的類型<br><br>主動搭訕過許多外傭 外傭的個性都滿天真可愛(大部分 還是有例外)<br><br>他們會很害羞 內向 就像國小國中女生那樣慾拒還迎<br><br>但是比台灣女生好哄很多 聽你說喜歡她 她會很高興<br><br>只要聊了一陣子 稍微有點曖昧<br><br>你把屌露出來 他們會很害羞 不敢看 不敢碰<br><br>但拿她的手來碰觸 就會發現 他們的手技是不錯的<br><br>有次我叫她用嘴巴幫我 她說她從來沒有過 不會用<br><br>我硬是把屌伸到她嘴唇頂了幾下 她就含了下去 一開始牙齒有磨到<br><br>不過她學得很快 很快就讓我覺得很舒服<br><br>舒服到很少台灣女生能夠比的上 吹沒很久 我通通射在她的嘴裡<br><br>對於外國人來說 射嘴裡好像只是標準動作<br><br>不會像台女一樣抗拒 發出嘔的聲音 或著你要射時急速逃離<br><br>讓你只射1/3還要用手完成 非常掃興<br><br>她們會讓你仍處於堅硬狀態的屌 在她們嘴裡射完最後一滴精液<br><br>才緩緩的讓你自己拔出 還會用上下閉合的嘴唇幫你弄乾淨<br><br>讓你有次美好的射精 非常舒服 也不會急著叫 "衛生紙啦! 呸!"<br><br><br>後來我認識一個印尼的女生 皮膚非常白 且非常可愛 不像那種黑黑的外勞<br><br>但某些角度還是會讓你感覺 就是外勞的臉<br><br>但大部分是非常可愛的 而且也很單純<br><br>她很保守而且單純 每次我對她調情 她就說她是來工作賺錢的<br><br>要很認真的存錢 努力工作 其它什麼都不多想 然後說一堆人生大道裡<br><br>甚麼人要健康才會幸福 不然沒有健康怎樣的<br><br>說實在 雖然有點違和感可愛 但我真的聽了覺得很煩<br><br>慢慢的我對她說這些屁話失去耐心(每次聊天都會講 e04)<br><br>只要她又開始講這些屁話 我就極盡所能的耍痞 言語調戲她<br><br>"那我就親妳喔?" "抱妳喔?" "沒關係吧? 可以吧?"<br><br>她也是呵呵笑的 陪我一直逗著玩<br><br>有次視訊 我問她已錢有沒有做愛 她聽不懂 我說SEX她才一直笑說沒有<br><br>都是牽手接吻  然後我就問那男友勃起怎麼辦 妳不會幫他嗎?<br><br>她聽不懂 我就開了視訊給她看 一開始她還說我房間亂<br><br>後來我鏡頭就移到我的下半身(有穿內褲已勃起)<br><br>她很激動的說 你神經啊! 然後把我掛掉<br><br>後來舊一直傳語音訊息罵我 說她是第一次看 很恨我之類的<br><br>然後很久沒有跟我聊天 也不理我 我傳訊息也不回 FB也不幫我點讚<br><br>後來不知道過了多久 從慢慢愛理不理回到聊天的狀態<br><br>終於有次把她拐來我家 一開始都很正常很客氣的說話<br><br>我叫她坐在我床上 她就坐在床尾很見外的客套<br><br>我倒了杯水給她喝 她喝完 我幫她把杯子放回桌上<br><br>我親了上去 她發出"恩!"的聲音 她把兩隻手L形舉在她的肩膀閉上眼睛<br><br>問我幹嘛 我看了她眼睛 對她笑了一下 我沒說話又把嘴唇貼了上去<br><br>舌頭沒花多少力氣就通過了她的雙唇 和她唇裡面濕軟的東西攪動<br><br>她咪咪的看著我 我脫下了短褲 屌直挺挺的翹著 她"啊!"了一聲把頭別開<br><br>我很不喜歡看到這樣的場景  把她頭壓過來 她緊閉著眼睛張開了嘴<br><br>把我整個含入<br><br><br><br>SORRY 我要先忙了打不完  有機會的話以後在聊 再見<br><br><br><br><br>--<br>", "", ""
"sex#M.1472974088.A.CD2#00001", "CHIMEI5566", "都幾點了，還在做夢", "09/04 15:31", "0"
"sex#M.1472974088.A.CD2#00002", "RICEFINCH", "感覺有點故意想被噓??", "09/04 15:31", "0"
"sex#M.1472974088.A.CD2#00003", "vincevan", "不懂尊重的人只想自己爽ㄏ", "09/04 15:34", "0"
"sex#M.1472974088.A.CD2#00004", "jordonmi", "掰", "09/04 15:34", "0"
"sex#M.1472974088.A.CD2#00005", "z226071558", "2沒壞", "09/04 15:34", "0"
"sex#M.1472974088.A.CD2#00006", "rubykry", "你忙你忙", "09/04 15:37", "0"
"sex#M.1472974088.A.CD2#00007", "cooldogy1973", "富姦個屁！", "09/04 15:38", "0"
"sex#M.1472974088.A.CD2#00008", "david0426", "......", "09/04 15:40", "0"
"sex#M.1472974088.A.CD2#00009", "nacy204327", "因為平常就有在接當然服務到位啊 嘻嘻", "09/04 15:41", "0"
"sex#M.1472974088.A.CD2#00010", "hsuyungte", "無法推", "09/04 15:41", "0"
"sex#M.1472974088.A.CD2#00011", "aggie05", "你人品或長相問題 所以才遇不到好女森ㄅ", "09/04 15:43", "0"
"sex#M.1472974088.A.CD2#00012", "maxyangXD", "欠噓", "09/04 15:46", "0"
"sex#M.1472974088.A.CD2#00013", "kyag99", "富堅喔", "09/04 15:48", "0"
"sex#M.1472974088.A.CD2#00014", "taiwan71924", "快補", "09/04 15:53", "0"
"sex#M.1472974088.A.CD2#00015", "spencer2567", "褲子脫下來了  你給我看這個結尾", "09/04 16:00", "0"
"sex#M.1472974088.A.CD2#00016", "janliii", "富堅給噓", "09/04 16:02", "0"
"sex#M.1472974088.A.CD2#00017", "amaru03", "強迫女生", "09/04 16:03", "0"
"sex#M.1472974088.A.CD2#00018", "lee61414", "很會編故事", "09/04 16:04", "0"
"sex#M.1472974088.A.CD2#00019", "orange7986", "幹", "09/04 16:06", "0"
"sex#M.1472974088.A.CD2#00020", "phantomonlyu", "恭喜申裝", "09/04 16:13", "0"
"sex#M.1472974088.A.CD2#00021", "tomoyo5869", "哦是哦", "09/04 16:15", "0"
"sex#M.1472974088.A.CD2#00022", "henryyeh", "我也給你e04", "09/04 16:15", "0"
"sex#M.1472974088.A.CD2#00023", "Nerissa0908", "ㄗㄨㄣ尊ㄓㄨㄥˋ重 跟我念一次", "09/04 16:28", "0"
"sex#M.1472974088.A.CD2#00024", "sky14740", "醒醒", "09/04 16:31", "0"
"sex#M.1472974088.A.CD2#00025", "misadaisukia", "富姦給噓", "09/04 16:31", "0"
"sex#M.1472974088.A.CD2#00026", "comfort0306", "腦補王", "09/04 16:48", "0"
"sex#M.1472974088.A.CD2#00027", "damu", "有病要去看醫生，不要整天幻想幹外勞，人家也是來賺辛苦錢，的", "09/04 16:49", "0"
"sex#M.1472974088.A.CD2#00028", "taichungking", "XDDDDDDDDDDDDD", "09/04 17:00", "0"
"sex#M.1472974088.A.CD2#00029", "chouvincent", "慘 應該臉有點問題", "09/04 17:01", "0"
"sex#M.1472974088.A.CD2#00030", "smallgreen71", "喔喔", "09/04 17:08", "0"
"sex#M.1472974088.A.CD2#00031", "ying35082", "醒了沒", "09/04 17:12", "0"
"sex#M.1472974088.A.CD2#00032", "Bimatow", "嗯", "09/04 17:23", "0"
"sex#M.1472974088.A.CD2#00033", "forever07", "喔", "09/04 17:24", "0"
"sex#M.1472974088.A.CD2#00034", "wyc1022", "只能拐單純外國女生那你也是蠻可憐的，啊完蛋推錯 補噓", "09/04 17:27", "0"
"sex#M.1472974088.A.CD2#00035", "fan980430", "起床囉", "09/04 17:30", "0"
"sex#M.1472974088.A.CD2#00036", "biaw", "不要糟蹋辛苦來台灣工作的外籍移工", "09/04 17:33", "0"
"sex#M.1472974088.A.CD2#00037", "karlmama", "早知道就咬斷", "09/04 17:43", "0"
"sex#M.1472974088.A.CD2#00038", "andy2300224", "尊重很難？", "09/04 17:45", "0"
"sex#M.1472974088.A.CD2#00039", "Bxfree", "屁完沒", "09/04 17:45", "0"
"sex#M.1472974088.A.CD2#00040", "Xenosaga", ".", "09/04 17:45", "0"
"sex#M.1472974088.A.CD2#00041", "guardian128", "欠噓   自以為屌的屁孩", "09/04 17:59", "0"
"sex#M.1472974088.A.CD2#00042", "efs92e01", "所以呢？", "09/04 18:00", "0"
"sex#M.1472974088.A.CD2#00043", "haringwu", "虛你還要想劇情", "09/04 18:03", "0"
"sex#M.1472974088.A.CD2#00044", "lsj168", "看...聊了幾句就掏屌出來給人摸，不怕被告性騷擾", "09/04 18:10", "0"
"sex#M.1472974088.A.CD2#00045", "akka", "這種豪小文不難打", "09/04 18:13", "0"
"sex#M.1472974088.A.CD2#00046", "hot50267", "瓦", "09/04 18:14", "0"
"sex#M.1472974088.A.CD2#00047", "luli0034", "豪小", "09/04 18:17", "0"
"sex#M.1472974088.A.CD2#00048", "wellsc", "沒機會聊了", "09/04 18:44", "0"
"sex#M.1472974088.A.CD2#00049", "michael26", "廢得可憐", "09/04 19:09", "0"
"sex#M.1472974088.A.CD2#00050", "kaiyoung", "幫捕血", "09/04 19:21", "0"
"sex#M.1472974088.A.CD2#00051", "ph54769", "揪肆欠噓", "09/04 19:34", "0"
"sex#M.1472974088.A.CD2#00052", "ReNa0529", "你就只想自己爽啊，不要去糟蹋人家", "09/04 19:44", "0"
"sex#M.1472974088.A.CD2#00053", "hermes20372", "腦中一直浮現"太太～太太～"的外傭聲", "09/04 19:45", "0"
"sex#M.1472974088.A.CD2#00054", "rul543", "後面跟上", "09/04 19:47", "0"
"sex#M.1472974088.A.CD2#00055", "Frtdd", "嗯？幻想創作文？", "09/04 19:57", "0"
"sex#M.1472974088.A.CD2#00056", "CODENA", "真的沒辦法", "09/04 20:24", "0"
"sex#M.1472974088.A.CD2#00057", "SHINJER", "你會早洩", "09/04 20:31", "0"
"sex#M.1472974088.A.CD2#00058", "biaw", "要不然打手槍要不然花錢解決 不要看不起人家還跟對方求愛", "09/04 21:09", "0"
"sex#M.1472974088.A.CD2#00059", "cutty", "就是有這種人，台男不意外！", "09/04 21:17", "0"
"sex#M.1472974088.A.CD2#00060", "MirageAngel", "先做好驚喜榮獲[愛滋+梅毒+淋病+菜花+下疳+痔瘡]準備", "09/04 21:18", "1"
"sex#M.1472974088.A.CD2#00061", "uemiya", "醒醒吧", "09/04 21:39", "0"
"sex#M.1472974088.A.CD2#00062", "Berg9776", "哪來這麼多外傭可以跟你視訊", "09/04 21:41", "0"
"sex#M.1472974088.A.CD2#00063", "wsatteam", "哈哈再見哈哈", "09/04 22:10", "0"
"sex#M.1472974088.A.CD2#00064", "kakarrot", "你老母晚上一定十分沒空", "09/04 22:14", "0"
"sex#M.1472974088.A.CD2#00065", "kennylineage", "這種出來就是欠噓 讓人想吐", "09/04 22:25", "0"
"sex#M.1472974088.A.CD2#00066", "QBisaCat", "嗯", "09/04 22:29", "0"
"sex#M.1472974088.A.CD2#00067", "ens821229", "xxxxx", "09/04 22:52", "0"
"sex#M.1472974088.A.CD2#00068", "SilentBob", "唉", "09/04 22:59", "0"
"sex#M.1472974088.A.CD2#00069", "blue09", "推", "09/04 23:07", "0"
"sex#M.1472974088.A.CD2#00070", "dyc2008", "自以為很行??", "09/04 23:39", "0"
"sex#M.1472974088.A.CD2#00071", "brain8051", "廢文", "09/04 23:46", "0"
"sex#M.1472974088.A.CD2#00072", "ronale1104", "奶奶個熊，我去插我老婆了", "09/05 00:34", "0"
"sex#M.1472974088.A.CD2#00073", "lostzoe", "還沒被告倒是蠻神奇的", "09/05 00:38", "0"
"sex#M.1472974088.A.CD2#00074", "j2288999", "噁", "09/05 01:38", "0"
"sex#M.1472974088.A.CD2#00075", "MaxScherzer", "很變態", "09/05 01:46", "0"
"sex#M.1472974088.A.CD2#00076", "snow201652", "價錢的問題", "09/05 01:46", "0"
"sex#M.1472974088.A.CD2#00077", "p40403", "喔", "09/05 02:02", "0"
"sex#M.1472974088.A.CD2#00078", "whatdidido", "呵呵", "09/05 08:16", "0"
"sex#M.1472974088.A.CD2#00079", "koil", "...廢文", "09/05 08:21", "0"
"sex#M.1472974088.A.CD2#00080", "tomqq", "Sorry 我要先忙了，以後有空再補推", "09/05 09:55", "0"
"sex#M.1472974088.A.CD2#00081", "tonyboxqq", "其實如果外傭，主動搭訕真的很好處理", "09/05 11:21", "0"
"sex#M.1472974088.A.CD2#00082", "blue28082", "廢文", "09/05 12:36", "0"
"sex#M.1472974088.A.CD2#00083", "dreamblue", "Sorry 我要先忙了，以後有空再補推", "09/05 14:30", "0"
"sex#M.1472974088.A.CD2#00084", "mickey0157", "先忙 有空再推", "09/05 16:13", "0"
"sex#M.1472974088.A.CD2#00085", "rocknuke", "起床嘍", "09/05 16:56", "0"
"sex#M.1472974088.A.CD2#00086", "tony3228891", "先忙 有空再噓", "09/05 17:40", "0"
"sex#M.1472974088.A.CD2#00087", "tony123236", "Sorry 我要先忙了，以後有空再補推", "09/05 18:31", "0"
