"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1475107069.A.D06#00000", "ChinaTaiwan", "2016年09月29日07:38<br><br>英國的社交網路上最近熱傳一張照片，一名女子被拍到在德文郡(Devon)的一處觀光區，<br>竟然當眾掀裙張腿，性侵一隻「小暴龍」。<br><br>據英國《EXPRESS》報導，拍攝地點是當地一處知名觀光區，平時也會吸引許多兒童來玩<br>，因此現場設有一個「小暴龍破蛋」的裝置藝術，供兒童們玩耍。在這尊小暴龍在上周遭<br>到有心人士惡意破壞，已經斷頭，而在本周又拍到有女子當場掀起短裙，跨坐在這隻斷頭<br>恐龍上，企圖性侵「小暴龍」讓它聞「鮑鮑」。<br><br>就有為人父母的網友留言：「我很害怕未來有小孩子跑去跟這尊恐龍玩，我已經被這女子<br>的行徑給噁到了，難以想像有孩子跑到恐龍雕像的附近玩耍。」另一名民眾索羅古德<br>(John Thorogood)也說，這樣的行為真的很噁心，「而且上禮拜才有人破壞恐龍像，現在<br>又發生這麼低俗的事，接二連三發生不堪的事，讓我們鎮上重要又受歡迎的資產蒙上陰影<br>」。（施旖婕／綜合外電報導）<br><br>http://www.appledaily.com.tw/realtimenews/article/international/20160929/958185<br><br>--<br>", "", ""
"sex#M.1475107069.A.D06#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1475107069.A.D06#00002", "Pickles69", "每日任務", "09/29 08:02", "0"
"sex#M.1475107069.A.D06#00003", "andy2300224", "每日成就", "09/29 08:02", "0"
"sex#M.1475107069.A.D06#00004", "a5519543", "每日任務", "09/29 08:06", "0"
"sex#M.1475107069.A.D06#00005", "e75981", "（1/1）", "09/29 08:09", "0"
"sex#M.1475107069.A.D06#00006", "aaa31205", "1/1", "09/29 08:18", "0"
"sex#M.1475107069.A.D06#00007", "bowei0529", "每日任務", "09/29 08:27", "0"
"sex#M.1475107069.A.D06#00008", "stw0975", "ID", "09/29 08:27", "0"
"sex#M.1475107069.A.D06#00009", "snakepan", "每日任務", "09/29 08:38", "0"
"sex#M.1475107069.A.D06#00010", "ere86423", "每日任務", "09/29 08:39", "0"
"sex#M.1475107069.A.D06#00011", "chihtienliu", "每日任務", "09/29 08:45", "0"
"sex#M.1475107069.A.D06#00012", "abm311", "每日任務", "09/29 08:47", "0"
"sex#M.1475107069.A.D06#00013", "Hydra2563", "每日任務", "09/29 08:57", "0"
"sex#M.1475107069.A.D06#00014", "milker", "解", "09/29 08:58", "0"
"sex#M.1475107069.A.D06#00015", "japen233", "每日任務", "09/29 08:59", "0"
"sex#M.1475107069.A.D06#00016", "arshy1003", "每日任務(1/1)", "09/29 09:07", "0"
"sex#M.1475107069.A.D06#00017", "d6952213", "一堆玻璃欸", "09/29 09:10", "0"
"sex#M.1475107069.A.D06#00018", "leo91314", "每日任務", "09/29 09:12", "0"
"sex#M.1475107069.A.D06#00019", "wellsc", "看人家噓就崩潰不玻璃？", "09/29 09:12", "0"
"sex#M.1475107069.A.D06#00020", "NeilChen975", "這個任務沒獎勵…", "09/29 09:18", "0"
"sex#M.1475107069.A.D06#00021", "a1983a", "每日任務", "09/29 09:20", "0"
"sex#M.1475107069.A.D06#00022", "frogman1128", "推", "09/29 09:27", "0"
"sex#M.1475107069.A.D06#00023", "CTC0115", "其實他是想用體液把頭黏起來", "09/29 09:29", "0"
"sex#M.1475107069.A.D06#00024", "qvnhwk4", "每日任務", "09/29 09:31", "0"
"sex#M.1475107069.A.D06#00025", "guardian128", "什麼", "09/29 09:50", "0"
"sex#M.1475107069.A.D06#00026", "z67186718", "CD樓下幫噓", "09/29 09:55", "0"
"sex#M.1475107069.A.D06#00027", "yzfr6", "Your China, Our Taiwan; Our Taiwan, Your China", "09/29 10:14", "0"
"sex#M.1475107069.A.D06#00028", "lichdaniel", "貼去八卦版啊", "09/29 10:17", "0"
"sex#M.1475107069.A.D06#00029", "a28711477", "每日任務", "09/29 10:17", "0"
"sex#M.1475107069.A.D06#00030", "nacy204327", "每日任務1/1", "09/29 10:57", "0"
"sex#M.1475107069.A.D06#00031", "angelgreen", "就屁孩的行動啊", "09/29 11:13", "0"
"sex#M.1475107069.A.D06#00032", "UltraRaRa", "ID", "09/29 11:20", "0"
"sex#M.1475107069.A.D06#00033", "akj1234567", "鮑裡龍", "09/29 11:36", "0"
"sex#M.1475107069.A.D06#00034", "asdfghjkl048", "解", "09/29 11:58", "0"
"sex#M.1475107069.A.D06#00035", "qwe12", "每日任務", "09/29 12:50", "0"
"sex#M.1475107069.A.D06#00036", "cdi057394", "鮑鮑換暴暴，幹 補噓", "09/29 12:55", "0"
"sex#M.1475107069.A.D06#00037", "yy810516", "每日任務", "09/29 13:30", "0"
"sex#M.1475107069.A.D06#00038", "MirageAngel", "瘸癲瘋癡癟蠢共匪愛滋梅毒淋雜碎砲肏噁癌瘤噬糞吮痰!", "09/29 13:34", "1"
"sex#M.1475107069.A.D06#00039", "avant", "支那賤畜", "09/29 13:40", "0"
"sex#M.1475107069.A.D06#00040", "thepowers", "中國台灣", "09/29 14:14", "0"
"sex#M.1475107069.A.D06#00041", "poupou519", "補刀", "09/29 14:27", "0"
"sex#M.1475107069.A.D06#00042", "kk90054", "每日任務", "09/29 14:50", "0"
"sex#M.1475107069.A.D06#00043", "jacky14558", "id正確", "09/29 14:51", "0"
"sex#M.1475107069.A.D06#00044", "freedomnavy", "每日一解", "09/29 15:12", "0"
"sex#M.1475107069.A.D06#00045", "Leo999", "每日任務", "09/29 15:19", "0"
"sex#M.1475107069.A.D06#00046", "yy810516", "才X3喔", "09/29 15:29", "0"
"sex#M.1475107069.A.D06#00047", "Harrypei", "跟上", "09/29 15:32", "0"
"sex#M.1475107069.A.D06#00048", "Fiztcc", "ㄣㄣ", "09/29 15:41", "0"
"sex#M.1475107069.A.D06#00049", "xichen0326", "解每任囉~", "09/29 15:43", "0"
"sex#M.1475107069.A.D06#00050", "kyan820815", "持續崩潰中，台巴子", "09/29 15:48", "0"
"sex#M.1475107069.A.D06#00051", "tomyu", "每日任務", "09/29 15:53", "0"
"sex#M.1475107069.A.D06#00052", "game3211237", "支持大陸統一台灣", "09/29 17:00", "0"
"sex#M.1475107069.A.D06#00053", "ronale1104", "嗯", "09/29 17:44", "0"
"sex#M.1475107069.A.D06#00054", "h14315324032", "每日任務", "09/29 19:05", "0"
"sex#M.1475107069.A.D06#00055", "sally210317", "來嚕~", "09/29 20:38", "0"
"sex#M.1475107069.A.D06#00056", "damn5566", "ID必須噓", "09/29 20:45", "0"
"sex#M.1475107069.A.D06#00057", "ppt12527", "支持(美洲)大陸統一台灣?(歐洲)大陸?大陸三小", "09/29 21:12", "0"
"sex#M.1475107069.A.D06#00058", "tdemezppur", "每日成就", "09/29 21:27", "0"
"sex#M.1475107069.A.D06#00059", "ian137137", "喔", "09/29 21:30", "0"
"sex#M.1475107069.A.D06#00060", "takuya1", "臭ID", "09/29 22:40", "0"
"sex#M.1475107069.A.D06#00061", "kevin0801", "每日任務", "09/29 23:58", "0"
"sex#M.1475107069.A.D06#00062", "Polynoe", "1/1", "09/30 00:36", "0"
"sex#M.1475107069.A.D06#00063", "tetsu2008", "中國是台灣的一部分", "09/30 04:54", "0"
"sex#M.1475107069.A.D06#00064", "lenka152", "XD", "09/30 05:53", "0"
"sex#M.1475107069.A.D06#00065", "cow119", "不噓對不起自己", "09/30 07:03", "0"
"sex#M.1475107069.A.D06#00066", "twfoxy", "每日任務", "09/30 07:06", "0"
"sex#M.1475107069.A.D06#00067", "phantomspank", "噓", "09/30 08:01", "0"
"sex#M.1475107069.A.D06#00068", "kingzero", "暴龍的頭是被夾斷的嗎？", "09/30 08:47", "0"
"sex#M.1475107069.A.D06#00069", "ben701105", "路過", "09/30 11:52", "0"
"sex#M.1475107069.A.D06#00070", "sbq0001", "路過順便打掃", "09/30 13:33", "0"
"sex#M.1475107069.A.D06#00071", "redsmall", "噓", "09/30 15:45", "0"
"sex#M.1475107069.A.D06#00072", "alongzon", "每日任務", "09/30 16:23", "0"
"sex#M.1475107069.A.D06#00073", "MajorAllen", "每日任務", "09/30 20:35", "0"
"sex#M.1475107069.A.D06#00074", "zaqxsw43", "終身成就", "09/30 20:55", "0"
"sex#M.1475107069.A.D06#00075", "good00609", "笑死", "10/01 00:12", "0"
"sex#M.1475107069.A.D06#00076", "snow1021", "補血", "10/01 11:14", "0"
"sex#M.1475107069.A.D06#00077", "teaking", "解任務", "10/02 07:59", "0"
"sex#M.1475107069.A.D06#00078", "Chengdouble", "哈哈哈哈哈哈", "10/02 08:51", "0"
"sex#M.1475107069.A.D06#00079", "h123ank", "(1/1)", "10/02 19:12", "0"
"sex#M.1475107069.A.D06#00080", "esp0122", "每日任務", "11/29 00:32", "0"
