"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1475539278.A.DEE#00000", "ChinaTaiwan", "2016-10-04<br><br>第一夜 3P輪流做<br><br>〔記者張瑞楨／台中報導〕13歲的國二女生小婷（化名）在KTV與4名男子飲酒歡唱，喝下<br>了「毒奶茶」，半小時後說「我想要」，4男1女投宿摩鐵，小婷與2名男子大戰一整夜，<br>數天後小婷喝「毒咖啡」，又陸續與2名男子性交，豪放程度令人瞠目結舌；法院依與未<br>滿14歲少女性交罪，判處4男2年至2年半不等徒刑，但僅有與小婷性交2次的劉男要入獄，<br>其餘3人全部緩刑，不用坐牢。<br><br>判決書指出，黃姓與劉姓等4男前年9月12日深夜在苗栗縣一家KTV唱歌，結識外貌稚氣未<br>脫、脂粉未施的小婷，翌日清晨4男1女驅車到一所國中前，黃男拿出添加不明毒品的「毒<br>奶茶」給大家輪流喝，半小時後，小婷不斷說：「我想要！」<br><br>5人到摩鐵「續攤」，許男與鄭男勸阻黃男與劉男：「她還是國中生，這樣不好。」但無<br>法澆熄3人（黃、劉、小婷）的慾火，小婷主動向黃男與劉男求歡，許男作證說：「他們3<br>人持續一直在輪流做。」<br><br>朋友聽聞 如法炮製<br><br>小婷與2男大戰消息傳到黃男、劉男的朋友李男耳中，同年9月下旬，李男如法炮製，帶小<br>婷投宿摩鐵，讓小婷喝添加毒品的「毒咖啡」後，2人發生性關係，翌日清晨黃男與劉男<br>抵達摩鐵，見小婷藥效尚未退去，劉男又與小婷性交。同年10月間，小婷又被黃男的另一<br>名朋友載到停車場內性交。小婷共與4名男人發生性關係，但小婷宣稱她同意，4人都沒有<br>用暴力強迫她。<br><br>少女稱未受強迫<br><br>苗栗地院一審時，依與未滿14歲少女性交罪，判處與小婷性交2次的劉男3年8月徒刑，李<br>男3年2月徒刑；其餘2人2年徒刑，宣告緩刑4年，條件是提供120小時的義務勞務服務。未<br>獲緩刑的劉男與李男不服提起上訴。<br><br>僅1男須入獄服刑<br><br>台中高分院認為，與未滿14歲少女性交罪是3年至10年徒刑，但劉、李2人都與小婷的家人<br>和解，也願賠償，台中高分院撤銷原判，改判劉男2年半徒刑，必須入獄；李男2年徒刑，<br>宣告緩刑5年，條件是要支付小婷與家人賠償金，並提供120小時義務勞務服務。<br><br>至於小婷喝下的「毒奶茶」是什麼，因事過境遷，無法查知成分，這部分法院並未追究刑<br>責。<br><br>http://news.ltn.com.tw/news/society/paper/1038387<br><br>--<br>", "", ""
"sex#M.1475539278.A.DEE#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1475539278.A.DEE#00002", "qshnjuyn", "我先", "10/04 08:02", "0"
"sex#M.1475539278.A.DEE#00003", "tkhunter", "解任務囉", "10/04 08:03", "0"
"sex#M.1475539278.A.DEE#00004", "final00095", "...", "10/04 08:03", "0"
"sex#M.1475539278.A.DEE#00005", "syucinghan", "這ID不噓不行", "10/04 08:06", "0"
"sex#M.1475539278.A.DEE#00006", "hank0829", "難得五樓", "10/04 08:07", "0"
"sex#M.1475539278.A.DEE#00007", "bond30422", "簽到", "10/04 08:12", "0"
"sex#M.1475539278.A.DEE#00008", "QQQgod", "這ID不噓不行", "10/04 08:22", "0"
"sex#M.1475539278.A.DEE#00009", "a96859685", "1/1", "10/04 08:30", "0"
"sex#M.1475539278.A.DEE#00010", "kudoshaki", "並未究責？幹他媽是這樣子做事情的？", "10/04 08:35", "0"
"sex#M.1475539278.A.DEE#00011", "bukkake0103", "連成份都不知道究什麼責？", "10/04 08:38", "0"
"sex#M.1475539278.A.DEE#00012", "avant", "支那賤畜", "10/04 08:40", "0"
"sex#M.1475539278.A.DEE#00013", "nynn1111", "以後一定會在低能迪卡看到某母豬po“我不為人知的過去，謝謝男友包容我”的狗屁文", "10/04 08:46", "0"
"sex#M.1475539278.A.DEE#00014", "ev7e", "噓樓上", "10/04 08:48", "0"
"sex#M.1475539278.A.DEE#00015", "larvalevis", "ID正確", "10/04 08:48", "0"
"sex#M.1475539278.A.DEE#00016", "wavek", "推n大  噓原po", "10/04 09:00", "0"
"sex#M.1475539278.A.DEE#00017", "cs00200cs", "1/1", "10/04 09:03", "0"
"sex#M.1475539278.A.DEE#00018", "lfjames2003", "今日任務完成", "10/04 09:05", "0"
"sex#M.1475539278.A.DEE#00019", "james852", "每日任務", "10/04 09:15", "0"
"sex#M.1475539278.A.DEE#00020", "jacob82", "任務完成", "10/04 09:15", "0"
"sex#M.1475539278.A.DEE#00021", "ronale1104", "推了", "10/04 09:23", "0"
"sex#M.1475539278.A.DEE#00022", "aa651082", "每日任務", "10/04 09:30", "0"
"sex#M.1475539278.A.DEE#00023", "vulu04u04", "看這ID  不噓就對不起自己了", "10/04 09:32", "0"
"sex#M.1475539278.A.DEE#00024", "tonylinstark", "http//i.imgur.com/vuWbTCj.jpg", "10/04 09:37", "0"
"sex#M.1475539278.A.DEE#00025", "aleph1", "台灣性教育失敗,起碼16歲在做啊", "10/04 09:41", "0"
"sex#M.1475539278.A.DEE#00026", "laechan", "未成年+下藥,這樣還只判兩年,今古奇觀", "10/04 09:47", "0"
"sex#M.1475539278.A.DEE#00027", "cdi057394", "早安", "10/04 09:50", "0"
"sex#M.1475539278.A.DEE#00028", "guardian128", "哇靠", "10/04 09:50", "0"
"sex#M.1475539278.A.DEE#00029", "ads5450", "來了", "10/04 09:51", "0"
"sex#M.1475539278.A.DEE#00030", "turnover", "Bj4", "10/04 09:59", "0"
"sex#M.1475539278.A.DEE#00031", "deer5577", "逢此ID必噓", "10/04 10:16", "0"
"sex#M.1475539278.A.DEE#00032", "crane96208", "每日任務 頭噓", "10/04 10:20", "0"
"sex#M.1475539278.A.DEE#00033", "bearsyu", "加入每日任務", "10/04 10:20", "0"
"sex#M.1475539278.A.DEE#00034", "kyan820815", "每日一玻璃", "10/04 10:23", "0"
"sex#M.1475539278.A.DEE#00035", "nissan8232", "每日任務", "10/04 10:23", "0"
"sex#M.1475539278.A.DEE#00036", "Coordinate", "哪裡有啊…真猛", "10/04 10:29", "0"
"sex#M.1475539278.A.DEE#00037", "asus999", "ID噓到爆", "10/04 11:12", "0"
"sex#M.1475539278.A.DEE#00038", "q26766", "2沒壞", "10/04 11:43", "0"
"sex#M.1475539278.A.DEE#00039", "ishiki", "1/1", "10/04 11:49", "0"
"sex#M.1475539278.A.DEE#00040", "loveccaa", "奶奶有毒", "10/04 11:51", "0"
"sex#M.1475539278.A.DEE#00041", "ChiaoSrFu", "等你很久了 解", "10/04 11:56", "0"
"sex#M.1475539278.A.DEE#00042", "hipposman", "好的 任務完成", "10/04 13:18", "0"
"sex#M.1475539278.A.DEE#00043", "tonyboxqq", "國中生，沒關係，現在真的很開放了", "10/04 13:48", "0"
"sex#M.1475539278.A.DEE#00044", "dyc2008", "中國萬歲", "10/04 14:26", "0"
"sex#M.1475539278.A.DEE#00045", "kane5684", "樓上支那狗", "10/04 14:36", "0"
"sex#M.1475539278.A.DEE#00046", "misabout", "1/1", "10/04 15:07", "0"
"sex#M.1475539278.A.DEE#00047", "MirageAngel", "瘸癲瘋癡癟蠢共匪愛滋梅毒淋雜碎砲肏噁癌瘤噬糞吮痰!", "10/04 15:11", "1"
"sex#M.1475539278.A.DEE#00048", "jackycheny", "好東西跟朋友分享的概念?人體肉便器可憐", "10/04 15:44", "0"
"sex#M.1475539278.A.DEE#00049", "teaking", "解", "10/04 16:19", "0"
"sex#M.1475539278.A.DEE#00050", "lopiumc", "噓", "10/04 18:39", "0"
"sex#M.1475539278.A.DEE#00051", "stw0975", "ID", "10/04 19:28", "0"
"sex#M.1475539278.A.DEE#00052", "ian137137", "。", "10/04 19:30", "0"
"sex#M.1475539278.A.DEE#00053", "tyler5943", "噓ID", "10/04 20:13", "0"
"sex#M.1475539278.A.DEE#00054", "WilliamHsuxx", "推12，噓廢物", "10/04 21:04", "0"
"sex#M.1475539278.A.DEE#00055", "polosquare", "噓", "10/04 21:26", "0"
"sex#M.1475539278.A.DEE#00056", "yoyo9527", "ㄏ", "10/04 22:59", "0"
"sex#M.1475539278.A.DEE#00057", "thepowers", "推", "10/04 23:28", "0"
"sex#M.1475539278.A.DEE#00058", "ppt12527", "不解釋", "10/05 00:12", "0"
"sex#M.1475539278.A.DEE#00059", "kumo0212", "每日任務，再來", "10/05 01:10", "0"
"sex#M.1475539278.A.DEE#00060", "akai324", "好", "10/05 07:39", "0"
"sex#M.1475539278.A.DEE#00061", "messigoal10", "1/1，給到箭頭補噓", "10/05 11:16", "0"
"sex#M.1475539278.A.DEE#00062", "chaomu", "每日頭虛", "10/05 14:51", "0"
"sex#M.1475539278.A.DEE#00063", "qaz357", "噓", "10/05 16:42", "0"
"sex#M.1475539278.A.DEE#00064", "mike0147", "有看必噓", "10/05 18:48", "0"
"sex#M.1475539278.A.DEE#00065", "fainter", "欠噓", "10/05 23:06", "0"
"sex#M.1475539278.A.DEE#00066", "Mengchen", "噓id", "10/05 23:34", "0"
"sex#M.1475539278.A.DEE#00067", "NoworNever", "噓id", "10/06 00:38", "0"
"sex#M.1475539278.A.DEE#00068", "misjake", "簡字噓", "10/06 00:57", "0"
"sex#M.1475539278.A.DEE#00069", "yorurin", "1/1", "10/06 20:18", "0"
"sex#M.1475539278.A.DEE#00070", "cren", "朝聖噓", "10/09 00:52", "0"
"sex#M.1475539278.A.DEE#00071", "flowrew", "啥id", "01/23 01:22", "0"
