"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1475978999.A.CEA#00000", "tigotigo", "拎北的朋友上過孕婦<br><br>拎北的朋友說 該名孕婦的老公到大陸包二奶 所以他就用聊天軟體搭上她<br><br>她說她要報復她老公 所以要跟很多男人<br><br>聽說那女的長得不錯 身材維持很好 拎北朋友要介紹拎北<br><br>拎北婉拒了 因為拎北太長 怕貫穿胎兒的腦袋<br><br>聽拎北朋友說 孕婦母乳酸酸的，沒有很好喝。<br><br>有沒有八卦？<br><br>※ 引述《ray001a (AMI醬)》之銘言：<br>: 因為平常就有喝咖啡的習慣，不過要買有加奶的拿鐵總是會比較貴一點，於是想到如果在咖啡裡加母乳的話，味道會一樣嗎？請問有人嘗試過嗎？<br>: 話說最近喜歡上一位體態比較豐腴的女性，目測的話那對胸至少有D罩杯，如果能喝她的奶的話不曉得會有多麼幸福。<br><br>--<br>", "", ""
"sex#M.1475978999.A.CEA#00001", "nacy204327", "你這簽名檔不換，是得不到推滴", "10/09 10:15", "0"
"sex#M.1475978999.A.CEA#00002", "smart1989", "滾", "10/09 10:16", "0"
"sex#M.1475978999.A.CEA#00003", "nacy204327", "而且應該是怕太刺，刺破羊水吧", "10/09 10:17", "0"
"sex#M.1475978999.A.CEA#00004", "EAsoN1123", "哈哈哈", "10/09 10:18", "0"
"sex#M.1475978999.A.CEA#00005", "Allenjordan", "幫噓", "10/09 10:35", "0"
"sex#M.1475978999.A.CEA#00006", "pneumo", "吃史吧", "10/09 10:42", "0"
"sex#M.1475978999.A.CEA#00007", "stw0975", "滾", "10/09 10:53", "0"
"sex#M.1475978999.A.CEA#00008", "OHS", "夠次的", "10/09 11:00", "0"
"sex#M.1475978999.A.CEA#00009", "cdi057394", "羊膜穿刺", "10/09 11:00", "0"
"sex#M.1475978999.A.CEA#00010", "OneDrive", "腦袋有洞，按錯", "10/09 11:03", "0"
"sex#M.1475978999.A.CEA#00011", "ja11s4o1n7", "還沒生出來哪來的奶，虎爛不打草稿。", "10/09 11:09", "0"
"sex#M.1475978999.A.CEA#00012", "sjps30607", "我喝過兩天 只是不記得惹 我媽跟我說的，幹忘記噓", "10/09 11:14", "0"
"sex#M.1475978999.A.CEA#00013", "chinafuck56", "幻想文", "10/09 11:27", "0"
"sex#M.1475978999.A.CEA#00014", "scottabc", "不要假裝酸奶是母乳", "10/09 11:36", "0"
"sex#M.1475978999.A.CEA#00015", "orion2487", "哈 廢到笑", "10/09 11:40", "0"
"sex#M.1475978999.A.CEA#00016", "crazydenny", "應該喝到過期的", "10/09 12:00", "0"
"sex#M.1475978999.A.CEA#00017", "Agassi850815", "每日任務完成", "10/09 12:00", "0"
"sex#M.1475978999.A.CEA#00018", "miura105", "噓簽名", "10/09 12:13", "0"
"sex#M.1475978999.A.CEA#00019", "freedompen", "簽名檔", "10/09 12:17", "0"
"sex#M.1475978999.A.CEA#00020", "AsamiYuma", "噓", "10/09 12:19", "0"
"sex#M.1475978999.A.CEA#00021", "ji3ao6fu06", "ZZZZZZ", "10/09 12:29", "0"
"sex#M.1475978999.A.CEA#00022", "hsuyute", "吃屎 誰跟你中國人", "10/09 12:39", "0"
"sex#M.1475978999.A.CEA#00023", "saw6904", "想釣魚嗎", "10/09 12:51", "0"
"sex#M.1475978999.A.CEA#00024", "MpowerH", "釣到一堆糞青", "10/09 12:52", "0"
"sex#M.1475978999.A.CEA#00025", "ccckkkaa", "中你妹白癡拎北", "10/09 12:54", "0"
"sex#M.1475978999.A.CEA#00026", "ju503", "耶", "10/09 13:11", "0"
"sex#M.1475978999.A.CEA#00027", "gtmax0414", "噓簽名檔", "10/09 13:26", "0"
"sex#M.1475978999.A.CEA#00028", "flyhoho", "不要用牙籤刺嬰兒的頭好不好", "10/09 14:00", "0"
"sex#M.1475978999.A.CEA#00029", "guardian128", "拎北就噓中國人，幹  按錯補噓", "10/09 14:00", "0"
"sex#M.1475978999.A.CEA#00030", "ray001a", "講人話", "10/09 14:04", "0"
"sex#M.1475978999.A.CEA#00031", "UltraRaRa", "？", "10/09 14:08", "0"
"sex#M.1475978999.A.CEA#00032", "shu750615", "有病就快滾", "10/09 14:16", "0"
"sex#M.1475978999.A.CEA#00033", "LinYiCH", "吃大便吧", "10/09 14:29", "0"
"sex#M.1475978999.A.CEA#00034", "blairccc", "87", "10/09 14:42", "0"
"sex#M.1475978999.A.CEA#00035", "syucinghan", "噓簽名檔", "10/09 14:54", "0"
"sex#M.1475978999.A.CEA#00036", "smartadonis", "臺灣人就是要噓", "10/09 15:01", "0"
"sex#M.1475978999.A.CEA#00037", "gh29903260", "(1/1)", "10/09 15:02", "0"
"sex#M.1475978999.A.CEA#00038", "sinyoung9487", "到底多邊緣才會自甘墮落到發這種刷存在", "10/09 15:02", "0"
"sex#M.1475978999.A.CEA#00039", "fastfu", "沒水準支那", "10/09 15:12", "0"
"sex#M.1475978999.A.CEA#00040", "pianisshion", "純噓拎北，你以為你誰啊", "10/09 15:14", "0"
"sex#M.1475978999.A.CEA#00041", "k70113", "台灣人噓中國人", "10/09 15:16", "0"
"sex#M.1475978999.A.CEA#00042", "Coldhands", "悲哀", "10/09 15:29", "0"
"sex#M.1475978999.A.CEA#00043", "Cazpon", "你小時候被貫穿過？", "10/09 15:33", "0"
"sex#M.1475978999.A.CEA#00044", "andrew0621", "滾", "10/09 16:00", "0"
"sex#M.1475978999.A.CEA#00045", "tang5213", "試試看2壞了沒", "10/09 16:02", "0"
"sex#M.1475978999.A.CEA#00046", "cha65", "是喔，真的嗎。", "10/09 16:07", "0"
"sex#M.1475978999.A.CEA#00047", "remiechen", "全世界都是中國人", "10/09 16:24", "0"
"sex#M.1475978999.A.CEA#00048", "pineaplz", "壓力測試", "10/09 16:26", "0"
"sex#M.1475978999.A.CEA#00049", "silverwu", "解任", "10/09 16:58", "0"
"sex#M.1475978999.A.CEA#00050", "pugipupu", "噓", "10/09 17:04", "0"
"sex#M.1475978999.A.CEA#00051", "FuSen000", "這什麼文?", "10/09 17:34", "0"
"sex#M.1475978999.A.CEA#00052", "ppt12527", "哇,推文好少", "10/09 17:51", "0"
"sex#M.1475978999.A.CEA#00053", "byoung", "………文跟簽名檔一樣爛", "10/09 17:57", "0"
"sex#M.1475978999.A.CEA#00054", "chessspecter", "幫你", "10/09 18:43", "0"
"sex#M.1475978999.A.CEA#00055", "hs89136", "雨八", "10/09 19:38", "0"
"sex#M.1475978999.A.CEA#00056", "GGrunrundela", "妄想症奈米屌支那人", "10/09 19:40", "0"
"sex#M.1475978999.A.CEA#00057", "kengi1112", "悲哀", "10/09 20:06", "0"
"sex#M.1475978999.A.CEA#00058", "jume5566", "幫補血", "10/09 20:18", "0"
"sex#M.1475978999.A.CEA#00059", "nicklee520", "fuxx u", "10/09 21:51", "0"
"sex#M.1475978999.A.CEA#00060", "sallyhelp", "只看簽名檔", "10/09 21:55", "0"
"sex#M.1475978999.A.CEA#00061", "aaa31205", "87", "10/09 22:34", "0"
"sex#M.1475978999.A.CEA#00062", "cat84108", "每日任務", "10/09 22:41", "0"
"sex#M.1475978999.A.CEA#00063", "corydoras09", "解任務", "10/09 23:04", "0"
"sex#M.1475978999.A.CEA#00064", "zBen", "黑特版的過氣版主 來這邊刷刷存在感的>.^", "10/09 23:10", "0"
"sex#M.1475978999.A.CEA#00065", "suza50897", "有笑有推", "10/09 23:23", "0"
"sex#M.1475978999.A.CEA#00066", "MirageAngel", "444444444444444444瘸88888888888888811111116666666", "10/09 23:30", "1"
"sex#M.1475978999.A.CEA#00067", "Ogrish", "林老師咧，X", "10/09 23:50", "0"
"sex#M.1475978999.A.CEA#00068", "bearKQG", "滾", "10/09 23:58", "0"
"sex#M.1475978999.A.CEA#00069", "galikumi", "聽你在吹喇叭", "10/10 00:24", "0"
"sex#M.1475978999.A.CEA#00070", "lusirjr", "2沒壞", "10/10 01:00", "0"
"sex#M.1475978999.A.CEA#00071", "cuteswing", "科", "10/10 01:13", "0"
"sex#M.1475978999.A.CEA#00072", "HSNUYang", "賤畜", "10/10 01:42", "0"
"sex#M.1475978999.A.CEA#00073", "candymm", "支那智障喝尿", "10/10 02:25", "0"
"sex#M.1475978999.A.CEA#00074", "aa111111jtw", "ZZZZZ", "10/10 08:03", "0"
"sex#M.1475978999.A.CEA#00075", "microuzi9797", "滾", "10/10 15:05", "0"
"sex#M.1475978999.A.CEA#00076", "a22918097", "............", "10/10 17:18", "0"
"sex#M.1475978999.A.CEA#00077", "Ruddy1653", "你的簽名檔是？", "10/10 19:55", "0"
"sex#M.1475978999.A.CEA#00078", "sjdbx", "噓", "10/11 03:07", "0"
"sex#M.1475978999.A.CEA#00079", "qo6rmp7423", "426 中國人", "10/11 10:56", "0"
"sex#M.1475978999.A.CEA#00080", "MajorAllen", "新的每日任務？", "10/11 13:26", "0"
"sex#M.1475978999.A.CEA#00081", "tttt0204", "噓", "10/11 17:49", "0"
"sex#M.1475978999.A.CEA#00082", "ooooooxxxxxx", "拎杯", "10/11 19:55", "0"
"sex#M.1475978999.A.CEA#00083", "guitar0225", "中華民國淪陷災區災胞", "10/12 03:44", "0"
"sex#M.1475978999.A.CEA#00084", "imperialsnow", "去你的中國人", "10/12 10:26", "0"
"sex#M.1475978999.A.CEA#00085", "angel07", "偏離題旨給噓", "10/12 10:50", "0"
"sex#M.1475978999.A.CEA#00086", "yc410", "廢文", "10/12 19:35", "0"
