"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1476379275.A.5BA#00000", "tommy1014", "23Y 185cm 70kg<br>之前被小學女同學約<br>165cm 50kg左右 目測有C<br>因為她從國外回來<br>我載她看夜景跟電影<br>然後喝不到一瓶就往下半身進攻過去<br>後來開進去摩鐵 挪威森林）<br>她因為第一次所以沒什麼味道<br>然後就進攻進去了<br>大約二十分鐘後弄到裡面<br>清洗看到有血絲<br>她眼角流淚<br>於是我又邊盧邊洗又來一次<br>在按摩浴缸<br>於是那一天都沒回家<br>隔天醒來晨勃又來一次<br>可是隔天之後就彼此都沒聯絡<br>最近開始各種沒胃口<br>以前很餓都可以吃30鍋貼水餃起跳<br>可是吃菜反胃跑去吐<br>後來終於打給她通了<br>她也是一樣的狀況<br>是我後悔嗎還是心裡問題<br>我是不是讓她有了…<br>可是她叫我如果有要拿掉…<br><br>--<br>", "", ""
"sex#M.1476379275.A.5BA#00001", "Alcor", "...你國文老師常請假？", "10/14 01:23", "0"
"sex#M.1476379275.A.5BA#00002", "GGrunrundela", "…公三小，好險 還以為只有窩看不懂", "10/14 01:23", "0"
"sex#M.1476379275.A.5BA#00003", "lianli1024", "到底在講什麼...", "10/14 01:24", "0"
"sex#M.1476379275.A.5BA#00004", "istan", "國中老師沒教你 寫作文？！", "10/14 01:25", "0"
"sex#M.1476379275.A.5BA#00005", "GGrunrundela", "幻想文還可以寫的這麼不通順 膩害", "10/14 01:25", "0"
"sex#M.1476379275.A.5BA#00006", "keigo676767", "本文竟然被1樓看懂 @..@”", "10/14 01:31", "0"
"sex#M.1476379275.A.5BA#00007", "zammy543", "本版沒有驗孕功能", "10/14 01:40", "0"
"sex#M.1476379275.A.5BA#00008", "sjps30607", "國文老師在哭", "10/14 01:40", "0"
"sex#M.1476379275.A.5BA#00009", "zoeysis", "花哈哈哈哈哈哈哈", "10/14 01:42", "0"
"sex#M.1476379275.A.5BA#00010", "silar", "好難理解，翻譯成英文可能還比較好", "10/14 01:44", "0"
"sex#M.1476379275.A.5BA#00011", "irvinewang", "公3小", "10/14 02:01", "0"
"sex#M.1476379275.A.5BA#00012", "gg0815", "今年是怎樣", "10/14 02:04", "0"
"sex#M.1476379275.A.5BA#00013", "wellsc", "生病了？", "10/14 02:17", "0"
"sex#M.1476379275.A.5BA#00014", "ilovenba", "國文被死當？", "10/14 02:34", "0"
"sex#M.1476379275.A.5BA#00015", "bearcsjc", "甲甲怎麼可能都有", "10/14 02:57", "0"
"sex#M.1476379275.A.5BA#00016", "wang0602", "作文課都在幻想被校長肛嗎？", "10/14 02:58", "0"
"sex#M.1476379275.A.5BA#00017", "qwerrty", "你這作文能力比小學生還令人鼻酸", "10/14 03:02", "0"
"sex#M.1476379275.A.5BA#00018", "soyolin", "有事嗎？表達什麼？", "10/14 03:04", "0"
"sex#M.1476379275.A.5BA#00019", "Hong18", "你麥當勞要點二號餐飲料喝雪碧", "10/14 03:11", "0"
"sex#M.1476379275.A.5BA#00020", "bightb56913", "沒排版過  老師也教過要分段吧...", "10/14 03:29", "0"
"sex#M.1476379275.A.5BA#00021", "bightb56913", "能這樣真的不簡單...沒半件事看懂，乾  不小心到推   補噓", "10/14 03:32", "0"
"sex#M.1476379275.A.5BA#00022", "GGrunrundela", "搬蠻樓上噓", "10/14 03:35", "0"
"sex#M.1476379275.A.5BA#00023", "qwsedqss22", "xddd", "10/14 04:42", "0"
"sex#M.1476379275.A.5BA#00024", "dyc2008", "只能給87分", "10/14 05:22", "0"
"sex#M.1476379275.A.5BA#00025", "kakarrot", "工三小", "10/14 05:40", "0"
"sex#M.1476379275.A.5BA#00026", "ouo99566", "http//i.imgur.com/AAB4Mbr.jpg", "10/14 07:34", "0"
"sex#M.1476379275.A.5BA#00027", "inlongtime", "國文死當", "10/14 08:09", "0"
"sex#M.1476379275.A.5BA#00028", "uinjhi", "公鯊小？", "10/14 08:22", "0"
"sex#M.1476379275.A.5BA#00029", "ghostghost", "我不是想噓你  我只是看不懂", "10/14 08:31", "0"
"sex#M.1476379275.A.5BA#00030", "drw6sd6r", "欠噓造詣不好", "10/14 08:33", "0"
"sex#M.1476379275.A.5BA#00031", "frogman1128", "體育老師教國文?!", "10/14 08:51", "0"
"sex#M.1476379275.A.5BA#00032", "blackyady", "幹XDDDDDDDDD公三小啦XDDDDDDDDDDD", "10/14 09:11", "0"
"sex#M.1476379275.A.5BA#00033", "MirageAngel", "4444444444444444瘸8888888888888888811111116666666", "10/14 09:27", "1"
"sex#M.1476379275.A.5BA#00034", "stw0975", "？？", "10/14 09:50", "0"
"sex#M.1476379275.A.5BA#00035", "abcijk", "你在宮山小?", "10/14 10:04", "0"
"sex#M.1476379275.A.5BA#00036", "walhalla", "阿鬼講中文好嗎?", "10/14 10:14", "0"
"sex#M.1476379275.A.5BA#00037", "careport", "幻想文 他叫你拿掉? 拿掉小GG嗎", "10/14 10:19", "0"
"sex#M.1476379275.A.5BA#00038", "kenny890802", "你有了要拿掉這句是你會生的意思嗎？", "10/14 10:21", "0"
"sex#M.1476379275.A.5BA#00039", "CasparYung", "......", "10/14 10:23", "0"
"sex#M.1476379275.A.5BA#00040", "S103002393", "0分 下一位", "10/14 10:30", "0"
"sex#M.1476379275.A.5BA#00041", "blustery888", "可是可是", "10/14 10:35", "0"
"sex#M.1476379275.A.5BA#00042", "cdi057394", "你把腦袋拿掉了？", "10/14 12:05", "0"
"sex#M.1476379275.A.5BA#00043", "ac71", "回去重寫", "10/14 12:50", "0"
"sex#M.1476379275.A.5BA#00044", "k820209", "88", "10/14 13:22", "0"
"sex#M.1476379275.A.5BA#00045", "charmy01", "哈哈", "10/14 14:16", "0"
"sex#M.1476379275.A.5BA#00046", "petersosps", "中文很難？", "10/14 16:25", "0"
"sex#M.1476379275.A.5BA#00047", "wei998", "什麼啦", "10/14 20:04", "0"
"sex#M.1476379275.A.5BA#00048", "anthony79121", "說普通話", "10/14 20:22", "0"
"sex#M.1476379275.A.5BA#00049", "Chin987", "所以…你懷孕了？", "10/14 21:59", "0"
"sex#M.1476379275.A.5BA#00050", "k402ate", "你小學剛畢業？", "10/14 23:12", "0"
"sex#M.1476379275.A.5BA#00051", "kcmacro", "窩看惹宜厚好蘭瘦 香菇", "10/15 03:52", "0"
"sex#M.1476379275.A.5BA#00052", "HsuKuoChing", "我看到了什麼？？？火星人發的文章嗎？", "10/15 04:37", "0"
"sex#M.1476379275.A.5BA#00053", "remarkand", "覺得推文的都長的像驗孕棒就對了 ？", "10/15 06:45", "0"
"sex#M.1476379275.A.5BA#00054", "ooooooxxxxxx", "不知道要說什麼", "10/15 10:51", "0"
