"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1476521009.A.2B2#00000", "scuderia3", "媒體爆太陽花超強翻譯哥 上傳前女友性愛影片<br><br>http://news.ltn.com.tw/news/society/breakingnews/1856685<br><br>2016-10-15  08:50〔即時新聞／綜合報導〕<br><br>太陽花學運時期，具有外文才能的成員將學運相關文件翻譯成英文，對外發聲。媒體驚爆<br>其中能力相當受好評的王年愷，竟不滿前女友分手，將性愛影片上傳網路。對此王年愷不<br>願受訪，稱希望回歸平靜。<br><br>《蘋果日報》報導，王年愷不滿前女友分手，疑似為了報復竟將交往時拍下的3段性愛影片<br>上傳網路，並使用同學臉書將連結轉貼給前女友，甚至公布個資，前女友崩潰報警。<br><br>檢方依散布猥褻物品、偽造文書罪和加重誹謗罪起訴王男。最後王男與前女友以25萬元達<br>成和解，撤告加重誹謗罪。台北地院則依偽造文書罪判王男5個月徒刑，緩刑2年，得易科<br>罰金15萬元，期間須服120小時義務勞務，可上訴。<br><br>報導指出，王年愷透過律師黃昱璁轉達，表示自己不願接受訪問，並尊重司法判決不會上<br>訴，他希望事件已告一段落，能回歸平常的生活。報導指出，32歲的王年愷才華洋溢，除<br>了台大外文系畢業，更是台北藝術大學管絃擊樂碩士、台師大翻譯所博士生，學運時期也<br>以他優越的外文能力協助向國際發聲。消息曝光後，王年愷表示自己電腦被駭，他在臉書<br>回應，指出他的臉書和gmail都被駭過，「電腦很可能有其他東西被偷出去。」<br><br>--<br>", "", ""
"sex#M.1476521009.A.2B2#00001", "ftrain", "有點噁心", "10/15 16:45", "0"
"sex#M.1476521009.A.2B2#00002", "done1011", "噁心！                           載點呢？", "10/15 16:46", "0"
"sex#M.1476521009.A.2B2#00003", "sanadashun", "被駭過....一句話  影片是不是你放的  敢回答嗎", "10/15 16:52", "0"
"sex#M.1476521009.A.2B2#00004", "xltitan", "怎麼沒有傳送門？", "10/15 16:53", "0"
"sex#M.1476521009.A.2B2#00005", "garrson", "他是被告，可以說不是他傳的喔", "10/15 16:55", "0"
"sex#M.1476521009.A.2B2#00006", "flutterSoar", "某黨專責群眾操作的垃圾拉基,最愛見縫插針貼學運標籤新聞是拉基們賴以維生的製造業，司馬昭之心路人皆知", "10/15 17:02", "1"
"sex#M.1476521009.A.2B2#00007", "bill0403", "滾 樓上的 這學運本來就是民進黨拉下國民黨的工具而已，真學運？", "10/15 17:30", "0"
"sex#M.1476521009.A.2B2#00008", "wade770223", "假學運活動，真情慾流動", "10/15 17:31", "0"
"sex#M.1476521009.A.2B2#00009", "SilentBob", "學運不意外，洨運才對 洨的運動", "10/15 17:36", "0"
