"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1476571175.A.7CF#00000", "ChinaTaiwan", "2016-10-16<br><br><br>〔記者鄭淑婷／桃園報導〕賠了夫人又折兵！經營泰式餐廳的吳姓男子，違規聘僱泰國籍男子阿龍（化名）當廚師，未料他的泰籍妻子竟與阿龍有染，多次在餐廳內「嘿咻」，甚至利用吳男帶著孩子在店外等候妻子的空檔，誇張地在用餐區發生性行為，吳男撞見姦情，反被阿龍打傷；阿龍雖被判刑7月，執行後將驅逐出境，吳男也因違規聘用外勞而被罰款3萬元。<br><br>兩人餐廳內直接來<br><br>判決書指出，吳姓男子原本申請阿龍到住處從事看護工作，今年3月中旬，因為經營的泰式餐廳缺少廚師，他擅自將阿龍帶到餐廳工作，吳妻也在店內幫忙，兩人因為同鄉、語言相通而看對了眼，阿龍2度拉著吳妻，在餐廳內的小房間、倉庫「嘿咻」，吳男察覺戴綠帽後雖然很生氣，但他考量小孩，後來仍選擇原諒。<br><br>未料，吳妻與阿龍只安分一段時間，今年4月30日早上，吳男開車載著妻子、廚師、孩子到達餐廳，吳妻、阿龍兩人下車準備開店事宜，當時餐廳內沒有客人，阿龍忍不住慾火又向吳妻求歡，吳妻原拒絕，但耐不住阿龍央求「只要做一下下！」兩人以站立方式「辦事」。<br><br>吳男原本要載妻小到其他地方，他發現妻子進入10多分鐘仍遲未出來，進到店內撞見2人正在急忙穿褲子，吳男怒不可遏，將妻子拉進房間脫下內褲檢查，她坦承又與阿龍發生性關係。<br><br>違僱外勞 被罰3萬<br><br>吳男找阿龍興師問罪並要報警，阿龍竟惱羞成怒，把吳男打得鼻青臉腫，因此被控告涉及傷害、通姦罪，桃園地院判處阿龍7個月徒刑，執行完畢後將驅逐出境，吳男雖然順利把「小王」趕走，但他違法僱用外勞，也被罰款3萬元。<br><br>http://news.ltn.com.tw/news/society/paper/1042374<br><br>--<br>", "", ""
"sex#M.1476571175.A.7CF#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1476571175.A.7CF#00002", "lichdaniel", "噓", "10/16 06:42", "0"
"sex#M.1476571175.A.7CF#00003", "smart1989", "噓", "10/16 06:44", "0"
"sex#M.1476571175.A.7CF#00004", "pejaii", "你老婆?", "10/16 07:07", "0"
"sex#M.1476571175.A.7CF#00005", "stw0975", "ID", "10/16 07:10", "0"
"sex#M.1476571175.A.7CF#00006", "maxherman", "違規顧外勞重罰三萬", "10/16 07:14", "0"
"sex#M.1476571175.A.7CF#00007", "lan20312", "喔", "10/16 07:30", "0"
"sex#M.1476571175.A.7CF#00008", "saskyblue48", "每日任務", "10/16 07:31", "0"
"sex#M.1476571175.A.7CF#00009", "kikiko", "每日一噓", "10/16 07:39", "0"
"sex#M.1476571175.A.7CF#00010", "skill0000", "解任務", "10/16 07:45", "0"
"sex#M.1476571175.A.7CF#00011", "x782986x", "哈哈", "10/16 07:51", "0"
"sex#M.1476571175.A.7CF#00012", "Sodomx6", "每日任務已完成！台灣獨立！", "10/16 08:21", "0"
