"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"sex#M.1476748247.A.7BC#00000", "ChinaTaiwan", "2016年10月17日21:25<br><br>台中市一名陳姓計程車司機(60歲)，去年6月凌晨在錢櫃KTV前載到一名年僅23歲的妙齡女<br>郎上車，見她一上車就酒醉昏睡，心起淫念，竟載到自己住處性侵，女郎清醒後，陳男還<br>向她要電話，希望日後繼續「交往」，女郎表面答應，回家後立即報警，並採下體分泌物<br>檢體比對DNA。陳男事後稱女郎是自願與他發生性行為，還說被害人「像個吸毒者」，台<br>中地院依趁機性交罪，判陳男3年4月，可上訴。<br><br>去年6月29日凌晨5時許，這名妙齡女郎在中市西區錢櫃KTV與同事唱歌、飲酒結束後，搭<br>上陳男計程車，她告訴陳男住處地址後，因飲酒加上長期服用含有具安眠、鎮靜效果「<br>Vanlan（靜朗）」的減肥藥副作用下，昏睡過去。隔日上午醒來，發現自己下半身赤裸躺<br>在陳男旁邊。<br><br>女子怕自己有生命危險，佯裝願意與陳男繼續來往，並稱有需要還會再叫他的車，雙方互<br>留下姓名電話後，女子才離開陳男住處，並立即報案、採下體分泌物比對。<br><br>陳男到案後否認性侵，堅稱是「你情我願」，當時女子到家後不下車，還對他撒嬌，他才<br>載她回住處，陳男並稱當時女子精神狀態異於常人，「不像喝酒醉、倒像吸毒者」。<br><br>法官認為兩人年齡差距甚大，女子若神智清楚，怎會主動對陳男投懷送抱或表示同意性交<br>之理？認定女子因長期服用的減肥藥物中含有安眠藥劑成分，加上酒精與藥物交互作用，<br>事發時應已陷入無意識狀態。而陳男自稱女子像吸毒者，卻沒報警處理，反將「吸毒者」<br>載回家，顯然就是俗稱「撿屍」，意圖趁機性侵無誤。(鄧玉瑩／台中報導)<br><br>http://www.appledaily.com.tw/realtimenews/article/local/20161017/969678/<br><br>--<br>", "", ""
"sex#M.1476748247.A.7BC#00001", "ChinaTaiwan", "這ID不推不行", "09/28 05:06", "0"
"sex#M.1476748247.A.7BC#00002", "sk2gjordan", "這Id不噓不行", "10/18 07:53", "0"
"sex#M.1476748247.A.7BC#00003", "lazyfrog", "1/1", "10/18 07:56", "0"
"sex#M.1476748247.A.7BC#00004", "ee25025", "每日任務（1/1）", "10/18 07:59", "0"
"sex#M.1476748247.A.7BC#00005", "Sodomx6", "台灣獨立建國！支那滾！", "10/18 08:01", "0"
"sex#M.1476748247.A.7BC#00006", "qk025898", "幹,2沒壞啦！抹送", "10/18 08:02", "0"
"sex#M.1476748247.A.7BC#00007", "chenchen1122", "成就達成", "10/18 08:11", "0"
"sex#M.1476748247.A.7BC#00008", "ready5", "閱", "10/18 08:13", "0"
"sex#M.1476748247.A.7BC#00009", "aweii0234", "跟上", "10/18 08:27", "0"
"sex#M.1476748247.A.7BC#00010", "bond30422", "大夥", "10/18 08:31", "0"
"sex#M.1476748247.A.7BC#00011", "ronale1104", "嗯", "10/18 08:46", "0"
"sex#M.1476748247.A.7BC#00012", "haringwu", "台灣中國一邊一國", "10/18 08:50", "0"
"sex#M.1476748247.A.7BC#00013", "stw0975", "ID", "10/18 08:54", "0"
"sex#M.1476748247.A.7BC#00014", "remiechen", "這Id不噓不行", "10/18 09:02", "0"
"sex#M.1476748247.A.7BC#00015", "mystery0526", "補刀", "10/18 09:11", "0"
"sex#M.1476748247.A.7BC#00016", "cbr6000810", "好扯", "10/18 09:11", "0"
"sex#M.1476748247.A.7BC#00017", "pingancircle", "ID = =", "10/18 09:13", "0"
"sex#M.1476748247.A.7BC#00018", "westley", "每日任務", "10/18 09:21", "0"
"sex#M.1476748247.A.7BC#00019", "san5566", "智障", "10/18 09:24", "0"
"sex#M.1476748247.A.7BC#00020", "z770802", "路過。", "10/18 09:27", "0"
"sex#M.1476748247.A.7BC#00021", "aesand7t2", "3年", "10/18 09:30", "0"
